EnName	Included
Red Sigil	2
Nemean Beast	2
Eternal Eagle	2
Chaos Cyclops	2
Judgment Sword	2
Minotaur III	2
Grand Magus	2
Crazy Twins	2
Emperor Beetle	2
Death Castle	2
World Balance	2
Eternal Sand	2
Void Giant	2
Rampage Drive	2
Vehement Idol	2
Phantom King	2
Fanatic Tower	2
Reckoning Dice	2
Intrepid Knight	2
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
未使用	0
