addeffect_001	+1 Strength
addeffect_109	+Evade Pierce (low)
addeffect_110	+Evade Pierce (med)
addeffect_111	+Evade Pierce (high)
addeffect_112	+Evade Phys (low)
addeffect_113	+Evade Phys (med)
addeffect_114	+Evade Phys (high)
addeffect_115	+Evade Fire (low)
addeffect_116	+Evade Fire (med)
addeffect_117	+Evade Fire (high)
addeffect_118	+Evade Ice (low)
addeffect_119	+Evade Ice (med)
addeffect_120	+Evade Ice (high)
addeffect_121	+Evade Wind (low)
addeffect_122	+Evade Wind (med)
addeffect_123	+Evade Wind (high)
addeffect_124	+Evade Elec (low)
addeffect_125	+Evade Elec (med)
addeffect_126	+Evade Elec (high)
addeffect_127	+Evade Magic (low)
addeffect_128	+Evade Magic (med)
addeffect_129	+Evade Magic (high)
addeffect_130	+unknown effect
addeffect_131	+10 Strength
addeffect_132	+10 Endurance
addeffect_133	+10 Magic
addeffect_134	+10 Agility
addeffect_135	+10 Luck
addeffect_136	+1 to all stats
addeffect_137	+2 to all stats
addeffect_138	+3 to all stats
addeffect_139	+4 to all stats
addeffect_140	+5 to all stats
addeffect_141	+10 to all stats
addeffect_142	+100 HP
addeffect_143	+100 SP
addeffect_144	+Effective vs Magician
addeffect_145	+Deadly vs Magician
addeffect_146	+Effective vs Priestess
addeffect_147	+Deadly vs Priestess
addeffect_148	+Effective vs Empress
addeffect_149	+Deadly vs Empress
addeffect_150	+Effective vs Emperor
addeffect_151	+Deadly vs Emperor
addeffect_152	+Effective vs Priestess
addeffect_153	+Deadly vs Priestess
addeffect_154	+Effective vs Lovers
addeffect_155	+Deadly vs Lovers
addeffect_156	+Effective vs Chariot
addeffect_157	+Deadly vs Chariot
addeffect_158	+Effective vs Justice
addeffect_159	+Deadly vs Justice
addeffect_160	+Effective vs Hermit
addeffect_161	+Deadly vs Hermit
addeffect_162	+Effective vs Fortune
addeffect_163	+Deadly vs Fortune
addeffect_164	+Effective vs Strength
addeffect_165	+Deadly vs Strength
addeffect_166	+Effective vs Hanged
addeffect_167	+Deadly vs Hanged Man
addeffect_168	+Effective vs Death
addeffect_169	+Deadly vs Death
addeffect_170	+All ailments (low)
addeffect_171	+All ailments (med)
addeffect_172	+All ailments (high)
addeffect_173	Strengthens Fire attacks
addeffect_174	Strengthens Ice attacks
addeffect_175	Strengthens Elec attacks
addeffect_176	Strengthens Wind attacks
addeffect_177	Counter phys (low odds)
addeffect_178	Counter phys (med odds)
addeffect_179	Counter phys (high odds)
addeffect_180	+Auto-Tarukaja
addeffect_181	+Auto-Rakukaja
addeffect_182	+Auto-Sukukaja
addeffect_183	+Charm Resist
addeffect_184	+Distress Resist
addeffect_185	+Panic Resist
addeffect_186	+Fear Resist
addeffect_187	+Rage Resist
addeffect_188	+Poison Resist 
