armor_001	A simple shirt.
armor_0B2	0x0B2
armor_0B3	0x0B3
armor_0B4	0x0B4
armor_0B5	0x0B5
armor_0B6	0x0B6
armor_0B7	0x0B7
armor_0B8	0x0B8
armor_0B9	0x0B9
armor_0BA	0x0BA
armor_0BB	0x0BB
armor_0BC	0x0BC
armor_0BD	0x0BD
armor_0BE	0x0BE
armor_0BF	0x0BF
armor_0C0	0x0C0
armor_0C1	0x0C1
armor_0C2	0x0C2
armor_0C3	0x0C3
armor_0C4	0x0C4
armor_0C5	0x0C5
armor_0C6	0x0C6
armor_0C7	0x0C7
armor_0C8	0x0C8
armor_0C9	0x0C9
armor_0CA	0x0CA
armor_0CB	0x0CB
armor_0CC	0x0CC
armor_0CD	0x0CD
armor_0CE	0x0CE
armor_0CF	0x0CF
armor_0D0	0x0D0
armor_0D1	0x0D1
armor_0D2	0x0D2
armor_0D3	0x0D3
armor_0D4	0x0D4
armor_0D5	0x0D5
armor_0D6	0x0D6
armor_0D7	0x0D7
armor_0D8	0x0D8
armor_0D9	0x0D9
armor_0DA	0x0DA
armor_0DB	0x0DB
armor_0DC	0x0DC
armor_0DD	0x0DD
armor_0DE	0x0DE
armor_0DF	0x0DF
armor_0E0	0x0E0
armor_0E1	0x0E1
armor_0E2	0x0E2
armor_0E3	0x0E3
armor_0E4	0x0E4
armor_0E5	0x0E5
armor_0E6	0x0E6
armor_0E7	0x0E7
armor_0E8	0x0E8
armor_0E9	0x0E9
armor_0EA	0x0EA
armor_0EB	0x0EB
armor_0EC	0x0EC
armor_0ED	0x0ED
armor_0EE	0x0EE
armor_0EF	0x0EF
armor_0F0	0x0F0
armor_0F1	0x0F1
armor_0F2	0x0F2
armor_0F3	0x0F3
armor_0F4	0x0F4
armor_0F5	0x0F5
armor_0F6	0x0F6
armor_0F7	0x0F7
armor_0F8	0x0F8
armor_0F9	0x0F9
armor_0FA	0x0FA
armor_0FB	0x0FB
armor_0FC	0x0FC
armor_0FD	0x0FD
armor_0FE	0x0FE
armor_0FF	0x0FF 
