ja	desc
ムドオン	<skill_tgt>に大威力の<skill_elm 0>属性攻撃。弱点をついた時、確率で瀕死にする
ムドバリオン	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。弱点をついた時、確率で瀕死にする
マハムド	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。弱点をついた時、確率で瀕死にする
マハムドオン	<skill_tgt>に大威力の<skill_elm 0>属性攻撃。弱点をついた時、確率で瀕死にする
マハムドバリオン	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。弱点をついた時、確率で瀕死にする
ハマ	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。弱点をついた時、確率で瀕死にする
ハマオン	<skill_tgt>に大威力の<skill_elm 0>属性攻撃。弱点をついた時、確率で瀕死にする
ハマバリオン	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。弱点をついた時、確率で瀕死にする
マハンマ	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。弱点をついた時、確率で瀕死にする
マハンマオン	<skill_tgt>に大威力の<skill_elm 0>属性攻撃。弱点をついた時、確率で瀕死にする
マハンマバリオン	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。弱点をついた時、確率で瀕死にする
メギド	<skill_tgt>に中威力の<skill_elm 0>属性攻撃
メギドラ	<skill_tgt>に大威力の<skill_elm 0>属性攻撃
メギドラオン	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
ビッグバン	<skill_tgt>にレベル依存による特大威力の<skill_elm 0>属性攻撃
至高の魔弾	<skill_tgt>に力依存による特大威力の<skill_elm 0>属性攻撃。クリティカル率が高い
至高の魔弾・改	<skill_tgt>にレベル依存による特大威力の<skill_elm 0>属性攻撃
吸血	<skill_tgt>に小威力の<skill_elm 0>属性によるＨＰ吸収攻撃
吸魔	<skill_tgt>に小威力の<skill_elm 0>属性によるＭＰ吸収攻撃
エナジードレイン	<skill_tgt>に小威力の<skill_elm 0>属性によるＨＰＭＰ吸収攻撃
まどろみの渦	<skill_tgt>に確率で<skill_bst 0>・<skill_bst 1>を付加する
ドルミナー	<skill_tgt>に確率で<skill_bst 0>を付加する
子守唄	<skill_tgt>に確率で<skill_bst 0>を付加する
ポイズマ	<skill_tgt>に確率で<skill_bst 0>を付加する
毒ガスブレス	<skill_tgt>に確率で<skill_bst 0>を付加する
ソウルドレイン	<skill_tgt>にレベル依存による大威力の<skill_elm 0>属性ＨＰＭＰ吸収攻撃
放雷	088
プリンパ	<skill_tgt>に確率で<skill_bst 0>を付加する
テンタラフー	<skill_tgt>に確率で<skill_bst 0>を付加する
マリンカリン	<skill_tgt>に確率で<skill_bst 0>を付加する
セクシーダンス	<skill_tgt>に確率で<skill_bst 0>を付加する
マカジャマ	<skill_tgt>に確率で<skill_bst 0>を付加する
マカジャマオン	<skill_tgt>に確率で<skill_bst 0>を付加する
ダストマ	<skill_tgt>に確率で<skill_bst 0>を付加する
フォッグナー	<skill_tgt>に確率で<skill_bst 0>を付加する
ディア	<skill_tgt>のＨＰを小回復する
ディアラマ	<skill_tgt>のＨＰを中回復する
ディアラハン	<skill_tgt>のＨＰを全回復する
メディア	<skill_tgt>のＨＰを小回復する
メディラマ	<skill_tgt>のＨＰを中回復する
メディアラハン	<skill_tgt>のＨＰを全回復する
ディア	<skill_tgt>のＨＰを小回復する
ディアラマ	<skill_tgt>のＨＰを中回復する
メディア	<skill_tgt>のＨＰを小回復する
メディラマ	<skill_tgt>のＨＰを中回復する
パトラ	<skill_tgt>の状態異常を回復する
メパトラ	<skill_tgt>の状態異常を回復する
昏睡波	<skill_tgt>に大威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する
常世の祈り	ストックを含む味方全体のＨＰと状態異常、瀕死状態を全回復する
三億百六十万の光	<skill_tgt>のＭＰを中回復する
変若水	<skill_tgt>のＨＰとＭＰを全回復する
呪毒散布	<skill_tgt>に何らかの状態異常を非常に高い確率で付加し、３ターンの間、全能力を１段階低下させる
羅刹王の宴	３ターンの間、<skill_tgt>の全能力を最低まで低下させる
リカーム	ＨＰが０の味方単体をＨＰ半分で復活させる
サマリカーム	ＨＰが０の味方単体をＨＰ全快で復活させる
天逆撃	117
タルカジャ	３ターンの間、<skill_tgt>の攻撃力を１段階上昇させる
マハタルカジャ	３ターンの間、<skill_tgt>の攻撃力を１段階上昇させる
妖精王の宴	３ターンの間、<skill_tgt>の全能力を最大まで上昇させる
拡張：会心の覇気	<skill_tgt>に次に行う力依存攻撃が必中になり、必ずクリティカルになるチャージ効果を付与する
スクカジャ	３ターンの間、<skill_tgt>の命中・回避率を１段階上昇させる
マハスクカジャ	３ターンの間、<skill_tgt>の命中・回避率を１段階上昇させる
ラクカジャ	３ターンの間、<skill_tgt>の防御力を１段階上昇させる
マハラクカジャ	３ターンの間、<skill_tgt>の防御力を１段階上昇させる
ラスタキャンディ	３ターンの間、<skill_tgt>の全能力を１段階上昇させる
デカジャ	<skill_tgt>の能力上昇効果を消去する
タルンダ	３ターンの間、<skill_tgt>の攻撃力を１段階低下させる
マハタルンダ	３ターンの間、<skill_tgt>の攻撃力を１段階低下させる
拡張：貫く闘気	<skill_tgt>に次に行う全ての攻撃のダメージが上昇し、相性を無視して貫通するチャージ効果を付与する
神の大盾	次のターンまで<skill_tgt>に被ダメージを大幅に軽減する効果を付与する
スクンダ	３ターンの間、<skill_tgt>の命中・回避率を１段階低下させる
マハスクンダ	３ターンの間、<skill_tgt>の命中・回避率を１段階低下させる
ラクンダ	３ターンの間、<skill_tgt>の防御力を１段階低下させる
マハラクンダ	３ターンの間、<skill_tgt>の防御力を１段階低下させる
ランダマイザ	３ターンの間、<skill_tgt>の全能力を１段階低下させる
デクンダ	<skill_tgt>の能力低下効果を消去する
貫く神気	<skill_tgt>に次に行う全ての攻撃のダメージが著しく上昇し、相性を無視して貫通するチャージ効果を付与する
テトラカーン	１ターンの間、<skill_tgt>に物理属性攻撃を１度だけ反射する効果を付与する
マカラカーン	１ターンの間、<skill_tgt>に魔法属性攻撃を１度だけ反射する効果を付与する
141	141
チャージ	<skill_tgt>に次に行う力依存攻撃のダメージを上昇させるチャージ効果を付与する
コンセントレイト	<skill_tgt>に次に行う魔依存攻撃のダメージを上昇させるチャージ効果を付与する
会心の覇気	<skill_tgt>に次に行う力依存攻撃が必中になり、必ずクリティカルになるチャージ効果を付与する
デカジャオン	<skill_tgt>のあらゆる有効効果を消去し、状態異常の耐性値を戦闘開始時の状態に戻す
禍時：貫通	ターン中、<skill_tgt>に全ての攻撃が相性を無視して貫通する効果を付与する
禍時：的中	ターン中、<skill_tgt>に命中率と状態異常付加率が著しく増加する効果を付与する
貫く闘気	<skill_tgt>に次に行う全ての攻撃のダメージが上昇し、相性を無視して貫通するチャージ効果を付与する
ヒュギエイアの杯	<skill_tgt>に次に行うＨＰ回復スキルの効果を上昇させ、最大ＨＰの上限を超えて回復するチャージ効果を付与する
ディアムリタ	<skill_tgt>のＨＰを中回復し、状態異常を回復する
何もしない	151
仲間を呼んだ	152
様子を見る	153
トラフーリ	逃走可能なバトルから確実に逃走する
エストマ	次の新月まで、エネミーシンボルと接触時、戦闘にならず消滅させる
逃走	このバトルから逃走する
突撃	<skill_tgt>に小威力の<skill_elm 0>属性攻撃
怪力乱神	<skill_tgt>に中威力の<skill_elm 0>属性攻撃
モータルジハード	<skill_tgt>に大威力の<skill_elm 0>属性攻撃
アカシャアーツ	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。クリティカル時、威力が上昇する
ヒートウェイブ	<skill_tgt>に小威力の<skill_elm 0>属性攻撃
デスバウンド	<skill_tgt>に中威力の<skill_elm 0>属性攻撃
冥界破	<skill_tgt>に大威力の<skill_elm 0>属性攻撃
ブレイブザッパー	<skill_tgt>に大威力の<skill_elm 0>属性攻撃。クリティカル率が高い
ハードヒット	<skill_tgt>に中威力の<skill_elm 0>属性攻撃。クリティカル時、威力が上昇する
地獄突き	<skill_tgt>に大威力の<skill_elm 0>属性攻撃。相性を無視して貫通する
会心波	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。クリティカル率が高い
ティタノマキア	<skill_tgt>に中威力の<skill_elm 0>属性攻撃。クリティカル率が高い
ぶちかまし	<skill_tgt>に小～大威力の<skill_elm 0>属性攻撃。自身の残りＨＰが多いほど威力が上昇する
マッスルパンチ	<skill_tgt>に中～特大威力の<skill_elm 0>属性攻撃。自身の残りＨＰが多いほど威力が上昇する
牙折り	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。３ターンの間、対象の攻撃力を１段階低下させる
貫通撃	<skill_tgt>に中威力の<skill_elm 0>属性攻撃。相性を無視して貫通する
鎧通し	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。３ターンの間、対象の防御力を１段階低下させる
目潰し	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。３ターンの間、対象の命中・回避率を１段階低下させる
成仏拳	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。対象が睡眠時、威力が上昇する
紫煙乱打	<skill_tgt>に<skill_maxhit>回小威力の<skill_elm 0>属性攻撃。対象が混乱時、威力が上昇する
禍時：逆境	ターン中、<skill_tgt>に行動者のＨＰが低いほど攻撃ダメージと回復スキルの回復量が増える効果を付与する
火龍撃	<skill_tgt>に力依存による中威力の<skill_elm 0>属性攻撃
氷龍撃	<skill_tgt>に力依存による中威力の<skill_elm 0>属性攻撃
雷龍撃	<skill_tgt>に力依存による中威力の<skill_elm 0>属性攻撃
風龍撃	<skill_tgt>に力依存による中威力の<skill_elm 0>属性攻撃
ヒステリービンタ	<skill_tgt>に<skill_maxhit>回小威力の<skill_elm 0>属性攻撃。対象が魅了時、威力が上昇する
グラム・カット	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。クリティカル率が高い
絶命剣	<skill_tgt>に中威力の<skill_elm 0>属性攻撃。クリティカル率が高い
刹那五月雨斬り	<skill_tgt>に<skill_maxhit>回小威力の<skill_elm 0>属性攻撃。命中率が低い
ベノンザッパー	<skill_tgt>に<skill_minhit>～<skill_maxhit>回小威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する
禍時：無償	ターン中、<skill_tgt>にあらゆるスキル使用時のＭＰ消費量が１になる効果を付与する
暗夜剣	<skill_tgt>に<skill_maxhit>回中威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する
霞駆け	<skill_tgt>に<skill_minhit>～<skill_maxhit>回中威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する
反撃	190
猛反撃	191
カタストロフ	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
禍時：漲力	ターン中、<skill_tgt>に自身の能力上昇・低下効果による影響度が大幅に増加する効果を付与する
朧一閃	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。命中率が低い代わりに当たれば必ずクリティカルが発生する
バウンスクロー	<skill_tgt>に<skill_minhit>～<skill_maxhit>回小威力の<skill_elm 0>属性攻撃
ダマスカスクロー	<skill_tgt>に<skill_minhit>～<skill_maxhit>回中威力の<skill_elm 0>属性攻撃
虚空爪激	<skill_tgt>に<skill_minhit>～<skill_maxhit>回大威力の<skill_elm 0>属性攻撃
スクラッチダンス	<skill_tgt>に<skill_minhit>～<skill_maxhit>回小威力の<skill_elm 0>属性攻撃
アクセルクロー	<skill_tgt>に<skill_minhit>～<skill_maxhit>回中威力の<skill_elm 0>属性攻撃
狂乱の剛爪	<skill_tgt>に<skill_minhit>～<skill_maxhit>回大威力の<skill_elm 0>属性攻撃
禍時：乱舞	ターン中、<skill_tgt>に多段攻撃の回数が必ず上限まで発生する効果を付与する
ベノンハント	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。対象が毒の時、威力が上昇する
喰らいつき	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。クリティカル時、威力が上昇する
食いちぎり	<skill_tgt>に大威力の<skill_elm 0>属性攻撃。クリティカル時、威力が上昇する
狂いかみつき	<skill_tgt>に中威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>・<skill_bst 1>・<skill_bst 2>を付加する
丸かじり	<skill_tgt>に中威力の<skill_elm 0>属性によるＨＰ吸収攻撃
夢見針	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する
毒針	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する
乱れ針	<skill_tgt>に<skill_minhit>～<skill_maxhit>回小威力の<skill_elm 0>属性攻撃。クリティカル率が高い
狂乱針	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する
ヤブサメショット	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。相性を無視して貫通し、必ずクリティカルが発生する
鉄鋼針	<skill_tgt>に<skill_minhit>～<skill_maxhit>回中威力の<skill_elm 0>属性攻撃。クリティカル率が高い
ぶっ潰し	<skill_tgt>に中威力の<skill_elm 0>属性攻撃。命中率が低い
メガトンプレス	<skill_tgt>に大威力の<skill_elm 0>属性攻撃。命中率が低い
禍時：三顧	ターン中、<skill_tgt>に１度の悪魔会話中、２回まで失敗が無効になる効果を付与する
暴れまくり	<skill_tgt>に<skill_minhit>～<skill_maxhit>回中威力の<skill_elm 0>属性攻撃。命中率が低い
死んでくれる？	専用スキル／<skill_tgt>に<skill_minhit>～<skill_maxhit>回中威力の<skill_elm 0>属性攻撃。弱点をついた時、確率で瀕死にする
キングブフーラ	専用スキル／<skill_tgt>に中威力の<skill_elm 0>属性攻撃。３ターンの間、防御力を１段階低下させる
常世より舞う雪風	専用スキル／<skill_tgt>に<skill_minhit>～<skill_maxhit>回小威力の<skill_elm 0>属性攻撃
ジャックブフーラ	専用スキル／<skill_tgt>に中威力の<skill_elm 0>属性攻撃。３ターンの間、防御力を１段階低下させる
地獄の焼きごて	専用スキル／<skill_tgt>に大威力の<skill_elm 0>属性攻撃。対象の能力上昇効果を消去する
熱りたつ業火	専用スキル／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
熱りたつ豪雹	専用スキル／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
熱りたつ雷光	専用スキル／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
熱りたつ大嵐	専用スキル／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
シナイの神火	専用スキル／<skill_tgt>に<skill_minhit>～<skill_maxhit>回中威力の<skill_elm 0>属性攻撃
マク・ア・ルイン	専用スキル／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。クリティカル時、威力が上昇する
バビロンの杯	専用スキル／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する
ファイナルヌード	専用スキル／<skill_tgt>に確率で<skill_bst 0>を付加し、３ターンの間、攻撃力と防御力を２段階低下させる
警戒のフホホイ	専用スキル／３ターンの間、<skill_tgt>の防御力と命中・回避率を１段階上昇させる
狐火のアプト	専用スキル／<skill_tgt>に中威力の<skill_elm 0>属性攻撃
グングニル	専用スキル／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。相性を無視して貫通する
八艘跳び	専用スキル／<skill_tgt>に<skill_maxhit>回小威力の<skill_elm 0>属性攻撃。必ずクリティカルが発生する
血のアンダルシア	専用スキル／<skill_tgt>に<skill_minhit>～<skill_maxhit>回小威力の<skill_elm 0>属性攻撃
テラーソード	専用スキル／<skill_tgt>に<skill_minhit>～<skill_maxhit>回大威力で貫通効果のある<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する
ペストクロップ	専用スキル／<skill_tgt>に大威力の<skill_elm 0>属性攻撃。対象が状態異常の時、威力が上昇する
ゴッドアロー	専用スキル／<skill_tgt>に小威力の<skill_elm 0>属性攻撃。確率で瀕死にする
ソウルバランス	専用スキル／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する。命中率が低い
魔緑のラッパ	専用スキル／<skill_tgt>を確率で瀕死にする
メセクテトの旅路	１ターンの間、攻撃を受ける度、対象に小威力の万能属性攻撃で反撃し、対象を暗黒状態にする
241	241
会心剣	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。命中率が低い代わりに当たれば必ずクリティカルが発生する
渾身剣	<skill_tgt>に大威力の<skill_elm 0>属性攻撃。命中率が低い代わりに当たれば必ずクリティカルが発生する
黒龍撃	<skill_tgt>に力依存による中威力の<skill_elm 0>属性攻撃。弱点をついた時、確率で瀕死にする
白龍撃	<skill_tgt>に力依存による中威力の<skill_elm 0>属性攻撃。弱点をついた時、確率で瀕死にする
力のドナム	<skill_tgt>に次に行う力依存攻撃のダメージを上昇させるチャージ効果を付与する
魔のドナム	<skill_tgt>に次に行う魔依存攻撃のダメージを上昇させるチャージ効果を付与する
挑発	３ターンの間、敵から狙われ易くなる
禍時：蛮攻	ターン中、<skill_tgt>にスキルの消費ＭＰが２倍になる代わりに攻撃ダメージも２倍になる効果を付与する
毒の液	<skill_tgt>に確率で<skill_bst 0>を付加し、３ターンの間、防御力を１段階低下させる
スフレデクレール	専用スキル／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
メッタ裂き	専用スキル／<skill_tgt>に<skill_maxhit>回小威力の<skill_elm 0>属性攻撃。命中率が低い
実りの舞	専用スキル／<skill_tgt>のＨＰを小回復し、３ターンの間、防御力を２段階上昇させる
カゲロウシュート	専用スキル／<skill_tgt>に中威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する
月下氷霜	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。相性を無視して貫通する
嵐からの歌声	専用スキル／<skill_tgt>に<skill_minhit>～<skill_maxhit>回小威力の<skill_elm 0>属性攻撃
カルナック	専用スキル／<skill_tgt>に大威力の<skill_elm 0>属性攻撃。クリティカル率が高い
とんぼ蹴り	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。必ずクリティカルが発生する
ヘリオポリスの暁	専用スキル／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。相性を無視して貫通する
咆哮	３ターンの間、敵から狙われ易くなり、自身の防御力を１段階上昇させる
ターンダヴァ	専用スキル／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。３ターンの間、防御力を最低まで低下させる
ヘルスプラッシュ	専用スキル／<skill_tgt>に中威力の<skill_elm 0>属性攻撃
メギドフレイム	専用スキル／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。相性を無視して貫通する
ワルプルギスの夜	専用スキル／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。弱点をついた時、確率で瀕死にする
絶・閃光斬烈牙	専用スキル／<skill_tgt>に大威力の<skill_elm 0>属性攻撃。クリティカル時、威力が上昇する
日輪の光	専用スキル／<skill_tgt>のＨＰを中回復し、状態異常を回復する
某を見よ	専用スキル／３ターンの間、敵から狙われ易くなり、命中・回避率を２段階上昇させる
ヘルスピン	専用スキル／<skill_tgt>に大威力の<skill_elm 0>属性攻撃
落光	専用スキル／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。弱点をついた時、確率で瀕死にする
濫堕	専用スキル／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。弱点をついた時、確率で瀕死にする
搾血	専用スキル／<skill_tgt>に小威力の<skill_elm 0>属性によるＨＰ吸収攻撃。３ターンの間、攻撃力を１段階低下させる
舞踊撃	専用スキル／<skill_tgt>に３回中威力の<skill_elm 0>属性攻撃。クリティカル率が高い
土偶発破	専用スキル／<skill_tgt>に大威力の<skill_elm 0>属性攻撃。３ターンの間、攻撃力と防御力を１段階低下させる
禍時：幸運	ターン中に戦闘終了した場合、入手経験値とマッカが大幅に上昇する効果を付与する
煩悩即菩提	専用スキル／<skill_tgt>に確率で<skill_bst 0>・<skill_bst 1>・<skill_bst 2>を付加する
黄金のリンゴ	専用スキル／<skill_tgt>のＨＰを小回復し、３ターンの間、全能力を１段階上昇させる
いにしえの母の愛	専用スキル／<skill_tgt>のＨＰを中回復し、状態異常と能力低下を消去する
赤のカポーテ	専用スキル／３ターンの間、<skill_tgt>の命中・回避率を２段階上昇させる
いにしえの母の愛	専用スキル／<skill_tgt>のＨＰを中回復し、状態異常と能力低下を消去する
祝福	専用スキル／<skill_tgt>のＨＰを小回復する
エレウシスの実り	専用スキル／<skill_tgt>のＨＰを、最大ＨＰの上限を超えて全回復する
ケラウノス	専用スキル／<skill_tgt>に力依存による特大威力の<skill_elm 0>属性攻撃。相性を無視して貫通する
大暴れ	<skill_tgt>に中威力の<skill_elm 0>属性攻撃
稲妻一閃	<skill_tgt>に力依存による大威力の<skill_elm 0>属性攻撃
蓄雷	<skill_tgt>に次に行う天龍雷公のダメージを上昇させるチャージ効果を付与する
天龍雷公	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。相性を無視して貫通する
アタック	287
チャージ	<skill_tgt>に次に行う力依存攻撃のダメージを上昇させるチャージ効果を付与する
バビロンの呪い	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。確率で汚泥を付加する
290	290
滅びのシルト	専用スキル／<skill_tgt>に中威力の<skill_elm 0>属性攻撃。３ターンの間、命中・回避率を１段階低下させる
逆薙	ナホビノ専用／<skill_tgt>に力依存による中威力の<skill_elm 0>属性攻撃
神矢来	ナホビノ専用／<skill_tgt>に大威力の<skill_elm 0>属性攻撃
天剣叢雲	ナホビノ専用／<skill_tgt>に力依存による特大威力の<skill_elm 0>属性攻撃。クリティカル時、威力が上昇する
赤のカポーテ	専用スキル／３ターンの間、<skill_tgt>の命中・回避率を２段階上昇させる
瞑想	専用スキル／<skill_tgt>に小威力の<skill_elm 0>属性によるＨＰＭＰ吸収攻撃
ヘルバーナー	専用スキル／<skill_tgt>に大威力の<skill_elm 0>属性攻撃
麁正連斬	ナホビノ専用／<skill_tgt>に<skill_maxhit>回小威力の<skill_elm 0>属性攻撃
荒神螺旋斬	ナホビノ専用／<skill_tgt>に<skill_maxhit>回小威力の<skill_elm 0>属性攻撃。クリティカル時、威力が上昇する
轟雷	ナホビノ専用／<skill_tgt>に大威力の<skill_elm 0>属性攻撃
滄海原ノ禍	ナホビノ専用／<skill_tgt>に<skill_minhit>～<skill_maxhit>回小威力の<skill_elm 0>属性攻撃
ヘルエキゾースト	専用スキル／<skill_tgt>に中威力の<skill_elm 0>属性攻撃。対象の能力上昇効果を消去する
女帝のリビドー	専用スキル／<skill_tgt>に大威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する
脳天割り	専用スキル／<skill_tgt>に中威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する
サマーソルト	専用スキル／<skill_tgt>に小威力の<skill_elm 0>属性攻撃。３ターンの間、防御力を２段階低下させる
神奈備ノ守	ナホビノ専用／次のターンまで<skill_tgt>に被ダメージを軽減する効果を付与する
国津罪ノ穢レ	ナホビノ専用／<skill_tgt>に大威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する
淀んだ空気	専用スキル／<skill_tgt>に確率で<skill_bst 0>を付加し、３ターンの間、防御力と命中・回避率を１段階低下させる
禍時：適性	ターン中、<skill_tgt>に全スキル適性が上限まで上昇する効果を付与する
神霊水	ナホビノ専用／<skill_tgt>のＨＰを小回復する
布瑠言霊	ナホビノ専用／味方単体を全回復して召喚する。瀕死状態の味方にも使用可能
畏怖なる光輝	<skill_tgt>に大威力の<skill_elm 0>属性攻撃。相性を無視して貫通し、確率で<skill_bst 0>を付加する
畏怖なる光輝	敵全体に大威力の電撃属性攻撃。相性を無視して貫通し、確率で封技を付加する
実りの舞	専用スキル／<skill_tgt>のＨＰを小回復し、３ターンの間、防御力を２段階上昇させる
蛇毒の息	専用スキル／<skill_tgt>に中威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する
死天召喚	配下の悪魔を召喚する
死兵召喚	配下の悪魔を召喚する
死霊召喚	配下の悪魔を召喚する
死魔召喚	配下の悪魔を召喚する
プルガトリウム	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。相性を無視して貫通する
