en	ja	ko	zh-Hans	zh-Hant	de	es	fr	it	pl	pt	ru	tr
RC_HERMIT_	RC_HERMIT_	RC_HERMIT_	RC_HERMIT_	RC_HERMIT_	RC_HERMIT_	RC_HERMIT_	RC_HERMIT_	RC_HERMIT_	RC_HERMIT_	RC_HERMIT_	RC_HERMIT_	RC_HERMIT_
Fortune	運命	운명	命运	命運	Omikuji	Fortuna	La Roue de Fortune	Divinazione	Przepowiednia	Sorte	Предсказание	Kader Çarkı
Art Club	文化部	문화부	文艺社团	藝文社團	Kunstclub	Club de arte	Club d'art	Club di arte	Klub miłośników sztuki	Clube de Arte	Художественный клуб	Sanat Kulübü
RC_FORTUNE	RC_FORTUNE	RC_FORTUNE	RC_FORTUNE	RC_FORTUNE	RC_FORTUNE	RC_FORTUNE	RC_FORTUNE	RC_FORTUNE	RC_FORTUNE	RC_FORTUNE	RC_FORTUNE	RC_FORTUNE
Strength	剛毅	힘	力量	力量	Stärke	de la Fuerza	La Force	Forza	Siła	Força	Сила	Güç
Team Manager	女子マネージャー	여자 매니저	社团女经理	女社團經理	Trainerin	Encargada del equipo	Responsable d'équipe	Team Manager	Kierownik drużyny	Gerente da Equipe	Менеджер команды	Takım Yöneticisi
RC_STRENGT	RC_STRENGT	RC_STRENGT	RC_STRENGT	RC_STRENGT	RC_STRENGT	RC_STRENGT	RC_STRENGT	RC_STRENGT	RC_STRENGT	RC_STRENGT	RC_STRENGT	RC_STRENGT
Hanged Man	刑死者	사형수	倒悬者	倒懸者	Gehängter	del Ahorcado	Le Pendu	Appeso	Wisielec	Enforcado	Повешенный	Asılan Adam
Girl at the Shrine	神社の女の子	신사의 여자아이	神社的小女孩	神社的小女孩	Mädchen am Schrein	Chica del santuario	Fille au sanctuaire	Bambina al santuario	Dziewczynka w świątyni	Garota do Santuário	Девочка у храма	Mabetteki Kız
RC_HANGEDM	RC_HANGEDM	RC_HANGEDM	RC_HANGEDM	RC_HANGEDM	RC_HANGEDM	RC_HANGEDM	RC_HANGEDM	RC_HANGEDM	RC_HANGEDM	RC_HANGEDM	RC_HANGEDM	RC_HANGEDM
Death	死神	사신	死神	死神	Tod	de la Muerte	La Mort	Morte	Śmierć	Morte	Смерть	Ölüm
Mysterious Boy	謎の少年	수수께끼의 소년	神秘少年	神祕少年	Geheimnisvoller Junge	Chico misterioso	Garçon mystérieux	Ragazzo misterioso	Tajemniczy chłopiec	Garoto misterioso	Загадочный мальчик	Gizemli Oğlan
RC_DEATH__	RC_DEATH__	RC_DEATH__	RC_DEATH__	RC_DEATH__	RC_DEATH__	RC_DEATH__	RC_DEATH__	RC_DEATH__	RC_DEATH__	RC_DEATH__	RC_DEATH__	RC_DEATH__
Temperance	節制	절제	节制	節制	Mäßigkeit	de la Templanza	La Tempérance	Temperanza	Powściągliwość	Temperança	Умеренность	Denge
Transfer Student	同好会の留学生	동호회의 유학생	同好会的留学生	同好會的留學生	Neuer Schüler	Estudiante de fuera	Élève étranger	Nuovo studente	Uczeń z wymiany	Aluno Transferido	Новый ученик	Nakil Öğrencisi
RC_TEMPERA	RC_TEMPERA	RC_TEMPERA	RC_TEMPERA	RC_TEMPERA	RC_TEMPERA	RC_TEMPERA	RC_TEMPERA	RC_TEMPERA	RC_TEMPERA	RC_TEMPERA	RC_TEMPERA	RC_TEMPERA
Devil	悪魔	악마	恶魔	惡魔	Teufel	del Diablo	Le Diable	Diavolo	Diabeł	Diabo	Дьявол	Şeytan
Businessman	テレビ通販社長	TV 쇼핑 사장	电视购物社长	電視購物公司的社長	Geschäftsmann	Empresario	Homme d'affaires	Uomo d'affari	Biznesmen	Empresário	Бизнесмен	İş İnsanı
RC_DEVIL__	RC_DEVIL__	RC_DEVIL__	RC_DEVIL__	RC_DEVIL__	RC_DEVIL__	RC_DEVIL__	RC_DEVIL__	RC_DEVIL__	RC_DEVIL__	RC_DEVIL__	RC_DEVIL__	RC_DEVIL__
Tower	塔	탑	塔	塔	Turm	de la Torre	La Maison Dieu	Torre	Wieża	Torre	Башня	Kule
Unusual Monk	型破りな僧侶	파계승	与众不同的僧侣	舉止不凡的僧侶	Seltsamer Mönch	Monje inusual	Moine étrange	Strano monaco	Niezwykły mnich	Monge Excêntrico	Необычный монах	Sıra Dışı Keşiş
RC_TOWER__	RC_TOWER__	RC_TOWER__	RC_TOWER__	RC_TOWER__	RC_TOWER__	RC_TOWER__	RC_TOWER__	RC_TOWER__	RC_TOWER__	RC_TOWER__	RC_TOWER__	RC_TOWER__
Star	星	별	星	星星	Stern	de la Estrella	L'Étoile	Stella	Gwiazda	Estrela	Звезда	Yıldız
Rival Athlete	他校のエース	다른 학교의 에이스	外校的王牌选手	友校的王牌	Sportrivale	Atleta rival	Athlète rival	Atleta rivale	Sportowy rywal	Atleta Rival	Соперник-атлет	Rakip Sporcu
RC_STAR___	RC_STAR___	RC_STAR___	RC_STAR___	RC_STAR___	RC_STAR___	RC_STAR___	RC_STAR___	RC_STAR___	RC_STAR___	RC_STAR___	RC_STAR___	RC_STAR___
Moon	月	달	月亮	月亮	Mond	de la Luna	La Lune	Luna	Księżyc	Lua	Луна	Ay
Gourmet King	グルメキング	미식왕	美食大王	美食王	Gourmet-König	Rey gourmet	Roi des gourmets	Re Gourmet	Król Smakoszy	Rei Gourmet	Король гурманов	Gurme Kralı
RC_MOON___	RC_MOON___	RC_MOON___	RC_MOON___	RC_MOON___	RC_MOON___	RC_MOON___	RC_MOON___	RC_MOON___	RC_MOON___	RC_MOON___	RC_MOON___	RC_MOON___
Sun	太陽	태양	太阳	太陽	Sonne	del Sol	Le Soleil	Sole	Słońce	Sol	Солнце	Güneş
Dying Young Man	余命いくばくも無い青年	여생이 얼마 남지 않은 청년	命不久矣的青年	時日無多的少年	Junger Sterbender	Joven moribundo	Jeune homme mourant	Giovane morente	Umierający młody mężczyzna	Jovem Moribundo	Умирающий юноша	Ölmek Üzere Olan Genç Adam
RC_SUN____	RC_SUN____	RC_SUN____	RC_SUN____	RC_SUN____	RC_SUN____	RC_SUN____	RC_SUN____	RC_SUN____	RC_SUN____	RC_SUN____	RC_SUN____	RC_SUN____
Judgement	審判	심판	审判	審判	Gericht	del Juicio	Le Jugement	Giudizio	Sąd Ostateczny	Julgamento	Суд	Mahkeme
Nyx Annihilation Team	ニュクス討伐隊	닉스 토벌대	倪克斯讨伐队	尼克斯討伐隊	Nyx-Auslöschungsteam	Equipo de aniquilación de Nix	Groupe anti-Nyx	Squadra di distruzione di Nyx	Oddział Uderzeniowy Nyx	Equipe de Aniquilação de Nix	Команда уничтожения Никты	Nyx İmha Takımı
RC_JUDGEME	RC_JUDGEME	RC_JUDGEME	RC_JUDGEME	RC_JUDGEME	RC_JUDGEME	RC_JUDGEME	RC_JUDGEME	RC_JUDGEME	RC_JUDGEME	RC_JUDGEME	RC_JUDGEME	RC_JUDGEME
Aeon	永劫	영겁	永劫	永劫	Äon	del Eón	L'Éon	Eone	Eon	Éon	Эон	Sonsuzluk
Aigis	アイギス	아이기스	埃癸斯	埃癸斯	Aigis	Aigis	Aigis	Aigis	Aigis	Aigis	Айгис	Aigis
RC_WORLD__	RC_WORLD__	RC_WORLD__	RC_WORLD__	RC_WORLD__	RC_WORLD__	RC_WORLD__	RC_WORLD__	RC_WORLD__	RC_WORLD__	RC_WORLD__	RC_WORLD__	RC_WORLD__
Other	その他	기타	其他	其他	Anderes	Otro	Autre	Altro	Inna	Outro	Прочее	Diğer
UNKNOWN	UNKNOWN	UNKNOWN	ＵＮＫＮＯＷＮ	ＵＮＫＮＯＷＮ	UNBEKANNT	DESCONOCIDO	INCONNU	SCONOSCIUTO	NIEZNANE	DESCONHECIDO	НЕИЗВЕСТНО	BİLİNMEYEN
RC_UNKNOWN	RC_UNKNOWN	RC_UNKNOWN	RC_UNKNOWN	RC_UNKNOWN	RC_UNKNOWN	RC_UNKNOWN	RC_UNKNOWN	RC_UNKNOWN	RC_UNKNOWN	RC_UNKNOWN	RC_UNKNOWN	RC_UNKNOWN
Universe	世界	세계	世界	世界	Welt	del Mundo	Le Monde	Mondo	Świat	Mundo	Мир	Dünya
UNKNOWN	UNKNOWN	UNKNOWN	ＵＮＫＮＯＷＮ	ＵＮＫＮＯＷＮ	UNBEKANNT	DESCONOCIDO	INCONNU	SCONOSCIUTO	NIEZNANE	DESCONHECIDO	НЕИЗВЕСТНО	BİLİNMEYEN
RC_WORLD2_	RC_WORLD2_	RC_WORLD2_	RC_WORLD2_	RC_WORLD2_	RC_WORLD2_	RC_WORLD2_	RC_WORLD2_	RC_WORLD2_	RC_WORLD2_	RC_WORLD2_	RC_WORLD2_	RC_WORLD2_
