flag	en	ja	ko	zh-Hans	zh-Hant	de	es	fr	it	pl	pt	ru	tr
0	未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
0	未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
0	未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
0	未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
0	未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
0	未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
0	未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
0	未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
0	未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
0	未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
0	未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
0	未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
0	未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
0	未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
0	未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
0	未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
0	未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
1	Archangel	アークエンジェル	아크엔젤	大天使	大天使	Erzengel	Arcángel	Archange	Arcangelo	Archanioł	Arcanjo	Архангел	Baş Melek
1	Asura	アスラおう	아수라왕	阿修罗王	阿修羅王	Asura	Asura	Asura	Asura	Asura	Asura	Асура	Asura
1	Atavaka	アタバク	아타바크	大元帅明王	大元帥明王	Atavaka	Atavaka	Atavaka	Atavaka	Atavaka	Atavaka	Атавака	Atavaka
1	Attis	アティス	아티스	阿提斯	阿提斯	Attis	Atis	Attis	Attis	Attis	Átis	Аттис	Attis
1	Atropos	アトロポス	아트로포스	阿特洛波斯	阿特羅波斯	Atropos	Átropos	Atropos	Atropo	Atropos	Átropos	Атропа	Atropos
1	Ananta	アナンタ	아난타	阿难陀	阿難陀	Ananta	Ananta	Ananta	Ananta	Ananta	Ananta	Ананта	Ananta
1	Anubis	アヌビス	아누비스	阿努比斯	阿努比斯	Anubis	Anubis	Anubis	Anubi	Anubis	Anúbis	Анубис	Anubis
1	Abaddon	アバドン	아바돈	亚巴顿	阿巴頓	Abaddon	Abadón	Abaddon	Abaddon	Abaddon	Abadom	Аваддон	Abaddon
1	Apsaras	アプサラス	아프사라스	飞天	飛天	Apsaras	Apsará	Apsara	Apsaras	Apsaras	Apsará	Апсара	Apsara
1	Arahabaki	アラハバキ	아라하바키	荒霸吐	荒霸吐	Arahabaki	Arahabaki	Arahabaki	Arahabaki	Arahabaki	Arahabaki	Арахабаки	Arahabaki
1	Ara Mitama	アラミタマ	아라미타마	荒魂	荒魂	Ara Mitama	Ara Mitama	Ara Mitama	Ara Mitama	Ara Mitama	Ara Mitama	Ара Митама	Ara Mitama
1	Alice	アリス	앨리스	爱丽丝	愛麗絲	Alice	Alice	Alice	Alice	Alice	Alice	Алиса	Alice
1	Alilat	アリラト	알릴라트	阿利拉特	威靈	Alilat	Alilat	Al-Lat	Allat	Alilat	Alilat	Аллат	El-Lât
1	Inugami	イヌガミ	이누가미	犬神	犬神	Inugami	Inugami	Inugami	Inugami	Inugami	Inugami	Инугами	Inugami
1	Incubus	インキュバス	인큐버스	男梦魔	男夢魔	Inkubus	Íncubo	Incube	Incubo	Inkub	Íncubo	Инкуб	Incubus
1	Virtue	ヴァーチャー	버츄	力天使	力天使	Tugend	Virtud	Vertu	Virtù	Cnota	Virtude	Власть	Erdem
1	Vasuki	ヴァスキ	바스키	婆苏吉	婆蘇吉	Vasuki	Vasuki	Vasuki	Vasuki	Vasuki	Vasuki	Васуки	Vasuki
1	Valkyrie	ヴァルキリー	발키리	女武神	女武神	Walküre	Valquiria	Valkyrie	Valchiria	Walkiria	Valquíria	Валькирия	Valkür
1	Vishnu	ヴィシュヌ	비슈누	毗湿奴	毗濕奴	Vishnu	Vishnu	Vishnou	Vishnu	Wisznu	Vishnu	Вишну	Vişnu
1	Uriel	ウリエル	우리엘	乌列尔	尤利爾	Uriel	Uriel	Uriel	Uriel	Uriel	Uriel	Уриил	Uriel
1	Eligor	エリゴール	엘리고르	埃力格	埃力格	Eligor	Eligor	Eligor	Eligor	Eligor	Eligor	Элигор	Eligor
1	Angel	エンジェル	엔젤	天使	天使	Engel	Ángel	Ange	Angelo	Anioł	Anjo	Ангел	Melek
1	Okuninushi	オオクニヌシ	오오쿠니누시	大国主	大國主	Okuninushi	Okuninushi	Okuninushi	Okuninushi	Okuninushi	Okuninushi	Окунинуси	Okuninushi
1	Odin	オーディン	오딘	奥丁	奧汀	Odin	Odín	Odin	Odino	Odyn	Odin	Один	Odin
1	Ose	オセ	오세	欧赛	歐賽	Ose	Ose	Ose	Ose	Ose	Ose	Осе	Ose
1	Oni	オニ	오니	鬼	鬼	Oni	Oni	Oni	Oni	Oni	Oni	Они	Oni
1	Oberon	オベロン	오베론	奥伯隆	奧伯隆	Oberon	Oberón	Obéron	Oberon	Oberon	Oberon	Оберон	Oberon
1	Omoikane	オモイカネ	오모이카네	思兼神	思兼神	Omoikane	Omoikane	Omoikane	Omoikane	Omoikane	Omoikane	Омойканэ	Omoikane
1	Orthrus	オルトロス	오르트로스	欧特鲁斯	歐特魯斯	Orthrus	Ortro	Orthros	Orthrus	Ortros	Órtros	Орф	Orthrus
1	Orpheus	オルフェウス	오르페우스	俄耳甫斯	俄耳甫斯	Orpheus	Orfeo	Orphée	Orfeo	Orfeusz	Orfeu	Орфей	Orfeus
1	Orpheus Telos	オルフェウス・改	진 오르페우스	俄耳甫斯·改	俄耳甫斯．改	Orpheus Telos	Orfeo Telos	Orphée Telos	Orfeo Telos	Orfeusz Telos	Orfeu Telos	Орфей Телос	Orfeus Telos
1	Orobas	オロバス	오로바스	欧若博司	歐若博司	Orobas	Orobas	Orobas	Orobas	Orobas	Orobas	Оробас	Orobas
1	Onmoraki	オンモラキ	온모라키	阴摩罗鬼	陰魔羅鬼	Onmoraki	Onmoraki	Onmoraki	Onmoraki	Onmoraki	Onmoraki	Оммораки	Onmoraki
1	Kali	カーリー	칼리	迦梨	迦梨	Kali	Kali	Kali	Kali	Kali	Kali	Кали	Kali
1	Ganesha	ガネーシャ	가네샤	葛内舍	象頭神	Ganesha	Ganesha	Ganesh	Ganesha	Ganesha	Ganesha	Ганеша	Ganesha
1	Hua Po	カハク	화백	花魄	花魄	Hua Po	Hua Po	Hua Po	Hua Po	Hua Po	Hua Po	Хуа По	Hua Po
1	Gabriel	ガブリエル	가브리엘	加百列	加百列	Gabriel	Gabriel	Gabriel	Gabriel	Gabriel	Gabriel	Гавриил	Cebrail
1	Garuda	ガルーダ	가루다	迦楼罗	迦樓羅	Garuda	Garuda	Garuda	Garuda	Garuda	Garuda	Гаруда	Garuda
1	Ganga	ガンガー	강가	甘伽	剛加	Ganga	Ganga	Ganga	Ganga	Ganga	Ganga	Ганга	Ganga
1	Kaiwan	キウン	케완	迦温	迦溫	Kaiwan	Kaiwan	Kaiwan	Kaiwan	Kaiwan	Kaiwan	Кайван	Kaiwan
1	Kikuri-Hime	キクリヒメ	키쿠리히메	菊理媛	菊理媛	Kikuri-Hime	Kikuri-Hime	Kikuri-Hime	Kikuri-Hime	Kikuri-Hime	Kikuri-Hime	Кикури-химэ	Kikuri-Hime
1	Chimera	キマイラ	키마이라	奇美拉	奇美拉	Chimera	Quimera	Chimère	Chimera	Chimera	Quimera	Химера	Kimera
1	Cybele	キュベレ	키벨레	库柏勒	西布莉	Cybele	Cibeles	Cybèle	Cibele	Kybele	Cibele	Кибела	Kibele
1	Girimekhala	ギリメカラ	기리메칼라	基力梅卡拉	基力梅卡拉	Girimekhala	Girimehkala	Girimekhala	Girimekhala	Girimekhala	Girimekhala	Гиримекала	Girimekhala
1	King Frost	キングフロスト	킹 프로스트	霜精之王	霜精之王	King Frost	Rey Frost	King Frost	Re Frost	Król Frost	Rei Frost	Король Фрост	Kral Frost
1	Queen Medb	クイーンメイブ	퀸 메이브	妖精女王	妖精女王	Königin Medb	Reina Medb	Reine Medb	Regina Mab	Królowa Medb	Rainha Medb	Королева Медб	Kraliçe Medb
1	Cu Chulainn	クー・フーリン	쿠 훌린	库夫林	庫夫林	Cú Chulainn	Cú Chulainn	Cúchulainn	Cu Chulainn	Cu Chulainn	Cúchulainn	Кухулин	Cu Chulainn
1	Kumbhanda	クヴァンダ	쿠반다	鸠盘荼	鳩槃荼	Kumbhanda	Kumbhanda	Kumbhanda	Kumbhanda	Kumbhanda	Kumbhanda	Кумбханда	Kumbhanda
1	Kushi Mitama	クシミタマ	쿠시미타마	奇魂	奇魂	Kushi Mitama	Kushi Mitama	Kushi Mitama	Kushi Mitama	Kushi Mitama	Kushi Mitama	Куси Митама	Kushi Mitama
1	Kurama Tengu	クラマテング	쿠라마텐구	鞍马天狗	鞍馬天狗	Kurama Tengu	Kurama Tengu	Kurama Tengu	Kurama Tengu	Kurama Tengu	Kurama Tengu	Курама Тэнгу	Kurama Tengu
1	Gurulu	グルル	구루루	格鲁鲁	凶鳥	Gurulu	Gurr	Gurulu	Gurulu	Gurulu	Gurulu	Гурулу	Gurulu
1	Clotho	クロト	클로토	克洛托	可羅索	Clotho	Cloto	Clotho	Cloto	Kloto	Cloto	Клото	Clotho
1	Quetzalcoatl	ケツアルカトル	케찰코아틀	羽蛇神	羽蛇神	Quetzalcoatl	Quetzalcóatl	Quetzalcoatl	Quetzalcoatl	Quetzalcoatl	Quetzalcoatl	Кетцалькоатль	Quetzalcoatl
1	Genbu	ゲンブ	현무	玄武	玄武	Genbu	Genbu	Genbu	Genbu	Genbu	Genbu	Гэмбу	Genbu
1	Koumokuten	コウモクテン	광목천	广目天王	廣目天	Koumokuten	Koumokuten	Koumokuten	Koumokuten	Koumokuten	Koumokuten	Комокутэн	Koumokuten
1	Kohryu	コウリュウ	황룡	黄龙	黃龍	Kohryu	Kouryuu	Kohryu	Kohryu	Kohryu	Kohryu	Корю	Kohryu
1	Saki Mitama	サキミタマ	사키미타마	幸魂	幸魂	Saki Mitama	Saki Mitama	Saki Mitama	Saki Mitama	Saki Mitama	Saki Mitama	Саки Митама	Saki Mitama
1	Succubus	サキュバス	서큐버스	女梦魔	女夢魔	Sukkubus	Súcubo	Succube	Succube	Sukub	Súcubo	Суккуб	Sukkubus
1	Satan	サタン	사탄	撒旦	撒旦	Satan	Satán	Satan	Satana	Szatan	Satã	Сатана	Şeytan
1	Sati	サティ	사티	娑提	娑提	Sati	Sati	Sati	Sati	Sati	Sati	Сати	Sati
1	Saturnus	サトゥルヌス	사투르누스	萨图尔努斯	薩圖爾努斯	Saturn	Saturno	Saturne	Saturno	Saturn	Saturno	Сатурн	Satürn
1	Samael	サマエル	사마엘	萨麦尔	薩麥爾	Samael	Samael	Samaël	Samael	Samael	Samael	Самаил	Samael
1	Sarasvati	サラスヴァティ	사라스바티	妙音天女	妙音天女	Sarasvati	Sarasvati	Sarasvati	Sarasvati	Saraswati	Sarasvati	Сарасвати	Sarasvati
1	Thunderbird	サンダーバード	선더버드	雷鸟	閃電鳥	Donnervogel	Ave del trueno	Wakinyan	Wakinyan	Ptak Grzmot	Pássaro do Trovão	Громовая птица	Gök Gürültüsü Kuşu
1	Sandalphon	サンダルフォン	산달폰	圣德芬	聖達芬	Sandalphon	Sandalfón	Sandalphon	Sandalphon	Sandalfon	Sandalfon	Сандальфон	Sandalfon
1	Sandman	ザントマン	샌드맨	睡魔	睡魔	Sandmann	Sandman	Marchand de sable	Sandman	Piaskun	Homem da Areia	Песочный человек	Uyku Perisi
1	Siegfried	ジークフリード	지크프리트	齐格飞	齊格菲	Siegfried	Sigfrido	Siegfried	Siegfried	Zygfryd	Siegfried	Зигфрид	Siegfried
1	Shiisaa	シーサー	시사	狮爷	獅爺	Shiisaa	Shiisaa	Shiisaa	Shiisaa	Shiisaa	Shiisaa	Сиса	Shiisaa
1	Shiva	シヴァ	시바	湿婆	濕婆	Shiva	Shiva	Shiva	Shiva	Śiwa	Shiva	Шива	Şiva
1	Shiki-Ouji	シキオウジ	시키오우지	式王子	式王子	Shiki-Ouji	Shiki-Ouji	Shiki-Ouji	Shiki-Ouji	Shiki-Ouji	Shiki-Ouji	Сикиодзи	Shiki-Ouji
1	Jikokuten	ジコクテン	지국천	持国天王	持國天	Jikokuten	Jikokuten	Jikokuten	Jikokuten	Jikokuten	Jikokuten	Дзикокутэн	Jikokuten
1	Black Frost	ジャアクフロスト	사악한 프로스트	邪恶霜精	邪惡霜精	Schwarzer Frost	Frost oscuro	Black Frost	Frost Nero	Czarny Frost	Black Frost	Черный Фрост	Kara Frost
1	Jatayu	ジャターユ	자타유	佳塔由	佳塔由	Jatayu	Jatayu	Jatâyu	Jatayu	Jatayu	Jatayu	Дзятаю	Jatayu
1	Jack Frost	ジャックフロスト	잭 프로스트	杰克霜精	傑克霜精	Jack Frost	Jack Frost	Jack Frost	Jack Frost	Jack Frost	Jack Frost	Джек Фрост	Jack Frost
1	Jack-o'-Lantern	ジャックランタン	잭 오 랜턴	杰克灯笼	傑克燈籠	Jack O'Lantern	Jack-o'-Lantern	Jack-o'-Lantern	Jack-o'-Lantern	Jack-o'-Lantern	Jack-o'-Lantern	Джек Фонарь	Bal Kabağı Feneri
1	Chi You	シュウ	치우	蚩尤	蚩尤	Chi You	Chi You	Chi You	Chi You	Chi You	Chi You	Чи Ю	Chi You
1	Silky	シルキー	실키	希路奇	希路奇	Silky	Silky	Silky	Silky	Selkie	Silky	Силки	Silky
1	Scathach	スカアハ	스카아하	斯卡哈	斯卡哈	Scathach	Scáthach	Scáthach	Scathach	Scathach	Scáthach	Скатах	Scathach
1	Skadi	スカディ	스카디	斯卡蒂	絲卡蒂	Skadi	Skadi	Skadi	Skadi	Skadi	Skadi	Скади	Skadi
1	Suzaku	スザク	주작	朱雀	朱雀	Suzaku	Suzaku	Suzaku	Suzaku	Suzaku	Suzaku	Судзаку	Suzaku
1	Susano-o	スサノオ	스사노오	须佐之男	須佐之男命	Susano-o	Susanoo	Susano-o	Susano-o	Susano-o	Susano-o	Сусаноо	Susano-o
1	Slime	スライム	슬라임	软泥怪	軟泥怪	Schleim	Limo	Slime	Slime	Śluz	Gosma	Слайм	Slime
1	Surt	スルト	수르트	苏尔特尔	斯爾特	Surt	Surt	Surt	Surt	Surtr	Surt	Сурт	Surt
1	Qitian Dasheng	セイテンタイセイ	제천대성	齐天大圣	齊天大聖	Qitian Dasheng	Qitian Dasheng	Qitian Dasheng	Qitian Dasheng	Qitian Dasheng	Qitian Dasheng	Цитянь Дашэн	Qitian Dasheng
1	Seiryu	セイリュウ	청룡	青龙	青龍	Seiryu	Seiryu	Seiryu	Seiryu	Seiryu	Seiryu	Сэйрю	Seiryu
1	Setanta	セタンタ	세탄타	瑟坦特	瑟坦特	Setanta	Setanta	Séadanda	Setanta	Setanta	Sétanta	Сетанта	Setanta
1	Seth	セト	세트	赛特	賽特	Seth	Set	Seth	Seth	Set	Set	Сет	Seth
1	Zouchouten	ゾウチョウテン	증장천	增长天王	增長天	Zouchouten	Zouchouten	Zouchouten	Zouchouten	Zouchouten	Zouchouten	Дзотётэн	Zouchouten
1	Throne	ソロネ	트론	座天使	座天使	Throne	Trono	Trône	Trono	Tron	Trono	Престол	Taht
1	Dakini	ダーキニー	다키니	荼吉尼	荼吉尼	Dakini	Dakini	Dakini	Dakini	Dakini	Dakini	Дакини	Dakini
1	Daisoujou	だいそうじょう	대승정	大僧正	大僧正	Daisoujou	Daisoujou	Daisoujou	Daisoujou	Daisoujou	Daisoujou	Дайсодзё	Daisoujou
1	Take-Mikazuchi	タケミカヅチ	타케미카즈치	建御雷	建御雷	Take-Mikazuchi	Takemikazuchi	Take-Mikazuchi	Take-Mikazuchi	Take-Mikazuchi	Take-Mikazuchi	Такэмикадзути	Take-Mikazuchi
1	Take-Minakata	タケミナカタ	타케미나카타	建御名方	建御名方	Take-Minakata	Takeminakata	Take-Minakata	Take-Minakata	Take-Minakata	Take-Minakata	Такэминаката	Take-Minakata
1	Thanatos	タナトス	타나토스	塔纳托斯	塔納托斯	Thanatos	Tánatos	Thanatos	Thanatos	Tanatos	Tânato	Танатос	Thanatos
1	Tam Lin	タムリン	탐린	塔姆林	塔姆林	Tam Lin	Tam Lin	Tam Lin	Tam Lin	Tam Lin	Tam Lin	Там Лин	Tam Lin
1	Chernobog	チェルノボグ	체르노보그	切尔诺伯格	切爾諾伯格	Chernobog	Chernobog	Tchernobog	Chernobog	Czarnobóg	Chernobog	Чернобог	Chernobog
1	Dionysus	ディオニュソス	디오니소스	狄俄尼索斯	狄俄尼索斯	Dionysus	Dioniso	Dionysos	Dioniso	Dionizos	Dionísio	Дионис	Dionisos
1	Titania	ティターニア	티타니아	缇坦妮雅	蒂妲妮亞	Titania	Titania	Titania	Titania	Tytania	Titânia	Титания	Titania
1	Decarabia	デカラビア	데카라비아	单卡拉比	單卡拉比	Decarabia	Decarabia	Decarabia	Decarabia	Dekarabia	Decarabia	Декарабиа	Decarabia
1	Thoth	トート	토트	托特	圖特	Thoth	Tot	Thoth	Thoth	Thot	Tot	Тот	Thoth
1	Thor	トール	토르	托尔	托爾	Thor	Thor	Thor	Thor	Thor	Thor	Тор	Thor
1	Dominion	ドミニオン	도미니온	主天使	主天使	Dominion	Dominio	Domination	Dominazione	Panowanie	Domínio	Господство	Dominyon
1	Trumpeter	トランペッター	트럼페터	吹号者	吹號者	Posaunenbläser	Trompetista	Héraut	Trombettiere	Trębacz	Trombeteiro	Глашатай	Trampetçi
1	Naga	ナーガ	나가	那伽	那伽	Naga	Naga	Naga	Naga	Naga	Naga	Нага	Naga
1	Naga Raja	ナーガラジャ	나가라자	那伽之王	那伽之王	Raja Naga	Naga Raja	Naga Raja	Naga Raja	Naga Radża	Nagaraja	Нагараджа	Naga Raja
1	Narcissus	ナルキッソス	나르키소스	那耳喀索斯	納西瑟斯	Narziss	Narciso	Narcisse	Narciso	Narcyz	Narciso	Нарцисс	Narkissos
1	Nidhoggr	ニーズホッグ	니즈호그	尼德霍格	尼德霍格	Nidhoggr	Nidhoggr	Nidhoggr	Nidhoggr	Nidhoggr	Nidhogg	Нидхёгг	Nidhoggr
1	Nigi Mitama	ニギミタマ	니기미타마	和魂	和魂	Nigi Mitama	Nigi Mitama	Nigi Mitama	Nigi Mitama	Nigi Mitama	Nigi Mitama	Ниги Митама	Nigi Mitama
1	Neko Shogun	ネコショウグン	네코쇼군	猫将军	貓將軍	Neko Shogun	Neko Shogun	Neko Shogun	Neko Shogun	Neko Shogun	Neko Shogun	Нэко Сёгун	Neko Shogun
1	Nekomata	ネコマタ	네코마타	猫又	貓妖	Nekomata	Nekomata	Nekomata	Nekomata	Nekomata	Nekomata	Нэкомата	Nekomata
1	Nebiros	ネビロス	네비로스	奈比洛斯	奈比洛斯	Nebiros	Nebiros	Naberius	Nebiros	Nebiros	Nebiros	Небирос	Nebiros
1	Norn	ノルン	노른	诺伦	諾倫	Norne	Norna	Norne	Norna	Norny	Norna	Норна	Norn
1	Baal Zebul	バアル・ゼブル	바알세불	巴力西卜	巴力西卜	Baal Zebul	Baal Zebul	Baal-Zebub	Baal Zebul	Baal Zebul	Baal Zebul	Ваал Зевул	Baal Zebul
1	Parvati	パールヴァティ	파르바티	帕尔瓦蒂	帕爾瓦蒂	Parvati	Parvati	Parvati	Parvati	Parwati	Parvati	Парвати	Parvati
1	High Pixie	ハイピクシー	하이픽시	高等皮克希	高等皮克希	Hoch-Pixie	Gran Pixie	Pixie supérieure	Pixie superiore	Dowódczyni Pixie	Grã-Pixie	Высшая пикси	Büyük Peri
1	Pazuzu	パズス	파즈스	帕祖祖	帕祖祖	Pazuzu	Pazuzu	Pazuzu	Pazuzu	Pazuzu	Pazuzu	Пазузу	Pazuzu
1	Hanuman	ハヌマーン	하누만	哈奴曼	哈奴曼	Hanuman	Hánuman	Hanuman	Hanuman	Hanuman	Hanuman	Хануман	Hanuman
1	Baphomet	バフォメット	바포멧	巴风特	巴風特	Baphomet	Baphomet	Baphomet	Baphomet	Bafomet	Bafomé	Бафомет	Baphomet
1	Hariti	ハリティー	하리티	诃梨帝母	訶梨帝母	Hariti	Hariti	Hariti	Hariti	Hariti	Hariti	Харити	Hariti
1	Barong	バロン	바롱	巴隆	巴隆	Barong	Barong	Barong	Barong	Barong	Barong	Баронг	Barong
1	Power	パワー	파워	能天使	能天使	Kraft	Poder	Puissance	Potestà	Moc	Potestade	Сила	Güç
1	Pixie	ピクシー	픽시	皮克希	皮克希	Pixie	Pixie	Pixie	Pixie	Pixie	Pixie	Пикси	Peri
1	Pisaca	ピシャーチャ	피샤차	毕舍遮	畢舍遮	Pishacha	Pisaca	Pisaca	Pisaca	Piszacha	Pisaca	Писака	Pisaca
1	Bishamonten	ビシャモンテン	비사문천	毘沙门天	毘沙門天	Bishamonten	Bishamonten	Bishamonten	Bishamonten	Bishamonten	Bishamonten	Бишамон	Bishamonten
1	Byakko	ビャッコ	백호	白虎	白虎	Byakko	Byakko	Byakko	Byakko	Bai Hu	Byakko	Бьякко	Byakko
1	Fortuna	フォルトゥナ	포르투나	福尔图娜	福圖娜	Fortuna	Fortuna	Fortuna	Fortuna	Fortuna	Fortuna	Фортуна	Fortuna
1	Forneus	フォルネウス	포르네우스	佛钮司	佛鈕司	Forneus	Forneus	Forneus	Forneus	Forneus	Forneus	Форнеус	Forneus
1	Futsunushi	フツヌシ	후츠누시	经津主	經津主	Futsunushi	Futsunushi	Futsunushi	Futsunushi	Futsunushi	Futsunushi	Фуцунуси	Futsunushi
1	Flauros	フラロウス	플라로우스	佛劳洛斯	佛勞洛斯	Flauros	Flauros	Flauros	Flauros	Flauros	Flauros	Флаурос	Flauros
1	Principality	プリンシパリティ	프린시펄리티	权天使	權天使	Prinzipal	Principado	Principauté	Principato	Zwierzchniość	Principado	Начало	Prenslik
1	Pale Rider	ペイルライダー	페일 라이더	苍白骑士	蒼白騎士	Bleicher Reiter	Jinete pálido	Cavalier pâle	Mietitore spettrale	Blady Jeździec	Cavaleiro da Morte	Бледный всадник	Solgun Atlı
1	Hecatoncheires	ヘカトンケイル	헤카톤케일	百臂巨人	百臂巨人	Hecatoncheires	Hecatónquiro	Hécatonchires	Hecatoncheires	Hekatonchejr	Hecatônquiros	Гекатонхейр	Hecatoncheires
1	Berith	ベリス	베리스	比利士	比利士	Berith	Berith	Berith	Berith	Berith	Berith	Берит	Berith
1	Hell Biker	ヘルズエンジェル	헬즈 엔젤	地狱天使	地獄天使	Höllenbiker	Ángel del infierno	Motard de l'Enfer	Biker infernale	Jeździec Piekieł	Motoqueiro Infernal	Адский байкер	Cehennem Motosikletlisi
1	Beelzebub	ベルゼブブ	베엘제붑	别西卜	別西卜	Beelzebub	Belcebú	Belzébuth	Belzebù	Belzebub	Belzebu	Вельзевул	Beelzebub
1	Belphegor	ベルフェゴール	벨페고르	贝尔芬格	貝爾芬格	Belphegor	Belfegor	Belphégor	Belphegor	Belfegor	Belfegor	Бельфегор	Belphegor
1	Houou	ホウオウ	봉황	凤凰	鳳凰	Houou	Houou	Houou	Houou	Houou	Houou	Хоо	Houou
1	Horus	ホルス	호루스	荷鲁斯	荷魯斯	Horus	Horus	Horus	Horus	Horus	Hórus	Гор	Horus
1	White Rider	ホワイトライダー	화이트 라이더	白骑士	白騎士	Weißer Reiter	Jinete blanco	Cavalier blanc	Mietitore bianco	Biały Jeździec	Cavaleiro da Peste	Белый всадник	Beyaz Atlı
1	Mara	マーラ	마라	魔罗	魔羅	Mara	Mara	Mara	Mara	Mara	Mara	Мара	Mara
1	Mother Harlot	マザーハーロット	마더 할롯	巴比伦大淫妇	巴比倫大淫婦	Hure Babylon	Ramera babilónica	La Courtisane	La Meretrice	Nierządnica z Babilonu	Mãe Meretriz	Блудница	Kahpe Anne
1	Masakado	マサカド	마사카도	将门	平將門	Masakado	Masakado	Masakado	Masakado	Masakado	Masakado	Масакадо	Masakado
1	Mada	マダ	마다	摩陀	摩陀	Mada	Mada	Mada	Mada	Mada	Mada	Мада	Mada
1	Matador	マタドール	마타도르	斗牛士	鬥牛士	Matador	Matador	Matador	Matador	Matador	Matador	Матадор	Matador
