flags	fieldMajor	fieldMinor	major	minor	areaNo	envID	partMin	partMax	partSelTable	enemyMin	enemyMax	strongEnemyProbability	strongEnemyMax	rareEnemyProbability	rareEnemyMax	repopNormalNormal	repopNormalStrong	repopNormalRare	repopStrongNormal	repopStrongStrong	repopStrongRare	repopRareNormal	repopRareStrong	repopRareRare	reaper	encountPack	strongEncountPack	pinchEncountPack	pinchStrongEncountPack	rareEncountPack	continousEncount1	continousEncount2	doorGroup	doorProbability	returnDevProbability	tboxMin	tboxMax	tboxType	moneyProbability	moneyMin	moneyMax	tboxPack	rareTboxPack	jewelryTboxPack	primFieldTboxPack	medal1TboxPack	medal2TboxPack	medal3TboxPack	medal4TboxPack	medal5TboxPack	medal6TboxPack	doorTboxPack	doorRareTboxPack	doorJewelryTboxPack	doorPrimFieldTboxPack	doorMedal1TboxPack	doorMedal2TboxPack	doorMedal3TboxPack	doorMedal4TboxPack	doorMedal5TboxPack	doorMedal6TboxPack	missingPersonID	missingBuildID	scrFileNo
0	0	0	0	0	1	1	6	7	11	3	3	0	0	0	0	100	0	0	100	0	0	100	0	0	0	8	0	8	0	61	7	7	1	0	0	2	3	11	25	900	1200	31	400	800	900	735	735	602	0	0	0	0	0	800	900	0	0	0	0	0	0	0	1	0
137	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	100	0	1	100	0	0	100	0	0	0	8	0	8	0	62	8	8	1	0	0	0	0	0	30	800	1300	32	400	800	900	0	0	0	0	0	0	0	0	800	900	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	1	4	5	10	2	2	0	0	5	1	100	0	0	100	0	0	100	0	0	0	9	0	9	0	62	8	8	1	0	0	1	2	18	25	500	900	32	400	800	900	735	735	603	0	0	0	0	0	800	900	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	1	6	7	11	3	3	0	0	5	1	100	0	0	100	0	0	100	0	0	0	10	0	10	0	62	9	9	1	0	0	2	3	18	25	500	900	32	400	800	900	735	735	603	0	0	0	0	0	800	900	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	1	4	5	10	2	2	0	0	5	1	100	0	0	100	0	0	100	0	0	0	11	0	11	0	62	10	10	1	0	0	1	2	12	25	500	900	32	400	800	900	735	735	603	0	0	0	0	0	800	900	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	1	4	5	10	2	2	0	0	5	1	100	0	0	100	0	0	100	0	0	0	12	0	12	0	62	11	11	1	0	0	1	2	12	25	500	900	32	400	800	900	735	735	604	0	0	0	0	0	800	900	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	1	8	10	12	5	6	0	0	5	1	100	0	0	100	0	0	100	0	0	0	13	0	13	0	62	12	12	1	0	0	3	4	3	25	500	900	32	400	800	900	735	735	604	0	0	0	0	0	800	900	0	0	0	0	0	0	0	31204	0
137	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	96	3	1	99	0	1	97	3	0	0	14	0	14	0	62	13	13	1	0	0	0	0	0	30	800	1300	32	400	800	900	0	0	0	0	0	0	0	0	800	900	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	1	4	5	10	2	2	0	0	5	1	100	0	0	100	0	0	100	0	0	0	14	0	14	0	62	14	14	1	0	0	1	2	13	25	500	900	32	400	800	900	735	735	607	0	0	0	0	0	800	900	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	1	6	7	10	3	3	0	0	5	1	100	0	0	100	0	0	100	0	0	0	15	0	15	0	62	15	15	1	0	0	2	3	13	25	500	900	32	400	800	900	735	735	607	0	0	0	0	0	800	900	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	1	8	10	12	5	6	0	0	20	1	100	0	0	100	0	0	100	0	0	0	16	0	16	0	62	16	16	1	0	0	3	4	4	25	500	900	32	400	800	900	735	735	607	0	0	0	0	0	800	900	0	0	0	0	0	0	0	31204	0
129	0	0	0	0	1	1	0	0	0	2	3	0	0	5	1	100	0	0	100	0	0	100	0	0	0	17	0	17	0	62	17	17	1	0	0	0	0	0	25	500	900	32	400	800	900	735	735	607	0	0	0	0	0	800	900	0	0	0	0	0	0	0	0	0
34	202	101	0	0	1	1	0	0	0	0	0	0	0	0	1	96	3	1	99	0	1	97	3	0	0	16	0	16	0	0	17	17	1	0	0	0	0	0	30	800	1300	32	400	800	900	0	0	0	0	0	0	0	0	800	900	0	0	0	0	0	0	0	0	0
0	0	0	0	0	2	1	6	7	22	3	3	0	0	4	1	100	0	0	100	0	0	100	0	0	0	18	33	18	33	35	17	17	23	0	0	2	3	36	25	1700	2100	41	406	800	900	736	737	616	0	0	0	7	8	800	900	0	0	0	0	0	0	0	1	0
0	0	0	0	0	2	1	4	5	20	2	2	0	0	10	1	100	0	0	100	0	0	100	0	0	0	19	33	19	33	35	17	17	23	0	0	1	2	32	25	1700	2100	41	406	800	900	736	737	616	0	0	0	7	8	800	900	0	0	0	0	0	0	0	1	0
0	0	0	0	0	2	1	4	5	21	2	2	0	0	4	1	100	0	0	100	0	0	100	0	0	0	20	33	20	33	35	18	18	23	0	0	1	2	32	25	1700	2100	41	406	800	900	736	737	616	0	0	0	7	8	800	900	0	0	0	0	0	0	0	1	0
0	0	0	0	0	2	1	8	10	24	5	6	0	0	4	1	100	0	0	100	0	0	100	0	0	0	21	33	21	33	35	19	19	23	0	0	3	4	21	25	1700	2100	41	406	800	900	736	737	616	0	0	0	9	10	800	900	0	0	0	0	0	0	0	19454	0
0	0	0	0	0	2	1	4	5	21	2	2	0	0	4	1	100	0	0	100	0	0	100	0	0	0	22	33	22	33	35	20	20	23	0	0	1	2	36	25	1700	2100	41	406	800	900	736	737	616	0	0	0	9	10	800	900	0	0	0	0	0	0	0	1	0
137	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	96	3	1	99	0	1	97	3	0	0	21	0	21	0	0	21	21	23	0	0	0	0	0	30	1700	2300	41	406	800	900	0	0	0	0	0	0	9	10	800	900	0	0	0	0	0	0	0	0	0
0	0	0	0	0	2	1	4	5	20	2	2	0	1	4	1	100	0	0	100	0	0	100	0	0	0	23	33	23	33	35	21	21	23	0	0	1	2	37	25	2000	2400	42	406	800	900	736	737	617	0	0	0	9	10	800	900	0	0	0	0	0	0	0	1	0
0	0	0	0	0	2	1	4	5	21	2	2	20	1	4	1	97	3	0	100	0	0	97	3	0	0	24	33	24	33	35	22	22	23	0	0	1	2	37	25	2000	2400	42	406	800	900	736	737	617	0	0	0	9	10	800	900	0	0	0	0	0	0	0	1	0
0	0	0	0	0	2	1	8	10	24	5	6	40	1	4	1	97	3	0	100	0	0	97	3	0	0	25	33	25	33	35	23	23	23	0	0	3	4	22	25	2000	2400	42	406	800	900	736	737	617	0	0	0	9	10	800	900	0	0	0	0	0	0	0	19454	0
0	0	0	0	0	2	1	4	5	20	2	2	20	1	25	1	97	3	0	100	0	0	97	3	0	0	26	33	26	33	35	24	24	23	0	0	1	2	31	25	2000	2400	42	406	800	900	736	737	617	0	0	0	9	10	800	900	0	0	0	0	0	0	0	1	0
0	0	0	0	0	2	1	6	7	22	3	3	20	1	4	1	97	3	0	100	0	0	97	3	0	0	27	33	27	33	35	25	25	23	0	0	2	3	31	25	2000	2400	42	406	800	900	736	737	617	0	0	0	9	10	800	900	0	0	0	0	0	0	0	1	0
129	0	0	0	0	2	1	0	0	0	4	4	50	1	4	1	97	3	0	100	0	0	97	3	0	0	28	33	28	33	35	26	26	23	0	0	0	0	0	25	2000	2400	42	406	800	900	736	737	617	0	0	0	9	10	800	900	0	0	0	0	0	0	0	0	0
9	0	0	0	0	2	1	0	0	0	0	0	20	1	0	1	96	3	1	99	0	1	97	3	0	0	28	33	28	33	0	28	28	23	0	0	0	0	0	30	1200	1600	42	406	800	900	0	0	0	0	0	0	9	10	800	900	0	0	0	0	0	0	0	0	0
137	0	0	0	0	2	1	0	0	0	0	0	20	0	0	1	96	3	1	99	0	1	97	3	0	0	29	33	29	33	0	28	28	23	0	0	0	0	0	30	1200	1600	42	406	800	900	0	0	0	0	0	0	9	10	800	900	0	0	0	0	0	0	0	0	0
0	0	0	0	0	2	1	4	5	21	2	2	20	1	4	1	97	3	0	100	0	0	97	3	0	0	29	34	29	34	35	28	28	37	0	0	1	2	33	25	1700	2100	43	406	800	900	736	737	613	0	0	0	11	12	800	900	0	0	0	0	0	0	0	1	0
0	0	0	0	0	2	1	4	5	20	2	2	20	1	10	1	97	3	0	100	0	0	97	3	0	0	30	34	30	34	35	29	29	23	0	0	1	2	38	25	1700	2100	43	406	800	900	736	737	613	0	0	0	11	12	800	900	0	0	0	0	0	0	0	1	0
0	0	0	0	0	2	1	6	7	22	3	3	30	1	4	1	97	3	0	100	0	0	97	3	0	0	31	34	31	34	35	30	30	23	0	0	2	3	33	25	1700	2100	43	406	800	900	736	737	613	0	0	0	11	12	800	900	0	0	0	0	0	0	0	1	0
0	0	0	0	0	2	1	4	5	20	2	2	0	1	4	1	97	3	0	100	0	0	97	3	0	0	32	34	32	34	35	31	31	23	0	0	1	2	33	25	1700	2100	43	406	800	900	736	737	613	0	0	0	11	12	800	900	0	0	0	0	0	0	0	1	0
0	0	0	0	0	2	1	8	10	24	5	6	100	1	4	1	97	3	0	100	0	0	97	3	0	0	36	34	36	34	35	32	32	41	0	0	3	4	24	25	1700	2100	43	406	800	900	736	737	613	0	0	0	11	12	800	900	0	0	0	0	0	0	0	19454	0
137	0	0	0	0	2	1	0	0	0	0	0	20	1	0	1	96	3	1	99	0	1	97	3	0	0	36	34	36	58	0	36	36	41	0	0	0	0	0	30	1700	2300	54	412	800	900	0	0	14	0	0	0	11	12	800	900	0	0	0	0	0	0	0	0	0
34	203	101	0	0	2	1	0	0	0	0	0	20	1	0	1	96	3	1	99	0	1	97	3	0	0	36	34	36	58	0	36	36	41	0	0	0	0	0	30	1700	2300	54	412	800	900	0	0	14	0	0	0	11	12	800	900	0	0	0	0	0	0	0	0	0
512	0	0	0	0	2	1	4	5	21	2	2	20	1	3	1	97	3	0	100	0	0	97	3	0	0	37	59	37	59	68	37	37	44	0	0	1	2	52	25	2500	2900	54	412	801	900	738	739	626	0	0	0	54	14	801	900	0	0	0	0	0	0	0	1	0
512	0	0	0	0	2	1	4	5	21	2	2	20	1	3	1	97	3	0	100	0	0	97	3	0	0	38	59	38	59	68	37	37	44	0	0	1	2	56	25	2500	2900	54	412	801	900	738	739	626	0	0	0	54	14	801	900	0	0	0	0	0	0	0	1	0
512	0	0	0	0	2	1	6	7	23	3	3	50	1	3	1	97	3	0	100	0	0	97	3	0	0	39	59	39	59	68	38	38	44	0	0	2	3	52	25	2500	2900	54	412	801	900	738	739	626	0	0	0	54	14	801	900	0	0	0	0	0	0	0	1	0
649	0	0	0	0	2	1	0	0	0	0	0	20	0	0	1	96	3	1	99	0	1	97	3	0	0	39	59	39	59	0	39	39	44	0	0	0	0	0	30	2600	3400	54	412	801	900	0	0	14	0	0	0	13	14	801	900	0	0	0	0	0	0	0	0	0
512	0	0	0	0	2	1	4	5	20	2	2	10	1	3	1	97	3	0	100	0	0	97	3	0	0	40	59	40	59	69	39	39	48	0	0	1	2	57	25	2500	2900	54	412	801	900	738	739	627	0	0	0	54	16	801	900	0	0	0	0	0	0	0	1	0
512	0	0	0	0	2	1	4	5	21	2	2	20	1	3	1	97	3	0	100	0	0	97	3	0	0	41	59	41	59	69	40	40	48	0	0	1	2	41	25	2500	2900	54	412	801	900	738	739	627	0	0	0	54	16	801	900	0	0	0	0	0	0	0	1	0
528	0	0	0	0	2	1	6	7	22	3	3	20	1	3	1	97	3	0	100	0	0	97	3	0	0	42	59	42	59	69	41	41	48	0	0	2	3	51	25	2500	2900	54	412	801	900	738	739	627	0	0	0	54	16	801	900	0	0	0	0	0	0	1	1	0
512	0	0	0	0	2	1	4	5	20	2	2	20	1	3	1	97	3	0	100	0	0	97	3	0	0	43	59	43	59	69	42	42	48	0	0	1	2	57	25	2500	2900	54	412	801	900	738	739	627	0	0	0	54	16	801	900	0	0	0	0	0	0	0	1	0
512	0	0	0	0	2	1	8	10	24	5	6	50	1	10	1	97	3	0	100	0	0	97	3	0	0	44	59	44	59	69	43	43	52	0	0	3	4	42	25	2500	2900	54	412	801	900	738	739	627	0	0	0	54	16	801	900	0	0	0	0	0	0	0	19454	0
512	0	0	0	0	2	1	5	6	21	3	4	20	1	3	1	97	3	0	100	0	0	97	3	0	0	45	59	45	59	69	44	44	52	0	0	1	3	57	25	2500	2900	54	412	801	900	738	739	627	0	0	0	54	16	801	900	0	0	0	0	0	0	0	21011	0
649	0	0	0	0	2	1	0	0	0	0	0	20	1	0	1	96	3	1	99	0	1	97	3	0	0	45	59	45	59	0	45	45	52	0	0	0	0	0	30	2600	3400	54	412	801	900	0	0	16	0	0	0	15	16	801	900	0	0	0	0	0	0	0	0	0
512	0	0	0	0	2	1	4	5	20	2	2	10	1	3	1	97	3	0	100	0	0	97	3	0	0	46	60	46	60	70	45	45	52	0	0	1	2	43	25	2700	3500	55	412	801	900	738	739	633	0	0	0	55	16	801	900	0	0	0	0	0	0	0	1	0
528	0	0	0	0	2	1	6	7	23	3	3	20	1	10	1	97	3	0	100	0	0	97	3	0	0	47	60	47	60	70	46	46	56	0	0	2	3	58	25	2700	3500	55	412	801	900	738	739	633	0	0	0	55	16	801	900	0	0	0	0	0	0	2	1	0
512	0	0	0	0	2	1	4	5	20	2	2	30	1	25	1	97	3	0	100	0	0	97	3	0	0	48	60	48	60	70	47	47	56	0	0	1	2	53	25	2700	3500	55	412	801	900	738	739	633	0	0	0	55	16	801	900	0	0	0	0	0	0	0	1	0
512	0	0	0	0	2	1	6	7	22	3	3	50	1	10	1	97	3	0	100	0	0	97	3	0	0	49	60	49	60	70	48	48	56	0	0	2	3	53	25	2700	3500	55	412	801	900	738	739	633	0	0	0	55	16	801	900	0	0	0	0	0	0	0	1	0
512	0	0	0	0	2	1	8	10	24	5	6	30	1	3	1	97	3	0	100	0	0	97	3	0	0	50	60	50	60	70	49	49	56	0	0	3	4	44	25	2700	3500	55	412	801	900	738	739	633	0	0	0	55	16	801	900	0	0	0	0	0	0	0	19454	0
649	0	0	0	0	2	1	0	0	0	0	0	20	1	0	1	96	3	1	99	0	1	97	3	0	0	50	60	50	60	75	50	50	60	0	0	0	0	0	30	2600	3400	56	412	801	900	0	0	18	0	0	0	17	18	801	900	0	0	0	0	0	0	0	0	0
512	0	0	0	0	2	1	6	7	22	3	3	10	1	3	1	97	3	0	100	0	0	97	3	0	0	51	60	51	60	71	50	50	60	0	0	2	3	54	25	2500	2900	56	412	801	900	738	739	631	0	0	0	56	18	801	900	0	0	0	0	0	0	0	1	0
512	0	0	0	0	2	1	4	5	20	2	2	20	1	3	1	97	3	0	100	0	0	97	3	0	0	52	60	52	60	71	51	51	60	0	0	1	2	54	25	2500	2900	56	412	801	900	738	739	631	0	0	0	56	18	801	900	0	0	0	0	0	0	0	1	0
512	0	0	0	0	2	1	4	5	21	2	2	20	1	3	1	97	3	0	100	0	0	97	3	0	0	53	60	53	60	71	52	52	60	0	0	1	2	59	25	2500	2900	56	412	801	900	738	739	631	0	0	0	56	18	801	900	0	0	0	0	0	0	0	1	0
528	0	0	0	0	2	1	8	10	24	5	6	30	1	3	1	97	3	0	100	0	0	97	3	0	0	54	60	54	60	71	53	53	60	0	0	3	4	45	25	2500	2900	56	412	801	900	738	739	631	0	0	0	56	18	801	900	0	0	0	0	0	0	3	19454	0
512	0	0	0	0	2	1	4	5	21	2	2	20	1	3	1	97	3	0	100	0	0	97	3	0	0	55	60	55	60	72	54	54	65	0	0	1	2	54	25	2500	2900	56	412	801	900	738	739	628	0	0	0	56	18	801	900	0	0	0	0	0	0	0	1	0
512	0	0	0	0	2	1	4	5	20	2	2	30	1	3	1	97	3	0	100	0	0	97	3	0	0	56	60	56	60	72	55	55	65	0	0	1	2	59	25	2500	2900	56	412	801	900	738	739	628	0	0	0	56	18	801	900	0	0	0	0	0	0	0	1	0
512	0	0	0	0	2	1	8	10	24	5	6	20	1	10	1	97	3	0	100	0	0	97	3	0	0	57	60	57	60	72	56	56	65	0	0	3	4	54	25	2500	2900	56	412	801	900	738	739	628	0	0	0	56	18	801	900	0	0	0	0	0	0	0	19454	0
641	0	0	0	0	2	1	0	0	0	3	4	30	1	3	1	97	3	0	100	0	0	97	3	0	0	58	60	58	60	72	57	57	65	0	0	0	0	0	25	2500	2900	56	412	801	900	738	739	0	0	0	0	56	18	801	900	0	0	0	0	0	0	0	0	0
546	203	102	0	0	2	1	0	0	0	0	0	0	0	0	0	96	3	1	99	0	1	97	3	0	0	58	60	58	60	0	58	58	69	0	0	0	0	0	25	2600	3400	56	412	800	900	0	0	18	0	0	0	17	18	800	900	0	0	0	0	0	0	0	0	0
0	0	0	0	0	3	1	6	7	32	3	3	20	1	3	1	96	3	1	99	0	1	97	3	0	0	80	98	80	98	101	80	80	69	0	0	2	3	76	25	3000	3700	66	418	802	901	740	741	639	0	0	0	66	2	802	901	0	0	0	0	0	0	0	1	0
0	0	0	0	0	3	1	4	5	30	2	2	20	1	3	1	96	3	1	99	0	1	97	3	0	0	81	98	81	98	101	80	80	69	0	0	1	2	71	25	3000	3700	66	418	802	901	740	741	639	0	0	0	66	2	802	901	0	0	0	0	0	0	0	1	0
272	0	0	0	0	3	1	4	5	30	2	2	20	1	3	1	96	3	1	99	0	1	97	3	0	0	82	98	82	98	101	81	81	69	0	0	1	2	71	25	3000	3700	66	418	802	901	740	741	639	0	0	0	66	2	802	901	0	0	0	0	0	0	21	1	0
0	0	0	0	0	3	1	4	5	30	2	2	20	1	3	1	96	3	1	99	0	1	97	3	0	0	83	98	83	98	101	82	82	73	0	0	1	2	76	25	3000	3700	66	418	802	901	740	741	640	0	0	0	66	2	802	901	0	0	0	0	0	0	0	1	0
0	0	0	0	0	3	1	5	6	31	3	4	20	1	10	1	96	3	1	99	0	1	97	3	0	0	84	98	84	98	102	83	83	73	0	0	1	3	61	25	3000	3700	66	418	802	901	740	741	640	0	0	0	66	2	802	901	0	0	0	0	0	0	0	21795	0
0	0	0	0	0	3	1	4	5	30	2	2	20	1	3	2	96	3	1	99	0	1	97	3	0	0	85	98	85	98	102	84	84	73	0	0	1	2	76	25	3000	3700	66	418	802	901	740	741	640	0	0	0	66	2	802	901	0	0	0	0	0	0	0	1	0
0	0	0	0	0	3	1	8	10	33	5	6	50	2	3	1	96	3	1	99	0	1	97	3	0	0	86	98	86	98	100	85	85	73	0	0	3	4	73	25	3000	3700	66	418	802	901	740	741	640	0	0	0	66	2	802	901	0	0	0	0	0	0	0	1	0
137	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	96	3	1	99	0	1	97	3	0	0	1	0	1	0	0	1	1	77	0	0	0	0	0	25	2000	2500	66	418	802	901	0	0	0	0	0	0	1	2	802	901	0	0	0	0	0	0	0	0	0
0	0	0	0	0	3	1	4	5	30	2	2	20	1	5	1	96	3	1	99	0	1	97	3	0	0	87	98	87	98	103	86	86	77	0	0	1	2	73	25	3300	4200	67	418	802	901	740	741	641	0	0	0	67	2	802	901	0	0	0	0	0	0	0	1	0
16	0	0	0	0	3	1	4	5	30	2	2	20	1	10	1	96	3	1	99	0	1	97	3	0	0	88	98	88	98	103	87	87	77	0	0	1	2	77	25	3300	4200	67	418	802	901	740	741	641	0	0	0	67	2	802	901	0	0	0	0	0	0	4	1	0
0	0	0	0	0	3	1	8	10	33	5	6	0	0	0	0	100	0	0	100	0	0	100	0	0	0	89	98	89	98	103	88	88	77	0	0	3	4	63	25	3300	4200	67	418	802	901	740	741	641	0	0	0	67	2	802	901	0	0	0	0	0	0	0	1	0
0	0	0	0	0	3	1	6	7	32	3	3	20	1	10	2	96	3	1	99	0	1	97	3	0	0	90	98	90	98	103	89	89	81	30	0	2	3	72	25	3300	4200	67	418	802	901	740	741	641	0	0	0	67	2	802	901	0	0	0	0	0	0	0	1	0
137	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	96	3	1	99	0	1	97	3	0	0	1	0	1	0	0	90	90	81	0	0	0	0	0	25	2600	3200	68	418	3	901	0	0	0	0	0	0	1	2	3	901	0	0	0	0	0	0	0	0	0
0	0	0	0	0	3	1	4	5	30	2	2	20	1	3	1	96	3	1	99	0	1	97	3	0	0	91	99	91	99	104	90	90	81	30	0	1	2	74	25	3000	3700	68	418	803	901	740	741	643	0	0	0	68	2	803	901	0	0	0	0	0	0	0	1	0
16	0	0	0	0	3	1	4	5	30	2	2	20	1	3	1	96	3	1	99	0	1	97	3	0	0	92	99	92	99	104	91	91	81	30	0	1	2	78	25	3000	3700	68	418	803	901	740	741	643	0	0	0	68	2	803	901	0	0	0	0	0	0	5	1	0
0	0	0	0	0	3	1	6	7	32	3	3	20	1	3	1	96	3	1	99	0	1	97	3	0	0	93	99	93	99	104	92	92	81	30	0	2	3	78	25	3000	3700	68	418	803	901	740	741	643	0	0	0	68	2	803	901	0	0	0	0	0	0	0	1	0
0	0	0	0	0	3	1	5	6	31	3	4	20	1	10	1	96	3	1	99	0	1	97	3	0	0	94	99	94	99	105	93	93	86	30	0	1	3	74	25	3000	3700	68	418	803	901	740	741	644	0	0	0	68	2	803	901	0	0	0	0	0	0	0	21795	0
0	0	0	0	0	3	1	4	5	30	2	2	20	1	3	1	96	3	1	99	0	1	97	3	0	0	95	99	95	99	105	94	94	86	30	0	1	2	74	25	3000	3700	68	418	803	901	740	741	644	0	0	0	68	2	803	901	0	0	0	0	0	0	0	1	0
272	0	0	0	0	3	1	8	10	33	5	6	50	2	3	1	96	3	1	99	0	1	97	3	0	0	96	99	96	99	100	95	95	86	30	0	3	4	64	25	3000	3700	68	418	803	901	740	741	644	0	0	0	68	2	803	901	0	0	0	0	0	0	22	1	0
129	0	0	0	0	3	1	0	0	0	4	4	20	1	3	2	96	3	1	99	0	1	97	3	0	0	97	99	97	99	100	96	96	86	30	0	0	0	0	25	3000	3700	68	418	803	901	740	741	644	0	0	0	68	2	803	901	0	0	0	0	0	0	0	0	0
9	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	96	3	1	99	0	1	97	3	0	0	1	0	1	0	0	1	1	90	0	0	0	0	0	25	2000	2500	68	418	3	4	0	0	645	0	0	0	1	2	3	4	0	0	0	0	0	0	0	0	0
141	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	96	3	1	99	0	1	97	3	0	0	1	0	1	0	0	1	1	90	0	0	0	0	0	25	2000	2500	68	418	3	4	0	0	0	0	0	0	1	2	3	4	0	0	0	0	0	0	0	0	0
34	204	101	0	0	3	1	0	0	0	0	0	0	0	0	0	96	3	1	99	0	1	97	3	0	0	1	0	1	0	0	1	1	90	0	0	0	0	0	25	2000	2500	68	418	3	4	0	0	0	0	0	0	1	2	3	4	0	0	0	0	0	0	0	0	0
512	0	0	0	0	3	1	6	7	32	3	3	20	1	2	1	96	3	1	99	0	1	97	3	0	0	110	132	110	132	134	110	110	90	30	0	2	3	81	25	3600	4500	79	424	804	902	742	743	652	0	0	0	79	2	804	902	0	0	0	0	0	0	0	1	0
512	0	0	0	0	3	1	4	5	30	2	2	20	1	2	1	96	3	1	99	0	1	97	3	0	0	111	132	111	132	134	110	110	94	0	0	1	2	81	25	3600	4500	79	424	804	902	742	743	652	0	0	0	79	2	804	902	0	0	0	0	0	0	0	1	0
512	0	0	0	0	3	1	4	5	30	2	2	20	1	2	1	96	3	1	99	0	1	97	3	0	0	112	132	112	132	134	111	111	94	30	0	1	2	96	25	3600	4500	79	424	804	902	742	743	652	0	0	0	79	2	804	902	0	0	0	0	0	0	0	1	0
512	0	0	0	0	3	1	5	6	31	2	3	20	1	2	1	96	3	1	99	0	1	97	3	0	0	113	132	113	132	134	112	112	94	30	0	1	3	91	25	3600	4500	79	424	804	902	742	743	652	0	0	0	79	2	804	902	0	0	0	0	0	0	0	21795	0
512	0	0	0	0	3	1	8	10	33	5	6	10	1	10	2	96	3	1	99	0	1	97	3	0	0	114	132	114	132	134	113	113	94	30	0	3	4	82	25	3600	4500	79	424	804	902	742	743	652	0	0	0	79	2	804	902	0	0	0	0	0	0	0	1	0
