en	desc
Omega-Power Ring	Increases strength
Omega-Vital Ring	Increases vitality
Omega-Magic Ring	Increases magic
Omega-Quick Ring	Increases agility
Omega Luck Ring	Increases luck
Phantom Ring	Increases agility in human form
Protect Ring	Increases defense in human form
Avoid Ring	Void/miss will end the enemy's turn
Rich Ring	Increases $ obtained after battle
Dual Ring	Enables two consecutive actions
Pass Ring	Pass command will not expend a turn icon
Change Ring	Revert/Transform command will not expend a turn icon
Calamity Ring	Draws the enemy's attention in battle
Shield Ring	Auto-Phys Repel when battle starts
Speedy Ring	1st person does 2x dmg; dmg down gradually thereafter
Synchro Ring	Reduces turn icons required for combos
Demon Ring	Attack command does more damage when cursed
Ether Ring	Increases HP healed when subject to healing magic
Gamble Ring	Max damage up, min damage down
Trick Ring	Auto-Sukukaja/Tarunda when battle starts
Rage Ring	Auto-Tarukaja/Rakunda when battle starts
Variable Ring	Randomizes the number of turn icons
Follow-Up Ring	Reduces turn icon loss from missed attacks
Block Ring	Reduces turn icon loss from voided attacks
Turn Ring	Adds one turn icon
Aura Ring	Increases all stats
Dragon Ring	Increases resistance to Almighty attacks
Divine Ring	Repels Expel attacks
Skull Ring	Repels Death attacks
Hee-Ho Ring	Nullifies Ice attacks
Amala Ring	Increases all stats
Argilla's Tag Ring	Argilla's tag ring from the Junkyard
Gale's Tag Ring	Gale's tag ring from the Junkyard
Cielo's Tag Ring	Cielo's tag ring from the Junkyard
Master Ring	Nullifies all attacks except Almighty
Berserker Ring	All normal battles will be in Berserk state
0x0F9	Reserve
0x0FA	Reserve
0x0FB	Reserve
0x0FC	Reserve
0x0FD	Reserve
0x0FE	Reserve
0x0FF	Reserve
