ItemDef	SortNum	ItemType	EquipID	Rarity	Tier	Strength	Magic	Endurance	Agility	Luck	SkillID	Price	SellPrice	GetFLG
IT_ACC_MAMYA_03_	0	4096	1	1	1	0	0	0	0	0	0	100000	25000	0
IT_ACC_ID_TPBAND	996	4096	4094	1	1	10	0	0	0	0	0	25000	6250	0
IT_ACC_ID_TMBAND	992	4096	4094	1	1	0	10	0	0	0	0	25000	6250	0
IT_ACC_ID_TGBAND	987	4096	4094	1	1	0	0	10	0	0	0	25000	6250	0
IT_ACC_ID_TSBAND	983	4096	4094	1	1	0	0	0	10	0	0	25000	6250	0
IT_ACC_ID_TLBAND	979	4096	4094	1	1	0	0	0	0	10	0	25000	6250	0
IT_ACC_ID_0x006_	0	4096	1	1	1	0	0	0	0	0	0	100000	25000	0
IT_ACC_ID_0x007_	0	4096	1	1	1	0	0	0	0	0	0	100000	25000	0
IT_ACC_TARUKA___	499	4096	4094	1	1	0	0	0	0	0	73	28000	7000	0
IT_ACC_RAKUKA___	498	4096	4094	1	1	0	0	0	0	0	74	28000	7000	0
IT_ACC_SUKUKA___	497	4096	4094	1	1	0	0	0	0	0	75	28000	7000	0
IT_ACC_NFBANK___	593	4096	4094	1	1	0	0	0	0	0	46	12000	3000	0
IT_ACC_HFBANK___	592	4096	4094	1	1	0	0	0	0	0	189	60000	15000	0
IT_ACC_NIBANK___	591	4096	4094	1	1	0	0	0	0	0	47	12000	3000	0
IT_ACC_HIBANK___	590	4096	4094	1	1	0	0	0	0	0	190	60000	15000	0
IT_ACC_NTBANK___	589	4096	4094	1	1	0	0	0	0	0	48	12000	3000	0
IT_ACC_HTBANK___	588	4096	4094	1	1	0	0	0	0	0	191	60000	15000	0
IT_ACC_NWBANK___	587	4096	4094	1	1	0	0	0	0	0	49	12000	3000	0
IT_ACC_HWBANK___	586	4096	4094	1	1	0	0	0	0	0	192	60000	15000	0
IT_ACC_ISSHOU___	419	4096	4094	1	1	0	0	0	0	0	162	1000	250	0
IT_ACC_PUMPKIN_M	583	4096	4094	1	1	0	5	0	0	0	51	1000	250	0
IT_ACC_MTARUKA__	495	4096	4094	1	1	0	0	0	0	0	219	84000	21000	0
IT_ACC_MRAKUKA__	494	4096	4094	1	1	0	0	0	0	0	220	84000	21000	0
IT_ACC_MSUKUKA__	493	4096	4094	1	1	0	0	0	0	0	221	84000	21000	0
IT_ACC_HIRI_A___	496	4096	4094	1	1	0	0	0	0	0	222	26000	6500	0
IT_ACC_ID_0x00D_	0	4096	1	1	1	0	0	0	0	0	0	1000	250	0
IT_ACC_BUTURI_01	693	4096	4094	1	1	0	0	0	0	0	118	50000	12500	0
IT_ACC_MAZOKU___	679	4096	4094	1	1	0	0	0	0	0	139	50000	12500	0
IT_ACC_ZANGEK_01	699	4096	4094	1	1	0	0	0	0	0	109	8000	2000	0
IT_ACC_ZANGEK_02	698	4096	4094	1	1	0	0	0	0	0	111	40000	10000	0
IT_ACC_DAGEKI_01	697	4096	4094	1	1	0	0	0	0	0	112	8000	2000	0
IT_ACC_DAGEKI_02	696	4096	4094	1	1	0	0	0	0	0	114	40000	10000	0
IT_ACC_KANTU__01	695	4096	4094	1	1	0	0	0	0	0	115	8000	2000	0
IT_ACC_KANTU__02	694	4096	4094	1	1	0	0	0	0	0	117	40000	10000	0
IT_ACC_ENZOKU___	691	4096	4094	1	1	0	0	0	0	0	121	8000	2000	0
IT_ACC_ENJI_H___	690	4096	4094	1	1	0	0	0	0	0	123	40000	10000	0
IT_ACC_HYOUZO___	689	4096	4094	1	1	0	0	0	0	0	124	8000	2000	0
IT_ACC_HYOU_H___	688	4096	4094	1	1	0	0	0	0	0	126	40000	10000	0
IT_ACC_FUZOKU___	685	4096	4094	1	1	0	0	0	0	0	130	8000	2000	0
IT_ACC_FUJI_H___	684	4096	4094	1	1	0	0	0	0	0	132	40000	10000	0
IT_ACC_RAIZOK___	687	4096	4094	1	1	0	0	0	0	0	127	8000	2000	0
IT_ACC_RAIJ_H___	686	4096	4094	1	1	0	0	0	0	0	129	40000	10000	0
IT_ACC_BUJIN____	692	4096	4094	1	1	0	0	0	0	0	120	400	100	0
IT_ACC_UJATO____	678	4096	4094	1	1	0	0	0	0	0	141	400	100	0
IT_ACC_KASIAS___	677	4096	4094	1	1	0	0	0	0	0	171	400	100	0
IT_ACC_KOUZOKU__	683	4096	4094	1	1	0	0	0	0	0	133	8000	2000	0
IT_ACC_KOUJIN___	682	4096	4094	1	1	0	0	0	0	0	135	40000	10000	0
IT_ACC_YAMIZOKU_	681	4096	4094	1	1	0	0	0	0	0	136	8000	2000	0
IT_ACC_YAMIJIN___	680	4096	4094	1	1	0	0	0	0	0	138	40000	10000	0
IT_ACC_ID_0x014_	0	4096	1	1	1	0	0	0	0	0	0	16000	4000	0
IT_ACC_ZANMUS___	749	4096	4094	1	1	0	0	0	0	0	177	80000	20000	0
IT_ACC_DAMUSE___	748	4096	4094	1	1	0	0	0	0	0	178	80000	20000	0
IT_ACC_KANMUS___	747	4096	4094	1	1	0	0	0	0	0	179	80000	20000	0
IT_ACC_ENHEKI___	746	4096	4094	1	1	0	0	0	0	0	180	80000	20000	0
IT_ACC_HYOUHE___	745	4096	4094	1	1	0	0	0	0	0	181	80000	20000	0
IT_ACC_RAIHEK___	744	4096	4094	1	1	0	0	0	0	0	182	80000	20000	0
IT_ACC_FUHEKI___	743	4096	4094	1	1	0	0	0	0	0	183	80000	20000	0
IT_ACC_SKOURI___	742	4096	4094	1	1	0	0	0	0	0	184	80000	20000	0
IT_ACC_KKOURI___	741	4096	4094	1	1	0	0	0	0	0	185	80000	20000	0
IT_ACC_FUROSU___	715	4096	4094	1	1	0	0	0	0	0	64	12500	3130	0
IT_ACC_RAIJIN___	713	4096	4094	1	1	0	0	0	0	0	65	12500	3130	0
IT_ACC_ARIKON___	728	4096	4094	1	1	0	0	0	0	0	71	8000	2000	0
IT_ACC_SAIREN___	722	4096	4094	1	1	0	0	0	0	0	66	8000	2000	0
IT_ACC_FUDOUN___	724	4096	4094	1	1	0	0	0	0	0	68	8000	2000	0
IT_ACC_SAKYUB___	726	4096	4094	1	1	0	0	0	0	0	69	8000	2000	0
IT_ACC_NIGHTM___	720	4096	4094	1	1	0	0	0	0	0	67	8000	2000	0
IT_ACC_KIBOUN___	717	4096	4094	1	1	0	0	0	0	0	70	8000	2000	0
IT_ACC_KETUIN___	710	4096	4094	1	1	0	0	0	0	0	196	75000	18750	0
IT_ACC_ZENNOU___	740	4096	4094	1	1	0	0	0	0	0	172	500000	125000	0
IT_ACC_BUHITO___	479	4096	4094	1	1	0	0	0	0	0	52	16000	4000	0
IT_ACC_BUKAMI___	478	4096	4094	1	1	0	0	0	0	0	53	40000	10000	0
IT_ACC_SINYA____	477	4096	4094	1	1	0	0	0	0	0	54	80000	20000	0
IT_ACC_BENKEI___	676	4096	4094	1	1	0	0	0	0	0	173	100000	25000	0
IT_ACC_N_VISION_	719	4096	4094	1	1	0	0	0	0	0	67	1600	400	0
IT_ACC_H_HACHIMA	711	4096	4094	1	1	0	0	0	0	0	195	440	110	0
IT_ACC_KYUSOKU_K	709	4096	4094	1	1	0	0	0	0	0	197	40000	10000	0
IT_ACC_SYUNKAN_K	708	4096	4094	1	1	0	0	0	0	0	198	60000	15000	0
IT_ACC_ID_0x019_	0	4096	1	1	1	0	0	0	0	0	0	633000	158250	0
IT_ACC_DAITI____	469	4096	4094	1	1	0	0	0	0	0	163	16000	4000	0
IT_ACC_TIKYU____	468	4096	4094	1	1	0	0	0	0	0	164	32000	8000	0
IT_ACC_UCHU_____	467	4096	4094	1	1	0	0	0	0	0	165	48000	12000	0
IT_ACC_HOUSI____	458	4096	4094	1	1	0	0	0	0	0	166	16000	4000	0
IT_ACC_DOUSI____	457	4096	4094	1	1	0	0	0	0	0	167	32000	8000	0
IT_ACC_SENNIN___	456	4096	4094	1	1	0	0	0	0	0	168	48000	12000	0
IT_ACC_FELTDL___	459	4096	4094	1	1	0	0	0	0	0	166	400	100	2
IT_ACC_KONJOU___	0	4096	4094	1	1	0	0	0	0	0	0	400	100	2
IT_ACC_FUKUTU___	645	4096	4094	1	1	0	0	0	0	0	201	84000	21000	0
IT_ACC_AMIBA____	649	4096	4094	1	1	0	0	0	0	0	217	28000	7000	0
IT_ACC_ROZARI___	648	4096	4094	1	1	0	0	0	0	0	215	28000	7000	0
IT_ACC_SEIKAN_TR	647	4096	4094	1	1	0	0	0	0	0	218	10000	2500	0
IT_ACC_ID_0x01B_	0	4096	1	1	1	0	0	0	0	0	0	4	0	0
IT_ACC_ID_0x01C_	0	4096	1	1	1	0	0	0	0	0	0	4	0	0
IT_ACC_ID_0x01D_	0	4096	1	1	1	0	0	0	0	0	0	4	0	0
IT_ACC_ID_0x01E_	0	4096	1	1	1	0	0	0	0	0	0	4	0	0
IT_ACC_PLATIN___	389	4096	4094	1	1	0	0	0	0	0	0	16000	4000	2
IT_ACC_HAKKYO___	429	4096	4094	1	1	0	0	0	0	0	202	100000	25000	0
IT_ACC_ARUAJI___	428	4096	4094	1	1	0	0	0	0	0	203	100000	25000	0
IT_ACC_DORAUP___	0	4096	1	1	1	0	0	0	0	0	0	176000	44000	0
IT_ACC_OOKUMA___	508	4096	4094	1	1	0	0	0	0	0	205	30000	7500	0
IT_ACC_TOUSI____	509	4096	4094	1	1	0	0	0	0	0	204	30000	7500	0
IT_ACC_ID_HOISSU	0	4096	1	1	1	0	0	0	0	0	0	176000	44000	0
IT_ACC_ID_AIZOME	0	4096	1	1	1	0	0	0	0	0	0	80000	20000	0
IT_ACC_HP10UP___	899	4096	4094	1	1	0	0	0	0	0	1	3000	750	0
IT_ACC_HP20UP___	898	4096	4094	1	1	0	0	0	0	0	2	6000	1000	0
IT_ACC_HP30UP___	897	4096	4094	1	1	0	0	0	0	0	3	9000	2250	0
IT_ACC_HP40UP___	896	4096	4094	1	1	0	0	0	0	0	4	15000	3750	0
IT_ACC_HP50UP___	895	4096	4094	1	1	0	0	0	0	0	5	25000	6250	0
IT_ACC_HP100UP__	894	4096	4094	1	1	0	0	0	0	0	6	40000	10000	0
IT_ACC_SP10UP___	849	4096	4094	1	1	0	0	0	0	0	7	5000	1250	0
IT_ACC_SP20UP___	848	4096	4094	1	1	0	0	0	0	0	8	10000	2500	0
IT_ACC_SP30UP___	847	4096	4094	1	1	0	0	0	0	0	9	20000	5000	0
IT_ACC_SP40UP___	846	4096	4094	1	1	0	0	0	0	0	10	50000	12500	0
IT_ACC_SP50UP___	845	4096	4094	1	1	0	0	0	0	0	11	100000	25000	0
IT_ACC_SP100UP__	843	4096	4094	1	1	0	0	0	0	0	12	98000	24500	0
IT_ACC_EXP15PUP_	409	4096	4094	1	1	0	0	0	0	0	143	100000	25000	0
IT_ACC_EXP15PUP2	408	4096	4094	1	1	0	0	0	0	0	142	300000	75000	0
IT_ACC_ID_0x033_	0	4096	1	1	1	0	0	0	0	0	0	4	0	0
IT_ACC_ID_0x034_	0	4096	1	1	1	0	0	0	0	0	0	4	0	0
IT_ACC_ID_TENSIN	0	4096	1	1	1	0	0	0	0	0	0	16000	4000	0
IT_ACC_ID_DATENS	0	4096	1	1	1	0	0	0	0	0	0	16000	4000	0
IT_ACC_ID_SILVER	0	4096	1	1	1	0	0	0	0	0	0	16000	4000	0
IT_ACC_ID_OMAMOR	0	4096	1	1	1	0	0	0	0	0	0	600	150	0
IT_ACC_ID_BOKUTO	0	4096	1	1	1	0	0	0	0	0	0	600	150	0
IT_ACC_ID_KINKAK	0	4096	1	1	1	0	0	0	0	0	0	600	150	0
IT_ACC_ID_0x095_	712	4096	4094	1	1	0	0	0	0	0	72	8000	2000	0
IT_ACC_ID_0x096_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x097_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x098_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x099_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0A0_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0A1_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0A2_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0A3_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_RES_TOUKE	716	4096	4094	1	1	0	0	0	0	0	55	2000	500	0
IT_ACC_RES_KANDE	714	4096	4094	1	1	0	0	0	0	0	56	2000	500	0
IT_ACC_RES_POISO	729	4096	4094	1	1	0	0	0	0	0	62	3000	750	0
IT_ACC_RES_PANIC	723	4096	4094	1	1	0	0	0	0	0	57	3000	750	0
IT_ACC_RES_UPSET	725	4096	4094	1	1	0	0	0	0	0	59	2000	500	0
IT_ACC_RES_CHARM	727	4096	4094	1	1	0	0	0	0	0	60	3000	750	0
IT_ACC_RES_FEAR_	721	4096	4094	1	1	0	0	0	0	0	58	3000	750	0
IT_ACC_RES_ANGER	718	4096	4094	1	1	0	0	0	0	0	61	3000	750	0
IT_ACC_ID_0x0AC_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0AD_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0AE_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0AF_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0B0_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_RIS_TOUKE	0	4096	4094	1	1	0	0	0	0	0	0	3500	880	2
IT_ACC_RIS_KANDE	0	4096	4094	1	1	0	0	0	0	0	0	3500	880	2
IT_ACC_RIS_POISO	0	4096	4094	1	1	0	0	0	0	0	0	3500	880	2
IT_ACC_RIS_PANIC	546	4096	4094	1	1	0	0	0	0	0	208	3500	880	0
IT_ACC_RIS_UPSET	545	4096	4094	1	1	0	0	0	0	0	210	3500	880	0
IT_ACC_RIS_CHARM	0	4096	4094	1	1	0	0	0	0	0	0	3500	880	2
IT_ACC_RIS_FEAR_	543	4096	4094	1	1	0	0	0	0	0	209	3500	880	0
IT_ACC_RIS_ANGER	0	4096	4094	1	1	0	0	0	0	0	0	3500	880	2
IT_ACC_RIS_KIZET	541	4096	4094	1	1	0	0	0	0	0	233	12000	3000	0
IT_ACC_ID_0x0BA_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0BB_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0BC_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0BD_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0BE_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0BF_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0C0_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0C1_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0C2_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0C3_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0C4_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0C5_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0C6_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0C7_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ANT_ZA_01	799	4096	4094	1	1	0	0	0	0	0	76	7000	1750	0
IT_ACC_ANT_ZA_02	798	4096	4094	1	1	0	0	0	0	0	77	15000	3750	0
IT_ACC_ANT_ZA_03	797	4096	4094	1	1	0	0	0	0	0	78	30000	7500	0
IT_ACC_ANT_DA_01	796	4096	4094	1	1	0	0	0	0	0	79	7000	1750	0
IT_ACC_ANT_DA_02	795	4096	4094	1	1	0	0	0	0	0	80	15000	3750	0
IT_ACC_ANT_DA_03	794	4096	4094	1	1	0	0	0	0	0	81	30000	7500	0
IT_ACC_ANT_TU_01	793	4096	4094	1	1	0	0	0	0	0	82	7000	1750	0
IT_ACC_ANT_TU_02	792	4096	4094	1	1	0	0	0	0	0	83	15000	3750	0
IT_ACC_ANT_TU_03	791	4096	4094	1	1	0	0	0	0	0	84	30000	7500	0
IT_ACC_ANT_BU_01	790	4096	4094	1	1	0	0	0	0	0	85	7000	1750	0
IT_ACC_ANT_BU_02	789	4096	4094	1	1	0	0	0	0	0	86	15000	3750	0
IT_ACC_ANT_BU_03	788	4096	4094	1	1	0	0	0	0	0	87	30000	7500	0
IT_ACC_ANT_KA_01	787	4096	4094	1	1	0	0	0	0	0	88	7000	1750	0
IT_ACC_ANT_KA_02	786	4096	4094	1	1	0	0	0	0	0	89	15000	3750	0
IT_ACC_ANT_KA_03	785	4096	4094	1	1	0	0	0	0	0	90	30000	7500	0
IT_ACC_ANT_HY_01	784	4096	4094	1	1	0	0	0	0	0	91	7000	1750	0
IT_ACC_ANT_HY_02	783	4096	4094	1	1	0	0	0	0	0	92	15000	3750	0
IT_ACC_ANT_HY_03	782	4096	4094	1	1	0	0	0	0	0	93	30000	7500	0
IT_ACC_ANT_DE_01	781	4096	4094	1	1	0	0	0	0	0	94	7000	1750	0
IT_ACC_ANT_DE_02	780	4096	4094	1	1	0	0	0	0	0	95	15000	3750	0
IT_ACC_ANT_DE_03	779	4096	4094	1	1	0	0	0	0	0	96	30000	7500	0
IT_ACC_ANT_SI_01	778	4096	4094	1	1	0	0	0	0	0	97	7000	1750	0
IT_ACC_ANT_SI_02	777	4096	4094	1	1	0	0	0	0	0	98	15000	3750	0
IT_ACC_ANT_SI_03	776	4096	4094	1	1	0	0	0	0	0	99	30000	7500	0
IT_ACC_ANT_SY_01	775	4096	4094	1	1	0	0	0	0	0	100	7000	1750	0
IT_ACC_ANT_SY_02	774	4096	4094	1	1	0	0	0	0	0	101	15000	3750	0
IT_ACC_ANT_SY_03	773	4096	4094	1	1	0	0	0	0	0	102	30000	7500	0
IT_ACC_ANT_ZY_01	772	4096	4094	1	1	0	0	0	0	0	103	7000	1750	0
IT_ACC_ANT_ZY_02	771	4096	4094	1	1	0	0	0	0	0	104	15000	3750	0
IT_ACC_ANT_ZY_03	770	4096	4094	1	1	0	0	0	0	0	105	30000	7500	0
IT_ACC_ANT_MG_01	769	4096	4094	1	1	0	0	0	0	0	106	7000	1750	0
IT_ACC_ANT_MG_02	768	4096	4094	1	1	0	0	0	0	0	107	15000	3750	0
IT_ACC_ANT_MG_03	767	4096	4094	1	1	0	0	0	0	0	108	30000	7500	0
IT_ACC_ID_0x0E9_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0EA_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0EB_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0EC_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0ED_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0EE_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0EF_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_NSBANK___	585	4096	4094	1	1	0	0	0	0	0	50	12000	3000	0
IT_ACC_HSBANK___	584	4096	4094	1	1	0	0	0	0	0	193	60000	15000	0
IT_ACC_NYBANK___	582	4096	4094	1	1	0	0	0	0	0	51	12000	3000	0
IT_ACC_HYBANK___	581	4096	4094	1	1	0	0	0	0	0	194	60000	15000	0
IT_ACC_NZBANK___	599	4096	4094	1	1	0	0	0	0	0	43	12000	3000	0
IT_ACC_HZBANK___	598	4096	4094	1	1	0	0	0	0	0	186	60000	15000	0
IT_ACC_NDBANK___	597	4096	4094	1	1	0	0	0	0	0	44	12000	3000	0
IT_ACC_HDBANK___	596	4096	4094	1	1	0	0	0	0	0	187	60000	15000	0
IT_ACC_NKBANK___	595	4096	4094	1	1	0	0	0	0	0	45	12000	3000	0
IT_ACC_HKBANK___	594	4096	4094	1	1	0	0	0	0	0	188	60000	15000	0
IT_ACC_ID_0x0FA_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0FB_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0FC_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0FD_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0FE_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x0FF_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x100_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x101_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x102_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x103_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_REDWAL___	492	4096	4094	1	1	0	0	0	0	0	223	10000	2500	0
IT_ACC_BLUWAL___	491	4096	4094	1	1	0	0	0	0	0	224	10000	2500	0
IT_ACC_YELWAL___	490	4096	4094	1	1	0	0	0	0	0	225	10000	2500	0
IT_ACC_GRNWAL___	489	4096	4094	1	1	0	0	0	0	0	226	10000	2500	0
IT_ACC_SHIFT_SP5	439	4096	4094	1	1	0	0	0	0	0	174	12000	3000	0
IT_ACC_MITSU_P01	988	4096	4094	1	1	0	0	5	0	0	0	6400	1600	0
IT_ACC_MITSU_P02	977	4096	4094	1	1	3	3	3	3	3	0	10800	2700	0
IT_ACC_MITSU_P03	580	4096	4094	1	1	0	0	0	0	0	230	14200	3550	0
IT_ACC_MITSU_P04	644	4096	4094	1	1	0	0	0	0	0	201	20000	5000	2
IT_ACC_BOKO_UP__	579	4096	4094	1	1	0	0	0	0	0	175	34000	8500	0
IT_ACC_CHIHIRO_K	844	4096	4094	1	1	0	0	0	0	0	11	400	100	2
IT_ACC_BLACK_PEA	708	4096	4094	1	1	0	0	0	0	0	255	500000	125000	0
IT_ACC_HEMATITE_	646	4096	4094	1	1	0	0	0	0	0	200	200000	50000	0
IT_ACC_ID_0x111_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x112_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x113_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x114_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x115_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x116_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x117_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_SYOKI_MET	389	4096	2048	1	1	0	0	0	0	0	0	3000	750	0
IT_ACC_MET_PROFI	900	4096	128	1	1	0	0	0	0	0	231	400	100	2
IT_ACC_ID_0x11A_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x11B_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x11C_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x11D_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x11E_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x11F_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x120_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x121_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x122_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x123_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x124_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x125_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x126_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x127_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x128_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x129_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
IT_ACC_ID_0x12A_	0	4096	1	1	1	0	0	0	0	0	0	1	0	0
