ItemDef	SortNum	ItemType	EquipID	Rarity	Tier	Defence	Strength	Magic	Endurance	Agility	Luck	SkillID	Price	SellPrice	GetFLG
IT_ARM_PIXELVEST	345	1024	1306	1	1	69	0	0	0	0	0	7	9320	2330	0
IT_ARM_DISCHARMT	495	1024	1406	1	1	99	0	0	0	0	0	60	13500	3380	0
IT_ARM_HOT_BLOOD	260	1024	1406	1	1	52	0	0	0	0	0	55	7700	1930	0
IT_ARM_UNDERSUTA	650	1024	8	1	1	130	0	0	0	0	0	4	5300	1330	0
IT_ARM_RELIFEAM_	770	1024	1406	1	1	154	0	0	0	0	0	67	24000	6000	0
IT_ARM_ZENNOU_M_	1430	1024	1406	1	1	286	6	0	0	0	0	3	44200	11050	0
IT_ARM_ANGEL_AM_	1385	1024	1406	1	1	277	0	0	0	0	0	0	49750	12440	0
IT_ARM_BALISTIC_	930	1024	1406	1	1	186	0	0	0	0	0	85	30400	7600	0
IT_ARM_HEROCLOAK	1120	1024	256	1	1	224	0	0	0	0	0	66	37000	9250	0
IT_ARM_PASSION_B	925	1024	16	1	1	185	0	0	0	0	0	125	29600	7400	0
IT_ARM_WATERARM_	1250	1024	1406	1	1	250	0	0	0	0	0	90	43400	10850	0
IT_ARM_BOJIN_J__	650	1024	1306	1	1	130	0	0	0	0	0	77	19200	4800	0
IT_ARM_MAJINAI_R	650	1024	100	1	1	130	0	5	0	0	0	0	19800	4950	0
IT_ARM_PLATEMAIL	700	1024	1406	1	1	140	0	0	0	0	0	63	21300	5330	0
IT_ARM_TOUGYU_MA	925	1024	1406	1	1	185	0	0	0	0	0	139	30100	7530	0
IT_ARM_ARMADAV__	790	1024	100	1	1	158	0	0	0	0	0	166	24800	6200	0
IT_ARM_ROBUST___	1425	1024	1406	1	1	285	0	0	0	0	0	78	51000	12750	0
IT_ARM_WINDSCARF	1000	1024	32	1	1	200	0	0	0	0	0	183	31900	7980	0
IT_ARM_ANORAK___	380	1024	1406	1	1	76	0	0	0	0	0	88	10000	2500	0
IT_ARM_AEGS_01__	625	1024	128	1	1	125	0	0	0	0	0	0	17700	4430	0
IT_ARM_AEGS_02__	505	1024	128	1	1	101	2	0	0	0	0	0	14400	3600	0
IT_ARM_AEGS_03__	765	1024	128	1	1	153	0	0	0	0	0	0	24450	6110	0
IT_ARM_AEGS_04__	810	1024	128	1	1	162	0	2	0	0	0	79	20100	5030	0
IT_ARM_AEGS_05__	920	1024	128	1	1	184	0	0	0	0	0	0	30300	7580	0
IT_ARM_AEGS_06__	990	1024	128	1	1	198	0	0	0	5	0	0	26100	6530	0
IT_ARM_AEGS_07__	1085	1024	128	1	1	217	0	0	0	0	0	0	38400	9600	0
IT_ARM_AEGS_08__	1125	1024	128	1	1	225	0	0	0	0	0	76	32500	8130	0
IT_ARM_AEGS_09__	1250	1024	128	1	1	250	0	0	0	0	0	0	45450	11360	0
IT_ARM_AEGS_10__	1290	1024	128	1	1	258	5	0	0	0	0	9	40400	10100	0
IT_ARM_AEGS_11__	1650	1024	128	1	1	330	0	0	0	0	0	0	61500	15380	0
IT_ARM_AEGS_12__	1725	1024	128	1	1	345	0	0	0	5	0	95	55100	13780	0
IT_ARM_AEGS_13__	2000	1024	128	1	1	400	0	0	0	0	0	255	73200	18300	0
IT_ARM_AEGS_14__	0	1024	1	0	0	0	0	0	0	0	0	0	0	0	0
IT_ARM_AEGS_15__	1405	1024	128	1	1	281	0	0	0	0	0	0	53200	13300	0
IT_ARM_AEGS_16__	1450	1024	128	1	1	290	0	0	0	0	0	59	47600	11900	0
IT_ARM_AEGS_17__	685	1024	128	1	1	137	0	0	0	0	0	118	20800	5200	0
IT_ARM_DOG_01____	750	1024	512	1	1	150	0	0	0	0	0	200	24800	6200	0
IT_ARM_DOG_02____	735	1024	512	1	1	147	0	0	0	0	0	0	21950	5490	0
IT_ARM_DOG_03____	780	1024	512	1	1	156	0	0	2	0	0	127	18400	4600	0
IT_ARM_DOG_04____	885	1024	512	1	1	177	0	0	0	0	0	0	27300	6830	0
IT_ARM_DOG_05____	955	1024	512	1	1	191	0	0	0	0	3	133	24200	6050	0
IT_ARM_DOG_06____	1045	1024	512	1	1	209	0	0	0	0	0	0	33200	8300	0
IT_ARM_DOG_07____	1085	1024	512	1	1	217	0	4	0	0	0	8	29000	7250	0
IT_ARM_DOG_08____	1215	1024	512	1	1	243	0	0	0	0	0	0	39700	9930	0
IT_ARM_DOG_09____	1255	1024	512	1	1	251	0	0	0	5	0	3	35300	8830	0
IT_ARM_DOG_10____	1110	1024	512	1	1	222	0	0	0	0	0	249	36800	9200	0
IT_ARM_DOG_11____	1625	1024	512	1	1	325	0	0	0	0	0	0	55000	13750	0
IT_ARM_DOG_12____	1695	1024	512	1	1	339	0	5	0	0	0	6	49400	12350	0
IT_ARM_DOG_13____	1900	1024	512	1	1	380	0	0	5	0	0	184	70100	17530	0
IT_ARM_DOG_14____	1370	1024	512	1	1	274	0	0	0	0	0	0	47200	11800	0
IT_ARM_DOG_15____	1415	1024	512	1	1	283	0	0	0	0	0	58	42100	10530	0
IT_ARM_DOG_16____	1275	1024	512	1	1	255	0	0	0	0	0	231	40200	10050	0
IT_ARM_DOG_17____	1725	1024	512	1	1	345	0	0	0	0	0	253	66300	16580	0
IT_ARM_DOG_18____	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_FUK_01____	0	1024	1	1	1	90	0	0	0	0	0	0	10000	2500	0
IT_ARM_FUK_02____	0	1024	1	1	1	80	0	0	0	0	0	0	14000	3500	0
IT_ARM_FUK_03____	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_FUK_04____	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_FUK_05____	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_FUK_06____	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_FUK_07____	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_FUK_08____	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_FUK_09____	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_FUK_10____	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_FUK_11____	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_FUK_12____	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_FUK_13____	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_FUK_14____	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_FUK_15____	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_BUSHI_HAO	1100	1024	1306	1	1	220	0	0	0	0	0	111	35000	8750	0
IT_ARM_DUFFEL_P_	1410	1024	100	1	1	282	0	0	0	0	0	6	52400	13100	0
IT_ARM_ARMY_BEST	610	1024	1406	1	1	122	0	0	0	0	0	0	16500	4130	0
IT_ARM_DEVIL_INN	0	1024	100	1	1	100	0	0	0	0	0	0	400	100	2
IT_ARM_DAITENGU_	1175	1024	1406	1	1	235	0	0	0	0	0	226	40200	10050	0
IT_ARM_YOUSEI_MA	1200	1024	1306	1	1	240	0	0	0	0	0	107	41900	10480	0
IT_ARM_BLACK_TAI	1725	1024	100	1	1	345	0	0	0	0	0	198	64200	16050	0
IT_ARM_HELL_KIZO	1730	1024	1406	1	1	345	0	0	0	0	0	196	65100	16280	0
IT_ARM_YE_DRESS_	1400	1024	100	1	1	280	0	0	0	0	0	96	51600	12900	0
IT_ARM_JACKTHE_J	600	1024	2	1	1	120	0	0	0	0	0	181	15700	3930	0
IT_ARM_FLAME_FLA	600	1024	4	1	1	120	0	0	0	0	0	180	16200	4050	0
IT_ARM_RUNEVEST_	1275	1024	1406	1	1	255	0	0	0	0	0	135	41800	10450	0
IT_ARM_ID_0x07F_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x080_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x081_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x082_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x083_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x084_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x085_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x086_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x087_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x088_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x089_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x08A_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x08B_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x08C_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x08D_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x08E_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x08F_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x090_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x091_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x092_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x093_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x094_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_AEGS_18__	825	1024	128	1	1	165	0	0	0	0	0	53	24800	6200	0
IT_ARM_AEGS_19__	1100	1024	128	1	1	220	0	0	0	0	0	5	36200	9050	0
IT_ARM_AEGS_20__	1295	1024	128	1	1	259	0	0	0	0	0	86	45600	11400	0
IT_ARM_AEGS_21__	1800	1024	128	1	1	360	0	0	0	0	0	231	67200	16800	0
IT_ARM_ID_0x099_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x09A_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x09B_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x09C_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x09D_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_ID_0x09E_	0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
IT_ARM_SYOKI_MET	405	1024	2048	1	1	81	0	0	0	0	0	0	10500	2630	0
IT_ARM_METIS_01_	620	1024	2048	1	1	124	0	0	0	0	0	0	17200	4300	0
IT_ARM_METIS_02_	505	1024	2048	1	1	101	2	0	0	0	0	0	14400	3600	0
IT_ARM_METIS_03_	755	1024	2048	1	1	151	0	0	0	0	0	0	23950	5990	0
IT_ARM_METIS_04_	800	1024	2048	1	1	160	0	0	2	0	0	82	20100	5030	0
IT_ARM_METIS_05_	910	1024	2048	1	1	182	0	0	0	0	0	0	29300	7330	0
IT_ARM_METIS_06_	980	1024	2048	1	1	196	0	5	0	0	0	0	25600	6400	0
IT_ARM_METIS_07_	1285	1024	2048	1	1	257	0	0	0	0	0	107	43600	10900	0
IT_ARM_METIS_08_	1990	1024	2048	1	1	398	0	0	0	0	0	78	72200	18050	0
IT_ARM_METIS_09_	1775	1024	2048	1	1	355	0	0	0	0	0	235	66200	16550	0
IT_ARM_METIS_10_	1110	1024	2048	1	1	222	0	0	0	0	0	80	31800	7950	0
IT_ARM_METIS_11_	1070	1024	2048	1	1	214	0	0	0	0	0	0	37400	9350	0
IT_ARM_METIS_12_	1240	1024	2048	1	1	248	0	0	0	0	0	0	43450	10860	0
IT_ARM_METIS_13_	1280	1024	2048	1	1	256	0	5	0	0	0	9	38400	9600	0
IT_ARM_METIS_14_	1395	1024	2048	1	1	279	0	0	0	0	0	0	51200	12800	0
IT_ARM_METIS_15_	1575	1024	2048	1	1	315	0	0	0	0	0	0	59500	14880	0
IT_ARM_METIS_16_	665	1024	2048	1	1	133	0	0	0	0	0	235	19300	4830	0
IT_ARM_METIS_17_	815	1024	2048	1	1	163	0	0	0	0	0	53	23800	5950	0
IT_ARM_METIS_18_	1085	1024	2048	1	1	217	0	0	0	0	0	5	34200	8550	0
IT_ARM_METIS_19_	1440	1024	2048	1	1	288	0	0	0	0	0	57	45600	11400	0
IT_ARM_METIS_20_	1615	1024	2048	1	1	323	0	0	0	0	0	89	53100	13280	0
IT_ARM_KAZMNT__b	796	1024	1406	1	1	159	0	0	0	0	0	2	19900	4980	0
IT_ARM_KAZMNT__c	797	1024	1406	1	1	159	0	0	0	0	0	74	19900	4980	0
IT_ARM_HIDMNT__b	971	1024	1406	1	1	194	0	0	0	0	0	224	25300	6330	0
IT_ARM_HIDMNT__c	972	1024	1406	1	1	194	0	0	0	0	0	69	25300	6330	0
IT_ARM_KUUKES__b	1091	1024	1406	1	1	218	0	0	0	0	0	106	31400	7850	0
IT_ARM_KUUKES__c	1092	1024	1406	1	1	218	0	0	0	0	0	10	31400	7850	0
IT_ARM_KUUKES__d	1093	1024	1406	1	1	218	0	0	0	0	0	143	31400	7850	0
IT_ARM_MTLCAM__b	1271	1024	1406	1	1	254	0	0	0	0	0	11	37300	9330	0
IT_ARM_MTLCAM__c	1272	1024	1406	1	1	254	0	0	0	0	0	208	37300	9330	0
IT_ARM_MTLCAM__d	1273	1024	1406	1	1	254	0	0	0	0	0	175	37300	9330	0
IT_ARM_ZENNOU_Mb	1431	1024	1406	1	1	286	0	0	0	0	0	12	44200	11050	0
IT_ARM_ZENNOU_Mc	1432	1024	1406	1	1	286	0	0	0	0	0	90	44200	11050	0
IT_ARM_ZENNOU_Md	1433	1024	1406	1	1	286	0	0	0	0	0	200	44200	11050	0
IT_ARM_DMNSKN__b	1661	1024	1406	1	1	332	0	0	0	0	0	203	51500	12880	0
IT_ARM_DMNSKN__c	1662	1024	1406	1	1	332	0	0	0	0	0	215	51500	12880	0
IT_ARM_DMNSKN__d	1663	1024	1406	1	1	332	0	0	0	0	0	142	51500	12880	0
IT_ARM_AEGS_04_b	811	1024	128	1	1	162	0	0	0	0	0	8	20100	5030	0
IT_ARM_AEGS_04_c	812	1024	128	1	1	162	0	0	0	0	0	207	20100	5030	0
IT_ARM_AEGS_06_b	991	1024	128	1	1	198	0	0	0	0	0	72	26100	6530	0
IT_ARM_AEGS_06_c	992	1024	128	1	1	198	0	0	0	0	0	143	26100	6530	0
IT_ARM_AEGS_08_b	1126	1024	128	1	1	225	0	0	0	0	0	227	32500	8130	0
IT_ARM_AEGS_08_c	1127	1024	128	1	1	225	0	0	0	0	0	53	32500	8130	0
IT_ARM_AEGS_08_d	1128	1024	128	1	1	225	0	0	0	0	0	251	32500	8130	0
IT_ARM_AEGS_10_b	1291	1024	128	1	1	258	0	0	0	0	0	198	40400	10100	0
IT_ARM_AEGS_10_c	1292	1024	128	1	1	258	0	0	0	0	0	42	40400	10100	0
IT_ARM_AEGS_10_d	1293	1024	128	1	1	258	0	0	0	0	0	201	40400	10100	0
IT_ARM_AEGS_16_b	1451	1024	128	1	1	290	0	0	0	0	0	198	47600	11900	0
IT_ARM_AEGS_16_c	1452	1024	128	1	1	290	0	0	0	0	0	185	47600	11900	0
IT_ARM_AEGS_16_d	1453	1024	128	1	1	290	0	0	0	0	0	142	47600	11900	0
IT_ARM_AEGS_12_b	1726	1024	128	1	1	345	0	0	0	0	0	248	55100	13780	0
IT_ARM_AEGS_12_c	1727	1024	128	1	1	345	0	0	0	0	0	199	55100	13780	0
IT_ARM_AEGS_12_d	1728	1024	128	1	1	345	0	0	0	0	0	171	55100	13780	0
IT_ARM_DOG_03__b	781	1024	512	1	1	156	0	0	0	0	0	8	18400	4600	0
IT_ARM_DOG_03__c	782	1024	512	1	1	156	0	0	0	0	0	143	18400	4600	0
IT_ARM_DOG_05__b	956	1024	512	1	1	191	0	0	0	0	0	3	24200	6050	0
IT_ARM_DOG_05__c	957	1024	512	1	1	191	0	0	0	0	0	213	24200	6050	0
IT_ARM_DOG_07__b	1086	1024	512	1	1	217	0	0	0	0	0	10	29000	7250	0
IT_ARM_DOG_07__c	1087	1024	512	1	1	217	0	0	0	0	0	101	29000	7250	0
IT_ARM_DOG_07__d	1088	1024	512	1	1	217	0	0	0	0	0	41	29000	7250	0
IT_ARM_DOG_09__b	1256	1024	512	1	1	251	0	0	0	0	0	11	35300	8830	0
IT_ARM_DOG_09__c	1257	1024	512	1	1	251	0	0	0	0	0	53	35300	8830	0
IT_ARM_DOG_09__d	1258	1024	512	1	1	251	0	0	0	0	0	142	35300	8830	0
IT_ARM_DOG_15__b	1416	1024	512	1	1	283	0	0	0	0	0	214	42100	10530	0
IT_ARM_DOG_15__c	1417	1024	512	1	1	283	0	0	0	0	0	12	42100	10530	0
IT_ARM_DOG_15__d	1418	1024	512	1	1	283	0	0	0	0	0	250	42100	10530	0
IT_ARM_DOG_12__b	1696	1024	512	1	1	339	0	0	0	0	0	203	49400	12350	0
IT_ARM_DOG_12__c	1697	1024	512	1	1	339	0	0	0	0	0	184	49400	12350	0
IT_ARM_DOG_12__d	1698	1024	512	1	1	339	0	0	0	0	0	204	49400	12350	0
IT_ARM_METIS_04b	801	1024	2048	1	1	160	0	0	0	0	0	2	20100	5030	0
IT_ARM_METIS_04c	802	1024	2048	1	1	160	0	0	0	0	0	143	20100	5030	0
IT_ARM_METIS_06b	981	1024	2048	1	1	196	0	0	0	0	0	3	25600	6400	0
IT_ARM_METIS_06c	982	1024	2048	1	1	196	0	0	0	0	0	43	25600	6400	0
IT_ARM_METIS_10b	1111	1024	2048	1	1	222	0	0	0	0	0	4	31800	7950	0
IT_ARM_METIS_10c	1112	1024	2048	1	1	222	0	0	0	0	0	74	31800	7950	0
IT_ARM_METIS_10d	1113	1024	2048	1	1	222	0	0	0	0	0	44	31800	7950	0
IT_ARM_METIS_13b	1281	1024	2048	1	1	256	0	0	0	0	0	5	38400	9600	0
IT_ARM_METIS_13c	1282	1024	2048	1	1	256	0	0	0	0	0	206	38400	9600	0
IT_ARM_METIS_13d	1283	1024	2048	1	1	256	0	0	0	0	0	142	38400	9600	0
IT_ARM_METIS_19b	1441	1024	2048	1	1	288	0	0	0	0	0	6	45600	11400	0
IT_ARM_METIS_19c	1442	1024	2048	1	1	288	0	0	0	0	0	41	45600	11400	0
IT_ARM_METIS_19d	1443	1024	2048	1	1	288	0	0	0	0	0	211	45600	11400	0
IT_ARM_METIS_20b	1616	1024	2048	1	1	323	0	0	0	0	0	54	53100	13280	0
IT_ARM_METIS_20c	1617	1024	2048	1	1	323	0	0	0	0	0	65	53100	13280	0
IT_ARM_METIS_20d	1618	1024	2048	1	1	323	0	0	0	0	0	202	53100	13280	0
IT_ARM_ID_TEST46	0	1024	1	1	1	105	0	0	0	0	0	0	1	0	0
IT_ARM_ID_TEST47	0	1024	1	1	1	105	0	0	0	0	0	0	1	0	0
IT_ARM_ID_TEST48	0	1024	1	1	1	105	0	0	0	0	0	0	1	0	0
IT_ARM_ID_TEST49	0	1024	1	1	1	105	0	0	0	0	0	0	1	0	0
IT_ARM_ID_TEST50	0	1024	1	1	1	105	0	0	0	0	0	0	1	0	0
IT_ARM_ID_TEST51	0	1024	1	1	1	105	0	0	0	0	0	0	1	0	0
IT_ARM_ID_TEST52	0	1024	1	1	1	105	0	0	0	0	0	0	1	0	0
IT_ARM_ID_TEST53	0	1024	1	1	1	105	0	0	0	0	0	0	1	0	0
IT_ARM_ID_TEST54	0	1024	1	1	1	105	0	0	0	0	0	0	1	0	0
IT_ARM_ID_TEST55	0	1024	1	1	1	105	0	0	0	0	0	0	1	0	0
IT_ARM_ID_TEST56	0	1024	1	1	1	105	0	0	0	0	0	0	1	0	0
