ID	type	stFlag0	stFlag1	stFlag2	stFlag3	edFlag0	edFlag1	edFlag2	edFlag3	nItemID0	nItemID1	nItemID2	nItemID3	nItemID4	nItemNum0	nItemNum1	nItemNum2	nItemNum3	nItemNum4	nDevilID0	nDevilID1	nDevilID2	nKatana0	nKatana1	nKatana2	nKatana3	nKatana4	nKatana5	encountID0	encountID1	encountID2	rItemID0	rItemID1	rItemID2	rItemID3	rItemID4	rItemNum0	rItemNum1	rItemNum2	rItemNum3	rItemNum4	rDevilFlag0	rDevilFlag1	rMoney	rKatana	category
10	0	12361	12363	12365	12367	12362	12364	12366	12368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0	0	0	0	0	0	0	0	0	0	0	0	0	2
11	0	12369	12371	12373	12375	12370	12372	12374	12376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
12	0	12377	12379	12381	12383	12378	12380	12382	12384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530	0	0	31	0	0	0	0	1	0	0	0	0	0	0	0	0	3
13	0	12385	12387	12389	12391	12386	12388	12390	12392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
14	0	12393	12395	12397	12399	12394	12396	12398	12400	456	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	20	21	22	0	1	1	1	1	0	0	0	0	0	4
15	0	12401	12403	12405	12407	12402	12404	12406	12408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	531	0	0	145	0	0	0	0	1	0	0	0	0	0	0	0	0	4
16	0	12409	12411	12413	12415	12410	12412	12414	12416	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	76	77	78	0	0	1	1	1	0	0	0	0	0	0	4
17	0	12417	12419	12421	12423	12418	12420	12422	12424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	0	0	0	4
18	0	12425	12427	12429	12431	12426	12428	12430	12432	0	0	0	0	0	0	0	0	0	0	0	0	0	153	152	154	0	0	0	0	0	0	145	0	0	0	0	1	0	0	0	0	0	0	0	0	5
19	0	12433	12435	12437	12439	12434	12436	12438	12440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	537	0	0	6	0	0	0	0	1	0	0	0	0	2688	0	0	0	5
20	0	12441	12443	12445	12447	12442	12444	12446	12448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	0	0	0	0	0	0	0	0	0	0	0	0	0	5
21	0	12449	12451	12453	12455	12450	12452	12454	12456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408	0	0	0	0	0	0	0	0	0	0	0	0	0	6
22	0	12457	12459	12461	12463	12458	12460	12462	12464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	532	0	0	24	25	26	27	0	1	1	1	1	0	0	0	0	0	6
23	0	12465	12467	12469	12471	12466	12468	12470	12472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0	0	1	0	0	0	0	2333	0	0	0	7
24	0	12473	12475	12477	12479	12474	12476	12478	12480	0	0	0	0	0	0	0	0	0	0	5	341	346	0	0	0	0	0	0	0	0	0	145	0	0	0	0	1	0	0	0	0	0	0	0	0	7
25	0	12481	12483	12485	12487	12482	12484	12486	12488	457	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3200	0	8
26	0	12489	12491	12493	12495	12490	12492	12494	12496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	29	30	0	0	1	1	1	0	0	0	0	0	0	8
27	0	12497	12499	12501	12503	12498	12500	12502	12504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447	0	0	0	0	1	0	0	0	0	0	0	0	0	9
28	0	12505	12507	12509	12511	12506	12508	12510	12512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0	10
29	0	12513	12515	12517	12519	12514	12516	12518	12520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	1	0	0	0	0	2335	0	0	0	10
30	0	12521	12523	12525	12527	12522	12524	12526	12528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
31	0	12529	12531	12533	12535	12530	12532	12534	12536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	1	0	0	0	0	2334	0	0	0	11
32	0	12537	12539	12541	12543	12538	12540	12542	12544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2800	0	11
33	0	12545	12547	12549	12551	12546	12548	12550	12552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2800	0	11
34	0	12553	12555	12557	12559	12554	12556	12558	12560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	1	0	0	0	0	0	0	0	0	11
35	0	12561	12563	12565	12567	12562	12564	12566	12568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534	0	0	753	0	0	0	0	1	0	0	0	0	2689	0	0	0	12
36	0	12569	12571	12573	12575	12570	12572	12574	12576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	0	0	0	0	0	0	0	0	0	0	0	0	0	12
37	0	12577	12579	12581	12583	12578	12580	12582	12584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7800	0	12
38	0	12585	12587	12589	12591	12586	12588	12590	12592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7800	0	12
39	0	12593	12595	12597	12599	12594	12596	12598	12600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449	0	0	0	0	1	0	0	0	0	0	0	0	0	12
40	0	12601	12603	12605	12607	12602	12604	12606	12608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	753	752	0	0	0	1	4	0	0	0	2691	0	0	0	13
41	0	12609	12611	12613	12615	12610	12612	12614	12616	0	0	0	0	0	0	0	0	0	0	383	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	1	0	0	0	0	0	0	0	0	13
42	0	12617	12619	12621	12623	12618	12620	12622	12624	0	0	0	0	0	0	0	0	0	0	0	0	0	170	171	168	167	173	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
43	0	12625	12627	12629	12631	12626	12628	12630	12632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	0	0	0	0	1	0	0	0	0	2343	0	0	0	13
44	0	12633	12635	12637	12639	12634	12636	12638	12640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	1	0	0	0	0	2690	0	0	0	14
45	0	12641	12643	12645	12647	12642	12644	12646	12648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	1	0	0	0	0	2336	0	0	0	15
