Metatron	1	Shadow of God	0
Beelzebub	1	Fly of the Dead	0
Samael	0	Missionary of Depravity	0
Maria	1	Heavenly Punisher	0
Vohu Manah	1	Dark Sun	0
Cait Sith	0	RESERVE	0
Mishaguji	1	She of Life and Death	0
???	0	RESERVE	0
???	0	Scandalous Queen	0
RESERVE	0	Spear-Wielding General	0
RESERVE	0	Pagan Savior	0
RESERVE	0	Bringer of Misfortune	0
RESERVE	0	Raging Bird God	0
RESERVE	0	Thunder Emperor	0
RESERVE	0	Spear-Wielding General	0
RESERVE	0	Harlot of Desire	0
RESERVE	0	Bedside Brute	0
RESERVE	0	Monk of the Valley	0
RESERVE	0	Battle Fiend	0
RESERVE	0	Awakened God	0
RESERVE	0	Shadow Makigami	0
RESERVE	0	Chivalrous Fiend	0
RESERVE	0	Corpse Bird	0
RESERVE	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P6 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
Izanagi-no-Okami	0	RESERVE	0
Psyche	0	RESERVE	0
Athena	0	RESERVE	0
Raoul	0	RESERVE	0
Orpheus Telos	0	RESERVE	0
Orpheus	0	RESERVE	0
Izanagi-no-Okami Pic.	0	RESERVE	0
Psyche Picaro	0	RESERVE	0
Athena Picaro	0	RESERVE	0
Neo Arsene Picaro	0	RESERVE	0
Orpheus Telos Picaro	0	RESERVE	0
Orpheus Picaro	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
P5 Unused	0	RESERVE	0
Macabre	1	Dancer of Death	1	972
Alilat	1	Decadent False God	1	2150
Thunderbird	1	Storm-Invoking Ptarmigan	1	498
Fafnir	1	Evil Voracious Dragon	1	9000
Byakhee	1	Evil Synthetic Organism	1	981
Hastur	1	Warped Abyss	1	2300
Tam Lin	1	Trembling Fairy Knight	0
Throne	1	Fire Assassin	1	9500
Surt	1	Burning Giant	0
Loa	1	Dream-Dwelling Skull	1	953
Chimera	1	Deformed Lion God	1	998
Atavaka	1	Infuriated Wisdom King	1	1785
Cait Sith	1	Hunting Puss in Boots	1	132
Siegfried	1	Dragon-slaying Genius	0
P5 Unused	0	Guard Dog of Hades	0
P5 Unused	0	Decadent False God	0
???	0	???	0
???	0	???	0
???	0	???	0
???	0	???	0
???	0	???	0
???	0	???	0
???	0	???	0
???	0	???	0
???	0	???	0
???	0	???	0
???	0	???	0
???	0	P3 Orpheus	0
???	0	P4 Izanagi	0
???	0	P3 Thanatos	0
???	0	P3 Messiah	0
???	0	P3 Attis	0
???	0	P3 Siegfried	0
???	0	P4 Kohryu	0
???	0	P4 Kaguya	0
???	0	P4 Sraosha	0
???	0	P4 Yoshitsune	0
???	0	P4 Izanagi-no-Okami	0
RESERVE	0	Pagan Savior	0
RESERVE	0	RESERVE	0
