UnknownHP	UnknownSP	MakotoHP	MakotoSP	YukariHP	YukariSP	JunpeiHP	JunpeiSP	AkihikoHP	AkihikoSP	MitsuruHP	MitsuruSP	FuukaHP	FuukaSP	AigisHP	AigisSP	KenHP	KenSP	KoromaruHP	KoromaruSP	ShinjiroHP	ShinjiroSP
1	1	275	183	245	207	281	168	309	179	260	210	223	205	283	152	253	152	307	179	302	156
1	1	280	187	249	212	287	170	315	182	265	215	226	209	288	155	258	156	313	183	310	158
1	1	285	192	253	216	293	173	321	185	270	220	229	213	293	158	263	160	319	187	317	160
1	1	290	195	257	221	298	175	327	188	275	225	232	217	298	161	268	163	325	191	324	162
1	1	295	199	261	225	303	177	332	191	279	230	235	220	303	164	273	166	331	195	331	164
1	1	300	202	265	230	308	180	337	194	284	235	238	224	308	167	278	169	337	199	338	166
1	1	304	206	269	234	313	182	342	197	288	239	241	227	313	170	283	172	343	203	345	168
1	1	309	210	273	239	318	184	347	200	293	244	244	231	318	173	287	175	349	207	352	170
1	1	313	214	277	243	323	187	352	203	297	248	247	234	323	176	291	178	355	211	359	172
1	1	318	218	281	248	328	189	357	206	302	253	250	238	328	178	295	181	361	214	366	174
1	1	322	220	285	252	333	191	362	209	306	257	253	241	333	181	299	184	367	217	373	176
1	1	327	224	289	257	338	194	367	212	311	262	256	245	338	183	303	187	373	220	380	178
1	1	331	228	293	261	343	196	371	215	315	266	259	248	343	186	307	189	378	223	386	180
1	1	336	231	297	266	348	198	375	218	320	271	262	251	348	188	311	192	383	226	392	182
1	1	340	235	301	270	353	201	379	221	324	275	265	254	353	191	315	195	388	229	398	184
1	1	345	239	304	275	358	203	383	224	328	280	268	257	358	193	319	197	393	232	404	186
1	1	349	242	308	279	363	205	387	227	332	284	270	260	363	196	323	200	398	235	410	188
1	1	354	245	311	284	368	208	391	230	336	289	272	263	368	198	327	203	403	238	416	189
1	1	358	249	315	288	373	210	395	233	340	293	274	266	373	201	331	205	408	241	422	190
1	1	363	252	318	292	378	212	399	236	344	297	276	269	377	203	335	208	413	244	428	192
1	1	367	255	322	296	383	215	403	239	348	301	278	272	382	206	339	211	418	247	434	193
1	1	372	258	325	300	388	217	407	242	352	305	280	275	386	208	343	213	423	250	440	194
1	1	376	262	328	304	393	219	411	245	356	309	282	278	391	210	347	216	428	253	446	196
1	1	381	265	331	308	398	221	415	248	360	313	284	281	395	212	350	219	433	256	452	197
1	1	385	268	334	312	403	223	419	251	364	317	286	284	400	214	353	221	438	259	458	198
1	1	390	271	337	316	408	225	423	253	367	321	288	287	404	216	356	224	443	262	464	200
1	1	394	275	340	320	413	227	427	255	371	325	290	290	409	218	359	227	448	265	470	201
1	1	399	277	343	324	418	229	431	258	374	329	292	293	413	220	362	229	453	268	476	202
1	1	403	281	346	328	423	231	435	260	378	333	294	296	418	222	365	232	458	271	482	204
1	1	407	283	349	332	428	233	439	262	381	336	296	299	422	224	368	235	463	274	488	205
1	1	411	287	352	336	433	235	443	265	385	340	298	302	427	226	371	237	468	277	494	206
1	1	415	290	355	339	438	237	447	267	388	343	300	305	431	228	374	240	473	280	500	208
1	1	419	293	358	342	443	239	451	269	392	347	302	308	436	230	377	243	478	283	506	209
1	1	423	296	361	345	449	241	455	272	395	350	304	311	440	232	380	245	483	286	512	210
1	1	427	298	364	348	455	243	459	274	399	354	306	314	445	234	383	248	488	289	518	212
1	1	431	302	367	351	461	245	463	276	402	357	308	317	449	236	386	251	493	292	524	213
1	1	435	305	370	354	467	247	467	279	406	361	310	320	454	238	389	253	498	295	530	214
1	1	439	307	373	357	473	249	471	281	409	364	312	323	458	240	392	256	503	298	536	215
1	1	443	311	375	360	479	251	475	283	413	368	314	326	463	242	395	259	508	301	542	216
1	1	447	314	378	363	485	253	479	285	416	371	316	329	467	244	398	261	512	304	548	217
1	1	451	316	380	366	491	255	483	287	420	375	318	332	471	246	401	264	517	307	554	218
1	1	455	319	383	369	497	257	487	289	423	378	320	335	475	248	404	267	521	310	560	219
1	1	458	323	385	372	503	258	491	291	426	382	322	337	479	251	407	269	526	313	566	220
1	1	462	325	388	375	509	260	495	293	429	385	323	339	483	254	410	272	530	316	572	221
1	1	465	328	390	378	514	262	499	295	432	389	324	341	487	258	413	275	535	319	578	222
1	1	469	330	393	381	520	263	503	297	435	392	325	343	491	261	416	277	539	321	584	223
1	1	472	333	395	384	525	265	507	299	438	396	326	345	495	264	419	280	544	324	590	224
1	1	476	337	397	387	531	267	511	301	441	399	327	347	499	268	422	283	548	327	596	225
1	1	479	339	399	390	536	268	515	303	444	403	328	349	503	271	425	285	553	329	602	226
1	1	483	342	401	393	542	270	519	305	447	406	329	351	507	274	428	288	557	332	608	227
1	1	486	345	403	396	547	272	523	307	450	410	330	353	511	278	431	291	562	335	614	228
1	1	490	347	405	399	553	273	527	309	453	413	331	355	515	281	434	293	566	337	620	229
1	1	493	350	407	402	558	275	531	311	456	417	332	357	519	284	437	296	571	340	625	230
1	1	496	352	409	405	564	277	535	313	459	420	333	359	523	287	440	299	575	343	630	231
1	1	499	355	411	408	569	278	539	315	462	423	334	361	527	290	443	302	580	345	635	232
1	1	502	358	413	411	573	280	543	317	465	426	335	363	531	293	446	305	584	348	640	233
1	1	505	362	415	414	577	282	547	319	468	429	336	365	535	296	449	308	589	351	645	234
1	1	508	364	417	417	581	283	551	321	471	432	337	367	539	298	451	311	593	353	650	235
1	1	511	367	419	420	585	285	555	323	474	435	338	369	543	301	454	314	598	356	655	236
1	1	514	369	421	423	589	287	559	325	477	438	339	371	547	303	456	317	602	359	660	237
1	1	517	372	423	426	593	288	563	327	480	441	340	373	551	306	459	320	607	361	665	238
1	1	520	375	425	429	597	290	567	329	483	444	341	375	555	308	461	323	611	364	670	239
1	1	523	377	427	432	601	292	571	331	486	447	342	377	559	311	464	326	616	367	675	240
1	1	526	380	429	435	605	293	575	333	489	450	343	378	563	313	466	329	620	369	680	241
1	1	529	383	431	438	609	295	579	335	492	453	344	380	567	316	469	332	624	372	685	242
1	1	532	384	433	440	612	297	583	337	495	456	345	381	571	318	471	335	628	375	690	243
1	1	535	387	435	442	616	298	587	339	498	459	346	383	575	321	474	338	632	377	695	244
1	1	538	389	437	444	619	300	591	341	501	462	347	384	579	323	476	341	636	380	700	245
1	1	541	392	439	446	623	302	595	343	504	465	348	386	583	326	479	344	640	383	705	246
1	1	544	395	441	448	626	303	599	345	507	468	349	387	587	328	481	348	644	385	710	247
1	1	547	397	443	450	630	305	603	347	510	471	350	389	591	331	484	352	648	388	715	248
1	1	550	400	445	452	633	307	607	349	513	474	351	390	595	333	486	356	652	391	720	249
