AISYOHELP_000	Aisho Help 000
AISYOHELP_0D5	Weak:phys/force \nNull:death Drain:fire
AISYOHELP_0D6	Weak:death \nStrong:phys/ice/force
AISYOHELP_0D7	Weak:ice Drain:fire
AISYOHELP_0D8	Weak:ice Drain:fire
AISYOHELP_0D9	Weak:fire Strong:ice/elec
AISYOHELP_0DA	Weak:fire Strong:ice/elec
AISYOHELP_0DB	Weak:ice
AISYOHELP_0DC	Weak:fire Strong:ice/mind \nNull:death
AISYOHELP_0DD	Weak:elec Strong:mind \nDrain:death
AISYOHELP_0DE	Weak:elec Strong:phys
AISYOHELP_0DF	Weak:fire Strong:force \nNull:elec
AISYOHELP_0E0	Weak:phys/force \nNull:death Drain:fire
AISYOHELP_0E1	Weak:elec Strong:mind \nDrain:force
AISYOHELP_0E2	Weak:ice/force Null:death
AISYOHELP_0E3	Weak:elec Drain:death
AISYOHELP_0E4	Weak:fire/force \nNull:death Drain:ice
AISYOHELP_0E5	Weak:elec Drain:force
AISYOHELP_0E6	Weak:fire Strong:ice/mind \nNull:death
AISYOHELP_0E7	Weak:ice Null:fire
AISYOHELP_0E8	Weak:force \nNull:phys/mind/death
AISYOHELP_0E9	Weak:fire Strong:ice/elec
AISYOHELP_0EA	Weak:force/death \nStrong:phys/elec
AISYOHELP_0EB	Weak:fire/force \nStrong:phys/ice Null:death
AISYOHELP_0EC	Weak:ice Null:phys
AISYOHELP_0ED	Aisho Help 0ED
AISYOHELP_0EE	Aisho Help 0EE
AISYOHELP_0EF	Aisho Help 0EF
AISYOHELP_0F0	Aisho Help 0F0
AISYOHELP_0F1	Aisho Help 0F1
AISYOHELP_0F2	Weak:phys \nNull:fire/ice/elec/force/\ndeath Drain:mind
AISYOHELP_0F3	Weak:ice Null:phys
AISYOHELP_0F4	Weak:force
AISYOHELP_0F5	Aisho Help 0F5
AISYOHELP_0F6	Aisho Help 0F6
AISYOHELP_0F7	Aisho Help 0F7
AISYOHELP_0F8	Aisho Help 0F8
AISYOHELP_0F9	Aisho Help 0F9
AISYOHELP_0FA	Aisho Help 0FA
AISYOHELP_0FB	Aisho Help 0FB
AISYOHELP_0FC	Aisho Help 0FC
AISYOHELP_0FD	Aisho Help 0FD
AISYOHELP_0FE	Aisho Help 0FE
AISYOHELP_0FF	Aisho Help 0FF
AISYOHELP_100	Aisho Help 100
AISYOHELP_101	Aisho Help 101
AISYOHELP_102	Aisho Help 102
AISYOHELP_103	Aisho Help 103
AISYOHELP_104	Aisho Help 104
AISYOHELP_105	Weak:all
AISYOHELP_106	Weak:elec \nfire/ice/force \nNull:gun/death
AISYOHELP_107	Weak:all
AISYOHELP_108	Weak:force \nNull:phys/mind/death
AISYOHELP_109	Aisho Help 109
AISYOHELP_10A	Aisho Help 10A
AISYOHELP_10B	Weak:ice Strong:mind \nNull:gun/elec/death
AISYOHELP_10C	Weak:fire Strong:ice/elec \nNull:death
AISYOHELP_10D	Weak:ice Strong:fire/elec \nNull:death
AISYOHELP_10E	Normal resistance
AISYOHELP_10F	Normal resistance
AISYOHELP_110	Strong:fire Null:death
AISYOHELP_111	Strong:fire Null:death
AISYOHELP_112	Strong:fire Null:death
AISYOHELP_113	Strong:phys Null:mind
AISYOHELP_114	Strong:phys Null:mind
AISYOHELP_115	Strong:phys Null:mind
AISYOHELP_116	Strong:phys Null:mind
AISYOHELP_117	Strong:phys Null:mind
AISYOHELP_118	Strong:phys Null:mind
AISYOHELP_119	Strong:phys Null:mind
AISYOHELP_11A	Null:mind
AISYOHELP_11B	Null:mind
AISYOHELP_11C	Null:mind
AISYOHELP_11D	Weak:ice Null:death Drain:force
AISYOHELP_11E	Weak:elec Null:death Drain:force
AISYOHELP_11F	Aisho Help 11F
AISYOHELP_120	Weak:phys/death Strong:gun \nNull:mind Drain:force
AISYOHELP_121	Weak:fire Null:death Drain:force
AISYOHELP_122	Weak:elec Null:fire/death
AISYOHELP_123	Weak:fire/ice/elec/force \nStrong:phys Null:gun/death
AISYOHELP_124	Normal resistance
AISYOHELP_125	Weak:ice/force
AISYOHELP_126	Normal resistance
AISYOHELP_127	Aisho Help 127
AISYOHELP_128	Aisho Help 128
AISYOHELP_129	Weak:elec Null:fire/death
AISYOHELP_12A	Weak:fire/force
AISYOHELP_12B	Strong:fire Null:death
AISYOHELP_12C	Weak:elec \nStrong:fire/ice/force \nNull:gun/death
AISYOHELP_12D	Weak:all
AISYOHELP_12E	Weak:all
AISYOHELP_12F	Weak:force Strong:phys \nNull:gun Drain:ice
AISYOHELP_130	Weak:ice Strong:fire/elec \nNull:death
AISYOHELP_131	Weak:fire Strong:ice/elec \nNull:death
AISYOHELP_132	Weak:fire Null:death Drain:force
AISYOHELP_133	Weak:elec Null:death Drain:force
AISYOHELP_134	Weak:ice Null:death Drain:force
AISYOHELP_135	Weak:phys/death Strong:gun \nNull:mind Drain:force
AISYOHELP_136	Weak:ice Strong:mind \nNull:gun/elec/death
AISYOHELP_137	Strong:phys Null:mind
AISYOHELP_138	Aisho Help 138
AISYOHELP_139	Aisho Help 139
AISYOHELP_13A	Aisho Help 13A
AISYOHELP_13B	Aisho Help 13B
AISYOHELP_13C	Aisho Help 13C
AISYOHELP_13D	Aisho Help 13D
AISYOHELP_13E	Aisho Help 13E
AISYOHELP_13F	Aisho Help 13F
AISYOHELP_140	Aisho Help 140
AISYOHELP_141	Aisho Help 141
AISYOHELP_142	Aisho Help 142
AISYOHELP_143	Aisho Help 143
AISYOHELP_144	Aisho Help 144
AISYOHELP_145	Aisho Help 145
AISYOHELP_146	Aisho Help 146
AISYOHELP_147	Aisho Help 147
AISYOHELP_148	Aisho Help 148
AISYOHELP_149	Aisho Help 149
AISYOHELP_14A	Aisho Help 14A
AISYOHELP_14B	Aisho Help 14B
AISYOHELP_14C	Aisho Help 14C
AISYOHELP_14D	Aisho Help 14D
AISYOHELP_14E	Aisho Help 14E
AISYOHELP_14F	Aisho Help 14F
AISYOHELP_150	Normal resistance
AISYOHELP_151	Strong:fire
AISYOHELP_152	Strong:ice
AISYOHELP_153	Strong:elec
AISYOHELP_154	Strong:force
AISYOHELP_155	Strong:phys
AISYOHELP_156	Strong:death
AISYOHELP_157	Strong:mind
AISYOHELP_158	Aisho Help 158
AISYOHELP_159	Aisho Help 159
AISYOHELP_15A	Aisho Help 15A
AISYOHELP_15B	Aisho Help 15B
AISYOHELP_15C	Aisho Help 15C
AISYOHELP_15D	Aisho Help 15D
AISYOHELP_15E	Aisho Help 15E
AISYOHELP_15F	Aisho Help 15F
