en	desc
Old Underwear	A garment favored by virgins \nlong ago.
Item 04F	Item help 04F
Normal	Power: 12
Heavy	Power: 25
Fatal	Power: 40
Fire	Power: 6  Extra effect: Burn
Ice	Power: 6  Extra effect: Freeze
Elec	Power: 6  Extra effect: Shock
Force	Power: 6  Extra effect: Impede
Phys	Power: 6  Extra effect: Dizzy
Death	Power: 6  Extra effect: Stun
Charm	Power: 8  Extra effect: Charm
Sleep	Power: 8  Extra effect: Sleep
Panic	Power: 8  Extra effect: Panic
Mute	Power: 8  Extra effect: Mute
Poison	Power: 8  Extra effect: Poison
Stone	Power: 8  Extra effect: Stone
Item 05F	Item help 05F
Normal Clip	Increases Normal Bullet capacity
Heavy Clip	Increases Heavy Bullet capacity
Fatal Clip	Increases Fatal Bullet capacity
Fire Clip	Increases Fire Bullet capacity
Ice Clip	Increases Ice Bullet capacity
Elec Clip	Increases Elec Bullet capacity
Force Clip	Increases Force Bullet capacity
Phys Clip	Increases Phys Bullet capacity
Death Clip	Increases Death Bullet capacity
Charm Clip	Increases Charm Bullet capacity
Sleep Clip	Increases Sleep Bullet capacity
Panic Clip	Increases Panic Bullet capacity
Mute Clip	Increases Mute Bullet capacity
Poison Clip	Increases Poison Bullet capacity
Stone Clip	Increases Stone Bullet capacity
Aurora Clip	An infinite supply of Normal Bullets
Youtou Kuzunoha	Item help 070
Nameless Gun	Item help 071
Prototype Gun	Item help 072
Item 073	Item help 073
Item 074	Item help 074
Item 075	Item help 075
Item 076	Item help 076
Item 077	Item help 077
Item 078	Item help 078
Item 079	Item help 079
Item 07A	Item help 07A
Item 07B	Item help 07B
Item 07C	Item help 07C
Item 07D	Item help 07D
Item 07E	Item help 07E
Item 07F	Item help 07F
Valhalla Soda	Strangely-colored soda. \nDrinking it has mysterious effects.
Magical Soda	Strangely-colored soda. \nDrinking it has mysterious effects.
Muscle Soda	Strangely-colored soda. \nDrinking it has mysterious effects.
Miracle Soda	Strangely-colored soda. \nDrinking it has mysterious effects.
Doctor Soda	Strangely-colored soda. \nDrinking it has mysterious effects.
Dragon Soda	Strangely-colored soda. \nDrinking it has mysterious effects.
Mandra Soda	Strangely-colored soda. \nDrinking it has mysterious effects.
Valhalla Nectar	Strangely-colored soda. \nDrinking it has mysterious effects.
Magical Nectar	Strangely-colored soda. \nDrinking it has mysterious effects.
Muscle Nectar	Strangely-colored soda. \nDrinking it has mysterious effects.
Miracle Nectar	Strangely-colored soda. \nDrinking it has mysterious effects.
Elixir Pop	Strangely-colored soda. \nDrinking it has mysterious effects.
Midas Pop	Strangely-colored soda. \nDrinking it has mysterious effects.
Harvest Pop	Strangely-colored soda. \nDrinking it has mysterious effects.
Deus Pop	Strangely-colored soda. \nDrinking it has mysterious effects.
Item 08F	Item help 08F
Butterfly Brooch	A brooch dropped by the kidnapped girl
Photo of Kaya	A photo of Kaya Daidouji
Kaya's Diary	Kaya Daidouji's diary
Lucky Charm	An old charm that's been worn out
Rickshaw Knob	A piece of a rickshaw handle
Dragon Tiles	Tiles used for mahjong
Number Tiles	Tiles used for mahjong
Scoring Sticks	Items used for mahjong
Four Wind Tiles	Tiles used for mahjong
Mahjong Tiles	Items used for mahjong
Streetcar Pass	Allows the holder to ride the streetcar for free
Cuff Link	Master Daidouji's cuff link
Ring of Memories	The ring the Owner of Ryugu got from Elfman
Tae's Camera	The camera Tae is always carrying around
Ammunition Box	The goods Narumi ordered from Konnou-Ya
Earth Prism	One of the four prisms. Represents earth
Flame Prism	One of the four prisms. Represents fire
Water Prism	One of the four prisms. Represents water
Amatsu Kanagi	Yatagarasu's sacred treasure
Lock Pick	A tool used to open locks. Use them responsibly
Ice Cream	A cold, sweet dessert
Syrup	Sweet, thick sauce for cooking
White Shard	A shard that looks fixable
Blue Shard	A shard that looks fixable
Red Shard	A shard that looks fixable
Blood Chrysoberyl	A gem used to break the seal at the factory
Fried Tofu	Portions of food for foxes
Reserve	Reserve
Sword of Kashima	A sword to awaken the guardian of the Earth Prism
Report Page 1	Sadakichi's report on the Super Soldier Project
Report Page 2	Sadakichi's report on the Super Soldier Project
Report Page 3	Sadakichi's report on the Super Soldier Project
Report Page 4	Sadakichi's report on the Super Soldier Project
Report Page 5	Sadakichi's report on the Super Soldier Project
Report Page 6	Sadakichi's report on the Super Soldier Project
Report Page 7	Sadakichi's report on the Super Soldier Project
Report Page 8	Sadakichi's report on the Super Soldier Project
Shiomitsu Orb	An ocean-blue gem
Chigaeshi Orb	A blood-red gem
Red Wine	Wine from Provence, France
Flute of Rhone	An old flute used to call the Large Tarrasque
Pricey Beer	A full-bodied beer
Vodka	Imported specially from Russia
Prophetic Book	A book prophesying many disasters
Staff of Death	A staff that emits ominous energy
Bancho Uniform	A cloak and hat Detective Kazama used to wear
Mystic Eye	A mirror that can see demons' abilities
Phantom Skull	Required credentials to meet the Demon Lord
Tyrant Spawn	Required credentials to meet the Demon Lord
Emblem of Hell	Required credentials to meet the Demon Lord
SS Project Report	All the details of the Super Soldier Project
Photo of Red Cape	The photo of the Red Cape that Tae snapped
Photo of Shizu	A photo of the eloped Shizu
Kiyoshi's Cane	The cane Kiyoshi always had with him
Photo of Tae	Tae and an Army soldier in the Dark Realm
Item 0C7	Item help 0C7
Item 0C8	Item help 0C8
Item 0C9	Item help 0C9
Item 0CA	Item help 0CA
Item 0CB	Item help 0CB
Item 0CC	Item help 0CC
Item 0CD	Item help 0CD
Item 0CE	Item help 0CE
Item 0CF	Item help 0CF
Item 0D0	Item help 0D0	
Item 0D1	Item help 0D1	
Item 0D2	Item help 0D2	
Item 0D3	Item help 0D3	
Item 0D4	Item help 0D4	
Item 0D5	Item help 0D5	
Item 0D6	Item help 0D6	
Item 0D7	Item help 0D7	
Item 0D8	Item help 0D8	
Item 0D9	Item help 0D9	
Item 0DA	Item help 0DA	
Item 0DB	Item help 0DB	
Item 0DC	Item help 0DC	
Item 0DD	Item help 0DD	
Item 0DE	Item help 0DE	
Item 0DF	Item help 0DF	
Item 0E0	Item help 0E0	
Item 0E1	Item help 0E1	
Item 0E2	Item help 0E2	
Item 0E3	Item help 0E3	
Item 0E4	Item help 0E4	
Item 0E5	Item help 0E5	
Item 0E6	Item help 0E6	
Item 0E7	Item help 0E7	
Item 0E8	Item help 0E8	
Item 0E9	Item help 0E9	
Item 0EA	Item help 0EA	
Item 0EB	Item help 0EB	
Item 0EC	Item help 0EC	
Item 0ED	Item help 0ED	
Item 0EE	Item help 0EE	
Item 0EF	Item help 0EF	
Item 0F0	Item help 0F0	
Item 0F1	Item help 0F1	
Item 0F2	Item help 0F2	
Item 0F3	Item help 0F3	
Item 0F4	Item help 0F4	
Item 0F5	Item help 0F5	
Item 0F6	Item help 0F6	
Item 0F7	Item help 0F7	
Item 0F8	Item help 0F8	
Item 0F9	Item help 0F9	
Item 0FA	Item help 0FA	
Item 0FB	Item help 0FB	
Item 0FC	Item help 0FC	
Item 0FD	Item help 0FD	
Item 0FE	Item help 0FE	
Item 0FF	Item help 0FF	
