name	devilId	nameId0	nameId1	nameId2	nameId3	nameId4	nameId5	nameId6	nameId7	nameId8	nameId9	nameId10	nameId11	nameId12
アルプ	52	100	40	40	40	30	40	10	600	7	8	9	10	11
モコイ	53	990	540	530	530	540	530	680	890	7	8	9	10	11
オキクムシ	54	290	670	650	660	670	660	40	520	7	8	9	10	11
インキュバス	55	180	320	310	320	310	320	770	380	7	8	9	10	11
リリス	56	1090	490	480	490	490	490	600	820	7	8	9	10	11
ネビロス	57	770	590	570	580	590	560	750	460	7	8	9	10	11
ベルゼブブ	58	870	130	150	130	120	130	190	370	7	8	9	10	11
リャナンシー	59	1080	420	410	420	420	420	610	980	7	8	9	10	11
イッポンダタラ	60	150	340	330	340	330	340	1220	10	7	8	9	10	11
トート	61	660	950	970	960	940	960	1130	1130	7	8	9	10	11
フツヌシ	62	840	240	230	240	230	250	500	1050	7	8	9	10	11
ナガスネヒコ	63	700	580	560	570	580	580	210	550	7	8	9	10	11
スカアハ	64	530	860	860	860	850	860	1020	950	7	8	9	10	11
クダン	65	400	380	370	380	380	380	470	250	7	8	9	10	11
ライホー	66	1050	800	790	800	790	800	580	1100	7	8	9	10	11
ネコマタ	67	760	610	590	600	610	600	650	1250	7	8	9	10	11
アビヒコ	68	50	0	0	0	0	0	100	280	7	8	9	10	11
アリス	69	90	30	30	30	40	30	80	1030	7	8	9	10	11
ヨシツネ	70	1010	1070	1070	1070	1060	1070	1240	1060	7	8	9	10	11
オルトロス	71	340	710	700	710	710	710	830	1190	7	8	9	10	11
レギオン	72	1130	440	430	440	440	440	280	910	7	8	9	10	11
レギオン	73	1140	450	440	450	450	450	290	920	7	8	9	10	11
レギオン	74	1150	460	450	460	460	460	300	930	7	8	9	10	11
レギオン	75	1160	470	460	470	470	470	310	940	7	8	9	10	11
0x04C	76	-10	-10	-10	-10	-10	-10	-10	-10	7	8	9	10	11
ダミーデータ	336	-10	-10	-10	-10	-10	-10	-10	-10	7	8	9	10	11
ウンディーネ	337	220	1020	680	690	1010	690	1140	1040	7	8	9	10	11
シルフ	338	520	910	920	900	900	900	1160	340	7	8	9	10	11
アクアンズ	339	20	70	70	70	60	70	1010	140	7	8	9	10	11
エアロス	340	230	10	10	10	10	10	360	660	7	8	9	10	11
フレイミーズ	341	850	230	220	230	220	240	450	170	7	8	9	10	11
アーシーズ	342	5	210	200	210	200	220	1100	1200	7	8	9	10	11
精霊ダミーデータ	343	-1	-1	-1	-1	-1	-1	-1	-1	7	8	9	10	11
精霊ダミーデータ	344	-1	-1	-1	-1	-1	-1	-1	-1	7	8	9	10	11
クシミタマ	345	390	400	390	400	400	400	880	450	7	8	9	10	11
アラミタマ	346	70	80	80	80	70	80	420	750	7	8	9	10	11
ニギミタマ	347	730	630	610	620	630	620	400	440	7	8	9	10	11
サキミタマ	348	430	830	830	830	820	830	1180	490	7	8	9	10	11
御魂ダミーデータ	349	-1	-1	-1	-1	-1	-1	-1	-1	7	8	9	10	11
御魂ダミーデータ	350	-1	-1	-1	-1	-1	-1	-1	-1	7	8	9	10	11
御魂ダミーデータ	351	-1	-1	-1	-1	-1	-1	-1	-1	7	8	9	10	11
御魂ダミーデータ	352	-1	-1	-1	-1	-1	-1	-1	-1	7	8	9	10	11
エンク	353	240	200	190	200	190	210	1210	970	7	8	9	10	11
アスラおう	354	40	110	110	110	100	110	70	580	7	8	9	10	11
オンモラキ	355	345	705	695	705	705	705	1270	850	7	8	9	10	11
ヴリトラ	356	215	1045	1045	1045	1035	1045	370	230	7	8	9	10	11
ヒノカグツチ	357	835	285	275	285	275	375	460	150	7	8	9	10	11
ガキ 	358	350	780	760	780	770	780	260	1230	7	8	9	10	11
マーメイド	359	920	520	900	910	520	910	670	640	7	8	9	10	11
アリオク 	360	80	100	100	100	90	100	1200	430	7	8	9	10	11
パピルサグ	361	785	735	725	735	735	735	930	40	7	8	9	10	11
セイリュウ	362	555	785	775	785	775	785	900	610	7	8	9	10	11
キュベレ 	363	370	180	170	180	160	180	540	330	7	8	9	10	11
マカミ 	364	950	500	490	500	500	500	1310	730	7	8	9	10	11
ハヤタロウ	365	790	280	270	280	270	280	1300	320	7	8	9	10	11
ヴィシュヌ 	366	190	1040	1040	1040	1030	1040	860	630	7	8	9	10	11
コロポックル	367	425	375	365	375	365	377	530	360	7	8	9	10	11
エンジェル 	368	250	50	50	50	180	50	1080	110	7	8	9	10	11
タアボばあちゃん（ダミーST）	369	570	990	500	1000	980	1000	380	960	7	8	9	10	11
デカラビア 	370	630	190	180	190	170	190	250	880	7	8	9	10	11
アークエンジェル	371	0	95	95	95	205	95	240	80	7	8	9	10	11
ドミニオン	372	675	195	185	195	175	205	1330	200	7	8	9	10	11
ネコショウグン	373	750	600	580	590	600	590	660	1260	7	8	9	10	11
ナタク 	374	710	620	600	610	620	610	780	680	7	8	9	10	11
シヴァ 	375	470	870	870	870	860	870	980	1270	7	8	9	10	11
フェンリル	376	837	225	215	225	215	235	340	530	7	8	9	10	11
蛮力ダミーデータ	377	-1	-1	-1	-1	-1	-1	-1	-1	7	8	9	10	11
イヌガミ 	378	160	330	320	330	320	330	910	190	7	8	9	10	11
リリム 	379	1100	480	470	480	480	480	590	810	7	8	9	10	11
マーラ 	380	930	510	510	510	510	510	690	1330	7	8	9	10	11
アルケニー	381	95	85	85	85	75	85	50	560	7	8	9	10	11
じゃあくフロスト	382	475	155	155	235	855	245	1170	420	7	8	9	10	11
ピクシー 	383	810	750	740	750	750	750	850	240	7	8	9	10	11
タム・リン 	384	580	920	930	930	910	930	1050	1290	7	8	9	10	11
イズン	385	120	310	300	310	300	310	1230	260	7	8	9	10	11
ベルフェゴール 	386	880	150	140	150	140	140	170	400	7	8	9	10	11
トウテツ	387	635	925	935	935	915	935	1060	1340	7	8	9	10	11
ダミーデータ	388	-1	-1	-1	-1	-1	-1	-1	-1	7	8	9	10	11
マダ	389	955	495	485	495	495	495	720	1170	7	8	9	10	11
ダミーデータ	390	-1	-1	-1	-1	-1	-1	-1	-1	7	8	9	10	11
バジリスク	391	783	127	127	127	117	127	150	120	7	8	9	10	11
ダミーデータ	392	-1	-1	-1	-1	-1	-1	-1	-1	7	8	9	10	11
ナンディ	393	715	585	565	575	585	585	760	620	7	8	9	10	11
バロン	394	795	125	125	125	115	125	130	130	7	8	9	10	11
オファニム	395	325	707	955	707	707	985	820	1180	7	8	9	10	11
カマエル	396	365	157	157	155	145	155	510	210	7	8	9	10	11
ランダ	397	1075	825	825	825	815	825	920	1320	7	8	9	10	11
モト	398	993	-1	-1	-1	-1	-1	710	830	7	8	9	10	11
ダミーデータ	399	-1	-1	-1	-1	-1	-1	-1	-1	7	8	9	10	11
フィン・マックール	496	836	227	218	228	218	218	330	540	7	8	9	10	11
アルテミス	497	93	105	105	105	95	95	20	590	7	8	9	10	11
ゼウス	498	557	1080	1080	1080	1080	1080	1320	470	7	8	9	10	11
コウリュウ	499	422	295	285	295	285	285	430	1010	7	8	9	10	11
ゴズキ	500	423	275	265	275	265	265	800	180	7	8	9	10	11
メズキ	501	973	525	515	515	525	525	640	770	7	8	9	10	11
