en	resists
0x0EE	Reserve
0x0EF	Reserve
0x0F0	Reserve
0x0F1	Reserve
0x0F2	Reserve
0x0F3	Reserve
0x0F4	Reserve
0x0F5	Reserve
0x0F6	Reserve
0x0F7	Reserve
0x0F8	Reserve
0x0F9	Reserve
0x0FA	Reserve
0x0FB	Reserve
0x0FC	Reserve
0x0FD	Reserve
0x0FE	Reserve
0x0FF	Reserve
0x100	Reserve
Hayagriva	Reserve
Camazotz	Reserve
Camazotz	Reserve
Camazotz	Reserve
Usas	Reserve
Agni	Reserve
Rahu (Head)	Reserve
Rahu (Body)	Reserve
Metatron	Reserve
Cerberus (R)	Reserve
Catoblepas	Reserve
Isis	Reserve
Nidhoggr	Reserve
Ravana	Reserve
Ravana	Reserve
Beelzebub	Reserve
Beelzebub	Reserve
Orochi	Reserve
Huang Long	Reserve
Temple Guard	Reserve
Vasuki	Reserve
Garuda	Reserve
Jatayu	Reserve
Ananta	Reserve
Harihara	Reserve
Harihara	Reserve
Harihara	Reserve
Ghoul	Reserve
Nidhoggr	Reserve
Cockatrice	Reserve
Empusa	Reserve
Tarrasque	Reserve
Lilim	Reserve
Gyu-Ki	Reserve
Macha	Reserve
Rahu	Reserve
Jinana	Reserve
Badb Catha	Reserve
Apis	Reserve
Bicorn	Reserve
Onkot	Reserve
Uzume	Reserve
Ikusa	Reserve
Turdak	Reserve
Unicorn	Reserve
Cerberus (C)	Reserve
Cerberus (L)	Reserve
Agni	Reserve
Archangel	Reserve
Heat	Reserve
Kelpie	Reserve
Nue	Reserve
Onkot	Reserve
Atavaka	Reserve
King Frost	Reserve
Feng Huang	Reserve
Long	Reserve
Gui Xian	Reserve
Baihu	Reserve
Demi-fiend	Reserve
Fire Core	Reserve
Water Core	Reserve
Elec Core	Reserve
Wind Core	Reserve
Earth Core	Reserve
Gold Core	Reserve
Jack Frost	Reserve
Baphomet	Reserve
Pixie	Strong: elec/earth_Null: expel/death
Hunter Demon	Reserve
Jack Frost	Reserve
Pyro Jack	Reserve
Valkyrie	Reserve
Cu Chulainn	Reserve
Girimehkala	Reserve
Arahabaki	Reserve
Pixie	Reserve
Titania	Reserve
Parvati	Reserve
Titania	Reserve
Cu Chulainn	Reserve
Jinn	Reserve
Fomor	Reserve
Jack Frost	Reserve
Omoikane	Reserve
Omoikane	Reserve
Omoikane	Reserve
0x158	Reserve
0x159	Reserve
0x15A	Reserve
0x15B	Reserve
0x15C	Reserve
0x15D	Reserve
0x15E	Reserve
0x15F	Reserve
0x160	Reserve
0x161	Reserve
0x162	Reserve
0x163	Reserve
0x164	Reserve
0x165	Reserve
0x166	Reserve
0x167	Reserve
0x168	Reserve
0x169	Reserve
0x16A	Reserve
0x16B	Reserve
0x16C	Reserve
0x16D	Reserve
0x16E	Reserve
0x16F	Reserve
0x170	Reserve
0x171	Reserve
0x172	Reserve
0x173	Reserve
0x174	Reserve
0x175	Reserve
0x176	Reserve
0x177	Reserve
0x178	Reserve
0x179	Reserve
0x17A	Reserve
0x17B	Reserve
0x17C	Reserve
0x17D	Reserve
0x17E	Reserve
0x17F	Reserve
