en	race	floor
Ochlocratic Sand	Fortune P	Yabbashah I 77
Omnipotent Balance	Justice P	Harabah I P2
Onnen Musha	Strength	Adamah I 233-239
Onnen Musha B	Strength P	Adamah I P2
Opulent Hand	Fool	Tziah I 119-142
Order Giant	Justice	Tziah II 153-168
Order Giant B	Justice	Tziah I 133-142
Overseer of Creation	Justice P	Adamah I 241
Pagoda of Disaster	Hierophant P	Tziah II 151
Perpetual Sand	Fortune	Harabah II 208-224
Phantom King B	Hermit P	Harabah II D3
Phantom Lord	Hermit	Yabbashah II 109-117
Phantom Mage	Hermit	Arqa I 37-41
Phantom Mage B	Hermit P	Yabbashah I D2
Phantom Master	Hermit	Arqa II 61-68
Phantom Master B	Hermit P	Harabah II P1
Pink Hand	Magician P	Harabah II P2
Pistil Mother	Empress	Harabah II 204-224
Platinum Dice	Fortune	Adamah I 249-251
Platinum Dice B	Fortune P	Yabbashah II P3
Power Castle	Emperor	Harabah I 194-197
Precious Hand	Fool	Arqa II 44-68
Prime Magus	Magician	Harabah II 219-224
Principled Checkmate	Fool	Harabah I 173-197
Profligate Gigas	Strength P	Arqa II 54
Purging Right Hand	Magician P	Tziah I 136
Raging Turret	Chariot P	Tziah I 126
Rampage Drive B	Chariot P	Yabbashah I P2
Rampage Drive C	Chariot P	Harabah II D1
Rampaging Sand	Fortune P	Tziah I 125
Reckoning Dice B	Fortune P	Adamah I D2
Red Sigil	Hierophant	Harabah II 199-217
Red Sigil B	Hierophant P	Yabbashah I D3
Regal Mother	Empress	Tziah II 157-168
Regal Mother B	Empress P	Unknown
Resentful Surveillant	Hermit P	Harabah I 188
Resolved Checkmate	Fool	Thebel 12-21
Reticent Checkmate	Fool	Tziah II 145-168
Royal Dancer	Lovers	Adamah I 227-244
Ruinous Idol	Priestess	Harabah I 185-197
Ruinous Idol B	Priestess	Tziah II 156-168
Ruthless Ice Raven	Hermit P	Thebel 5
Scarlet Turret	Chariot	Harabah I 177-196
Scarlet Turret B	Chariot	Tziah II 145-154
Scornful Dice	Fortune P	Harabah II 218
Serpent of Absurdity	Lovers P	Tziah II 170
Servant Tower	Hierophant P	Arqa II 47
Shadow of the Void	Strength P	Adamah I P3
Shouting Tiara	Priestess	Yabbashah II 102-117
Shouting Tiara B	Priestess P	Yabbashah I P2
Silent Book	Priestess	Yabbashah I 80-89
Silent Book B	Priestess P	Yabbashah II P2
Silent Book C	Priestess P	Yabbashah II P3
Silver Hand	Magician P	Harabah II P2
Sky Balance	Justice	Arqa II 45-68
Sky Balance B	Justice P	Harabah I P2
Sky Overseer	Justice P	Yabbashah I 82
Slaughter Drive	Chariot	Harabah II 219-224
Slaughter Twins	Hierophant P	Arqa I 36
Solid Castle	Emperor	Tziah II 156-168
Soul Dancer	Lovers	Arqa I 39-41
Spiritual Castle	Emperor P	Tziah II P2
Spurious Book	Priestess	Arqa I 29-41
Spurious Book B	Priestess	Monorail
Stasis Giant	Justice	Harabah II 213-224
Steel Gigas	Strength	Arqa II 48-68
Steel Gigas B	Strength	Arqa I 29-34
Subservient Left Hand	Magician P	Tziah I 136
Supreme Hand	Fool	Yabbashah I 70-89
Swift Axle	Chariot P	Thebel 17
Tenjin Musha B	Strength P	Adamah I P2
Tenjin Musha C	Strength	Adamah I 248-261
Terminal Table	Magician P	Tziah I 132
Terror Dice	Fortune P	Unknown
Tome of Atrophy	Priestess P	Yabbashah I 90
Tome of Persecution	Priestess P	Tziah II 151
Trance Twins	Hierophant	Thebel 12-21
Tranquil Idol	Priestess	Tziah I 123-142
Tranquil Idol B	Priestess P	Unknown
Treasure Hand	Fool	Arqa I 23-41
Ultimate Gigas	Strength P	Unknown
Vehement Idol	Priestess	Adamah II 260-261
Vehement Idol B	Priestess P	Tziah I P3
Vehement Idol C	Priestess P	Harabah II D2
Venomous Magus	Magician P	Yabbashah II 99
Venus Eagle	Empress	Arqa I 39-41
Vicious Raven	Hermit	Arqa II 44-63
Visceral Maya	Strength	Tziah II 145-166
Void Giant B	Justice P	Harabah I D1
Voltaic Youngest Sibling	Strength P	Harabah II 212
Wealth Hand	Fool	Thebel 12-21
White Hand	Magician P	Harabah II P2
Wicked Turret	Chariot	Adamah II 257-261
Wicked Turret B	Chariot P	Unknown
Wild Beast	Strength	Arqa I 33-41
Wild Drive	Chariot	Yabbashah II 100-117
Wild Drive B	Chariot	Yabbashah I 70-81
Will O' Wisp Raven	Hermit P	Arqa I 28
Wondrous Magus	Magician	Tziah II 159-168
World Balance B	Justice P	Harabah I D2
Wrathful Book	Priestess	Harabah II 206-223
Writhing Tiara	Priestess	Tziah I 128-142
Yearning Checkmate	Fool	Arqa I 23-41
The Reaper	Death C	Adamah I P4
Takaya A	Fortune C	Tziah II Full Moon
Jin A	Hermit C	Tziah II Full Moon
Chidori	Hanged C	Harabah I Full Moon
Jin B	Hermit C	Adamah II 259
Takaya B	Fortune C	Adamah II 263
Skeptical Tiara	Priestess C	Thebel Full Moon
Priestess	Priestess C	Thebel Full Moon
Despairing Tiara	Priestess C	Thebel Full Moon
Loathsome Tiara	Priestess C	Thebel Full Moon
Empress A	Empress C	Arqa I Full Moon
Empress B	Empress C	Arqa I Full Moon
Empress C	Empress C	Arqa I Full Moon
Emperor A	Emperor C	Arqa I Full Moon
Emperor B	Emperor C	Arqa I Full Moon
Emperor C	Emperor C	Arqa I Full Moon
Emperor D	Emperor C	Arqa I Full Moon
Hierophant	Hierophant C	Arqa II Full Moon
Lovers	Lovers C	Arqa II Full Moon
Chariot	Chariot C	Yabbashah I Full Moon
Justice	Justice C	Yabbashah I Full Moon
Tank-Form Shadow	Unknown C	Yabbashah I Full Moon
Hermit	Hermit C	Yabbashah II Full Moon
Fortune	Fortune C	Tziah I Full Moon
Strength	Strength C	Tziah I Full Moon
Hanged Man	Hanged C	Tziah II Full Moon
Statue A	Hanged C	Tziah II Full Moon
Statue B	Hanged C	Tziah II Full Moon
Statue C	Hanged C	Tziah II Full Moon
Statue D	Hanged C	Tziah II Full Moon
Statue E	Hanged C	Tziah II Full Moon
Statue F	Hanged C	Tziah II Full Moon
Statue G	Hanged C	Tziah II Full Moon
Nyx Avatar A	Fool C	Adamah II 264
Nyx Avatar B	Magician C	Adamah II 264
Nyx Avatar C	Priestess C	Adamah II 264
Nyx Avatar D	Empress C	Adamah II 264
Nyx Avatar E	Emperor C	Adamah II 264
Nyx Avatar F	Hierophant C	Adamah II 264
Nyx Avatar G	Lovers C	Adamah II 264
Nyx Avatar H	Chariot C	Adamah II 264
Nyx Avatar I	Justice C	Adamah II 264
Nyx Avatar J	Hermit C	Adamah II 264
Nyx Avatar K	Fortune C	Adamah II 264
Nyx Avatar L	Strength C	Adamah II 264
Nyx Avatar M	Hanged C	Adamah II 264
Nyx Avatar N	Death C	Adamah II 264
Elizabeth A	Fool C	Ultimate Adversary 4P
Elizabeth B	Fool C	Ultimate Adversary 4P
Elizabeth C	Fool C	Ultimate Adversary 4P
Elizabeth D	Fool C	Ultimate Adversary 4P
Elizabeth E	Fool C	Ultimate Adversary 4P
Elizabeth F	Fool C	Ultimate Adversary 4P
Elizabeth G	Fool C	Ultimate Adversary 4P
Elizabeth H	Fool C	Ultimate Adversary 4P
Elizabeth I	Fool C	Ultimate Adversary 4P
Elizabeth J	Fool C	Ultimate Adversary 4P
