flag	race	level	params1	params2	params3	params4	params5	breakage	succession	conception	message
0	20	45	25	35	33	30	25	0	16	0	0
0	15	30	18	17	30	12	20	0	6	100	0
0	8	52	40	35	40	25	29	0	23	0	0
2	6	71	44	53	58	31	40	0	9	100	0
0	7	36	16	30	20	22	28	0	30	0	0
0	16	47	26	41	28	33	27	0	29	100	0
0	21	82	55	68	52	43	53	0	7	0	0
0	2	29	13	27	13	21	20	0	5	100	0
0	18	76	43	70	45	51	41	0	5	100	0
0	14	41	26	31	27	21	25	0	13	0	0
0	3	32	17	26	16	24	22	0	30	100	0
0	20	35	18	28	18	32	21	0	27	0	0
0	19	80	53	53	67	46	49	0	9	100	0
0	11	20	13	13	15	15	20	0	31	0	0
0	12	54	44	29	38	36	25	0	9	100	0
0	6	23	15	15	19	16	11	0	14	0	0
2	17	82	63	57	48	57	55	0	5	100	0
0	8	45	33	28	28	25	28	0	4	0	0
0	12	29	27	13	25	12	17	0	24	0	0
2	1	37	22	34	23	25	20	0	31	100	0
0	20	55	33	40	30	50	28	0	3	100	0
0	2	8	5	9	8	6	4	0	4	100	0
0	2	15	8	15	9	9	11	0	5	100	0
0	17	86	69	50	63	53	60	0	6	100	0
0	7	5	3	7	3	4	5	0	4	0	0
0	3	75	55	58	40	49	42	0	4	100	0
0	4	68	52	58	33	40	40	0	4	100	0
0	15	55	31	40	32	42	31	0	15	100	0
2	1	77	71	35	43	49	55	0	19	100	0
0	1	12	10	6	14	6	7	0	31	0	0
0	2	60	43	51	40	28	34	0	5	100	0
0	17	67	52	38	39	50	41	0	4	0	0
0	15	38	24	31	27	21	18	0	6	100	0
0	18	29	26	19	17	21	15	0	14	0	0
0	19	62	47	49	42	29	35	0	8	0	0
0	8	14	14	7	13	6	10	0	22	0	0
0	9	52	39	35	30	30	33	0	9	0	0
0	10	38	36	22	16	29	18	0	26	0	0
0	6	59	33	49	38	31	42	0	31	0	0
0	5	23	18	17	13	15	14	0	22	0	0
0	13	20	14	14	21	10	10	0	19	100	0
2	14	78	52	66	53	45	40	0	8	100	0
0	7	13	12	11	8	10	5	0	9	0	0
0	19	56	48	41	31	35	32	0	10	100	0
0	19	49	30	38	26	30	33	0	7	0	0
0	7	49	19	45	23	34	36	0	27	100	0
0	1	54	35	35	35	35	35	0	31	0	0
0	6	40	20	40	20	25	25	0	27	0	0
0	8	64	54	50	42	30	35	0	7	100	0
0	9	42	25	32	24	26	26	0	16	100	0
0	21	59	44	44	37	35	33	0	31	0	0
0	10	17	14	10	11	14	9	0	8	0	0
0	5	43	33	31	22	27	23	0	4	0	0
0	7	23	12	18	10	17	20	0	29	100	0
0	22	47	36	29	43	21	28	0	13	0	0
0	15	12	6	10	9	10	8	0	6	0	0
0	18	17	15	12	10	14	8	0	18	0	0
0	2	3	4	4	2	5	2	0	6	0	0
0	10	52	28	42	31	31	37	0	29	100	0
2	11	65	37	60	40	37	40	0	6	100	0
0	19	72	51	56	45	42	41	0	10	0	0
2	3	48	26	40	26	31	31	0	27	100	0
0	3	20	11	20	10	13	13	0	7	0	0
0	16	56	34	42	35	32	34	0	12	0	0
0	12	36	30	17	24	22	22	0	7	0	0
0	16	30	20	25	22	16	19	0	13	0	0
0	4	48	24	42	31	28	33	0	30	0	0
0	5	63	43	55	41	31	32	0	7	0	0
0	9	25	20	16	15	16	15	0	9	0	0
0	7	2	2	2	2	4	3	0	30	0	0
0	14	15	10	13	16	9	7	0	10	0	0
0	17	60	50	38	45	36	30	0	15	0	0
0	15	63	45	44	50	39	30	0	14	100	0
2	11	15	7	17	10	13	11	0	27	100	0
0	5	7	5	6	7	6	4	0	6	0	0
0	2	74	62	49	50	42	35	0	26	100	0
2	6	33	27	25	20	18	16	0	5	100	0
0	9	16	11	13	7	12	12	0	9	0	0
2	14	23	20	18	13	17	11	0	8	0	0
0	13	47	37	24	48	20	25	0	8	0	0
0	6	13	12	7	10	11	6	0	6	0	0
0	13	65	48	51	50	40	22	0	8	100	0
2	16	81	50	62	50	60	52	0	10	100	0
0	5	53	34	43	38	28	29	0	10	0	0
0	18	70	35	57	39	54	41	0	16	100	0
0	20	67	42	53	34	48	40	0	9	100	0
0	12	46	36	27	30	27	25	0	5	0	0
2	17	75	60	50	50	48	39	0	5	100	0
0	4	77	44	65	60	36	42	0	4	100	0
2	17	79	67	46	55	43	48	0	31	100	0
2	13	57	42	48	45	33	28	0	5	0	0
0	12	22	17	14	12	23	10	0	10	0	0
0	21	70	56	48	46	37	42	0	7	100	0
0	6	48	36	35	30	24	26	0	5	0	0
0	15	22	13	19	16	10	15	0	16	0	0
0	8	24	16	19	15	14	15	0	6	0	0
2	21	91	65	70	62	59	59	0	9	100	0
2	22	87	60	65	65	55	53	0	9	100	0
0	9	66	54	47	47	35	31	0	7	100	0
0	16	18	7	7	12	16	22	0	29	0	0
0	10	31	15	25	18	27	22	0	29	0	0
0	14	58	37	42	44	29	33	0	13	0	0
0	4	32	33	16	13	25	18	0	4	0	0
0	20	24	16	16	14	24	13	0	15	0	0
0	19	25	19	19	17	13	14	0	1	100	0
0	3	11	5	10	12	8	7	0	30	100	0
40	24	0	0	0	0	0	0	0	31	0	0
0	15	71	41	45	63	42	38	0	9	100	0
0	12	15	17	8	13	11	6	0	22	0	0
0	11	73	39	61	38	45	52	0	4	100	0
0	11	44	22	37	23	30	29	0	6	100	0
0	7	60	46	42	37	31	40	0	16	0	0
0	10	25	15	20	16	14	17	0	2	100	0
0	2	50	33	39	28	30	30	0	11	100	0
0	4	21	12	22	13	15	14	0	30	0	0
0	16	65	35	56	38	44	35	0	29	100	0
0	16	8	4	10	4	6	7	0	13	0	0
2	21	89	70	70	61	51	55	0	8	100	0
0	18	88	63	63	62	58	58	0	15	0	0
0	1	26	16	14	26	9	20	0	31	0	0
0	14	33	21	26	24	19	18	0	8	100	0
0	1	69	48	60	45	42	28	0	31	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
40	1	0	0	0	0	0	0	0	0	0	0
40	1	0	0	0	0	0	0	0	0	0	0
40	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
42	24	0	99	99	99	99	99	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
40	2	99	99	99	99	99	99	0	0	0	0
40	1	99	99	99	99	99	99	0	0	0	0
40	8	99	99	99	99	99	99	0	0	0	0
40	17	99	99	99	99	99	99	0	0	0	0
40	22	99	99	99	99	99	99	0	0	0	0
40	14	99	99	99	99	99	99	0	0	0	0
40	1	99	99	99	99	99	99	0	0	0	0
40	17	99	99	99	99	99	99	0	0	0	0
40	7	99	99	99	99	99	99	0	0	0	0
40	7	80	80	80	80	80	80	0	0	0	0
40	2	80	80	80	80	80	80	0	0	0	0
40	5	80	80	80	80	80	80	0	0	0	0
40	4	80	80	80	80	80	80	0	0	0	0
40	8	80	80	80	80	80	80	0	0	0	0
40	9	80	80	80	80	80	80	0	0	0	0
40	12	80	80	80	80	80	80	0	0	0	0
40	21	99	99	99	99	99	99	0	0	0	0
40	13	99	99	99	99	99	99	0	0	0	0
40	21	99	99	99	99	99	99	0	0	0	0
40	12	99	99	99	99	99	99	0	0	0	0
40	6	99	99	99	99	99	99	0	0	0	0
40	1	99	99	99	99	99	99	0	0	0	0
40	4	99	99	99	99	99	99	0	0	0	0
40	1	99	99	99	99	99	99	0	0	0	0
40	1	99	99	99	99	99	99	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
514	1	23	17	17	14	18	11	0	8	0	0
512	8	18	14	8	16	12	11	0	7	0	0
512	2	22	13	17	13	15	15	0	6	0	0
512	7	19	8	18	12	14	12	0	5	0	0
512	5	27	24	16	18	17	13	0	4	0	0
512	3	28	19	19	17	21	15	0	6	0	0
512	4	36	27	24	22	22	20	0	4	0	0
512	9	37	25	27	22	24	20	0	9	0	0
512	18	36	25	22	20	28	20	0	9	0	0
514	1	89	63	60	57	56	56	0	31	0	0
512	8	40	30	20	33	24	20	0	7	0	0
512	2	43	23	31	22	33	27	0	6	0	0
512	7	42	22	35	24	26	26	0	5	0	0
512	5	47	40	25	30	30	23	0	4	0	0
512	3	53	36	39	33	37	23	0	6	0	0
512	4	54	42	36	33	33	31	0	4	0	0
512	9	60	44	42	33	38	33	0	8	0	0
512	18	58	43	38	30	42	33	0	9	0	0
512	1	46	31	30	25	31	28	0	7	0	0
512	17	50	42	39	36	28	17	0	5	0	0
512	19	34	19	32	28	19	11	0	4	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0
