flag	use	koukatype	costtype	cost	costbase	targettype	targetarea	targetrule	untargetbadstat	hitratio	targetcntmin	targetcntmax	hptype	hpn	sptype	spn	badtype	badratio	badstatus	support	program	criticalratio	swoonratio
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	6	0	0	2	0	0	100	1	1	0	0	0	0	1	30	524288	0	0	0	0
0	2	2	2	14	0	0	2	0	0	100	1	1	0	0	0	0	1	50	524288	0	0	0	0
0	2	2	2	12	0	1	2	0	0	100	1	1	0	0	0	0	1	30	524288	0	0	0	0
0	2	2	2	26	0	1	2	0	0	100	1	1	0	0	0	0	1	50	524288	0	0	0	0
0	2	2	2	40	0	1	2	0	0	100	1	1	0	0	0	0	1	70	524288	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	4	0	0	2	0	0	99	1	1	1	60	0	0	0	0	0	0	0	0	0
0	2	2	2	8	0	0	2	0	0	99	1	1	1	140	0	0	0	0	0	0	0	0	0
0	2	2	2	15	0	0	2	0	0	99	1	1	1	350	0	0	0	0	0	0	0	0	0
0	2	2	2	10	0	1	2	0	0	95	1	1	1	60	0	0	0	0	0	0	0	0	0
0	2	2	2	16	0	1	2	0	0	95	1	1	1	140	0	0	0	0	0	0	0	0	0
0	2	2	2	25	0	1	2	0	0	95	1	1	1	350	0	0	0	0	0	0	0	0	0
0	2	2	2	38	0	0	2	0	0	100	1	1	8	50	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	20	0	1	2	0	0	95	1	1	1	170	0	0	0	0	0	0	0	0	0
0	2	2	2	32	0	1	2	0	0	95	1	1	1	380	0	0	0	0	0	0	0	0	0
0	2	2	2	50	0	1	2	0	0	95	1	1	1	690	0	0	0	0	0	0	0	0	0
0	2	2	2	70	0	0	2	0	0	97	1	1	1	1000	0	0	0	0	0	0	0	0	0
0	2	2	2	64	0	1	2	0	0	95	1	1	1	850	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
524288	2	2	2	5	0	0	2	0	0	100	1	1	0	0	0	0	1	70	256	0	0	0	0
524288	2	2	2	10	0	1	2	0	0	100	1	1	0	0	0	0	1	50	256	0	0	0	0
524288	2	2	2	5	0	0	2	0	0	100	1	1	0	0	0	0	1	60	2	0	0	0	0
524288	2	2	2	10	0	1	2	0	0	100	1	1	0	0	0	0	1	45	2	0	0	0	0
524288	2	2	2	5	0	0	2	0	0	100	1	1	0	0	0	0	1	70	4	0	0	0	0
524288	2	2	2	10	0	1	2	0	0	100	1	1	0	0	0	0	1	50	4	0	0	0	0
524288	2	2	2	5	0	0	2	0	0	100	1	1	0	0	0	0	1	60	8	0	0	0	0
524288	2	2	2	10	0	1	2	0	0	100	1	1	0	0	0	0	1	45	8	0	0	0	0
524288	2	2	2	5	0	0	2	0	0	100	1	1	0	0	0	0	1	60	16	0	0	0	0
524288	2	2	2	10	0	1	2	0	0	100	1	1	0	0	0	0	1	45	16	0	0	0	0
524288	2	2	2	5	0	0	2	0	0	100	1	1	0	0	0	0	1	70	32	0	0	0	0
524288	2	2	2	10	0	1	2	0	0	100	1	1	0	0	0	0	1	50	32	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	28	0	1	2	0	0	100	1	1	0	0	0	0	1	100	524288	0	1	0	0
0	2	2	2	8	0	0	2	0	0	100	1	1	0	0	0	0	0	50	0	4194304	0	0	0
0	2	2	2	12	0	2	3	0	0	100	1	1	0	0	0	0	0	50	0	4194304	0	0	0
0	2	2	2	3	0	0	2	0	0	100	1	1	13	35	0	0	0	50	0	0	0	0	0
0	2	2	2	3	0	0	2	0	0	100	1	1	0	0	13	20	0	50	0	0	0	0	0
0	2	2	2	25	0	1	2	0	0	95	1	1	1	200	0	0	1	40	256	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	1	1	7	1	0	2	0	0	92	1	1	1	50	0	0	0	0	0	0	0	5	0
0	2	1	1	10	1	0	2	0	0	95	1	1	1	110	0	0	1	35	16	0	0	5	0
0	2	1	1	14	1	0	2	0	0	95	1	4	1	50	0	0	0	0	0	0	0	8	0
0	2	1	1	14	1	1	2	0	0	90	1	1	1	85	0	0	0	0	0	0	0	5	0
0	2	1	1	17	1	1	2	0	0	80	2	4	1	42	0	0	0	0	0	0	0	10	0
0	2	1	1	19	1	1	2	0	0	85	1	1	1	350	0	0	0	0	0	0	0	17	0
0	2	1	1	20	1	0	2	0	0	90	1	1	1	650	0	0	0	0	0	0	0	20	0
0	2	1	1	22	1	1	2	0	0	92	1	1	1	580	0	0	0	0	0	0	0	13	0
0	2	1	1	18	1	0	2	0	0	90	1	1	1	500	0	0	0	0	0	0	0	30	0
0	2	1	1	13	1	0	2	0	0	90	1	1	1	180	0	0	0	0	0	0	24	15	0
0	2	1	1	10	1	0	2	0	0	88	1	1	1	100	0	0	0	0	0	0	25	10	0
0	2	1	1	16	1	1	2	0	0	95	1	1	1	180	0	0	1	50	8	0	0	3	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	1	1	7	1	0	2	0	0	90	1	1	1	50	0	0	0	0	0	0	0	8	0
0	2	1	1	11	1	0	2	0	0	88	1	1	1	120	0	0	0	0	0	0	0	13	0
0	2	1	1	14	1	0	2	0	0	85	1	1	1	380	0	0	0	0	0	0	0	15	0
0	2	1	1	15	1	1	2	0	0	80	1	2	1	60	0	0	0	0	0	0	0	5	0
0	2	1	1	17	1	1	2	0	0	85	1	1	1	230	0	0	0	0	0	0	0	10	0
0	2	1	1	20	1	1	2	0	0	90	1	1	1	400	0	0	0	0	0	0	0	10	0
0	2	1	1	25	1	0	2	0	0	88	1	1	1	800	0	0	0	0	0	0	0	13	0
0	2	1	1	22	1	1	2	0	0	88	1	2	1	300	0	0	0	0	0	0	0	12	0
0	2	1	1	9	1	0	2	0	0	92	1	1	1	70	0	0	1	35	4	0	0	10	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	1	1	6	1	0	2	0	0	95	1	1	1	45	0	0	0	0	0	0	0	3	0
0	2	1	1	8	1	0	2	0	0	92	1	1	1	65	0	0	1	35	2	0	0	5	0
0	2	1	1	11	1	0	2	0	0	85	2	4	1	30	0	0	0	0	0	0	0	10	0
0	2	1	1	15	1	0	2	0	0	95	1	1	1	400	0	0	0	0	0	0	3	3	0
0	2	1	1	16	1	1	2	0	0	85	1	4	1	27	0	0	0	0	0	0	0	5	0
0	2	1	1	19	1	1	2	0	0	88	2	5	1	40	0	0	0	0	0	0	0	5	0
0	2	1	1	13	1	0	2	0	0	95	1	1	1	200	0	0	0	0	0	0	3	3	0
0	2	1	1	21	1	0	2	0	0	92	1	1	1	580	0	0	0	0	0	0	0	10	0
0	2	1	1	23	1	1	2	0	0	95	1	1	1	600	0	0	1	50	16	0	0	20	0
0	2	1	1	13	1	0	2	0	0	92	1	1	1	300	0	0	1	50	256	0	0	5	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	3	2	2	3	0	0	1	0	0	100	1	1	2	50	0	0	0	0	0	0	0	0	0
0	3	2	2	8	0	0	1	0	0	100	1	1	2	150	0	0	0	0	0	0	0	0	0
0	3	2	2	20	0	0	1	0	0	100	1	1	11	100	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	3	2	2	7	0	1	1	0	0	100	1	1	2	50	0	0	0	0	0	0	0	0	0
0	3	2	2	16	0	1	1	0	0	100	1	1	2	150	0	0	0	0	0	0	0	0	0
0	3	2	2	44	0	1	1	0	0	100	1	1	11	100	0	0	0	0	0	0	0	0	0
0	3	2	2	60	0	1	1	0	524288	100	1	1	11	100	0	0	2	100	1049087	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	12	0	0	1	96	1049087	100	1	1	11	50	0	0	2	100	524288	0	0	0	0
0	2	2	2	35	0	0	1	96	1049087	100	1	1	11	100	0	0	2	100	524288	0	0	0	0
1024	2	2	2	5	0	1	1	32	524288	100	1	1	11	100	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	4	0	0	1	0	1573313	100	1	1	0	0	0	0	2	100	62	0	0	0	0
0	2	2	2	10	0	1	1	0	1573313	100	1	1	0	0	0	0	2	100	62	0	0	0	0
0	2	2	2	4	0	0	1	4	524350	100	1	1	0	0	0	0	2	100	1049025	0	0	0	0
0	2	2	2	10	0	1	1	4	524350	100	1	1	0	0	0	0	2	100	1049025	0	0	0	0
0	0	0	0	0	0	0	1	0	0	100	1	1	0	0	0	0	2	100	42	0	0	0	0
0	0	0	0	0	0	1	1	0	0	100	1	1	0	0	0	0	2	100	42	0	0	0	0
0	2	2	2	25	0	1	1	4	524288	100	1	1	0	0	0	0	2	100	1049087	0	0	0	0
0	2	2	2	14	0	0	1	4	524288	100	1	1	0	0	0	0	2	100	1049087	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	8	0	0	1	0	0	100	1	1	0	0	0	0	0	0	0	1	0	0	0
0	2	2	2	8	0	0	1	0	0	100	1	1	0	0	0	0	0	0	0	16	0	0	0
0	2	2	2	8	0	0	1	0	0	100	1	1	0	0	0	0	0	0	0	68	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	24	0	1	1	0	0	100	1	1	0	0	0	0	0	0	0	1	0	0	0
0	2	2	2	24	0	1	1	0	0	100	1	1	0	0	0	0	0	0	0	16	0	0	0
0	2	2	2	24	0	1	1	0	0	100	1	1	0	0	0	0	0	0	0	68	0	0	0
0	2	2	2	36	0	0	1	0	0	100	1	1	0	0	0	0	0	0	0	85	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	8	0	0	2	0	0	100	1	1	0	0	0	0	0	0	0	2	0	0	0
0	2	2	2	8	0	0	2	0	0	100	1	1	0	0	0	0	0	0	0	32	0	0	0
0	2	2	2	8	0	0	2	0	0	100	1	1	0	0	0	0	0	0	0	136	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	24	0	1	2	0	0	100	1	1	0	0	0	0	0	0	0	2	0	0	0
0	2	2	2	24	0	1	2	0	0	100	1	1	0	0	0	0	0	0	0	32	0	0	0
0	2	2	2	24	0	1	2	0	0	100	1	1	0	0	0	0	0	0	0	136	0	0	0
0	2	2	2	36	0	0	2	0	0	100	1	1	0	0	0	0	0	0	0	170	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	10	0	1	2	0	0	100	1	1	0	0	0	0	0	0	0	1024	0	0	0
0	2	2	2	10	0	1	1	0	0	100	1	1	0	0	0	0	0	0	0	2048	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	30	0	0	1	16	0	100	1	1	0	0	0	0	0	0	0	256	0	0	0
0	2	2	2	30	0	0	1	16	0	100	1	1	0	0	0	0	0	0	0	512	0	0	0
0	2	2	1	40	1	0	1	16	0	100	1	1	0	0	0	0	0	0	0	4352	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	7	0	0	1	0	0	100	1	1	0	0	0	0	0	0	0	4096	0	0	0
0	2	2	2	14	0	2	3	0	0	100	1	1	0	0	0	0	0	0	0	8192	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	24	0	0	1	0	0	100	1	1	0	0	0	0	0	0	0	16384	0	0	0
0	2	2	2	24	0	0	1	0	0	100	1	1	0	0	0	0	0	0	0	32768	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	12	0	1	2	0	0	100	1	1	0	0	0	0	0	0	0	65536	0	0	0
0	2	2	2	12	0	1	2	0	0	100	1	1	0	0	0	0	0	0	0	131072	0	0	0
0	2	2	2	12	0	1	2	0	0	100	1	1	0	0	0	0	0	0	0	262144	0	0	0
0	2	2	2	12	0	1	2	0	0	100	1	1	0	0	0	0	0	0	0	524288	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	66	0	1	2	0	0	95	1	1	1	700	0	0	1	50	524288	0	0	0	0
0	2	2	2	48	0	1	2	0	0	95	1	1	1	450	0	0	1	35	128	0	0	0	0
0	2	2	2	44	0	1	2	0	0	95	1	1	1	500	0	0	0	0	0	0	0	0	0
0	2	2	2	44	0	1	2	0	0	95	1	1	1	500	0	0	0	0	0	0	0	0	0
0	2	2	2	48	0	1	2	0	0	95	1	1	1	450	0	0	1	35	64	0	0	0	0
0	2	2	2	40	0	1	2	0	0	95	1	1	1	550	0	0	0	0	0	0	0	0	0
0	2	1	1	17	1	0	2	0	0	90	1	1	1	250	0	0	0	0	0	0	0	30	0
0	2	2	2	80	0	0	2	0	0	90	1	1	1	700	0	0	0	0	0	0	3	0	0
0	2	1	1	24	1	1	2	0	0	90	2	2	1	200	0	0	0	0	0	0	0	30	0
0	2	1	1	18	1	0	2	0	0	99	2	2	1	150	0	0	0	0	0	0	0	13	0
0	2	2	2	38	0	1	2	0	0	95	1	1	1	300	0	0	3	50	24	0	0	0	0
0	2	2	2	24	0	1	2	0	0	95	4	8	1	15	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	2	2	35	0	0	2	0	0	100	1	1	0	0	0	0	0	0	0	0	0	0	0
0	1	2	2	24	0	0	0	0	0	100	1	1	0	0	0	0	0	0	0	0	0	0	0
0	1	2	2	20	0	0	0	0	0	100	1	1	0	0	0	0	0	0	0	0	0	0	0
0	1	2	2	50	0	0	0	0	0	100	1	1	0	0	0	0	0	0	0	0	0	0	0
0	1	2	2	24	0	0	0	0	0	100	1	1	0	0	0	0	0	0	0	0	0	0	0
0	1	2	2	30	0	0	0	0	0	100	1	1	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2097152	2	2	0	0	0	1	1	0	0	100	1	1	11	50	0	0	0	0	0	68	0	0	0
2097152	2	2	0	0	0	1	2	0	0	100	1	1	1	80	0	0	1	80	1048576	0	18	0	0
2097152	2	2	0	0	0	1	2	0	0	100	1	1	1	180	0	0	1	50	64	0	18	0	0
2097152	2	2	0	0	0	0	1	0	0	100	1	1	0	0	0	0	0	0	0	768	0	0	0
2097152	2	1	0	0	0	1	2	0	0	100	1	1	1	250	0	0	0	0	0	0	18	20	0
2097152	2	2	0	0	0	1	2	0	0	100	1	1	1	300	0	0	3	80	510	0	18	0	0
2100224	2	2	0	0	0	1	2	0	0	100	1	1	4	9999	0	0	0	0	0	0	18	0	0
2097152	2	1	0	0	0	1	2	0	0	100	1	1	1	80	0	0	0	0	0	0	18	50	0
2097152	2	2	0	0	0	1	2	0	0	100	1	1	1	200	0	0	1	80	2	0	18	0	0
2097152	2	1	0	0	0	0	2	0	0	100	1	1	1	300	0	0	1	80	16	0	18	20	0
2097152	2	2	0	0	0	1	1	0	0	100	1	1	11	100	0	0	0	0	0	0	0	0	0
2097152	2	2	0	0	0	1	1	0	0	100	1	1	0	0	11	50	0	0	0	0	0	0	0
2097152	2	2	0	0	0	1	1	0	0	100	1	1	0	0	0	0	0	0	0	85	0	0	0
2097152	2	2	0	0	0	1	1	68	0	100	1	1	11	100	0	0	2	100	1573375	0	0	0	0
2097152	2	2	0	0	0	1	1	0	0	100	1	1	0	0	11	80	0	0	0	0	0	0	0
2097152	2	2	0	0	0	1	1	0	0	100	1	1	0	0	0	0	0	0	0	85	0	0	0
2097152	2	2	0	0	0	1	1	0	0	100	1	1	0	0	0	0	0	0	0	768	0	0	0
2097152	2	2	0	0	0	1	1	68	0	100	1	1	11	100	11	100	2	100	1573375	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2097152	2	2	0	0	0	0	2	0	0	100	1	1	1	220	0	0	0	0	0	0	18	0	0
2097152	2	1	0	0	0	0	2	0	0	100	1	1	1	250	0	0	0	0	0	0	18	20	0
2097152	2	2	0	0	0	1	2	0	0	100	1	1	1	100	0	0	1	20	128	0	18	0	0
2097152	2	2	0	0	0	0	2	0	0	100	1	1	1	180	0	0	1	80	64	0	18	0	0
