Base	Item1	Num1	Item2	Num2	Item3	Num3	Result	Month	Day	OpenFlag
24668	25000	1	24653	5	24648	3	59	4	1	0
24668	24982	1	24653	5	24648	3	93	4	1	0
24668	25011	1	24642	10	24641	5	4140	4	1	0
24668	25011	1	24642	10	24641	5	8236	4	1	0
24668	25013	1	24644	10	24648	3	4191	4	1	0
24668	24997	1	24641	5	24648	2	12372	4	1	0
24668	24985	1	24641	5	24648	2	12373	4	1	0
24668	24993	1	24644	5	24648	2	12369	4	1	0
24668	24989	1	24644	5	24648	2	12370	4	1	0
24668	25012	1	24644	5	24648	2	12371	4	1	0
24669	24991	1	24653	5	24648	3	128	4	1	0
24669	25004	1	24653	5	24648	3	243	4	1	0
24669	24994	1	24653	5	24648	3	242	4	1	0
24669	25003	1	24653	5	24648	3	266	4	1	0
24669	25002	1	24642	10	24644	5	4141	4	1	0
24669	25002	1	24642	10	24644	5	8235	4	1	0
24669	24999	1	24644	10	24648	3	4174	4	1	0
24669	24992	1	24644	10	24648	3	8280	4	1	0
24669	24978	1	24641	5	24648	2	12374	4	1	0
24669	24990	1	24641	5	24648	2	12375	4	1	0
24669	24981	1	24644	5	24648	2	12376	4	1	0
24669	24999	1	24644	5	24648	2	12377	4	1	0
24669	24995	1	24644	10	24641	10	12432	4	1	0
24673	25009	1	24653	10	24648	10	25	4	1	0
24673	25001	1	24653	5	24648	5	95	4	1	0
24673	25005	1	24653	5	24648	5	160	4	1	0
24673	25008	1	24653	5	24644	10	191	4	1	0
24673	25006	1	24653	5	24644	10	215	4	1	0
24673	25010	1	24644	10	24648	5	4142	4	1	0
24673	25010	1	24644	10	24648	5	8237	4	1	0
24673	25004	1	24641	7	24648	2	12414	4	1	0
24673	25006	1	24641	7	24648	2	12415	4	1	0
24673	25007	1	24644	7	24648	2	12363	4	1	0
