Sort	Type	EquipBy	Rarity	Tier	BaseDef	BaseSt	BaseMa	BaseEn	BaseAg	BaseLu	Skill	Buy	Sell	GetFlag
166	1024	1406	1	1	166	0	0	0	0	0	115	25300	6330	0
180	1024	1406	1	1	180	0	0	0	0	0	0	28500	7130	0
177	1024	1306	1	1	177	0	0	0	0	10	0	27000	6750	0
196	1024	1406	1	1	196	0	3	0	0	0	0	31400	7850	0
213	1024	100	1	1	213	0	0	0	0	0	222	36000	9000	0
260	1024	1306	1	1	260	0	0	0	0	0	200	46200	11550	0
211	1024	1406	1	1	211	0	0	0	0	0	0	35800	8950	0
270	1024	1306	1	1	270	3	0	0	0	0	54	48000	12000	0
236	1024	100	1	1	235	3	0	0	0	0	73	41300	10330	0
230	1024	1406	1	1	230	0	0	0	3	0	0	37300	9330	0
246	1024	1406	1	1	246	0	0	0	0	0	0	42500	10630	0
296	1024	1406	1	1	296	0	0	0	0	0	104	51500	12880	0
336	1024	1306	1	1	336	3	3	3	3	3	0	62000	15500	0
320	1024	1406	1	1	320	0	0	0	0	0	0	57500	14380	0
280	1024	1406	1	1	280	0	0	0	0	0	169	50000	12500	0
375	1024	100	1	1	375	0	0	0	0	0	87	68400	17100	0
376	1024	1306	1	1	375	0	0	0	0	0	201	69200	17300	0
400	1024	1406	1	1	400	0	0	0	0	0	108	74000	18500	0
69	1024	1306	1	1	69	0	0	0	0	0	7	9320	2330	0
99	1024	1406	1	1	99	0	0	0	0	0	60	13500	3380	0
53	1024	1406	1	1	52	0	0	0	0	0	55	7700	1930	0
130	1024	8	1	1	130	0	0	0	0	0	4	5300	1330	0
154	1024	1406	1	1	154	0	0	0	0	0	67	24000	6000	0
259	1024	1406	1	1	259	1	1	1	1	1	0	44200	11050	0
277	1024	1406	1	1	277	0	0	0	0	0	0	49750	12440	0
186	1024	1406	1	1	186	0	0	0	0	0	85	30400	7600	0
224	1024	256	1	1	224	0	0	0	0	0	66	37000	9250	0
185	1024	16	1	1	185	0	0	0	0	0	125	29600	7400	0
250	1024	1406	1	1	250	0	0	0	0	0	90	43400	10850	0
130	1024	1306	1	1	130	0	0	0	0	0	77	19200	4800	0
130	1024	100	1	1	130	0	5	0	0	0	0	19800	4950	0
140	1024	1406	1	1	140	0	0	0	0	0	63	21300	5330	0
185	1024	1406	1	1	185	0	0	0	0	0	139	30100	7530	0
158	1024	100	1	1	158	0	0	0	0	0	166	24800	6200	0
286	1024	1406	1	1	285	0	0	0	0	0	78	51000	12750	0
200	1024	32	1	1	200	0	0	0	0	0	183	31900	7980	0
76	1024	1406	1	1	76	0	0	0	0	0	88	10000	2500	0
125	1024	128	1	1	125	0	0	0	0	0	0	17700	4430	0
101	1024	128	1	1	101	2	0	0	0	0	0	14400	3600	0
153	1024	128	1	1	153	0	0	0	0	0	0	24450	6110	0
135	1024	128	1	1	135	0	0	0	0	0	79	20100	5030	0
184	1024	128	1	1	184	0	0	0	0	0	0	30300	7580	0
170	1024	128	1	1	170	0	0	0	3	0	0	26100	6530	0
217	1024	128	1	1	217	0	0	0	0	0	0	38400	9600	0
200	1024	128	1	1	200	0	0	0	0	0	76	32500	8130	0
250	1024	128	1	1	250	0	0	0	0	0	0	45450	11360	0
233	1024	128	1	1	233	0	0	0	0	0	9	40400	10100	0
330	1024	128	1	1	330	0	0	0	0	0	0	61500	15380	0
300	1024	128	1	1	300	0	0	0	0	0	95	55100	13780	0
400	1024	128	1	1	400	0	0	0	0	0	255	73200	18300	0
0	1024	1	0	0	0	0	0	0	0	0	0	0	0	0
281	1024	128	1	1	281	0	0	0	0	0	0	53200	13300	0
263	1024	128	1	1	263	0	0	0	0	0	59	47600	11900	0
137	1024	128	1	1	137	0	0	0	0	0	235	20800	5200	0
150	1024	512	1	1	150	0	0	0	0	0	200	24800	6200	0
147	1024	512	1	1	147	0	0	0	0	0	0	21950	5490	0
129	1024	512	1	1	129	0	0	0	0	0	127	18400	4600	0
177	1024	512	1	1	177	0	0	0	0	0	0	27300	6830	0
163	1024	512	1	1	163	0	0	0	0	0	133	24200	6050	0
209	1024	512	1	1	209	0	0	0	0	0	0	33200	8300	0
193	1024	512	1	1	193	0	0	0	0	0	8	29000	7250	0
243	1024	512	1	1	243	0	0	0	0	0	0	39700	9930	0
227	1024	512	1	1	227	0	0	0	0	0	3	35300	8830	0
222	1024	512	1	1	222	0	0	0	0	0	249	36800	9200	0
325	1024	512	1	1	325	0	0	0	0	0	0	55000	13750	0
297	1024	512	1	1	297	0	3	0	0	0	0	49400	12350	0
380	1024	512	1	1	380	0	0	5	0	0	184	70100	17530	0
274	1024	512	1	1	274	0	0	0	0	0	0	47200	11800	0
256	1024	512	1	1	256	0	0	0	0	0	58	42100	10530	0
255	1024	512	1	1	255	0	0	0	0	0	231	40200	10050	0
345	1024	512	1	1	345	0	0	0	0	0	253	66300	16580	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	90	0	0	0	0	0	0	10000	2500	0
0	1024	1	1	1	80	0	0	0	0	0	0	14000	3500	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
220	1024	1306	1	1	220	0	0	0	0	0	111	35000	8750	0
282	1024	100	1	1	282	0	0	0	0	0	6	52400	13100	0
122	1024	1406	1	1	122	0	0	0	0	0	0	16500	4130	0
0	1024	100	1	1	100	0	0	0	0	0	0	400	100	2
235	1024	1406	1	1	235	0	0	0	0	0	226	40200	10050	0
240	1024	1306	1	1	240	0	0	0	0	0	107	41900	10480	0
345	1024	100	1	1	345	0	0	0	0	0	198	64200	16050	0
350	1024	1406	1	1	345	0	0	0	0	0	196	65100	16280	0
280	1024	100	1	1	280	0	0	0	0	0	96	51600	12900	0
121	1024	2	1	1	120	0	0	0	0	0	181	15700	3930	0
120	1024	4	1	1	120	0	0	0	0	0	180	16200	4050	0
255	1024	1406	1	1	255	0	0	0	0	0	135	41800	10450	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
165	1024	128	1	1	165	0	0	0	0	0	53	24800	6200	0
220	1024	128	1	1	220	0	0	0	0	0	5	36200	9050	0
259	1024	128	1	1	259	0	0	0	0	0	86	45600	11400	0
360	1024	128	1	1	360	0	0	0	0	0	235	67200	16800	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	60	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	16000	4000	0
0	1024	1	1	1	105	0	0	0	0	0	0	1	0	0
0	1024	1	1	1	105	0	0	0	0	0	0	1	0	0
0	1024	1	1	1	105	0	0	0	0	0	0	1	0	0
0	1024	1	1	1	105	0	0	0	0	0	0	1	0	0
0	1024	1	1	1	105	0	0	0	0	0	0	1	0	0
0	1024	1	1	1	105	0	0	0	0	0	0	1	0	0
0	1024	1	1	1	105	0	0	0	0	0	0	1	0	0
0	1024	1	1	1	105	0	0	0	0	0	0	1	0	0
0	1024	1	1	1	105	0	0	0	0	0	0	1	0	0
0	1024	1	1	1	105	0	0	0	0	0	0	1	0	0
0	1024	1	1	1	105	0	0	0	0	0	0	1	0	0
