Sort	Type	EquipBy	Rarity	Tier	BaseSt	BaseMa	BaseEn	BaseAg	BaseLu	Skill	Buy	Sell	GetFlag
979	4096	2046	1	1	0	0	0	0	10	0	25000	6250	0
0	4096	1	1	1	0	0	0	0	0	0	100000	25000	0
0	4096	1	1	1	0	0	0	0	0	0	100000	25000	0
499	4096	2046	1	1	0	0	0	0	0	73	28000	7000	0
498	4096	2046	1	1	0	0	0	0	0	74	28000	7000	0
497	4096	2046	1	1	0	0	0	0	0	75	28000	7000	0
593	4096	2046	1	1	0	0	0	0	0	46	12000	3000	0
592	4096	2046	1	1	0	0	0	0	0	189	60000	15000	0
591	4096	2046	1	1	0	0	0	0	0	47	12000	3000	0
590	4096	2046	1	1	0	0	0	0	0	190	60000	15000	0
589	4096	2046	1	1	0	0	0	0	0	48	12000	3000	0
588	4096	2046	1	1	0	0	0	0	0	191	60000	15000	0
587	4096	2046	1	1	0	0	0	0	0	49	12000	3000	0
586	4096	2046	1	1	0	0	0	0	0	192	60000	15000	0
419	4096	2046	1	1	0	0	0	0	0	162	1000	250	0
583	4096	2046	1	1	0	5	0	0	0	51	1000	250	0
495	4096	2046	1	1	0	0	0	0	0	219	84000	21000	0
494	4096	2046	1	1	0	0	0	0	0	220	84000	21000	0
493	4096	2046	1	1	0	0	0	0	0	221	84000	21000	0
496	4096	2046	1	1	0	0	0	0	0	222	26000	6500	0
0	4096	1	1	1	0	0	0	0	0	0	1000	250	0
693	4096	2046	1	1	0	0	0	0	0	118	50000	12500	0
679	4096	2046	1	1	0	0	0	0	0	139	50000	12500	0
699	4096	2046	1	1	0	0	0	0	0	109	8000	2000	0
698	4096	2046	1	1	0	0	0	0	0	111	40000	10000	0
697	4096	2046	1	1	0	0	0	0	0	112	8000	2000	0
696	4096	2046	1	1	0	0	0	0	0	114	40000	10000	0
695	4096	2046	1	1	0	0	0	0	0	115	8000	2000	0
694	4096	2046	1	1	0	0	0	0	0	117	40000	10000	0
691	4096	2046	1	1	0	0	0	0	0	121	8000	2000	0
690	4096	2046	1	1	0	0	0	0	0	123	40000	10000	0
689	4096	2046	1	1	0	0	0	0	0	124	8000	2000	0
688	4096	2046	1	1	0	0	0	0	0	126	40000	10000	0
685	4096	2046	1	1	0	0	0	0	0	130	8000	2000	0
684	4096	2046	1	1	0	0	0	0	0	132	40000	10000	0
687	4096	2046	1	1	0	0	0	0	0	127	8000	2000	0
686	4096	2046	1	1	0	0	0	0	0	129	40000	10000	0
692	4096	2046	1	1	0	0	0	0	0	120	400	100	0
678	4096	2046	1	1	0	0	0	0	0	141	400	100	0
677	4096	2046	1	1	0	0	0	0	0	171	400	100	0
683	4096	2046	1	1	0	0	0	0	0	133	8000	2000	0
682	4096	2046	1	1	0	0	0	0	0	135	40000	10000	0
681	4096	2046	1	1	0	0	0	0	0	136	8000	2000	0
680	4096	2046	1	1	0	0	0	0	0	138	40000	10000	0
0	4096	1	1	1	0	0	0	0	0	0	16000	4000	0
749	4096	2046	1	1	0	0	0	0	0	177	80000	20000	0
748	4096	2046	1	1	0	0	0	0	0	178	80000	20000	0
747	4096	2046	1	1	0	0	0	0	0	179	80000	20000	0
746	4096	2046	1	1	0	0	0	0	0	180	80000	20000	0
745	4096	2046	1	1	0	0	0	0	0	181	80000	20000	0
744	4096	2046	1	1	0	0	0	0	0	182	80000	20000	0
743	4096	2046	1	1	0	0	0	0	0	183	80000	20000	0
742	4096	2046	1	1	0	0	0	0	0	184	80000	20000	0
741	4096	2046	1	1	0	0	0	0	0	185	80000	20000	0
715	4096	2046	1	1	0	0	0	0	0	64	12500	3130	0
713	4096	2046	1	1	0	0	0	0	0	65	12500	3130	0
728	4096	2046	1	1	0	0	0	0	0	71	8000	2000	0
722	4096	2046	1	1	0	0	0	0	0	66	8000	2000	0
724	4096	2046	1	1	0	0	0	0	0	68	8000	2000	0
726	4096	2046	1	1	0	0	0	0	0	69	8000	2000	0
720	4096	2046	1	1	0	0	0	0	0	67	8000	2000	0
717	4096	2046	1	1	0	0	0	0	0	70	8000	2000	0
710	4096	2046	1	1	0	0	0	0	0	196	75000	18750	0
740	4096	2046	1	1	0	0	0	0	0	172	400	100	2
479	4096	2046	1	1	0	0	0	0	0	52	16000	4000	0
478	4096	2046	1	1	0	0	0	0	0	53	40000	10000	0
477	4096	2046	1	1	0	0	0	0	0	54	80000	20000	0
676	4096	2046	1	1	0	0	0	0	0	173	100000	25000	0
719	4096	2046	1	1	0	0	0	0	0	67	1600	400	0
711	4096	2046	1	1	0	0	0	0	0	195	440	110	0
709	4096	2046	1	1	0	0	0	0	0	197	40000	10000	0
708	4096	2046	1	1	0	0	0	0	0	198	60000	15000	0
0	4096	1	1	1	0	0	0	0	0	0	633000	158250	0
469	4096	2046	1	1	0	0	0	0	0	163	16000	4000	0
468	4096	2046	1	1	0	0	0	0	0	164	32000	8000	0
467	4096	2046	1	1	0	0	0	0	0	165	48000	12000	0
458	4096	2046	1	1	0	0	0	0	0	166	16000	4000	0
457	4096	2046	1	1	0	0	0	0	0	167	32000	8000	0
456	4096	2046	1	1	0	0	0	0	0	168	48000	12000	0
459	4096	2046	1	1	0	0	0	0	0	166	400	100	2
0	4096	2046	1	1	0	0	0	0	0	0	400	100	2
645	4096	2046	1	1	0	0	0	0	0	201	84000	21000	0
649	4096	2046	1	1	0	0	0	0	0	217	28000	7000	0
648	4096	2046	1	1	0	0	0	0	0	215	28000	7000	0
647	4096	2046	1	1	0	0	0	0	0	218	10000	2500	0
0	4096	1	1	1	0	0	0	0	0	0	4	0	0
0	4096	1	1	1	0	0	0	0	0	0	4	0	0
0	4096	1	1	1	0	0	0	0	0	0	4	0	0
0	4096	1	1	1	0	0	0	0	0	0	4	0	0
389	4096	2046	1	1	0	0	0	0	0	0	16000	4000	2
429	4096	2046	1	1	0	0	0	0	0	202	100000	25000	0
428	4096	2046	1	1	0	0	0	0	0	203	100000	25000	0
0	4096	1	1	1	0	0	0	0	0	0	176000	44000	0
508	4096	2046	1	1	0	0	0	0	0	205	30000	7500	0
509	4096	2046	1	1	0	0	0	0	0	204	30000	7500	0
0	4096	1	1	1	0	0	0	0	0	0	176000	44000	0
0	4096	1	1	1	0	0	0	0	0	0	80000	20000	0
899	4096	2046	1	1	0	0	0	0	0	1	3000	750	0
898	4096	2046	1	1	0	0	0	0	0	2	6000	1000	0
897	4096	2046	1	1	0	0	0	0	0	3	9000	2250	0
896	4096	2046	1	1	0	0	0	0	0	4	15000	3750	0
895	4096	2046	1	1	0	0	0	0	0	5	25000	6250	0
894	4096	2046	1	1	0	0	0	0	0	6	40000	10000	0
849	4096	2046	1	1	0	0	0	0	0	7	5000	1250	0
848	4096	2046	1	1	0	0	0	0	0	8	10000	2500	0
847	4096	2046	1	1	0	0	0	0	0	9	20000	5000	0
846	4096	2046	1	1	0	0	0	0	0	10	50000	12500	0
845	4096	2046	1	1	0	0	0	0	0	11	100000	25000	0
843	4096	2046	1	1	0	0	0	0	0	12	98000	24500	0
409	4096	2046	1	1	0	0	0	0	0	143	100000	25000	0
408	4096	2046	1	1	0	0	0	0	0	142	300000	75000	0
0	4096	1	1	1	0	0	0	0	0	0	4	0	0
0	4096	1	1	1	0	0	0	0	0	0	4	0	0
0	4096	1	1	1	0	0	0	0	0	0	16000	4000	0
0	4096	1	1	1	0	0	0	0	0	0	16000	4000	0
0	4096	1	1	1	0	0	0	0	0	0	16000	4000	0
0	4096	1	1	1	0	0	0	0	0	0	600	150	0
0	4096	1	1	1	0	0	0	0	0	0	600	150	0
0	4096	1	1	1	0	0	0	0	0	0	600	150	0
712	4096	2046	1	1	0	0	0	0	0	72	8000	2000	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
716	4096	2046	1	1	0	0	0	0	0	55	2000	500	0
714	4096	2046	1	1	0	0	0	0	0	56	2000	500	0
729	4096	2046	1	1	0	0	0	0	0	62	3000	750	0
723	4096	2046	1	1	0	0	0	0	0	57	3000	750	0
725	4096	2046	1	1	0	0	0	0	0	59	2000	500	0
727	4096	2046	1	1	0	0	0	0	0	60	3000	750	0
721	4096	2046	1	1	0	0	0	0	0	58	3000	750	0
718	4096	2046	1	1	0	0	0	0	0	61	3000	750	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	2046	1	1	0	0	0	0	0	0	3500	880	2
0	4096	2046	1	1	0	0	0	0	0	0	3500	880	2
0	4096	2046	1	1	0	0	0	0	0	0	3500	880	2
546	4096	2046	1	1	0	0	0	0	0	208	3500	880	0
545	4096	2046	1	1	0	0	0	0	0	210	3500	880	0
0	4096	2046	1	1	0	0	0	0	0	0	3500	880	2
543	4096	2046	1	1	0	0	0	0	0	209	3500	880	0
0	4096	2046	1	1	0	0	0	0	0	0	3500	880	2
541	4096	2046	1	1	0	0	0	0	0	233	12000	3000	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
799	4096	2046	1	1	0	0	0	0	0	76	7000	1750	0
798	4096	2046	1	1	0	0	0	0	0	77	15000	3750	0
797	4096	2046	1	1	0	0	0	0	0	78	30000	7500	0
796	4096	2046	1	1	0	0	0	0	0	79	7000	1750	0
795	4096	2046	1	1	0	0	0	0	0	80	15000	3750	0
794	4096	2046	1	1	0	0	0	0	0	81	30000	7500	0
793	4096	2046	1	1	0	0	0	0	0	82	7000	1750	0
792	4096	2046	1	1	0	0	0	0	0	83	15000	3750	0
791	4096	2046	1	1	0	0	0	0	0	84	30000	7500	0
790	4096	2046	1	1	0	0	0	0	0	85	7000	1750	0
789	4096	2046	1	1	0	0	0	0	0	86	15000	3750	0
788	4096	2046	1	1	0	0	0	0	0	87	30000	7500	0
787	4096	2046	1	1	0	0	0	0	0	88	7000	1750	0
786	4096	2046	1	1	0	0	0	0	0	89	15000	3750	0
785	4096	2046	1	1	0	0	0	0	0	90	30000	7500	0
784	4096	2046	1	1	0	0	0	0	0	91	7000	1750	0
783	4096	2046	1	1	0	0	0	0	0	92	15000	3750	0
782	4096	2046	1	1	0	0	0	0	0	93	30000	7500	0
781	4096	2046	1	1	0	0	0	0	0	94	7000	1750	0
780	4096	2046	1	1	0	0	0	0	0	95	15000	3750	0
779	4096	2046	1	1	0	0	0	0	0	96	30000	7500	0
778	4096	2046	1	1	0	0	0	0	0	97	7000	1750	0
777	4096	2046	1	1	0	0	0	0	0	98	15000	3750	0
776	4096	2046	1	1	0	0	0	0	0	99	30000	7500	0
775	4096	2046	1	1	0	0	0	0	0	100	7000	1750	0
774	4096	2046	1	1	0	0	0	0	0	101	15000	3750	0
773	4096	2046	1	1	0	0	0	0	0	102	30000	7500	0
772	4096	2046	1	1	0	0	0	0	0	103	7000	1750	0
771	4096	2046	1	1	0	0	0	0	0	104	15000	3750	0
770	4096	2046	1	1	0	0	0	0	0	105	30000	7500	0
769	4096	2046	1	1	0	0	0	0	0	106	7000	1750	0
768	4096	2046	1	1	0	0	0	0	0	107	15000	3750	0
767	4096	2046	1	1	0	0	0	0	0	108	30000	7500	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
585	4096	2046	1	1	0	0	0	0	0	50	12000	3000	0
584	4096	2046	1	1	0	0	0	0	0	193	60000	15000	0
582	4096	2046	1	1	0	0	0	0	0	51	12000	3000	0
581	4096	2046	1	1	0	0	0	0	0	194	60000	15000	0
599	4096	2046	1	1	0	0	0	0	0	43	12000	3000	0
598	4096	2046	1	1	0	0	0	0	0	186	60000	15000	0
597	4096	2046	1	1	0	0	0	0	0	44	12000	3000	0
596	4096	2046	1	1	0	0	0	0	0	187	60000	15000	0
595	4096	2046	1	1	0	0	0	0	0	45	12000	3000	0
594	4096	2046	1	1	0	0	0	0	0	188	60000	15000	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
492	4096	2046	1	1	0	0	0	0	0	223	10000	2500	0
491	4096	2046	1	1	0	0	0	0	0	224	10000	2500	0
490	4096	2046	1	1	0	0	0	0	0	225	10000	2500	0
489	4096	2046	1	1	0	0	0	0	0	226	10000	2500	0
439	4096	2046	1	1	0	0	0	0	0	174	12000	3000	0
988	4096	2046	1	1	0	0	5	0	0	0	6400	1600	0
977	4096	2046	1	1	3	3	3	3	3	0	10800	2700	0
580	4096	2046	1	1	0	0	0	0	0	230	14200	3550	0
644	4096	2046	1	1	0	0	0	0	0	201	20000	5000	2
579	4096	2046	1	1	0	0	0	0	0	175	34000	8500	0
844	4096	2046	1	1	0	0	0	0	0	11	400	100	2
708	4096	2046	1	1	0	0	0	0	0	255	500000	125000	0
646	4096	2046	1	1	0	0	0	0	0	200	200000	50000	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	50	50	0	0	0	0	0	144	1	0	0
0	4096	1	50	50	0	0	0	0	0	145	1	0	0
0	4096	1	50	50	0	0	0	0	0	146	1	0	0
0	4096	1	50	50	0	0	0	0	0	147	1	0	0
0	4096	1	50	50	0	0	0	0	0	148	1	0	0
0	4096	1	50	50	0	0	0	0	0	149	1	0	0
0	4096	1	50	50	0	0	0	0	0	150	1	0	0
0	4096	1	50	50	0	0	0	0	0	151	1	0	0
0	4096	1	50	50	0	0	0	0	0	152	1	0	0
0	4096	1	50	50	0	0	0	0	0	153	1	0	0
0	4096	1	50	50	0	0	0	0	0	154	1	0	0
0	4096	1	50	50	0	0	0	0	0	155	1	0	0
0	4096	1	50	50	0	0	0	0	0	156	1	0	0
0	4096	1	50	50	0	0	0	0	0	157	1	0	0
0	4096	1	50	50	0	0	0	0	0	158	1	0	0
0	4096	1	50	50	0	0	0	0	0	159	1	0	0
0	4096	1	50	50	0	0	0	0	0	160	1	0	0
0	4096	1	50	50	0	0	0	0	0	161	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
0	4096	1	1	1	0	0	0	0	0	0	1	0	0
