Sort	BtlSort	Type	Usage	Rarity	Tier	BaseHP	BaseSP	BaseSt	BaseMa	BaseEn	BaseAg	BaseLu	Skill	Buy	Sell	GetFlag
190	0	8192	16	1	1	0	0	0	0	0	0	0	0	2000	500	0
189	0	8192	16	1	1	0	0	0	0	0	0	0	0	2000	500	0
188	0	8192	16	1	1	0	0	0	0	0	0	0	0	2000	500	0
187	0	8192	16	1	1	0	0	0	0	0	0	0	0	2000	500	0
186	0	8192	16	1	1	0	0	0	0	0	0	0	0	2000	500	0
185	0	8192	16	1	1	0	0	0	0	0	0	0	0	2000	500	0
184	0	8192	16	1	1	0	0	0	0	0	0	0	0	2000	500	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
175	0	8192	16	1	1	0	0	0	0	0	0	0	0	250	60	2
174	0	8192	16	1	1	0	0	0	0	0	0	0	0	5000	1250	0
173	0	8192	16	1	1	0	0	0	0	0	0	0	0	2000	500	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	2000	500	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	1500	380	0
942	942	8192	6	1	1	0	0	0	0	0	0	0	609	1000	250	2
938	938	8192	6	1	1	0	0	0	0	0	0	0	664	1000	250	2
395	495	8192	4	1	1	0	0	0	0	0	0	0	185	1000	250	2
367	467	8192	4	1	1	0	0	0	0	0	0	0	188	1000	250	2
889	889	8192	6	1	1	0	0	0	0	0	0	0	613	1000	250	2
887	887	8192	6	1	1	0	0	0	0	0	0	0	603	1000	250	2
984	980	8192	6	1	1	0	0	0	0	0	0	0	663	1000	250	2
981	977	8192	6	1	1	0	0	0	0	0	0	0	601	1000	250	2
979	975	8192	6	1	1	0	0	0	0	0	0	0	601	1000	250	2
936	936	8192	6	1	1	0	0	0	0	0	0	0	602	1000	250	2
982	978	8192	6	1	1	0	0	0	0	0	0	0	601	1000	250	2
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	800	200	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	5000	1250	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
319	399	8192	4	1	1	0	0	0	0	0	0	0	621	1000	250	0
325	425	8192	4	1	1	0	0	0	0	0	0	0	216	3000	750	0
329	429	8192	4	1	1	0	0	0	0	0	0	0	215	3000	750	0
349	449	8192	4	1	1	0	0	0	0	0	0	0	200	2000	500	0
348	448	8192	4	1	1	0	0	0	0	0	0	0	201	2000	500	0
309	397	8192	4	1	1	0	0	0	0	0	0	0	638	8000	2000	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
499	599	1048576	4	1	1	0	0	0	0	0	0	0	622	1000	250	0
497	597	1048576	4	1	1	0	0	0	0	0	0	0	623	1000	250	0
489	589	1048576	4	1	1	0	0	0	0	0	0	0	624	1000	250	0
487	587	1048576	4	1	1	0	0	0	0	0	0	0	625	1000	250	0
479	579	1048576	4	1	1	0	0	0	0	0	0	0	626	1000	250	0
477	577	1048576	4	1	1	0	0	0	0	0	0	0	627	1000	250	0
469	569	1048576	4	1	1	0	0	0	0	0	0	0	628	1000	250	0
467	567	1048576	4	1	1	0	0	0	0	0	0	0	629	1000	250	0
439	539	1048576	4	1	1	0	0	0	0	0	0	0	630	1000	250	0
438	538	1048576	4	1	1	0	0	0	0	0	0	0	631	1000	250	0
459	559	1048576	4	1	1	0	0	0	0	0	0	0	632	1200	300	0
449	549	1048576	4	1	1	0	0	0	0	0	0	0	633	1200	300	0
397	497	8192	4	1	1	0	0	0	0	0	0	0	185	2000	500	0
377	477	8192	4	1	1	0	0	0	0	0	0	0	187	2000	500	0
387	487	8192	4	1	1	0	0	0	0	0	0	0	186	2000	500	0
498	598	1048576	4	1	1	0	0	0	0	0	0	0	634	1600	400	0
488	588	1048576	4	1	1	0	0	0	0	0	0	0	635	1600	400	0
478	578	1048576	4	1	1	0	0	0	0	0	0	0	636	1600	400	0
468	568	1048576	4	1	1	0	0	0	0	0	0	0	637	1600	400	0
993	993	8192	6	1	1	0	0	0	0	0	0	0	605	2000	500	2
989	988	8192	6	1	1	0	0	0	0	0	0	0	661	2000	500	2
996	996	8192	6	1	1	0	0	0	0	0	0	0	600	2000	500	2
947	947	8192	6	1	1	0	0	0	0	0	0	0	642	2000	500	2
985	981	8192	6	1	1	0	0	0	0	0	0	0	663	2000	500	2
399	499	8192	4	1	1	0	0	0	0	0	0	0	180	2000	500	2
379	479	8192	4	1	1	0	0	0	0	0	0	0	182	2000	500	2
389	489	8192	4	1	1	0	0	0	0	0	0	0	181	2000	500	2
396	496	8192	4	1	1	0	0	0	0	0	0	0	185	2000	500	2
368	468	8192	4	1	1	0	0	0	0	0	0	0	188	2000	500	2
537	637	8192	4	1	1	0	0	0	0	0	0	0	172	2000	500	2
553	653	8192	4	1	1	0	0	0	0	0	0	0	171	2000	500	2
557	657	8192	4	1	1	0	0	0	0	0	0	0	170	2000	500	2
533	633	8192	4	1	1	0	0	0	0	0	0	0	173	2000	500	2
518	618	8192	4	1	1	0	0	0	0	0	0	0	177	2000	500	2
895	895	8192	6	1	1	0	0	0	0	0	0	0	666	2000	500	2
893	893	8192	6	1	1	0	0	0	0	0	0	0	612	2000	500	2
897	897	8192	6	1	1	0	0	0	0	0	0	0	644	2000	500	2
848	848	8192	6	1	1	0	0	0	0	0	0	0	667	2000	500	2
890	890	8192	6	1	1	0	0	0	0	0	0	0	613	2000	500	2
837	798	8192	6	1	1	0	0	0	0	0	0	0	668	2000	500	2
836	797	8192	6	1	1	0	0	0	0	0	0	0	669	2000	500	2
838	799	8192	6	1	1	0	0	0	0	0	0	0	670	2000	500	2
818	749	8192	6	1	1	0	0	0	0	0	0	0	671	2000	500	2
819	796	8192	6	1	1	0	0	0	0	0	0	0	672	2000	500	2
339	439	8192	4	1	1	0	0	0	0	0	0	0	205	2000	500	2
338	438	8192	4	1	1	0	0	0	0	0	0	0	206	2000	500	2
328	428	8192	4	1	1	0	0	0	0	0	0	0	215	2000	500	2
324	424	8192	4	1	1	0	0	0	0	0	0	0	216	2000	500	2
595	695	8192	4	1	1	0	0	0	0	0	0	0	166	2000	500	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
458	558	1048576	4	1	1	0	0	0	0	0	0	0	645	1000	250	0
456	556	1048576	4	1	1	0	0	0	0	0	0	0	646	1000	250	0
448	548	1048576	4	1	1	0	0	0	0	0	0	0	647	1000	250	0
446	546	1048576	4	1	1	0	0	0	0	0	0	0	648	1000	250	0
457	557	1048576	4	1	1	0	0	0	0	0	0	0	649	1600	400	0
447	547	1048576	4	1	1	0	0	0	0	0	0	0	650	1600	400	0
369	469	8192	4	1	1	0	0	0	0	0	0	0	188	6000	1500	0
356	456	8192	4	1	1	0	0	0	0	0	0	0	198	6000	1500	0
359	459	8192	4	1	1	0	0	0	0	0	0	0	195	2000	500	0
358	458	8192	4	1	1	0	0	0	0	0	0	0	196	2000	500	0
357	457	8192	4	1	1	0	0	0	0	0	0	0	197	2000	500	0
455	555	1048576	4	1	1	0	0	0	0	0	0	0	646	1000	250	0
486	586	1048576	4	1	1	0	0	0	0	0	0	0	625	1000	250	0
327	427	8192	4	1	1	0	0	0	0	0	0	0	215	5000	1250	0
323	423	8192	4	1	1	0	0	0	0	0	0	0	216	5000	1250	0
318	398	8192	4	1	1	0	0	0	0	0	0	0	621	1000	250	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
299	0	8192	8	1	1	0	0	0	0	0	0	0	0	400	100	2
298	0	8192	8	1	1	0	0	0	0	0	0	0	0	700	180	0
297	0	8192	8	1	1	0	0	0	0	0	0	0	0	900	230	0
296	0	8192	8	1	1	0	0	0	0	0	0	0	0	1200	300	0
295	0	8192	8	1	1	0	0	0	0	0	0	0	0	1500	380	0
294	0	8192	8	1	1	0	0	0	0	0	0	0	0	2000	500	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	0	8192	2	1	1	0	0	0	0	0	0	0	0	400	100	2
0	0	8192	2	1	1	0	0	0	0	0	0	0	501	400	100	3
0	0	8192	2	1	1	0	0	0	0	0	0	0	502	400	100	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
779	0	8192	2	1	1	0	0	0	0	0	0	0	641	300	80	0
398	498	8192	4	1	1	0	0	0	0	0	0	0	180	1300	330	0
388	488	8192	4	1	1	0	0	0	0	0	0	0	181	1300	330	0
378	478	8192	4	1	1	0	0	0	0	0	0	0	182	1300	330	0
991	991	8192	6	1	1	0	0	0	0	0	0	0	605	800	200	0
366	466	8192	4	1	1	0	0	0	0	0	0	0	188	1500	380	0
946	946	8192	6	1	1	0	0	0	0	0	0	0	642	1000	250	0
988	987	8192	6	1	1	0	0	0	0	0	0	0	661	1200	300	0
347	447	8192	4	1	1	0	0	0	0	0	0	0	201	1500	380	0
849	849	8192	6	1	1	0	0	0	0	0	0	0	665	200	50	0
785	0	8192	2	1	1	0	0	0	0	0	0	0	659	120	30	0
747	0	8192	2	1	1	0	0	0	0	0	0	0	615	120	30	0
99	0	8192	2	1	1	0	0	0	0	0	0	0	0	200	50	0
536	636	8192	4	1	1	0	0	0	0	0	0	0	172	200	50	0
556	656	8192	4	1	1	0	0	0	0	0	0	0	170	200	50	0
990	990	8192	6	1	1	0	0	0	0	0	0	0	605	200	50	0
517	617	8192	6	1	1	0	0	0	0	0	0	0	654	2500	630	0
945	945	8192	6	1	1	0	0	0	0	0	0	0	642	1800	450	0
746	0	8192	2	1	1	0	0	0	0	0	0	0	615	120	30	0
978	974	8192	6	1	1	0	0	0	0	0	0	0	157	10000	2500	0
778	0	8192	2	1	1	0	0	0	0	0	0	0	641	400	100	0
935	935	8192	6	1	1	0	0	0	0	0	0	0	162	16000	4000	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
999	0	524288	8	1	1	0	0	0	0	0	0	0	0	1200	300	2
998	0	524288	8	1	1	0	0	0	0	0	0	0	0	1200	300	2
997	0	524288	8	1	1	0	0	0	0	0	0	0	0	4000	1000	2
996	0	524288	8	1	1	0	0	0	0	0	0	0	0	1200	300	2
995	0	524288	8	1	1	0	0	0	0	0	0	0	0	1200	300	2
994	0	524288	8	1	1	0	0	0	0	0	0	0	0	4000	1000	2
993	0	524288	8	1	1	0	0	0	0	0	0	0	0	1200	300	2
992	0	524288	8	1	1	0	0	0	0	0	0	0	0	1200	300	2
991	0	524288	8	1	1	0	0	0	0	0	0	0	0	4000	1000	2
979	0	524288	8	1	1	0	0	0	0	0	0	0	0	9000	2250	2
978	0	524288	8	1	1	0	0	0	0	0	0	0	0	12000	2500	2
977	0	524288	8	1	1	0	0	0	0	0	0	0	0	8000	2000	2
976	0	524288	8	1	1	0	0	0	0	0	0	0	0	4500	1130	2
975	0	524288	8	1	1	0	0	0	0	0	0	0	0	2000	500	2
974	0	524288	8	1	1	0	0	0	0	0	0	0	0	4000	1000	2
973	0	524288	8	1	1	0	0	0	0	0	0	0	0	2000	500	2
972	0	524288	8	1	1	0	0	0	0	0	0	0	0	4000	1000	2
971	0	524288	8	1	1	0	0	0	0	0	0	0	0	450	110	2
959	0	524288	8	1	1	0	0	0	0	0	0	0	0	500	130	2
958	0	524288	8	1	1	0	0	0	0	0	0	0	0	500	130	2
957	0	524288	8	1	1	0	0	0	0	0	0	0	0	500	130	2
956	0	524288	8	1	1	0	0	0	0	0	0	0	0	3000	750	2
955	0	524288	8	1	1	0	0	0	0	0	0	0	0	500	130	2
954	0	524288	8	1	1	0	0	0	0	0	0	0	0	500	130	2
953	0	524288	8	1	1	0	0	0	0	0	0	0	0	5000	130	2
952	0	524288	8	1	1	0	0	0	0	0	0	0	0	8000	130	2
951	0	524288	8	1	1	0	0	0	0	0	0	0	0	8000	130	2
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	400	100	0
