Sort	Type	EquipBy	Attr	Rarity	Tier	BaseAtk	BaseAcc	BaseSt	BaseMa	BaseEn	BaseAg	BaseLu	Skill	Buy	Sell	GetFlag	Model	Flags
195	16	16	1	1	1	195	97	0	0	0	0	3	0	23200	5800	0	41	0
247	16	16	1	1	1	247	97	0	0	0	0	0	0	31900	7980	0	43	0
233	16	16	1	1	1	233	97	0	0	3	0	0	0	27900	6980	0	41	0
310	16	16	1	1	1	310	97	0	0	0	0	0	0	43100	10780	0	43	0
289	16	16	1	1	1	289	97	0	0	0	0	0	222	38600	9650	0	45	0
300	16	16	1	1	1	300	97	0	0	0	0	0	187	53200	13300	0	41	0
350	16	16	4	1	1	350	97	0	0	0	0	7	15	65400	16350	0	47	0
410	16	16	1	1	1	410	97	0	0	0	0	0	252	15900	3980	0	48	0
150	16	16	1	1	1	150	93	0	0	0	0	0	232	9800	2450	0	44	0
0	16	16	1	1	1	100	93	0	0	0	0	0	0	400	100	2	42	0
0	16	16	1	1	1	100	93	0	0	0	0	0	0	400	100	2	40	0
279	16	16	1	1	1	279	97	0	0	0	0	0	0	37000	9250	0	41	0
263	16	16	1	1	1	263	97	0	0	0	0	0	9	33200	8300	0	43	0
213	16	16	1	1	1	213	97	0	0	0	0	0	118	25000	6250	0	41	0
120	16	16	5	1	1	120	80	0	0	0	0	0	0	17600	4400	0	41	0
270	16	16	1	1	1	270	85	0	0	0	0	0	39	40000	10000	0	46	0
0	0	1	65535	1	1	100	93	0	0	0	0	0	0	400	100	2	0	0
0	0	1	65535	1	1	100	93	0	0	0	0	0	0	400	100	2	0	0
0	0	1	65535	1	1	100	93	0	0	0	0	0	0	400	100	2	0	0
0	0	1	65535	1	1	100	93	0	0	0	0	0	0	400	100	2	0	0
115	32	32	0	1	1	115	95	0	0	0	0	0	0	400	100	2	50	0
96	32	32	0	1	1	96	95	0	0	0	2	0	0	8000	2000	0	54	0
157	32	32	0	1	1	157	95	0	0	0	0	0	75	17800	4450	0	52	0
0	32	32	0	1	1	100	95	0	0	0	0	0	0	400	100	2	54	0
99	32	32	9	1	1	100	85	0	0	0	0	0	0	12000	3000	0	51	0
170	32	32	0	1	1	170	95	0	0	0	0	0	116	19600	4900	0	51	0
134	32	32	0	1	1	134	95	0	0	0	0	0	0	13000	3250	0	54	0
120	32	32	0	1	1	120	95	0	0	0	0	0	35	10600	2650	0	52	0
163	32	32	0	1	1	163	95	0	0	0	0	0	0	18000	4500	0	52	0
149	32	32	0	1	1	149	95	0	0	0	0	0	20	14950	3740	0	51	0
185	32	32	0	1	1	185	95	0	0	0	0	0	0	23250	5810	0	55	0
266	32	32	0	1	1	266	95	0	0	0	0	0	26	34550	8640	0	53	0
220	32	32	0	1	1	220	95	0	0	0	0	0	0	27900	6980	0	51	0
197	32	32	0	1	1	197	95	0	0	3	0	0	0	25100	6280	0	51	0
237	32	32	0	1	1	237	95	0	3	0	0	0	0	29400	7350	0	52	0
254	32	32	0	1	1	254	95	0	0	0	0	0	0	33100	8280	0	53	0
310	32	32	0	1	1	310	95	0	0	0	0	0	0	44850	11210	0	51	0
270	32	32	0	1	1	270	95	0	0	0	5	0	47	36400	9100	0	55	0
290	32	32	0	1	1	290	95	0	0	0	0	0	73	40000	10000	0	55	0
425	32	32	0	1	1	425	95	5	5	5	5	5	254	67900	16980	0	56	0
377	32	32	4	1	1	377	95	0	5	0	0	0	190	52500	13130	0	57	0
150	32	32	0	1	1	150	85	0	0	0	0	0	14	16500	4130	0	51	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0
140	32	32	0	1	1	140	95	0	0	0	0	0	206	14800	3700	0	51	0
277	32	32	0	1	1	277	95	0	0	0	0	0	0	38800	9700	0	55	0
292	32	32	0	1	1	292	95	0	0	0	0	0	41	40200	10050	0	53	0
231	32	32	0	1	1	231	95	0	0	0	0	0	9	28600	7150	0	51	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0
100	32	32	9	1	1	100	85	0	0	0	0	0	35	21000	5250	0	55	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	64	128	2	1	1	110	93	0	0	0	0	0	0	10000	2500	0	326	1
145	64	128	2	1	1	145	93	0	0	0	0	0	0	14500	3630	0	326	1
125	64	128	2	1	1	125	93	0	0	0	0	0	40	11750	2940	0	586	4
169	64	128	2	1	1	170	93	0	0	0	0	0	0	20000	5000	0	584	2
156	64	128	2	1	1	156	93	3	0	0	0	0	0	16500	4130	0	586	4
196	64	128	2	1	1	196	93	0	0	0	0	0	0	24600	6150	0	586	4
182	64	128	2	1	1	182	93	0	0	0	0	0	34	22000	5500	0	326	1
233	64	128	2	1	1	233	93	0	0	0	0	0	0	31000	7750	0	587	4
213	64	128	2	1	1	213	93	0	0	0	3	0	0	26700	6680	0	327	1
200	64	128	2	1	1	200	85	0	0	0	0	0	21	25200	6300	0	588	4
267	64	128	2	1	1	267	93	0	0	0	0	0	0	37300	9330	0	585	2
245	64	128	2	1	1	245	93	0	0	0	0	0	29	32700	8180	0	585	2
308	64	128	2	1	1	308	93	1	1	1	1	1	0	45200	11300	0	585	2
335	64	128	2	1	1	335	93	0	0	0	0	0	0	50500	12630	0	585	2
345	64	128	2	1	1	345	93	0	0	0	0	0	45	53100	13280	0	587	4
450	64	128	2	1	1	450	93	5	5	5	5	5	202	73000	18250	0	589	2
177	64	128	2	1	1	177	90	0	0	0	0	0	26	21000	5250	0	587	4
295	64	128	2	1	1	295	93	0	0	0	0	0	0	43650	10910	0	585	2
274	64	128	2	1	1	274	93	0	0	0	0	0	14	38800	9700	0	587	4
230	64	128	2	1	1	230	90	0	0	0	0	0	233	28700	7180	0	585	2
400	64	128	2	1	1	400	93	0	0	0	7	0	234	68100	17030	0	585	2
170	64	128	2	1	1	170	99	0	0	0	0	0	0	20500	5130	0	584	2
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	586	0
270	64	128	2	1	1	270	90	0	0	0	0	0	221	38100	9530	0	585	2
125	256	512	0	1	1	125	96	0	0	0	0	0	0	400	100	2	90	0
250	256	512	0	1	1	250	90	0	0	0	0	0	42	400	100	0	96	0
162	256	512	0	1	1	162	96	0	0	0	0	0	0	17000	4250	0	92	0
146	256	512	0	1	1	146	96	0	0	0	0	3	0	14350	3590	0	91	0
181	256	512	0	1	1	181	96	0	0	0	0	0	0	20850	5210	0	94	0
168	256	512	0	1	1	168	96	0	0	0	0	0	109	18600	4650	0	92	0
215	256	512	0	1	1	215	96	0	0	0	0	0	0	26150	6540	0	91	0
193	256	512	0	1	1	193	96	0	0	0	0	0	133	22300	5580	0	92	0
250	256	512	0	1	1	250	96	0	0	0	0	0	0	31000	7750	0	93	0
235	256	512	0	1	1	235	96	0	0	0	3	0	0	27800	6950	0	91	0
272	256	512	0	1	1	272	96	0	0	0	0	0	0	36400	9100	0	95	0
305	256	512	0	1	1	305	96	0	0	0	0	0	0	42600	10650	0	91	0
288	256	512	0	1	1	288	96	0	0	0	0	0	43	38100	9530	0	93	0
192	256	512	0	1	1	192	96	0	3	0	0	0	230	21400	5350	0	95	0
410	256	512	0	1	1	410	96	9	9	9	9	9	171	67400	16850	0	97	0
240	256	512	0	1	1	240	96	0	0	0	5	0	51	29800	7450	0	94	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0
155	256	512	0	1	1	155	90	0	0	0	0	0	73	16000	4000	0	91	0
263	256	512	0	1	1	263	96	0	0	3	0	0	0	32700	8180	0	91	0
266	256	512	0	1	1	266	90	0	0	0	0	0	169	400	100	2	91	0
330	256	512	9	1	1	330	96	0	5	0	0	0	194	53200	13300	0	93	0
130	256	512	6	1	1	130	85	0	0	0	0	0	0	21500	5380	0	95	0
185	256	512	0	1	1	185	90	0	0	0	0	0	38	1520	380	0	91	0
285	256	512	0	1	1	285	96	0	7	0	0	0	51	37200	9300	0	91	0
130	128	256	2	1	1	130	94	0	0	0	0	0	0	400	100	2	80	0
270	128	256	2	1	1	270	94	0	0	0	0	0	73	35400	8850	0	81	0
169	128	256	2	1	1	169	94	0	0	0	0	0	0	18600	4650	0	84	0
154	128	256	2	1	1	154	94	0	0	0	0	0	29	15780	3950	0	82	0
192	128	256	2	1	1	192	94	0	0	0	0	0	0	23000	5750	0	82	0
176	128	256	2	1	1	176	94	0	0	0	0	0	23	19700	4930	0	81	0
170	128	256	2	1	1	170	88	0	0	0	0	0	38	480	120	2	86	0
227	128	256	2	1	1	227	94	0	0	0	0	0	0	28500	7130	0	83	0
203	128	256	2	1	1	203	94	3	0	0	0	0	0	24300	6080	0	81	0
199	128	256	2	1	1	200	88	0	0	0	0	0	42	23600	5900	2	83	0
260	128	256	2	1	1	260	94	0	0	0	0	0	0	34200	8550	0	85	0
244	128	256	2	1	1	244	94	0	0	0	0	0	35	29700	7430	0	84	0
319	128	256	2	1	1	319	94	0	0	0	0	0	0	46550	11640	0	83	0
298	128	256	2	1	1	298	94	0	0	0	0	0	5	41700	10430	0	85	0
330	128	256	2	1	1	330	94	0	0	0	0	0	196	52600	13150	0	83	0
200	128	256	8	1	1	200	90	0	0	0	0	0	50	38900	9730	0	87	0
400	128	256	5	1	1	400	99	0	5	0	0	0	191	62500	15630	0	88	0
440	128	256	2	1	1	440	94	0	0	0	0	0	248	69700	17430	0	89	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0
285	128	256	2	1	1	285	94	0	0	0	0	0	0	40000	10000	0	81	0
272	128	256	2	1	1	272	94	0	0	0	0	0	17	35800	8950	0	83	0
235	128	256	2	1	1	235	94	0	5	0	0	0	9	31000	7750	0	85	0
80	128	256	8	1	1	80	88	0	0	0	0	0	0	12100	3030	0	81	0
144	512	1024	1	1	1	144	90	0	0	0	0	0	0	29200	7300	2	100	0
174	512	1024	1	1	1	174	90	0	0	0	0	0	0	19800	4950	0	102	0
159	512	1024	1	1	1	159	90	0	0	0	0	0	40	16200	4050	0	101	0
180	512	1024	1	1	1	180	90	0	0	0	0	0	27	880	220	0	103	0
200	512	1024	1	1	1	200	90	0	0	0	0	0	0	24500	6130	0	100	0
185	512	1024	1	1	1	185	90	0	0	3	0	0	0	21250	5310	0	101	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0
190	512	1024	1	1	1	190	90	0	0	0	0	0	222	23200	5800	0	102	0
220	512	1024	1	1	1	220	90	0	0	0	0	0	232	28700	7180	0	102	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
220	512	1024	1	1	1	220	90	0	0	0	0	0	44	31400	7850	0	100	0
300	512	1024	1	1	1	300	90	0	0	0	0	0	187	35700	8930	0	102	0
350	512	1024	5	1	1	350	90	7	0	0	0	0	18	57800	14450	0	105	0
450	512	1024	1	1	1	450	90	0	0	0	15	0	250	71200	17800	0	104	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
235	128	256	2	1	1	235	94	0	0	0	0	0	174	400	100	0	85	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	64	65535	0	0	0	0	0	0	0	0	0	0	100	30	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	100	30	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	100	30	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	100	30	0	0	0
108	2	2	0	1	1	108	95	0	0	0	0	0	0	400	100	2	10	0
101	4	4	2	1	1	101	98	0	0	0	0	0	0	400	100	2	20	0
111	8	8	0	1	1	111	92	0	0	0	0	0	0	400	100	2	30	0
105	16	16	1	1	1	105	97	0	0	0	0	0	0	400	100	2	40	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	64	128	2	1	1	100	99	0	0	0	0	0	0	400	100	2	327	1
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
300	2	2	9	1	1	300	95	0	0	0	0	0	194	40000	10000	0	15	0
100	2	2	0	1	1	100	99	0	0	0	0	0	33	400	100	0	15	0
177	2	2	0	1	1	177	95	0	0	0	0	0	53	21300	5330	0	15	0
230	2	2	0	1	1	230	88	0	0	0	0	0	38	29000	7250	0	13	0
200	2	2	8	1	1	200	90	0	0	0	0	0	0	26800	6700	0	15	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	65535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
