Sort	Type	Rarity	Tier	Skill	Buy	Sell	GetFlag
586	131072	1	1	195	1200	300	0
587	131072	1	1	192	1200	300	0
584	131072	1	1	197	1200	300	0
588	131072	1	1	191	1200	300	0
585	131072	1	1	196	1200	300	0
578	131072	1	1	201	1200	300	0
599	131072	1	1	180	1200	300	0
596	131072	1	1	185	1200	300	0
597	131072	1	1	182	1200	300	0
594	131072	1	1	187	1200	300	0
598	131072	1	1	181	1200	300	0
595	131072	1	1	186	1200	300	0
593	131072	1	1	188	1200	300	0
583	131072	1	1	198	1200	300	0
569	131072	1	1	205	1200	300	0
568	131072	1	1	206	1200	300	0
579	131072	1	1	200	1200	300	0
549	131072	1	1	215	1200	300	0
548	131072	1	1	216	1200	300	0
559	131072	1	1	210	1200	300	0
558	131072	1	1	211	1200	300	0
539	131072	1	1	220	1200	300	0
538	131072	1	1	221	1200	300	0
536	131072	1	1	222	1200	300	0
537	131072	1	1	223	1200	300	0
0	0	1	1	0	1200	300	0
647	131072	1	1	167	1200	300	0
0	0	1	1	0	1200	300	0
0	0	1	1	0	1200	300	0
489	131072	1	1	700	1200	300	0
488	131072	1	1	701	1200	300	0
487	131072	1	1	702	1200	300	0
486	131072	1	1	703	1200	300	0
485	131072	1	1	704	1200	300	0
484	131072	1	1	705	1200	300	0
483	131072	1	1	706	1200	300	0
482	131072	1	1	707	1200	300	0
481	131072	1	1	708	1200	300	0
480	131072	1	1	709	1200	300	0
479	131072	1	1	710	1200	300	0
478	131072	1	1	711	1200	300	0
477	131072	1	1	712	1200	300	0
476	131072	1	1	713	1200	300	0
475	131072	1	1	714	1200	300	0
474	131072	1	1	715	1200	300	0
473	131072	1	1	716	1200	300	0
472	131072	1	1	717	1200	300	0
471	131072	1	1	718	1200	300	0
470	131072	1	1	719	1200	300	0
469	131072	1	1	724	1200	300	0
468	131072	1	1	725	1200	300	0
467	131072	1	1	726	1200	300	0
466	131072	1	1	727	1200	300	0
465	131072	1	1	720	1200	300	0
464	131072	1	1	721	1200	300	0
463	131072	1	1	722	1200	300	0
462	131072	1	1	723	1200	300	0
461	131072	1	1	728	1200	300	0
460	131072	1	1	729	1200	300	0
459	131072	1	1	730	1200	300	0
457	131072	1	1	732	1200	300	0
456	131072	1	1	733	1200	300	0
449	131072	1	1	734	1200	300	0
445	131072	1	1	742	1200	300	0
444	131072	1	1	743	1200	300	0
443	131072	1	1	744	1200	300	0
442	131072	1	1	745	1200	300	0
441	131072	1	1	746	1200	300	0
440	131072	1	1	747	1200	300	0
439	131072	1	1	748	1200	300	0
438	131072	1	1	749	1200	300	0
437	131072	1	1	750	1200	300	0
436	131072	1	1	751	1200	300	0
435	131072	1	1	752	1200	300	0
434	131072	1	1	753	1200	300	0
433	131072	1	1	754	1200	300	0
432	131072	1	1	755	1200	300	0
447	131072	1	1	740	1200	300	0
446	131072	1	1	741	1200	300	0
408	131072	1	1	756	1200	300	0
399	131072	1	1	759	1200	300	0
398	131072	1	1	760	1200	300	0
397	131072	1	1	761	1200	300	0
396	131072	1	1	762	1200	300	0
395	131072	1	1	763	1200	300	0
394	131072	1	1	764	1200	300	0
393	131072	1	1	765	1200	300	0
392	131072	1	1	766	1200	300	0
391	131072	1	1	767	1200	300	0
390	131072	1	1	768	1200	300	0
387	131072	1	1	769	1200	300	0
386	131072	1	1	770	1200	300	0
389	131072	1	1	771	1200	300	0
388	131072	1	1	772	1200	300	0
0	0	1	1	0	1200	300	0
358	131072	1	1	842	1200	300	0
299	131072	1	1	792	1200	300	0
298	131072	1	1	793	1200	300	0
297	131072	1	1	794	1200	300	0
296	131072	1	1	795	1200	300	0
295	131072	1	1	796	1200	300	0
294	131072	1	1	797	1200	300	0
293	131072	1	1	798	1200	300	0
292	131072	1	1	799	1200	300	0
291	131072	1	1	800	1200	300	0
290	131072	1	1	801	1200	300	0
289	131072	1	1	804	1200	300	0
288	131072	1	1	805	1200	300	0
287	131072	1	1	802	1200	300	0
286	131072	1	1	803	1200	300	0
285	131072	1	1	806	1200	300	0
284	131072	1	1	807	1200	300	0
283	131072	1	1	808	1200	300	0
282	131072	1	1	809	1200	300	0
458	131072	1	1	731	1200	300	0
448	131072	1	1	735	1200	300	0
0	0	1	1	0	1200	300	0
129	0	1	1	0	1200	300	0
179	131072	1	1	779	1200	300	0
178	131072	1	1	780	1200	300	0
177	131072	1	1	781	1200	300	0
169	131072	1	1	784	1200	300	0
168	131072	1	1	785	1200	300	0
167	131072	1	1	786	1200	300	0
159	131072	1	1	788	1200	300	0
158	131072	1	1	789	1200	300	0
157	131072	1	1	790	1200	300	0
99	131072	1	1	845	1200	300	0
98	131072	1	1	846	1200	300	0
97	131072	1	1	847	1200	300	0
199	131072	1	1	825	1200	300	0
198	131072	1	1	826	1200	300	0
197	131072	1	1	827	1200	300	0
0	0	1	1	0	1200	300	0
206	131072	1	1	833	1200	300	0
207	131072	1	1	834	1200	300	0
357	131072	1	1	848	1200	300	0
356	131072	1	1	849	1200	300	0
138	131072	1	1	857	1200	300	0
139	131072	1	1	856	1200	300	0
0	0	1	1	0	1200	300	0
0	0	1	1	0	1200	300	0
137	131072	1	1	841	1200	300	0
339	131072	1	1	835	1200	300	0
338	131072	1	1	836	1200	300	0
349	131072	1	1	850	1200	300	0
348	131072	1	1	852	1200	300	0
194	131072	1	1	829	1200	300	0
195	131072	1	1	828	1200	300	0
193	131072	1	1	830	1200	300	0
249	0	1	1	0	1200	300	0
248	0	1	1	0	1200	300	0
247	0	1	1	0	1200	300	0
246	0	1	1	0	1200	300	0
245	0	1	1	0	1200	300	0
244	0	1	1	0	1200	300	0
242	131072	1	1	820	1200	300	0
241	131072	1	1	821	1200	300	0
240	131072	1	1	822	1200	300	0
347	131072	1	1	851	1200	300	0
346	131072	1	1	853	1200	300	0
0	0	1	1	0	1200	300	0
89	131072	1	1	838	1200	300	0
88	0	1	1	0	1200	300	0
499	131072	1	1	871	1200	300	0
498	0	1	1	0	1200	300	0
409	131072	1	1	757	1200	300	0
0	0	1	1	0	1200	300	0
407	131072	1	1	869	1200	300	0
406	131072	1	1	870	1200	300	0
359	131072	1	1	844	1200	300	0
196	131072	1	1	831	1200	300	0
209	131072	1	1	884	1200	300	0
208	131072	1	1	885	1200	300	0
243	0	1	1	0	1200	300	0
345	131072	1	1	854	1200	300	0
189	131072	1	1	886	1200	300	0
188	131072	1	1	887	1200	300	0
187	131072	1	1	888	1200	300	0
186	131072	1	1	889	1200	300	0
149	131072	1	1	890	1200	300	0
148	131072	1	1	891	1200	300	0
147	131072	1	1	892	1200	300	0
259	131072	1	1	893	1200	300	0
258	131072	1	1	894	1200	300	0
128	131072	1	1	895	1200	300	0
257	131072	1	1	896	1200	300	0
256	131072	1	1	897	1200	300	0
385	131072	1	1	773	1200	300	0
384	131072	1	1	774	1200	300	0
383	131072	1	1	775	1200	300	0
382	131072	1	1	776	1200	300	0
281	131072	1	1	863	1200	300	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
0	0	1	1	0	1	0	0
