Sort	Type	Rarity	Buy	Sell	GetFlag
408	65536	1	4400	1100	0
407	65536	1	6280	1570	0
406	65536	1	6440	1610	0
404	65536	1	640	160	0
403	65536	1	1400	350	0
402	65536	1	1720	430	0
401	65536	1	4760	1190	0
399	65536	1	2080	520	0
398	65536	1	4880	1220	0
397	65536	1	5760	1440	0
396	65536	1	5800	1450	0
394	65536	1	1360	340	0
393	65536	1	1560	390	0
392	65536	1	5600	1400	0
391	65536	1	6520	1630	0
389	65536	1	1920	480	0
388	65536	1	2040	510	0
387	65536	1	3240	810	0
386	65536	1	4760	1190	0
384	65536	1	2440	610	0
383	65536	1	3120	780	0
382	65536	1	5600	1400	0
381	65536	1	6200	1550	0
379	65536	1	3360	840	0
378	65536	1	4600	1150	0
377	65536	1	7320	1830	0
376	65536	1	7560	1890	0
374	65536	1	2120	530	0
373	65536	1	4040	1010	0
372	65536	1	5120	1280	0
371	65536	1	6040	1510	0
369	65536	1	880	220	0
368	65536	1	1120	280	0
367	65536	1	8000	2000	0
366	65536	1	5840	1460	0
364	65536	1	3880	970	0
363	65536	1	5520	1380	0
362	65536	1	7680	1920	0
361	65536	1	7820	1960	0
359	65536	1	960	240	0
358	65536	1	1160	290	0
357	65536	1	2200	550	0
356	65536	1	5520	1380	0
354	65536	1	1160	290	0
353	65536	1	1560	390	0
352	65536	1	2800	700	0
351	65536	1	3700	930	0
349	65536	1	3080	770	0
348	65536	1	4520	1130	0
347	65536	1	6680	1670	0
346	65536	1	6820	1710	0
344	65536	1	1200	300	0
343	65536	1	5320	1330	0
342	65536	1	3600	900	0
341	65536	1	7120	1780	0
339	65536	1	2280	570	0
338	65536	1	5000	1250	0
337	65536	1	5800	1450	0
336	65536	1	6000	1500	0
334	65536	1	3600	900	0
333	65536	1	5000	1250	0
332	65536	1	6080	1520	0
331	65536	1	7120	1780	0
329	65536	1	3760	940	0
328	65536	1	4000	1000	0
327	65536	1	5720	1430	0
326	65536	1	9000	2250	0
324	65536	1	1360	340	0
323	65536	1	1600	400	0
322	65536	1	2400	600	0
321	65536	1	3200	800	0
319	65536	1	1200	300	0
318	65536	1	1800	450	0
317	65536	1	4640	1160	0
316	65536	1	5200	1300	0
314	65536	1	2880	720	0
313	65536	1	4120	1030	0
312	65536	1	5440	1360	0
311	65536	1	6760	1690	0
309	65536	1	2960	740	0
308	65536	1	5200	1300	0
307	65536	1	7040	1760	0
306	65536	1	7620	1910	0
304	65536	1	4400	1100	0
303	65536	1	5800	1450	0
302	65536	1	6960	1740	0
301	65536	1	7320	1830	0
0	65536	1	2000	500	0
0	65536	1	2000	500	0
509	65536	1	3200	800	0
508	65536	1	6800	1700	0
507	65536	1	14000	3500	0
0	65536	1	6000	1500	0
299	65536	1	280	70	0
298	65536	1	320	80	0
297	65536	1	20	10	0
296	65536	1	560	140	0
295	65536	1	600	150	0
294	65536	1	120	30	0
293	65536	1	4000	1000	0
292	65536	1	400	100	0
291	65536	1	400	100	0
289	65536	1	440	110	0
288	65536	1	480	120	0
287	65536	1	20	10	0
286	65536	1	800	200	0
285	65536	1	880	220	0
284	65536	1	120	30	0
283	65536	1	6800	1700	0
282	65536	1	400	100	0
281	65536	1	400	100	0
279	65536	1	800	200	0
278	65536	1	880	220	0
277	65536	1	20	10	0
276	65536	1	1400	350	0
275	65536	1	1440	360	0
274	65536	1	120	30	0
273	65536	1	9600	2400	0
272	65536	1	400	100	0
271	65536	1	400	100	0
269	65536	1	1160	290	0
268	65536	1	1200	300	0
267	65536	1	20	10	0
266	65536	1	1840	460	0
265	65536	1	1880	470	0
264	65536	1	120	30	0
263	65536	1	12800	3200	0
262	65536	1	400	100	0
261	65536	1	400	100	0
259	65536	1	1440	360	0
258	65536	1	1480	370	0
257	65536	1	20	10	0
256	65536	1	2040	510	0
255	65536	1	2080	520	0
254	65536	1	120	30	0
253	65536	1	18000	4500	0
252	65536	1	400	100	0
251	65536	1	400	100	0
249	65536	1	1960	490	0
248	65536	1	2000	500	0
247	65536	1	20	10	0
246	65536	1	2720	680	0
245	65536	1	2760	690	0
244	65536	1	120	30	0
243	65536	1	24000	6000	0
242	65536	1	400	100	0
241	65536	1	400	100	0
239	65536	1	2160	540	0
238	65536	1	2200	550	0
237	65536	1	20	10	0
236	65536	1	2960	740	0
235	65536	1	3000	750	0
234	65536	1	120	30	0
233	65536	1	30800	7700	0
232	65536	1	400	100	0
231	65536	1	400	100	0
229	65536	1	2440	610	0
228	65536	1	2480	620	0
227	65536	1	20	10	0
226	65536	1	3480	870	0
225	65536	1	3520	880	0
224	65536	1	3520	880	0
223	65536	1	38000	9500	0
222	65536	1	400	100	0
221	65536	1	400	100	0
219	65536	1	2760	690	0
218	65536	1	2800	700	0
217	65536	1	20	10	0
216	65536	1	3800	950	0
215	65536	1	3840	960	0
214	65536	1	120	30	0
213	65536	1	48000	12000	0
212	65536	1	400	100	0
211	65536	1	400	100	0
209	65536	1	3160	790	0
208	65536	1	3200	800	0
207	65536	1	20	10	0
206	65536	1	4480	1120	0
205	65536	1	4520	1130	0
204	65536	1	120	30	0
203	65536	1	60000	15000	0
202	65536	1	400	100	0
201	65536	1	400	100	0
0	65536	1	1	0	2
0	65536	1	1	0	2
0	65536	1	1	0	2
0	65536	1	1	0	2
0	65536	1	1	0	2
0	65536	1	1	0	2
0	65536	1	1	0	2
0	65536	1	1	0	2
0	65536	1	1	0	2
0	65536	1	1	0	2
0	65536	1	1	0	2
0	65536	1	1	0	2
0	65536	1	1	0	2
0	65536	1	1	0	2
0	65536	1	1	0	2
0	65536	1	1	0	2
0	65536	1	1	0	2
0	4194304	1	1	0	2
790	4194304	1	1	0	2
789	4194304	1	1	0	2
788	4194304	1	1	0	2
787	4194304	1	1	0	2
786	4194304	1	1	0	2
792	4194304	1	1	0	2
784	4194304	1	1	0	2
0	4194304	1	1	0	2
785	4194304	1	1	0	2
0	4194304	1	1	0	2
782	4194304	1	1	0	2
781	4194304	1	1	0	2
780	4194304	1	1	0	2
779	4194304	1	1	0	2
772	4194304	1	1	0	2
777	4194304	1	1	0	2
775	4194304	1	1	0	2
774	4194304	1	1	0	2
773	4194304	1	1	0	2
776	4194304	1	1	0	2
771	4194304	1	1	0	2
770	4194304	1	1	0	2
768	4194304	1	1	0	2
767	4194304	1	1	0	2
766	4194304	1	1	0	2
765	4194304	1	1	0	2
764	4194304	1	1	0	2
763	4194304	1	1	0	2
762	4194304	1	1	0	2
761	4194304	1	1	0	2
760	4194304	1	1	0	2
759	4194304	1	1	0	2
758	4194304	1	1	0	2
757	4194304	1	1	0	2
769	4194304	1	1	0	2
783	4194304	1	1	0	2
778	4194304	1	1	0	2
799	4194304	1	25000	6250	2
798	4194304	1	75000	18750	2
797	4194304	1	250000	62500	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
0	32768	1	1	0	2
