resist0	resist1	resist2	resist3	resist4	resist5	resist6	resist7	resist8	resist9	resist10	resist11	resist12	resist13	resist14	resist15
400	850	200	200	400	200	100	131272	100	100	400	0	0	0	0	0
100	4096	35	35	16534	35	4196	131172	100	100	100	0	0	0	0	0
100	720	200	200	400	200	100	131272	100	100	100	0	0	0	0	0
131122	300	150	150	150	16534	4196	4196	100	100	131122	0	0	0	0	0
150	100	100	100	100	100	100	100	100	0	150	0	0	0	0	0
150	100	100	100	100	100	100	100	100	0	150	0	0	0	0	0
100	4196	100	16534	4196	100	4196	131122	100	100	100	0	0	0	0	0
100	150	16534	50	50	100	4196	131172	100	100	100	0	0	0	0	0
100	150	50	16534	50	100	4196	131172	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	131172	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	131172	100	100	100	0	0	0	0	0
100	131172	50	100	16534	100	4096	131172	100	100	100	0	0	0	0	0
100	131172	50	100	16534	100	4196	131172	100	100	100	0	0	0	0	0
100	131172	50	100	16534	100	4196	131172	100	100	100	0	0	0	0	0
50	100	100	100	100	16534	4196	4096	100	100	50	0	0	0	0	0
50	100	100	100	100	16534	4196	4096	100	100	50	0	0	0	0	0
50	100	100	100	100	16534	4196	4096	100	100	50	0	0	0	0	0
50	100	100	100	100	16534	4196	4096	100	100	50	0	0	0	0	0
50	100	100	100	100	16534	4196	4096	100	100	50	0	0	0	0	0
50	100	100	100	100	16534	4196	4096	100	100	50	0	0	0	0	0
50	100	100	100	100	16534	4196	4096	100	100	50	0	0	0	0	0
100	100	100	100	100	16534	100	4096	100	100	100	0	0	0	0	0
100	100	100	100	100	16534	100	4096	100	100	100	0	0	0	0	0
100	100	100	100	100	16534	100	4096	100	100	100	0	0	0	0	0
100	150	100	16534	100	8292	4196	131172	100	100	100	0	0	0	0	0
100	200	100	100	16534	8292	4196	131172	100	100	100	0	0	0	0	0
100	100	100	100	100	8292	4196	131172	100	100	100	0	0	0	0	0
16534	1	100	100	100	8292	16394	4196	100	100	150	0	0	0	0	0
100	100	16534	100	100	8292	4196	131172	100	100	100	0	0	0	0	0
100	150	4196	100	16534	100	4196	131172	100	100	100	0	0	0	0	0
50	4096	16534	16534	16534	16534	4196	131122	100	100	50	0	0	0	0	0
131172	131172	131172	131172	131172	131172	4196	131172	131172	100	131172	0	0	0	0	0
100	100	100	16534	50	16534	4196	131172	100	100	100	0	0	0	0	0
131172	131172	131172	131172	131172	131172	4196	131172	131172	131172	131172	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	150	4196	100	16534	100	4196	131172	100	100	100	0	0	0	0	0
100	100	16534	100	100	16534	100	131172	100	100	100	0	0	0	0	0
100	131172	50	100	16534	100	4196	131172	100	100	100	0	0	0	0	0
100	4096	35	35	16534	35	4196	131172	100	100	100	0	0	0	0	0
400	850	200	200	400	200	100	131272	100	100	400	0	0	0	0	0
100	720	200	200	400	200	100	131272	100	100	100	0	0	0	0	0
50	4196	100	8292	100	16534	100	131172	100	100	50	0	0	0	0	0
100	150	50	16534	50	100	4196	131172	100	100	100	0	0	0	0	0
100	150	16534	50	50	100	4196	131172	100	100	100	0	0	0	0	0
100	100	16534	100	100	8292	4196	131172	100	100	100	0	0	0	0	0
100	200	100	100	16534	8292	4196	131172	100	100	100	0	0	0	0	0
100	150	100	16534	100	8292	4196	131172	100	100	100	0	0	0	0	0
16534	1	100	100	100	8292	16394	4196	100	100	150	0	0	0	0	0
100	4196	100	16534	4196	100	4196	131122	100	100	100	0	0	0	0	0
50	100	100	100	100	16534	100	4096	100	100	50	0	0	0	0	0
131172	131172	131172	131172	131172	131172	4196	4196	131172	100	131172	0	0	0	0	0
131172	131172	131172	131172	131172	131172	4196	4196	131172	100	131172	0	0	0	0	0
100	100	100	100	100	100	4196	4196	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	16534	50	16534	4196	131172	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	16534	8292	4196	150	4196	100	100	100	100	0	0	0	0	0
100	100	4196	150	16534	8292	4196	100	100	100	100	0	0	0	0	0
100	100	100	4196	16534	100	4196	100	100	100	100	0	0	0	0	0
100	100	16534	100	100	4196	4196	100	100	100	100	0	0	0	0	0
100	100	4196	16534	100	100	4196	100	100	100	100	0	0	0	0	0
100	100	100	100	50	16534	4196	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	150	100	100	16534	100	4196	4196	100	100	100	0	0	0	0	0
100	150	100	16534	100	100	4196	4196	100	100	100	0	0	0	0	0
100	150	16534	100	100	100	4196	4196	100	100	100	0	0	0	0	0
100	150	100	100	100	16534	4196	4196	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	8292	16534	100	16534	4196	100	100	100	100	0	0	0	0	0
50	4196	8292	16534	50	10	4196	100	100	100	50	0	0	0	0	0
100	150	4196	16534	16534	100	100	100	100	100	100	0	0	0	0	0
100	100	8292	16534	50	50	4196	4196	100	100	100	0	0	0	0	0
100	100	8292	16534	4196	100	100	100	100	100	100	0	0	0	0	0
100	100	16534	4196	16534	150	4196	100	100	100	100	0	0	0	0	0
100	100	16534	4196	100	50	100	100	100	100	100	0	0	0	0	0
50	4196	100	8292	16534	50	4196	100	100	100	50	0	0	0	0	0
100	100	50	4196	16534	16534	4196	100	100	100	100	0	0	0	0	0
50	100	100	8292	16534	100	4196	4196	100	100	50	0	0	0	0	0
100	100	4196	4196	4196	16534	100	150	100	100	100	0	0	0	0	0
100	150	4196	100	4196	16534	100	100	100	100	100	0	0	0	0	0
50	100	100	100	4196	16534	100	50	100	100	100	0	0	0	0	0
50	100	10	50	8292	16534	4196	50	100	100	50	0	0	0	0	0
200	50	100	100	4196	16534	100	100	100	100	200	0	0	0	0	0
100	150	16534	100	100	8292	16484	100	100	100	100	0	0	0	0	0
100	100	100	100	16534	4196	100	100	100	100	100	0	0	0	0	0
100	4196	16534	50	50	8292	4196	100	100	100	100	0	0	0	0	0
50	150	16534	100	100	8292	16484	100	100	100	50	0	0	0	0	0
100	150	16534	100	100	8292	16484	50	100	100	100	0	0	0	0	0
100	100	100	100	4196	16534	100	100	100	100	100	0	0	0	0	0
50	100	100	150	150	100	16484	100	100	100	50	0	0	0	0	0
8292	100	10	16534	10	10	4196	100	100	100	8292	0	0	0	0	0
4196	100	10	10	10	16534	4196	100	100	100	4196	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	100	16534	100	100	4196	50	100	100	100	0	0	0	0	0
100	100	50	16534	100	50	8292	4196	100	100	100	0	0	0	0	0
50	4196	16534	100	100	100	8292	4196	100	100	50	0	0	0	0	0
100	4196	4196	16534	100	100	8292	4196	100	100	100	0	0	0	0	0
100	131172	4196	8292	100	16534	4196	131172	100	100	100	0	0	0	0	0
100	150	16534	16534	100	4196	100	100	100	100	100	0	0	0	0	0
50	100	100	100	50	50	16484	200	100	100	50	0	0	0	0	0
100	100	100	100	16534	8292	100	4196	100	100	100	0	0	0	0	0
100	50	16534	4196	100	10	100	4196	100	100	100	0	0	0	0	0
50	100	100	100	16534	4196	100	4196	100	100	50	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
131122	100	4196	16534	100	100	100	150	100	100	131122	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	4196	4196	16534	50	100	150	100	100	100	0	0	0	0	0
100	100	100	100	100	100	100	100	100	100	100	0	0	0	0	0
100	100	150	16534	4196	8292	100	100	100	100	100	0	0	0	0	0
100	100	100	100	8292	50	16484	4196	100	100	100	0	0	0	0	0
16534	4196	50	50	50	4196	16484	100	100	100	150	0	0	0	0	0
50	4196	4196	100	50	4196	16484	100	100	100	50	0	0	0	0	0
