m_atk	m_type	hp	maxhp	mp	maxmp	str	vit	tec	luck	m_hojo	BaseItem0	BaseItem1	BaseItem2	BaseItem3	BaseItem4	BaseItem5	BaseItem6	MaterialID0	MaterialID1	MaterialID2	MaterialID3	MaterialNum0	MaterialNum1	MaterialNum2	MaterialNum3	gold	effectcolor	treeStage	branchNo
240	3	10	0	0	0	4	0	0	0	1390	154	0	0	0	0	0	0	301	287	321	0	2	2	1	0	8700	8	4	16
270	2	0	0	0	0	0	2	3	2	65	155	0	0	0	0	0	0	316	294	314	0	1	2	2	0	15600	2	5	18
270	2	0	0	0	0	0	3	2	2	744	156	0	0	0	0	0	0	295	294	322	0	1	4	1	0	15600	2	5	17
270	1	0	0	0	0	0	0	3	4	208	157	0	0	0	0	0	0	274	273	272	0	1	2	3	0	15600	3	5	19
300	1	0	0	0	0	0	0	5	4	157	158	0	0	0	0	0	0	281	273	322	0	2	3	1	0	24500	3	5	20
270	3	30	0	0	0	4	0	0	0	212	159	0	0	0	0	0	0	302	301	287	0	1	2	2	0	15600	8	5	21
270	3	20	0	0	0	5	0	0	0	64	160	0	0	0	0	0	0	288	287	322	0	2	4	1	0	15600	8	5	22
300	2	0	0	0	0	0	3	4	2	1387	161	0	0	0	0	0	0	295	316	315	0	3	2	2	0	24500	2	6	24
300	2	0	0	0	0	0	4	3	2	1049	162	0	0	0	0	0	0	295	316	323	0	2	3	1	0	24500	2	6	23
340	2	0	0	0	0	2	4	5	2	1391	161	0	0	0	0	0	0	316	309	322	323	3	3	1	1	45900	2	7	33
300	1	0	0	0	0	0	0	4	5	1050	163	0	0	0	0	0	0	274	281	280	0	2	3	2	0	24500	3	6	26
300	1	0	0	0	0	0	0	5	4	829	163	0	0	0	0	0	0	274	309	323	0	3	2	1	0	24500	3	6	27
330	1	0	0	0	0	0	0	5	6	1440	170	0	0	0	0	0	0	310	309	308	323	1	2	3	1	35700	3	7	28
300	3	30	0	0	0	5	0	1	0	1385	165	0	0	0	0	0	0	302	288	300	0	2	4	3	0	24500	8	6	29
300	3	20	0	0	0	6	0	1	0	1447	166	0	0	0	0	0	0	302	288	323	0	3	3	1	0	24500	8	6	30
340	3	30	0	0	0	7	0	3	0	1389	166	0	0	0	0	0	0	302	308	322	323	3	4	1	1	45900	8	7	37
330	2	0	0	0	0	1	3	4	3	1381	167	0	0	0	0	0	0	296	317	295	0	1	1	3	0	35700	2	7	32
330	2	0	0	0	0	1	4	3	3	1451	168	0	0	0	0	0	0	296	295	294	293	2	3	3	4	35700	2	7	25
360	1	0	0	0	0	0	0	6	7	1441	172	0	0	0	0	0	0	275	310	281	272	1	2	3	2	49200	3	8	34
330	1	0	0	0	0	0	0	6	5	1074	171	0	0	0	0	0	0	282	281	280	279	2	3	3	4	35700	3	7	35
330	3	30	0	0	0	6	0	2	0	1449	173	0	0	0	0	0	0	303	289	301	0	1	1	4	0	35700	8	7	31
330	3	20	0	0	0	7	0	2	0	1450	174	0	0	0	0	0	0	303	289	301	286	2	1	1	5	35700	8	7	36
360	2	0	0	0	0	2	5	3	3	1393	177	0	0	0	0	0	0	296	317	309	326	4	2	3	1	49200	2	8	38
360	1	0	0	0	0	0	0	7	6	1397	179	0	0	0	0	0	0	275	282	310	324	3	2	2	1	49200	3	8	39
360	3	30	0	0	0	8	0	2	0	1448	181	0	0	0	0	0	0	303	289	307	325	3	3	4	1	49200	8	8	50
225	1	20	0	0	0	0	0	0	5	1024	0	0	0	0	0	0	0	280	308	0	0	1	1	0	0	10000	9	0	41
366	3	30	0	0	0	0	0	0	8	1024	0	0	0	0	0	0	0	327	328	335	336	1	1	1	1	50000	9	0	42
444	2	40	0	0	0	0	0	0	10	1024	0	0	0	0	0	0	0	329	330	337	0	1	1	1	0	100000	9	0	43
200	2	0	0	0	0	1	1	1	1	1446	145	0	0	0	0	0	0	293	314	307	323	3	3	3	1	5200	10	2	44
270	1	0	0	0	0	2	2	2	2	1079	188	0	0	0	0	0	0	273	280	308	321	4	4	4	1	18500	10	4	45
340	1	0	0	0	0	3	3	3	3	1392	189	0	0	0	0	0	0	274	302	309	322	2	4	4	1	41400	10	6	46
410	2	0	0	0	0	4	4	4	4	1084	190	0	0	0	0	0	0	296	317	331	332	4	3	1	1	75300	10	8	47
450	1	50	0	0	0	5	5	5	5	1024	0	0	0	0	0	0	0	282	310	332	334	5	5	1	1	120000	10	0	48
460	3	50	0	0	0	9	0	10	0	1024	0	0	0	0	0	0	0	289	310	332	333	5	5	1	1	140000	10	0	49
360	3	40	0	0	0	7	0	2	0	1044	180	0	0	0	0	0	0	329	330	337	0	1	1	1	0	49200	8	8	40
360	2	0	0	0	0	2	3	5	3	1395	176	0	0	0	0	0	0	327	328	335	336	1	1	1	1	49200	2	8	51
340	1	0	0	0	0	4	4	4	4	1452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	999
140	1	0	0	0	0	0	2	0	2	1024	0	0	0	0	0	0	0	295	316	293	304	6	9	10	5	2300	6	0	53
150	2	0	0	0	0	0	1	3	0	1024	0	0	0	0	0	0	0	281	288	280	279	6	3	9	15	2200	2	0	54
165	2	0	0	0	0	0	1	1	2	1024	0	0	0	0	0	0	0	274	309	307	322	3	6	12	3	2800	3	0	55
183	2	0	0	0	0	0	4	0	0	1024	0	0	0	0	0	0	0	64	316	272	0	5	5	3	6	2700	3	0	56
188	3	0	0	0	0	1	0	3	0	1024	0	0	0	0	0	0	0	288	273	315	286	12	3	5	12	2300	2	0	57
200	1	0	0	0	0	1	2	2	0	1024	0	0	0	0	0	0	0	0	317	282	0	7	5	8	8	3400	6	0	58
212	1	0	0	0	0	2	1	1	1	1024	0	0	0	0	0	0	0	275	279	293	0	13	6	9	3	3000	8	0	59
205	2	0	0	0	0	0	3	1	1	1024	0	0	0	0	0	0	0	282	317	281	314	9	3	15	9	3400	2	0	60
218	3	0	0	0	0	3	0	2	0	1024	0	0	0	0	0	0	0	289	310	64	287	8	6	12	15	3600	2	0	61
218	3	0	0	0	0	2	0	3	0	1024	0	0	0	0	0	0	0	296	310	64	294	8	6	12	15	3600	2	0	62
208	3	0	0	0	0	1	0	2	2	1024	0	0	0	0	0	0	0	282	296	316	309	4	4	8	11	3400	3	0	63
220	3	0	0	0	0	5	0	0	0	1024	0	0	0	0	0	0	0	69	66	65	304	13	8	6	11	3600	6	0	64
233	1	0	0	0	0	0	3	3	0	1024	0	0	0	0	0	0	0	0	70	282	281	8	6	10	13	4000	2	0	65
230	1	0	0	0	0	0	4	0	2	1024	0	0	0	0	0	0	0	0	0	311	323	4	6	9	4	4300	2	0	66
242	1	0	0	0	0	3	1	2	0	1024	0	0	0	0	0	0	0	0	0	69	0	8	5	8	5	4400	4	0	67
233	1	0	0	0	0	1	2	3	0	1024	0	0	0	0	0	0	0	0	0	275	0	8	5	13	6	4500	2	0	68
243	2	0	0	0	0	0	3	3	0	1024	0	0	0	0	0	0	0	0	0	289	274	7	7	10	10	4300	4	0	69
238	2	0	0	0	0	0	3	1	2	1024	0	0	0	0	0	0	0	0	0	275	316	6	8	13	8	4200	4	0	70
255	3	0	0	0	0	2	0	3	1	1024	0	0	0	0	0	0	0	0	0	0	322	3	9	9	6	4800	5	0	71
246	3	0	0	0	0	0	0	4	2	1024	0	0	0	0	0	0	0	70	311	307	324	9	8	13	5	4700	6	0	72
272	2	0	0	0	0	0	2	5	0	1024	0	0	0	0	0	0	0	0	288	287	0	5	9	13	3	5500	2	0	73
280	3	0	0	0	0	2	0	3	2	1024	0	0	0	0	0	0	0	0	0	0	71	4	10	10	7	5800	5	0	74
310	1	0	0	0	0	0	3	3	2	1024	0	0	0	0	0	0	0	0	0	0	0	99	4	4	1	6600	6	0	75
308	1	0	0	0	0	0	1	4	3	1024	0	0	0	0	0	0	0	0	0	346	0	6	5	3	2	6200	7	0	76
312	1	0	0	0	0	3	4	1	0	1024	0	0	0	0	0	0	0	72	0	346	0	6	5	3	2	6200	4	0	77
305	2	0	0	0	0	0	5	3	0	1024	0	0	0	0	0	0	0	0	321	328	0	12	8	7	4	6800	6	0	78
303	2	0	0	0	0	0	0	1	7	1024	0	0	0	0	0	0	0	72	324	337	0	12	5	3	1	6900	4	0	79
325	3	0	0	0	0	5	0	3	0	1024	0	0	0	0	0	0	0	0	72	0	0	7	6	2	2	6300	3	0	80
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	81
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	82
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	83
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	84
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	85
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	86
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	87
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	88
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	89
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	90
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	91
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	92
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	93
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	94
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	95
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	96
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	97
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	98
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	99
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	100
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	101
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	102
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	103
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	104
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	105
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	106
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	107
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	108
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	109
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	110
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	111
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	112
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	113
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	114
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	115
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	116
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	117
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	118
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	119
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	120
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	121
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	122
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	123
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	124
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	125
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	126
10	0	0	0	0	0	0	0	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	127
