s_type	para	attr	attrtime	transfer	type	area	useflg	count	flg	n0	n1	max_damage	muteki_time	badst	percentage	para2	equipID	hitbk_cnt	hitbk_rate	flg2	weapontype	fuyoeff	shild_dmg	light_attack_mag	sortId	sortType	coolTime	wincePow
16	40	8	300	65	3	32898	1	1	1	24	0	9999	0	2	100	0	0	15	20	65536	0	0	10	0	19	4	-1	24
16	30	8	300	65	3	32769	1	1	134217729	17	15	9999	0	2	100	0	0	15	20	33619968	0	0	5	0	21	4	-1	17
16	40	8	300	65	3	32769	1	1	134217729	23	15	9999	0	2	100	3	0	15	20	33619968	0	0	5	0	22	4	-1	23
16	50	8	300	66	3	32770	1	3	1	12	0	9999	5	2	100	0	0	15	20	65536	0	0	3	0	23	4	-1	6
32	3	8	300	65	15	32770	1	1	81921	20	0	9999	0	2	100	0	0	15	20	0	0	0	14	0	164	4	20	30
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	24	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	25	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	26	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	27	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	28	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	29	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	30	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	31	999	-1	1
16	12	16	300	1	3	32769	1	1	1	12	0	9999	0	4	100	0	0	0	0	65536	0	0	3	0	32	5	-1	13
16	24	16	300	1	3	32770	1	1	1	18	0	9999	0	4	100	0	0	0	0	65536	0	0	10	0	33	5	-1	18
16	18	16	300	1	3	32898	1	1	1	15	0	9999	0	4	100	0	0	0	0	65536	0	0	3	0	34	5	-1	15
16	40	16	300	1	3	32898	1	1	1	24	0	9999	0	4	100	0	0	0	0	65536	0	0	10	0	35	5	-1	24
16	30	16	300	1	3	32769	1	1	134217729	17	15	9999	0	4	100	0	0	0	0	65536	0	0	5	0	37	5	-1	17
16	40	16	300	1	3	32769	1	1	134217729	23	15	9999	0	4	100	3	0	0	0	65536	0	0	5	0	38	5	-1	23
16	50	16	300	2	3	32770	1	3	1	12	0	9999	5	4	100	0	0	0	0	65536	0	0	3	0	39	5	-1	6
32	3	16	300	1	15	32770	1	1	81921	20	0	9999	0	4	100	0	0	0	0	65536	0	0	14	0	165	5	20	30
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	40	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	41	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	42	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	43	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	44	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	45	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	46	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	47	999	-1	1
16	12	32	300	1	3	32769	1	1	1	12	0	9999	0	8	100	0	0	10	12	33619968	0	0	3	0	48	6	-1	13
16	24	32	300	1	3	32770	1	1	1	18	0	9999	0	8	100	0	0	10	12	65536	0	0	10	0	49	6	-1	18
16	18	32	300	1	3	32898	1	1	1	15	0	9999	0	8	100	0	0	10	12	65536	0	0	3	0	50	6	-1	15
16	40	32	300	1	3	32898	1	1	1	24	0	9999	0	8	100	0	0	10	12	65536	0	0	10	0	51	6	-1	24
16	30	32	300	1	3	32769	1	1	134217729	17	15	9999	0	8	100	0	0	10	12	33619968	0	0	5	0	53	6	-1	17
16	40	32	300	0	3	32769	1	1	134217729	23	15	9999	0	8	100	3	0	10	12	33619968	0	0	5	0	54	6	-1	23
16	50	32	300	2	3	32770	1	3	1	12	0	9999	5	8	100	0	0	10	12	65536	0	0	3	0	55	6	-1	6
32	3	32	300	1	15	32770	1	1	81921	20	0	9999	0	8	100	0	0	10	12	65536	0	0	14	0	166	6	20	30
16	4	32	300	1	3	32769	1	1	134217729	15	10	9999	0	8	100	0	0	10	12	33619968	0	0	0	0	56	999	-1	15
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	57	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	58	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	59	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	60	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	61	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	62	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	63	999	-1	1
32	5	256	300	1	15	32804	1	1	16385	30	0	9999	0	0	0	0	0	20	30	128	0	0	40	0	167	8	35	30
32	5	256	300	1	15	32804	1	1	16385	70	0	9999	0	0	0	0	0	20	30	128	0	0	3	0	168	8	60	15
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	64	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	65	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	66	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	67	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	68	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	69	999	-1	1
16	0	256	0	0	3	32834	1	1	1073743881	25	0	9999	120	0	0	0	0	20	20	0	0	0	0	0	70	999	-1	25
16	0	256	0	0	3	32834	1	1	1073743881	65	0	9999	60	0	0	0	0	20	20	0	0	0	0	0	71	999	-1	65
16	0	1	0	0	3	32833	1	1	16	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	72	999	-1	1
16	40	4	300	1	4099	32962	1	1	17	32	0	9999	0	16	100	0	20480	10	12	0	0	0	10	0	73	999	-1	32
16	40	8	300	1	4099	32962	1	1	17	31	0	9999	0	2	100	0	0	15	20	0	0	0	10	0	74	999	-1	31
16	40	16	300	1	4099	32962	1	1	17	36	0	9999	0	4	100	0	0	0	0	0	0	0	10	0	75	999	-1	37
16	40	32	300	1	4099	32961	1	1	17	34	0	9999	0	8	100	0	0	10	12	0	0	0	10	0	76	999	-1	35
16	24	256	300	0	3	32834	1	1	17	35	0	9999	0	0	0	0	0	15	20	0	0	0	3	0	77	7	-1	35
16	12	64	300	1	3	32769	1	1	2097153	0	50	9999	0	1	100	0	0	10	12	33619968	0	0	3	0	78	7	-1	0
16	24	64	300	1	3	32962	1	1	2097153	0	50	9999	0	1	100	0	0	10	12	65536	0	0	3	0	79	7	-1	0
16	38	64	300	1	3	32962	1	1	2097153	0	50	9999	0	1	100	0	0	10	12	65536	0	0	0	0	80	7	-1	0
16	78	64	300	1	3	32774	1	1	2097153	0	50	9999	0	131072	100	0	0	10	12	128	0	0	0	0	81	999	-1	0
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	82	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	83	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	84	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	85	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	86	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	87	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	88	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	89	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	90	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	91	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	92	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	93	999	-1	1
16	12	128	300	1	3	32898	1	1	1	5	0	9999	0	128	40	0	0	10	12	65536	0	0	3	0	94	9	-1	5
16	12	128	300	1	3	32898	1	1	1	5	0	9999	0	4096	40	0	0	10	12	65536	0	0	3	0	95	9	-1	5
16	12	128	300	1	3	32898	1	1	1	5	0	9999	0	256	40	0	0	10	12	65536	0	0	3	0	96	9	-1	5
16	12	128	300	1	3	32898	1	1	1	5	0	9999	0	1024	40	0	0	10	12	65536	0	0	3	0	97	9	-1	5
16	16	128	300	1	3	32898	1	1	1	5	0	9999	0	64	30	0	0	10	12	65536	0	0	3	0	98	9	-1	5
16	13	128	300	1	4099	32774	1	1	2147483649	0	0	9999	0	64	30	0	0	0	0	0	0	0	0	0	99	999	-1	0
16	24	4	300	1	4099	32774	1	1	2147483649	50	0	9999	0	16	100	0	0	10	12	0	0	0	0	0	100	999	-1	50
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	101	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	102	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	103	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	104	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	105	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	106	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	107	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	108	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	109	999	-1	1
16	36	512	0	1	3	16401	7	1	4100	8	0	300	0	0	0	0	20480	0	0	196608	0	0	0	0	110	1	-1	8
16	48	512	0	1	3	16401	7	1	4100	25	0	1500	0	0	0	0	20480	0	0	196608	0	0	0	0	111	1	-1	25
16	72	512	0	1	3	16401	7	1	8196	0	100	9999	0	0	0	0	0	0	0	196608	0	0	0	0	112	1	-1	0
16	48	512	0	1	3	16404	7	1	4100	7	0	400	0	0	0	0	0	0	0	196608	0	0	0	0	113	1	-1	7
16	25	512	0	1	3	16401	7	1	65540	0	0	0	0	1056720	0	0	0	0	0	196608	0	0	0	0	116	1	-1	0
16	48	512	1800	1	3	16433	1	30	8388612	0	2.5	500	0	0	0	0	0	0	0	196608	0	0	0	0	114	1	-1	0
16	54	512	0	1	3	16657	3	1	73732	0	5	500	0	131072	100	0	0	0	0	196608	0	0	0	0	117	1	-1	0
16	96	512	0	1	3	16657	3	1	73732	0	100	9999	0	131072	100	0	0	0	0	196608	0	0	0	0	118	1	-1	0
16	72	512	1800	1	3	16433	1	30	8388612	0	4	9999	0	0	0	0	0	0	0	196608	0	0	0	0	115	1	-1	0
16	34	512	0	1	3	16404	7	1	4100	28	0	9999	0	0	0	0	0	10	5	196608	0	0	0	0	119	999	-1	28
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	120	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	121	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	122	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	123	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	124	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	125	999	-1	1
16	36	512	-1	1	3	16436	1	1	20971552	0	20	0	0	0	0	0	0	0	0	2293760	0	0	0	0	126	10	-1	0
16	36	512	-1	1	3	16436	1	1	37748768	0	20	0	0	0	0	0	0	0	0	2293760	0	0	0	0	128	10	-1	0
16	36	512	-1	1	3	16436	1	1	71303200	0	15	0	0	0	0	0	0	0	0	2293760	0	0	0	0	130	10	-1	0
16	16	512	1800	1	3	16436	1	1	16777248	0	45	0	0	0	0	0	0	0	0	196616	0	0	0	0	132	10	-1	0
16	16	512	1800	1	3	16436	1	1	33554464	0	30	0	0	0	0	0	0	10	5	8	0	0	0	0	135	10	-1	0
16	16	512	1800	1	3	16436	1	1	67108896	0	30	0	0	0	0	0	0	0	0	8	0	0	0	0	136	10	-1	0
16	18	512	0	1	3	32788	1	1	1073741824	0	0	0	0	0	0	0	0	10	5	196608	0	0	0	0	133	10	-1	0
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	137	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	138	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	139	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	140	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	141	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	142	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	143	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	144	999	-1	1
16	0	0	0	0	3	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	145	999	-1	1
0	0	1024	300	0	1	32769	1	1	2147483657	5	0	9999	1	0	0	1	8192	10	20	8388624	0	0	0	6	146	999	-1	0
0	0	1024	300	0	1	32770	1	1	2147483649	7	0	9999	1	0	0	0	8192	10	5	16	0	0	0	0	147	999	-1	7
16	0	1024	300	0	1	32770	1	1	2147483649	25	0	9999	1	0	0	0	8192	10	5	16	0	0	0	0	148	999	-1	25
16	0	1024	300	0	1	32770	1	1	2147483657	30	0	9999	1	0	0	1	8192	10	5	16	0	0	0	0	149	999	-1	30
16	0	1024	300	0	1	32770	1	1	2147483657	40	0	9999	1	0	0	2	8192	20	35	16	0	0	0	0	150	999	-1	40
0	0	1	300	0	1	32897	1	1	9	20	0	9999	0	0	0	0	20480	10	10	0	0	0	0	0	151	2	-1	10
16	6	1	300	16	1	32897	1	3	536870913	30	50	9999	0	8192	10	60	0	10	10	1114112	0	0	6	0	152	2	-1	30
16	24	1	300	16	1	32897	1	1	9	70	0	9999	1	8192	22	0	0	10	18	65536	0	0	10	0	153	2	-1	90
16	20	1	300	16	1	32898	1	1	9	40	0	9999	1	8192	18	0	20480	20	30	65536	0	0	10	0	154	2	-1	45
16	20	1	300	16	1	32897	1	1	9	60	0	9999	15	512	50	0	0	15	20	0	0	0	10	0	155	2	-1	75
16	16	1	300	16	1	32897	1	1	9	40	0	9999	10	2048	40	0	0	10	12	1114112	0	0	10	0	156	2	-1	45
16	20	1	300	8	1	32770	1	1	9	35	0	9999	30	8192	18	0	0	15	20	1114112	0	0	10	0	157	2	-1	43
32	3	1	300	4	12	32770	1	3	2147500041	40	0	9999	1	0	0	0	0	10	12	67584	0	0	10	0	161	2	30	1
32	4	1	300	1	12	32804	1	1	2147500041	55	0	9999	10	0	0	0	0	20	30	0	0	0	3	0	160	2	45	1
32	3	1	300	0	13	32770	1	1	2147500041	80	0	9999	10	0	0	0	0	15	20	0	0	0	9	0	158	2	15	15
1	0	0	120	0	0	32769	1	1	2147483649	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	174	999	-1	1
1	0	0	120	0	0	32769	1	1	2147483649	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	175	999	-1	1
1	0	0	120	0	0	32769	1	1	2147483649	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	176	999	-1	1
1	0	0	120	0	0	32769	1	1	2147483649	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	177	999	-1	1
32	5	1	300	1	12	32804	1	1	2147500041	120	0	9999	20	0	0	0	0	20	30	0	0	0	3	0	159	2	25	50
0	0	1	0	0	1	32769	1	1	1	15	0	9999	0	0	0	0	8192	10	5	0	0	0	0	0	178	999	-1	15
0	0	1	0	0	1	32769	1	1	1	20	0	9999	0	0	0	0	8192	10	5	0	0	0	0	0	179	999	-1	20
0	0	1	0	0	1	32769	1	1	9	25	0	9999	0	0	0	0	8192	10	13	0	0	0	0	0	180	999	-1	25
0	0	1024	300	0	1	32770	1	1	9	30	0	9999	1	0	0	2	8192	10	25	16	0	0	0	0	181	999	-1	30
16	28	1	300	4	1	32770	1	3	536870921	20	0	9999	1	8192	14	0	0	10	12	3213312	0	0	4	0	182	2	-1	70
16	0	0	0	0	1	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	183	999	-1	1
16	0	0	0	0	1	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	184	999	-1	1
16	0	0	0	0	1	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	185	999	-1	1
16	0	0	0	0	1	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	186	999	-1	1
16	0	0	0	0	1	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	187	999	-1	1
16	0	0	0	0	1	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	188	999	-1	1
16	0	0	0	0	1	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	189	999	-1	1
4	1	2	300	0	2	32785	1	1	1	3	0	9999	0	16384	90	0	8192	10	5	0	0	0	0	0	190	999	-1	3
4	1	2	300	0	2	32785	1	1	1	25	0	999	0	16384	95	0	8192	10	5	0	0	0	0	0	191	999	-1	25
4	1	2	300	0	2	32785	1	1	1	40	0	999	0	16384	100	0	8192	10	5	0	0	0	0	0	192	999	-1	40
4	1	2	300	0	2	32785	1	1	1	6	0	999	0	16	100	0	8192	10	5	0	0	0	0	0	193	999	-1	6
4	1	2	300	0	2	32785	1	1	1	6	10	999	0	2	100	0	8192	10	5	0	0	0	0	0	194	999	-1	6
4	1	2	300	0	2	32785	1	1	1	6	0	999	0	4	100	0	8192	10	5	0	0	0	0	0	195	999	-1	6
4	1	2	300	0	2	32785	1	1	1	6	0	999	0	8	100	0	8192	10	5	0	0	0	0	0	196	999	-1	6
4	1	2	300	0	2	32785	1	1	1	6	0	999	0	8192	100	0	0	10	5	0	0	0	0	0	197	999	-1	6
4	1	2	300	0	2	32785	1	1	1	6	0	999	0	1	100	0	0	10	5	0	0	0	0	0	198	999	-1	6
4	1	2	300	0	2	32785	1	1	1	8	0	999	0	128	25	0	0	10	5	0	0	0	0	0	199	999	-1	8
4	1	2	300	0	2	32785	1	1	1	8	0	999	0	4096	25	0	0	10	5	0	0	0	0	0	200	999	-1	8
4	1	2	300	0	2	32785	1	1	1	8	0	999	0	256	25	0	0	10	5	0	0	0	0	0	201	999	-1	8
4	1	2	300	0	2	32785	1	1	1	8	0	999	0	1024	25	0	0	10	5	0	0	0	0	0	202	999	-1	8
4	1	2	300	0	2	32785	1	1	1	8	0	999	0	2048	25	0	0	10	5	0	0	0	0	0	203	999	-1	8
4	1	2	300	0	2	32785	1	1	1	8	0	999	0	64	25	0	0	10	5	0	0	0	0	0	204	999	-1	8
32	3	2	300	0	15	32785	1	1	16385	60	0	9999	0	0	0	0	0	10	5	0	0	0	3	0	162	2	10	30
1	0	0	120	0	0	32769	1	1	2147483649	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	205	999	-1	1
1	0	0	120	0	0	32769	1	1	2147483649	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	206	999	-1	1
1	0	0	120	0	0	32769	1	1	2147483649	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	207	999	-1	1
1	0	0	120	0	0	32769	1	1	2147483649	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	208	999	-1	1
16	0	0	0	0	2	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	209	999	-1	1
16	0	0	0	0	2	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	210	999	-1	1
16	0	0	0	0	2	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	211	999	-1	1
16	0	0	0	0	2	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	212	999	-1	1
16	0	0	0	0	2	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	213	999	-1	1
16	0	0	0	0	2	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	214	999	-1	1
16	0	0	0	0	2	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	215	999	-1	1
16	0	0	0	0	2	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	216	999	-1	1
16	0	0	0	0	2	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	217	999	-1	1
16	0	0	0	0	2	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	218	999	-1	1
16	0	0	0	0	2	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	219	999	-1	1
16	0	0	0	0	2	32769	1	1	1	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	220	999	-1	1
32	2	252	1200	33	15	16406	1	1	16896	0	0	0	0	4096	100	0	0	0	0	2097152	0	0	0	0	171	10	45	0
1	0	0	120	0	0	32769	1	1	2147483649	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	221	999	-1	1
1	0	0	120	0	0	32769	1	1	2147483649	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	222	999	-1	1
1	0	0	120	0	0	32769	1	1	2147483649	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	223	999	-1	1
32	2	1	1200	1	15	16406	1	1	16896	0	0	0	0	4096	100	0	0	0	0	2097152	0	0	0	0	170	10	45	0
1	0	0	120	0	0	32769	1	1	2147483649	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	224	999	-1	1
1	0	0	120	0	0	32769	1	1	2147483649	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	225	999	-1	1
1	0	0	120	0	0	32769	1	1	2147483649	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	226	999	-1	1
1	0	0	120	0	0	32769	1	1	2147483649	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	227	999	-1	1
1	0	0	120	0	0	32769	1	1	2147483649	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	228	999	-1	1
1	0	0	120	0	0	32769	1	1	2147483649	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	229	999	-1	1
1	0	0	120	0	0	32769	1	1	2147483649	1	0	0	0	0	0	0	0	10	5	0	0	0	0	0	230	999	-1	1
32	200	0	600	1	4099	32770	1	1	268435457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	999	-1	0
16	0	0	0	0	10	16449	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	999	-1	0
