en	included
Judge Zelenin	3
Pillar Zelenin	3
Awake Jiminez	3
Mother Mem Aleph	3
Gore	3
Jiminez	3
Soil Jiminez	3
Empty Mem Aleph	3
DEMON_422	0
DEMON_423	0
DEMON_424	0
DEMON_425	0
DEMON_426	0
DEMON_427	0
DEMON_428	0
DEMON_429	0
DEMON_430	0
DEMON_431	0
DEMON_432	0
DEMON_433	0
DEMON_434	0
DEMON_435	0
DEMON_436	0
DEMON_437	0
DEMON_438	0
DEMON_439	0
DEMON_440	0
Norris	3
DEMON_442	0
DEMON_443	0
DEMON_444	0
Demonica Jiminez	3
DEMON_446	0
Formless Weak Fire	3
Formless Weak Ice	3
Formless Weak Elec	3
Formless Weak Wind	3
DEMON_451	0
DEMON_452	0
DEMON_453	0
DEMON_454	0
DEMON_455	0
Strange Demon	3
Soldier	3
Sergeant	3
Jack	3
DEMON_460	0
Ryan	3
DEMON_462	0
DEMON_463	0
DEMON_464	0
McClane	3
DEMON_466	0
DEMON_467	0
DEMON_468	0
DEMON_469	0
DEMON_470	0
DEMON_471	0
DEMON_472	0
DEMON_473	0
DEMON_474	0
DEMON_475	0
DEMON_476	0
DEMON_477	0
DEMON_478	0
DEMON_479	0
DEMON_480	0
DEMON_481	0
DEMON_482	0
DEMON_483	0
DEMON_484	0
DEMON_485	0
DEMON_486	0
DEMON_487	0
DEMON_488	0
DEMON_489	0
DEMON_490	0
DEMON_491	0
DEMON_492	0
DEMON_493	0
DEMON_494	0
DEMON_495	0
DEMON_496	0
DEMON_497	0
DEMON_498	0
Anahita	2
Forneus	2
Zeus	2
Maria	2
Amon	2
Shaytan	2
Demeter	2
DEMON_506	0
DEMON_507	0
DEMON_508	0
DEMON_509	0
DEMON_510	0
DEMON_511	0
