en	included
Nizam Beast	0
Enslaved Beast	1
Mighty Beast	0
Nemean Beast	0
El Dorado Beast	0
Inviting Nyogo	1
Blossom Nyogo	0
Valuing Nyogo	1
Silent Nyogo	0
Desirous Maya	1
Submissive Basalt	0
Rainy Sister 2	0
blank	0
Black Raven	1
Vicious Raven	0
Sonic Raven	0
Amenti Raven	1
Phantom Mage	1
Phantom Master	1
Phantom Lord	0
Phantom King	0
Phantom Hero	0
Death Seeker	0
Fate Seeker	0
Noble Seeker	0
Acheron Seeker	0
Shallow Okina	1
Reckless Okina	1
Reformed Okina	0
Moon Okina	0
Imprudent Maya	0
Accidental Basalt	0
Rainy Brother 2	0
blank	0
Bronze Dice	0
Iron Dice	1
Silver Dice	0
Platinum Dice	1
Mind Dice	1
Curse Dice	1
Death Dice	0
Reckoning Dice	0
Flowing Sand	0
Perpetual Sand	0
Infinite Sand	0
Eternal Sand	0
Miss Gene	0
Fail Gene	0
Happy Gene	1
Next Gene	0
Bigoted Maya	0
Convicted Basalt	0
Rainy Sister 1	0
blank	0
Justice Sword	1
Conviction Sword	0
Judgment Sword	0
Doom Sword	0
Heat Balance	1
Sky Balance	0
World Balance	0
Light Balance	0
Order Giant	0
Stasis Giant	0
Harmony Giant	0
Void Giant	0
Steel Machine	0
Dominating Machine	0
Solemn Machine	0
Heartless Machine	0
Devious Maya	1
Oppressive Basalt	0
Rainy Brother 1	0
blank	0
Minotaur IV	0
Minotaur III	0
Minotaur II	0
Minotaur I	1
Neo Minotaur	0
Jotun of Power	1
Jotun of Blood	0
Jotun of Evil	0
Jotun of Grief	1
Mighty Cyclops	0
Mad Cyclops	0
Fierce Cyclops	1
Chaos Cyclops	0
Brilliant Cyclops	0
Rebellious Cyclops	0
Protective Lexy	1
Dry Dexy	0
Earnest Calocy	1
Successful Junecy	0
Test Rare	0
blank	0
Shadow Yosuke	0
Queen of Hearts	0
Sword Soldier	0
Spear Soldier	0
Staff Soldier	0
Wand Soldier	0
Merciful Clergyman	0
Kind Doctor	0
Calm Nurse	0
Caring Nurse	0
Best Friend	0
Captor Spider	0
Blazing Leg	0
Freezing Leg	0
Lightning Leg	0
Whirlwind Leg	0
Clockwork God	0
blank	0
Margaret	0
Elizabeth	0
Golden Beetle	0
Engage King	0
Soul Seeker	0
Guardian Machine	0
blank	0
Theodore	0
Margaret	0
Elizabeth	0
Elizabeth	0
Elizabeth	0
Elizabeth	0
Elizabeth	0
The Reaper	1
The Reaper	0
The Reaper	0
The Reaper	0
The Reaper	0
The Reaper	0
The Reaper	0
The Reaper	0
God of Romance	1
Fast Guy	1
Card Soldier	1
Painting Soldier	1
Black Rabbit	0
Angel of Love	1
Beast of Lust	1
Messenger of Love	1
Cute Baby	1
Lovely Doll	1
Old Doll	1
Kowakashu	1
Sweaty Guy	1
Festival Dudes	1
The Capturer	1
The Watcher	1
Kumiashira	1
blank	0
Wealth Hand	1
Treasure Hand	1
Supreme Hand	1
Opulent Hand	1
Luxury Hand	1
Glorious Hand	0
Burning Beetle	1
blank	0
Gorgeous King	1
blank	0
Horror L Shadow	0
Fate Seeker	1
Indignant Machine	1
blank	0
Order Giant	1
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
Gauntlet Hand	0
Sword Soldier	0
Spear Soldier	0
Staff Soldier	0
Wand Soldier	0
Emaciated Garcy	0
Execution Sword	0
Cursed Woman's Pot	0
Stupendous Relic	0
Gorgeous King	0
Spectral Raven	0
Praying Nyogo	0
Superstitious Okina	0
Lawless Fuzz	0
Stone Panzer	0
Harmonious Giant	0
Snowfall Musha	0
Calm Machine	0
Clear Sky Musha	0
Indignant Machine	0
Heaven's Giant	0
blank	0
blank	0
Test S Size	0
Test M Size	0
Test L Size	0
blank	0
blank	0
blank	0
blank	0
blank	0
blank	0
