0x900	Unused Weapongold
0x9D8	Weapongold 9D8
0x9D9	Weapongold 9D9
0x9DA	Weapongold 9DA
0x9DB	Weapongold 9DB
0x9DC	Weapongold 9DC
0x9DD	Weapongold 9DD
0x9DE	Weapongold 9DE
0x9DF	Weapongold 9DF
0x9E0	Weapongold 9E0
0x9E1	Weapongold 9E1
0x9E2	Weapongold 9E2
0x9E3	Weapongold 9E3
0x9E4	Weapongold 9E4
0x9E5	Weapongold 9E5
0x9E6	Weapongold 9E6
0x9E7	Weapongold 9E7
0x9E8	Weapongold 9E8
0x9E9	Weapongold 9E9
0x9EA	Weapongold 9EA
0x9EB	Weapongold 9EB
0x9EC	Weapongold 9EC
0x9ED	Weapongold 9ED
0x9EE	Weapongold 9EE
0x9EF	Weapongold 9EF
0x9F0	Weapongold 9F0
0x9F1	Weapongold 9F1
0x9F2	Weapongold 9F2
0x9F3	Weapongold 9F3
0x9F4	Weapongold 9F4
0x9F5	Weapongold 9F5
0x9F6	Weapongold 9F6
0x9F7	Weapongold 9F7
0x9F8	Weapongold 9F8
0x9F9	Weapongold 9F9
0x9FA	Weapongold 9FA
0x9FB	Weapongold 9FB
0x9FC	Weapongold 9FC
0x9FD	Weapongold 9FD
0x9FE	Weapongold 9FE
0x9FF	Weapongold 9FF
