Date  DoW Daytime Evening
10/09	Sun	Clear	Clear
10/10	Mon	Cloud	Cloud
10/11	Tue	-	-
10/12	Wed	-	Clear
10/13	Thu	-	Clear
10/14	Fri	Rain	Cloud
10/15	Sat	Clear	Clear
10/16	Sun	Clear	Clear
10/17	Mon	-	-
10/18	Tue	-	-
10/19	Wed	-	-
10/20	Thu	-	Clear
10/21	Fri	-	Clear
10/22	Sat	-	Clear
10/23	Sun	-	Clear
10/24	Mon	-	Clear
10/25	Tue	-	Clear
10/26	Wed	-	-
10/27	Thu	-	Clear
10/28	Fri	-	-
10/29	Sat	-	Clear
10/30	Sun	Clear	Clear
10/31	Mon	Cloud	Cloud
11/01	Tue	Clear	Cloud
11/02	Wed	Clear	Clear
11/03	Thu	Clear	Clear
11/04	Fri	Clear	Clear
11/05	Sat	Clear	Cloud
11/06	Sun	Clear	Clear
11/07	Mon	Clear	Clear
11/08	Tue	Cloud	Cloud
11/09	Wed	Clear	Clear
11/10	Thu	Clear	Clear
11/11	Fri	Clear	Cloud
11/12	Sat	Clear	Clear
11/13	Sun	Clear/Flu	Clear
11/14	Mon	Clear	Clear
11/15	Tue	Clear	Clear/Flu
11/16	Wed	Rain	Cloud
11/17	Thu	Clear	Clear
11/18	Fri	-	Clear
11/19	Sat	-	-
11/20	Sun	-	-
11/21	Mon	-	-
11/22	Tue	-	Clear
11/23	Wed	-	Clear
11/24	Thu	-	Clear
11/25	Fri	Clear	Clear
11/26	Sat	Clear	Clear
11/27	Sun	Clear	Cloud
11/28	Mon	Cloud	Clear
11/29	Tue	Clear	Clear
11/30	Wed	Clear	Clear
12/01	Thu	Cloud	Cloud
12/02	Fri	Clear	Clear
12/03	Sat	Snow	Rain
12/04	Sun	Clear	Clear
12/05	Mon	Clear	Clear
12/06	Tue	Clear	Clear
12/07	Wed	Clear	Clear
12/08	Thu	Clear/Flu	Clear/Flu
12/09	Fri	Clear/Flu	Clear/Flu
12/10	Sat	Cloud	Rain
12/11	Sun	Clear	Clear
12/12	Mon	Clear	Clear
12/13	Tue	Rain	Cloud
12/14	Wed	Clear	Clear
12/15	Thu	Snow	Clear
12/16	Fri	Clear	Snow
12/17	Sat	Clear	Cloud
12/18	Sun	-	Cloud
12/19	Mon	-	Clear
12/20	Tue	-	-
12/21	Wed	-	-
12/22	Thu	Clear	Clear
12/23	Fri	-	Clear
12/24	Sat	-	-
12/25	Sun	-	-
12/26	Mon	-	-
12/27	Tue	-	-
12/28	Wed	-	-
12/29	Thu	-	-
12/30	Fri	-	-
12/31	Sat	-	-
1/01	Sun	-	-
1/02	Mon	-	-
1/03	Tue	-	-
1/04	Wed	-	-
1/05	Thu	-	-
1/06	Fri	-	-
1/07	Sat	-	-
1/08	Sun	-	-
1/09	Mon	-	-
1/10	Tue	-	-
1/11	Wed	-	-
1/12	Thu	-	-
1/13	Fri	Clear	Cloud
1/14	Sat	Clear	Cloud
1/15	Sun	Cloud	Cloud
1/16	Mon	Clear	Snow
1/17	Tue	Rain	Rain
1/18	Wed	Cloud	Clear
1/19	Thu	Cloud	Cloud
1/20	Fri	Rain	Snow
1/21	Sat	Cloud	Cloud
1/22	Sun	Clear	Cloud
1/23	Mon	Cloud	Cloud
1/24	Tue	Clear	Clear
1/25	Wed	Clear	Cloud
1/26	Thu	Snow/Freeze	Snow/Freeze
1/27	Fri	Snow/Freeze	Cloud
1/28	Sat	Clear	Cloud
1/29	Sun	Snow	Snow
1/30	Mon	Snow	Snow
1/31	Tue	Clear	Cloud
2/01	Wed	Cloud	Snow
2/02	Thu	Snow	-
