ItemDef	SortNum	ItemType	EquipID	Rarity	Tier	Evasion	Strength	Magic	Endurance	Agility	Luck	SkillID	Price	SellPrice	GetFLG
IT_SHO_AEGS_12__	210	2048	128	1	1	30	0	0	0	0	0	184	25400	6350	0
IT_SHO_AEGS_13__	651	2048	128	1	1	93	0	0	0	0	0	0	34800	8700	0
IT_SHO_AEGS_14__	610	2048	128	1	1	87	0	0	0	0	0	128	31200	7800	0
IT_SHO_AEGS_15__	448	2048	128	1	1	64	0	0	0	0	0	163	16900	4230	0
IT_SHO_AEGS_16__	280	2048	128	1	1	40	0	0	0	0	0	236	7200	1800	0
IT_SHO_AEGS_17__	876	2048	128	1	1	125	0	0	0	0	0	141	54900	13730	0
IT_SHO_AEGS_18__	707	2048	128	1	1	101	0	0	0	0	0	0	41700	10430	0
IT_SHO_AEGS_19__	672	2048	128	1	1	96	3	0	0	0	0	0	36900	9230	0
IT_SHO_AEGS_20__	0	2048	1	1	1	130	0	0	0	0	0	0	80000	20000	0
IT_SHO_DOG_01___	0	2048	1	1	1	130	0	0	0	0	0	0	100	30	0
IT_SHO_DOG_02___	0	2048	1	1	1	130	0	0	0	0	0	0	100	30	0
IT_SHO_DOG_03___	0	2048	1	1	1	130	0	0	0	0	0	0	100	30	0
IT_SHO_DOG_04___	0	2048	1	1	1	130	0	0	0	0	0	0	100	30	0
IT_SHO_DOG_05___	0	2048	1	1	1	130	0	0	0	0	0	0	100	30	0
IT_SHO_DOG_06___	0	2048	1	1	1	130	0	0	0	0	0	0	100	30	0
IT_SHO_DOG_07___	0	2048	1	1	1	130	0	0	0	0	0	0	100	30	0
IT_SHO_DOG_08___	0	2048	1	1	1	130	0	0	0	0	0	0	100	30	0
IT_SHO_DOG_09___	0	2048	1	1	1	130	0	0	0	0	0	0	100	30	0
IT_SHO_DOG_10___	0	2048	1	1	1	130	0	0	0	0	0	0	100	30	0
IT_SHO_DOG_11___	0	2048	1	1	1	130	0	0	0	0	0	0	100	30	0
IT_SHO_DOG_12___	0	2048	1	1	1	130	0	0	0	0	0	0	100	30	0
IT_SHO_DOG_13___	0	2048	1	1	1	130	0	0	0	0	0	0	100	30	0
IT_SHO_DOG_14___	0	2048	1	1	1	130	0	0	0	0	0	0	100	30	0
IT_SHO_DOG_15___	0	2048	1	1	1	130	0	0	0	0	0	0	100	30	0
IT_SHO_ID_0x06B_	0	2048	1	1	1	130	0	0	0	0	0	0	100	30	0
IT_SHO_ID_0x06C_	0	2048	1	1	1	130	0	0	0	0	0	0	100	30	0
IT_SHO_ID_0x06D_	0	2048	1	1	1	130	0	0	0	0	0	0	100	30	0
IT_SHO_ID_0x06E_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x06F_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x070_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x071_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x072_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x073_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x074_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x075_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x076_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x077_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x078_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x079_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x07A_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x07B_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x07C_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x07D_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x07E_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x07F_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x080_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x081_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x082_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x083_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x084_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x085_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x086_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x087_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x088_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x089_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x08A_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x08B_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x08C_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x08D_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x08E_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x08F_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x090_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x091_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x092_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x093_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x094_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_0x095_	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST01	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST02	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST03	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST04	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST05	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST06	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST07	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST08	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST09	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST10	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST11	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST12	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST13	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST14	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST15	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST16	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST17	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST18	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST19	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST20	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST21	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST22	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST23	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST24	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST25	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST26	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST27	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST28	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST29	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST30	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST31	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST32	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST33	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST34	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST35	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST36	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST37	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST38	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST39	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST40	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST41	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST42	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST43	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST44	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST45	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST46	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST47	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST48	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST49	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST50	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST51	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST52	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST53	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST54	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST55	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST56	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST57	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST58	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST59	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST60	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST61	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST62	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST63	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST64	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST65	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST66	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST67	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST68	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST69	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST70	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST71	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST72	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST73	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST74	0	2048	1	1	1	30	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST75	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST76	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST77	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST78	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST79	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST80	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST81	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST82	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST83	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST84	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST85	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST86	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST87	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST88	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST89	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST90	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST91	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST92	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST93	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST94	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST95	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST96	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST97	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST98	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST99	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST100	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST101	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST102	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST103	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST104	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST105	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
IT_SHO_ID_TEST106	0	2048	1	1	1	1	0	0	0	0	0	0	1	0	0
