ItemDef	SortNum	ItemType	EquipID	Price	SellPrice	GetFLG	ReflectType	CostumeID
IT_COS_HIARM_03_	40	262144	64	300000	75000	3	0	104
IT_COS_FUK_ME___	60	262144	64	1000000	250000	3	0	106
IT_COS_ID_0x058_	0	262144	1	300000	75000	3	0	0
IT_COS_ID_0x059_	0	262144	1	1000000	250000	0	0	0
IT_COS_HER_YASOG	30	262144	2	12000	3000	3	0	503
IT_COS_YUK_YASOG	30	262144	4	16000	4000	3	0	503
IT_COS_JUN_YASOG	30	262144	8	34000	8500	3	0	503
IT_COS_SAN_YASOG	30	262144	16	53000	13250	3	0	503
IT_COS_MIT_YASOG	30	262144	32	70000	17500	3	0	503
IT_COS_FUK_YASOG	30	262144	64	120000	30000	3	0	503
IT_COS_AIG_YASOG	30	262144	128	190000	47500	3	0	503
IT_COS_AMA_YASOG	30	262144	256	260000	65000	3	0	503
IT_COS_KOR_YASOG	30	262144	512	350000	87500	3	0	503
IT_COS_ARA_YASOG	30	262144	1024	1000000	250000	3	0	503
IT_COS_HER_SYUJI	20	262144	2	1000000	250000	3	0	502
IT_COS_YUK_SYUJI	20	262144	4	1000000	250000	3	0	502
IT_COS_JUN_SYUJI	20	262144	8	1000000	250000	3	0	502
IT_COS_SAN_SYUJI	20	262144	16	1000000	250000	3	0	502
IT_COS_MIT_SYUJI	20	262144	32	10000	2500	3	0	502
IT_COS_FUK_SYUJI	20	262144	64	16000	4000	3	0	502
IT_COS_AIG_SYUJI	20	262144	128	10000	2500	3	0	502
IT_COS_AMA_SYUJI	20	262144	256	10000	2500	3	0	502
IT_COS_KOR_SYUJI	20	262144	512	10000	2500	3	0	502
IT_COS_ARA_SYUJI	20	262144	1024	10000	2500	3	0	502
IT_COS_HER_THIEF	10	262144	2	10000	2500	3	0	501
IT_COS_YUK_THIEF	10	262144	4	10000	2500	3	0	501
IT_COS_JUN_THIEF	10	262144	8	10000	2500	3	0	501
IT_COS_SAN_THIEF	10	262144	16	10000	2500	3	0	501
IT_COS_MIT_THIEF	10	262144	32	10000	2500	3	0	501
IT_COS_FUK_THIEF	10	262144	64	10000	2500	3	0	501
IT_COS_AIG_THIEF	10	262144	128	10000	2500	3	0	501
IT_COS_AMA_THIEF	10	262144	256	10000	2500	3	0	501
IT_COS_KOR_THIEF	10	262144	512	10000	2500	3	0	501
IT_COS_ARA_THIEF	10	262144	1024	10000	2500	3	0	501
IT_COS_ID_0x078_	0	262144	1	10000	2500	0	0	0
IT_COS_ID_0x079_	0	262144	1	10000	2500	0	0	0
IT_COS_ID_0x07A_	0	262144	1	10000	2500	0	0	0
IT_COS_ID_0x07B_	0	262144	1	10000	2500	0	0	0
IT_COS_ID_0x07C_	0	262144	1	10000	2500	0	0	0
IT_COS_ID_0x07D_	0	262144	1	10000	2500	0	0	0
IT_COS_ID_0x07E_	0	262144	1	10000	2500	0	0	0
IT_COS_ID_0x07F_	0	262144	1	10000	2500	0	0	0
IT_COS_ID_0x080_	0	262144	1	500000	125000	0	0	0
IT_COS_ID_0x081_	0	262144	1	500000	125000	0	0	0
IT_COS_ID_0x082_	0	262144	1	500000	125000	0	0	0
IT_COS_ID_0x083_	0	262144	1	100000	25000	0	0	0
IT_COS_ID_0x084_	0	262144	1	100000	25000	0	0	0
IT_COS_ID_0x085_	0	262144	1	100000	25000	0	0	0
IT_COS_ID_0x086_	0	262144	1	100000	25000	0	0	0
IT_COS_ID_0x087_	0	262144	1	100000	25000	0	0	0
IT_COS_ID_0x088_	0	262144	1	2400	600	0	0	0
IT_COS_ID_0x089_	0	262144	1	10000	2500	0	0	0
IT_COS_ID_0x08A_	0	262144	1	10000	2500	0	0	0
IT_COS_ID_0x08B_	0	262144	1	10000	2500	0	0	0
IT_COS_ID_0x08C_	0	262144	1	300000	75000	0	0	0
IT_COS_ID_0x08D_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x08E_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x08F_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x090_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x091_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x092_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x093_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x094_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x095_	0	262144	1	1	0	0	0	0
IT_COS_M_W_UNI__	0	262144	2046	1	0	0	0	0
IT_COS_W_W_UNI__	0	262144	2046	1	0	0	0	0
IT_COS_M_S_UNI__	0	262144	2046	1	0	0	0	0
IT_COS_W_S_UNI__	0	262144	2046	1	0	0	0	0
IT_COS_M_W_SHIFU	0	262144	2046	1	0	0	0	0
IT_COS_W_W_SHIFU	0	262144	2046	1	0	0	0	0
IT_COS_M_S_SHIFU	0	262144	2046	1	0	0	0	0
IT_COS_W_S_SHIFU	0	262144	2046	1	0	0	0	0
IT_COS_ID_0x09E_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x09F_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0A0_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0A1_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0A2_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0A3_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0A4_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0A5_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0A6_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0A7_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0A8_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0A9_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0AA_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0AB_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0AC_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0AD_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0AE_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0AF_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0B0_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0B1_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0B2_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0B3_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0B4_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0B5_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0B6_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0B7_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0B8_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0B9_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0BA_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0BB_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0BC_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0BD_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0BE_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0BF_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0C0_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0C1_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0C2_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0C3_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0C4_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0C5_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0C6_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0C7_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0C8_	0	262144	1	1	0	0	0	0
IT_COS_HER_VELVE	200	262144	2	100	30	3	0	504
IT_COS_YUK_VELVE	200	262144	4	100	30	3	0	504
IT_COS_JUN_VELVE	200	262144	8	100	30	3	0	504
IT_COS_SAN_VELVE	200	262144	16	100	30	3	0	504
IT_COS_MIT_VELVE	200	262144	32	100	30	3	0	504
IT_COS_FUK_VELVE	200	262144	64	100	30	3	0	504
IT_COS_AIG_VELVE	200	262144	128	100	30	3	0	504
IT_COS_AMA_VELVE	200	262144	256	100	30	3	0	504
IT_COS_KOR_VELVE	200	262144	512	100	30	3	0	504
IT_COS_ARA_VELVE	200	262144	1024	100	30	3	0	504
IT_COS_ID_0x0D3_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0D4_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0D5_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0D6_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0D7_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0D8_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0D9_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0DA_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0DB_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0DC_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0DD_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0DE_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0DF_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0E0_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0E1_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0E2_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0E3_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0E4_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0E5_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0E6_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0E7_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0E8_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0E9_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0EA_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0EB_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0EC_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0ED_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0EE_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0EF_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0F0_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0F1_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0F2_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0F3_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0F4_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0F5_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0F6_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0F7_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0F8_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0F9_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0FA_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0FB_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0FC_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0FD_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0FE_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x0FF_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x100_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x101_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x102_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x103_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x104_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x105_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x106_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x107_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x108_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x109_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x10A_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x10B_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x10C_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x10D_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x10E_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x10F_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x110_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x111_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x112_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x113_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x114_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x115_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x116_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x117_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x118_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x119_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x11A_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x11B_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x11C_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x11D_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x11E_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x11F_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x120_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x121_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x122_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x123_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x124_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x125_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x126_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x127_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x128_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x129_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x12A_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x12B_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x12C_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x12D_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x12E_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x12F_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x130_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x131_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x132_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x133_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x134_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x135_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x136_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x137_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x138_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x139_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x13A_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x13B_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x13C_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x13D_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x13E_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x13F_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x140_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x141_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x142_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x143_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x144_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x145_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x146_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x147_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x148_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x149_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x14A_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x14B_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x14C_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x14D_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x14E_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x14F_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x150_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x151_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x152_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x153_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x154_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x155_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x156_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x157_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x158_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x159_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x15A_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x15B_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x15C_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x15D_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x15E_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x15F_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x160_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x161_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x162_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x163_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x164_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x165_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x166_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x167_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x168_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x169_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x16A_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x16B_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x16C_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x16D_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x16E_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x16F_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x170_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x171_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x172_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x173_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x174_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x175_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x176_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x177_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x178_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x179_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x17A_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x17B_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x17C_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x17D_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x17E_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x17F_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x180_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x181_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x182_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x183_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x184_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x185_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x186_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x187_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x188_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x189_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x18A_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x18B_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x18C_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x18D_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x18E_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x18F_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x190_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x191_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x192_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x193_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x194_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x195_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x196_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x197_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x198_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x199_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x19A_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x19B_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x19C_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x19D_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x19E_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x19F_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x1A0_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x1A1_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x1A2_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x1A3_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x1A4_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x1A5_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x1A6_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x1A7_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x1A8_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x1A9_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x1AA_	0	262144	1	1	0	0	0	0
IT_COS_ID_0x1AB_	0	262144	1	1	0	0	0	0
