OpenNo1	OpenNo2	OpenNo3	StartMonth	StartDay	EndMonth	EndDay	OpenFlag	ReceivedFlag	EndFlag	Rank	RequestType	RequestPersonaType	RequestOption	RequestID	RequestValue	RequestPenalty	RewardItemID	RewardItemNum	RewardMoney	InfoDisplay	OrderTalkID	QuestIndex
0	0	0	7	9	0	0	0	536874046	536874047	2	2	0	0	536874389	0	206968912	24637	5	0	536874277	114	44
0	0	0	8	8	8	31	0	536874048	536874049	2	1	0	3	20641	1	206968912	24645	20	0	536874278	116	58
0	0	0	12	4	12	25	0	536874050	536874051	3	1	0	3	20575	1	206968912	24648	3	0	536874279	118	97
90	0	0	11	6	0	0	0	536874052	536874053	4	1	0	0	24597	1	206968912	28959	1	0	536874280	0	88
0	0	0	3	31	0	0	0	536874054	536874055	1	2	0	0	0	0	206968912	0	0	0	536874281	0	102
20	0	0	6	13	0	0	0	536874056	536874057	3	1	0	3	16512	3	206968912	16667	3	0	536874282	124	19
26	0	0	10	6	0	0	0	536874058	536874059	3	1	0	3	20562	1	206968912	24667	1	0	536874283	126	74
0	0	0	3	31	0	0	0	536874060	536874061	1	2	0	0	0	0	206968912	0	0	0	536874284	0	103
0	0	0	3	31	0	0	0	536874062	536874063	1	2	0	0	0	0	206968912	0	0	0	536874285	0	104
0	0	0	4	1	0	0	0	536874064	536874065	1	4	1	0	0	13	206968912	16555	3	0	536874286	0	5
41	0	0	4	1	0	0	0	536874066	536874067	1	4	2	0	0	56	206968912	16565	2	0	536874287	0	6
41	0	0	6	13	0	0	0	536874068	536874069	2	4	1	0	0	23	206968912	20514	1	0	536874288	0	24
43	42	0	7	9	0	0	0	536874070	536874071	2	4	2	0	0	141	206968912	16548	3	0	536874289	0	34
43	0	0	8	8	0	0	0	536874072	536874073	2	4	1	0	0	38	206968912	20516	1	0	536874290	0	49
0	0	0	3	31	0	0	0	536874074	536874075	2	4	2	0	0	161	206968912	0	1	0	536874291	0	105
45	0	0	9	10	0	0	0	536874076	536874077	2	4	1	0	0	46	206968912	16631	2	0	536874292	0	61
47	0	0	11	6	0	0	0	536874078	536874079	3	4	2	0	0	112	206968912	16628	3	0	536874293	0	84
48	0	0	12	4	0	0	0	536874080	536874081	3	4	2	0	0	829	206968912	16629	3	0	536874294	0	85
41	0	0	4	1	0	0	0	536874082	536874083	3	4	2	0	61	43	206968912	32919	1	0	536874295	150	17
50	0	0	4	1	0	0	0	536874084	536874085	3	4	1	0	182	26	206968912	32922	1	0	536874296	0	25
51	0	0	4	1	0	0	1033	536874086	536874087	3	4	2	0	187	11	206968912	32816	1	0	536874297	0	35
0	0	0	3	31	0	0	0	536874088	536874089	3	4	3	0	106	0	206968912	0	1	0	536874298	0	106
52	0	0	9	10	0	0	0	536874090	536874091	3	4	2	0	132	185	206968912	32920	1	0	536874299	0	62
112	0	0	9	10	0	0	0	536874092	536874093	3	4	1	0	200	54	206968912	32925	1	0	536874300	0	63
55	0	0	9	10	0	0	0	536874094	536874095	4	4	2	0	125	786	206968912	32790	1	0	536874301	0	72
60	0	0	11	6	0	0	0	536874096	536874097	4	4	3	0	46	0	206968912	32821	1	0	536874302	0	86
56	0	0	11	6	0	0	0	536874098	536874099	4	4	1	0	208	75	206968912	20518	1	0	536874303	0	87
57	58	0	11	6	0	0	0	536874100	536874101	5	4	2	0	176	205	206968912	24669	2	0	536874304	0	98
54	0	0	9	10	0	0	0	536874102	536874103	4	4	2	0	101	835	206968912	32820	1	0	536874305	0	71
13	0	0	10	6	0	0	0	536874104	536874105	3	1	0	0	20563	1	206968912	16667	7	0	536874306	172	75
0	0	0	11	6	0	0	0	536874106	536874107	3	1	0	3	20558	1	206968912	32844	1	0	536874307	174	96
0	0	0	11	6	11	30	0	536874108	536874109	2	1	0	0	20556	1	206968912	202	1	0	536874308	176	94
31	0	0	11	6	0	0	0	536874110	536874111	2	2	0	0	536871164	0	206968912	32797	1	0	536874309	178	92
61	71	0	11	6	0	0	0	536874112	536874113	2	2	0	0	536871163	0	206968912	32855	1	0	536874310	180	93
0	0	0	7	9	0	0	0	536874114	536874115	3	2	0	0	536871147	0	206968912	32924	1	0	536874311	182	42
63	0	0	11	6	11	30	0	536874116	536874117	2	1	0	0	20554	1	206968912	12405	1	0	536874312	184	95
0	0	0	4	1	0	0	536871552	536874118	536874119	1	2	0	0	536874240	0	206968912	20519	1	0	536874313	0	77
68	0	0	4	1	0	0	536871553	536874120	536874121	1	2	0	0	536874241	0	206968912	20520	1	0	536874314	0	78
69	0	0	4	1	0	0	536871554	536874122	536874123	1	2	0	0	536874242	0	206968912	12425	1	0	536874315	0	79
70	0	0	4	1	0	0	536871555	536874124	536874125	1	2	0	0	536874243	0	206968912	12401	1	0	536874316	0	80
71	0	0	4	1	0	0	536871556	536874126	536874127	1	2	0	0	536874244	0	206968912	20521	1	0	536874317	0	81
0	0	0	4	1	6	6	0	536874128	536874129	2	1	0	0	20548	1	206968912	44	1	0	536874318	196	12
73	0	0	4	1	6	6	0	536874130	536874131	2	1	0	0	20552	1	206968912	4143	1	0	536874319	198	13
0	0	0	6	13	7	5	0	536874132	536874133	2	1	0	0	20549	1	206968912	8240	1	0	536874320	200	27
75	0	0	6	13	7	5	0	536874134	536874135	2	1	0	0	20555	1	206968912	79	1	0	536874321	202	28
0	0	0	10	6	11	1	0	536874136	536874137	2	1	0	0	20550	1	206968912	24642	5	0	536874322	204	76
0	0	0	7	9	8	4	0	536874138	536874139	2	1	0	0	20551	1	206968912	112	1	0	536874323	206	43
0	0	0	9	10	10	2	0	536874140	536874141	2	1	0	0	20553	1	206968912	254	1	0	536874324	208	68
79	0	0	9	10	10	2	0	536874142	536874143	2	1	0	0	20557	1	206968912	185	1	0	536874325	210	69
1	0	0	4	1	0	0	0	536874144	536874145	3	1	0	0	99	1	206968912	28704	1	0	536874326	0	7
81	0	0	6	13	0	0	0	536874146	536874147	3	1	0	0	35	1	206968912	28969	1	0	536874327	0	26
85	0	0	10	6	0	0	0	536874148	536874149	3	1	0	0	85	1	206968912	28940	1	0	536874328	0	73
82	0	0	9	10	0	0	0	536874150	536874151	3	1	0	0	235	1	206968912	24664	1	0	536874329	0	65
0	0	0	8	8	0	0	0	536874152	536874153	3	1	0	0	292	1	206968912	28984	1	0	536874330	0	51
84	0	0	11	6	0	0	0	536874154	536874155	3	1	0	0	221	1	206968912	24665	1	0	536874331	0	89
86	0	0	12	4	0	0	0	536874156	536874157	3	1	0	0	100	1	206968912	24672	1	0	536874332	0	90
83	0	0	1	1	0	0	0	536874158	536874159	4	1	0	0	240	1	206968912	24668	2	0	536874333	0	91
21	0	0	7	9	0	0	0	536874160	536874161	4	1	0	0	24620	1	206968912	24640	7	0	536874334	0	36
89	0	0	9	10	0	0	0	536874162	536874163	4	1	0	0	24621	1	206968912	24646	7	0	536874335	0	64
0	0	0	4	1	0	0	0	536874164	536874165	1	5	0	0	273	100	206968912	16416	3	0	536874336	0	3
91	0	0	4	1	0	0	0	536874166	536874167	2	5	0	0	273	200	206968912	16392	3	0	536874337	0	15
92	0	0	4	1	0	0	0	536874168	536874169	2	5	0	0	273	300	206968912	16387	3	0	536874338	0	22
93	0	0	4	1	0	0	0	536874170	536874171	3	5	0	0	273	450	206968912	16417	2	0	536874339	0	31
94	0	0	4	1	0	0	0	536874172	536874173	3	5	0	0	273	600	206968912	16388	2	0	536874340	0	46
95	0	0	4	1	0	0	0	536874174	536874175	4	5	0	0	273	800	206968912	16425	1	0	536874341	0	60
0	0	0	4	1	0	0	0	536874176	536874177	2	5	0	0	234	50	206968912	16422	2	0	536874342	0	4
97	0	0	4	1	0	0	0	536874178	536874179	3	5	0	0	234	100	206968912	16423	2	0	536874343	0	16
98	0	0	4	1	0	0	0	536874180	536874181	3	5	0	0	234	150	206968912	16422	6	0	536874344	0	32
99	0	0	4	1	0	0	0	536874182	536874183	4	5	0	0	234	200	206968912	16424	2	0	536874345	0	47
0	0	0	6	13	0	0	0	536874184	536874185	2	5	0	0	352	20	206968912	16667	5	0	536874346	0	23
101	0	0	6	13	0	0	0	536874186	536874187	3	5	0	0	352	35	206968912	16667	5	0	536874347	0	33
102	0	0	6	13	0	0	0	536874188	536874189	4	5	0	0	352	50	206968912	16667	5	0	536874348	0	48
0	0	0	3	31	0	0	0	536874190	536874191	1	2	0	0	0	0	206968912	0	0	0	536874349	0	107
0	0	0	3	31	0	0	0	536874192	536874193	1	2	0	0	0	0	206968912	0	0	0	536874350	0	108
0	0	0	3	31	0	0	0	536874194	536874195	1	2	0	0	0	0	206968912	0	0	0	536874351	0	109
0	0	0	3	31	0	0	0	536874196	536874197	1	2	0	0	0	0	206968912	0	0	0	536874352	0	110
0	0	0	3	31	0	0	0	536874198	536874199	1	2	0	0	0	0	206968912	0	0	0	536874353	0	111
0	0	0	3	31	0	0	0	536874200	536874201	1	2	0	0	0	0	206968912	0	0	0	536874354	0	112
9	0	0	1	1	0	0	0	536874202	536874203	5	1	0	0	24599	1	206968912	12391	1	0	536874355	270	100
11	110	72	1	1	0	0	0	536874204	536874205	5	2	0	0	536873559	0	206968912	12387	1	0	536874356	272	101
43	0	0	8	8	0	0	0	536874206	536874207	3	2	0	0	805306429	0	206968912	16488	3	0	536874357	274	50
0	0	0	3	31	0	0	0	536874208	536874209	1	2	0	0	0	0	206968912	0	0	0	536874358	0	113
0	0	0	3	31	0	0	0	536874210	536874211	1	2	0	0	0	0	206968912	0	0	0	536874359	0	114
0	0	0	3	31	0	0	0	536874212	536874213	1	2	0	0	0	0	206968912	0	0	0	536874360	0	115
0	0	0	3	31	0	0	0	536874214	536874215	1	2	0	0	0	0	206968912	0	0	0	536874361	0	116
0	0	0	3	31	0	0	0	536874216	536874217	1	2	0	0	0	0	206968912	0	0	0	536874362	0	117
0	0	0	3	31	0	0	0	536874218	536874219	1	2	0	0	0	0	206968912	0	0	0	536874363	0	118
0	0	0	3	31	0	0	0	536874220	536874221	1	2	0	0	0	0	206968912	0	0	0	536874364	0	119
0	0	0	3	31	0	0	0	536874222	536874223	1	2	0	0	0	0	206968912	0	0	0	536874365	0	120
0	0	0	3	31	0	0	0	536874224	536874225	1	2	0	0	0	0	206968912	0	0	0	536874366	0	121
0	0	0	3	31	0	0	0	536874226	536874227	1	2	0	0	0	0	206968912	0	0	0	536874367	0	122
0	0	0	3	31	0	0	0	536874228	536874229	1	2	0	0	0	0	206968912	0	0	0	536874368	0	123
0	0	0	3	31	0	0	0	536874230	536874231	1	2	0	0	0	0	206968912	0	0	0	536874369	0	124
0	0	0	3	31	0	0	0	536874232	536874233	1	2	0	0	0	0	206968912	0	0	0	536874370	0	125
0	0	0	3	31	0	0	0	536874234	536874235	1	2	0	0	0	0	206968912	0	0	0	536874371	0	126
0	0	0	3	31	0	0	0	536874236	536874237	1	2	0	0	0	0	206968912	0	0	0	536874372	0	127
