ItemDef	SortNum	ItemType	Rarity	Tier	SkillID	Price	SellPrice	GetFLG
IT_SKC_SNKPNT___	778	131072	1	1	133	1200	300	0
IT_SKC_HETWAV___	767	131072	1	1	130	1200	300	0
IT_SKC_GIGFST___	776	131072	1	1	127	1200	300	0
IT_SKC_AKSART___	766	131072	1	1	132	1200	300	0
IT_SKC_GODHND___	775	131072	1	1	131	1200	300	0
IT_SKC_ITMONJ___	0	0	1	1	0	1200	300	0
IT_SKC_KABUTO___	798	131072	1	1	111	1200	300	0
IT_SKC_GETUEI___	794	131072	1	1	119	1200	300	0
IT_SKC_ZANEI____	793	131072	1	1	120	1200	300	0
IT_SKC_NEURO____	787	131072	1	1	121	1200	300	0
IT_SKC_NIDAN____	0	0	1	1	0	1200	300	0
IT_SKC_RIKEN____	788	131072	1	1	114	1200	300	0
IT_SKC_DETBND___	786	131072	1	1	115	1200	300	0
IT_SKC_SAMIDA___	797	131072	1	1	112	1200	300	0
IT_SKC_TENGUN___	795	0	1	1	0	1200	300	0
IT_SKC_PRAYAY___	757	0	1	1	0	1200	300	0
IT_SKC_PSLASH___	799	131072	1	1	110	1200	300	0
IT_SKC_SIPPU____	789	131072	1	1	113	1200	300	0
IT_SKC_BRAVEZ___	796	131072	1	1	116	1200	300	0
IT_SKC_KONGOU___	768	131072	1	1	129	1200	300	0
IT_SKC_REPPU____	0	0	1	1	0	1200	300	0
IT_SKC_SINGLE___	749	131072	1	1	139	1200	300	0
IT_SKC_NIREN____	0	0	1	1	0	1200	300	0
IT_SKC_ANGARW___	748	131072	1	1	140	1200	300	0
IT_SKC_SINSOK___	747	131072	1	1	141	1200	300	0
IT_SKC_ARSHWR___	742	131072	1	1	143	1200	300	0
IT_SKC_SETUNA___	741	131072	1	1	144	1200	300	0
IT_SKC_WIZESP___	743	131072	1	1	146	1200	300	0
IT_SKC_KUUKAN___	785	131072	1	1	117	1200	300	0
IT_SKC_SUIKEN___	0	0	1	1	0	1200	300	0
IT_SKC_OIUCHI___	746	131072	1	1	145	1200	300	0
IT_SKC_HOIUTI___	744	131072	1	1	142	1200	300	0
IT_SKC_POI_AR___	745	131072	1	1	148	1200	300	0
IT_SKC_DIA______	699	131072	1	1	155	1200	300	0
IT_SKC_DIARAM___	698	131072	1	1	156	1200	300	0
IT_SKC_DIARHN___	697	131072	1	1	157	1200	300	0
IT_SKC_MEDIA____	689	131072	1	1	160	1200	300	0
IT_SKC_MEDIRM___	688	131072	1	1	161	1200	300	0
IT_SKC_MDIAHN___	687	131072	1	1	162	1200	300	0
IT_SKC_MESIA____	686	131072	1	1	163	1200	300	0
IT_SKC_PATRA____	679	131072	1	1	170	1200	300	0
IT_SKC_MPATRA___	678	131072	1	1	171	1200	300	0
IT_SKC_KIDUKE___	0	0	1	1	0	1200	300	0
IT_SKC_POSMDI___	0	0	1	1	0	1200	300	0
IT_SKC_BISDHI___	669	131072	1	1	172	1200	300	0
IT_SKC_MBISDH___	668	131072	1	1	173	1200	300	0
IT_SKC_CLOSED___	0	0	1	1	0	1200	300	0
IT_SKC_AMRTDR___	659	131072	1	1	177	1200	300	0
IT_SKC_AMRITA___	658	131072	1	1	176	1200	300	0
IT_SKC_RICAM____	649	131072	1	1	165	1200	300	0
IT_SKC_SRICAM___	648	131072	1	1	166	1200	300	0
IT_SKC_TARNDA___	589	131072	1	1	190	1200	300	0
IT_SKC_MTARND___	586	131072	1	1	195	1200	300	0
IT_SKC_SKUNDA___	587	131072	1	1	192	1200	300	0
IT_SKC_MSKUND___	584	131072	1	1	197	1200	300	0
IT_SKC_RAKNDA___	588	131072	1	1	191	1200	300	0
IT_SKC_MRAKND___	585	131072	1	1	196	1200	300	0
IT_SKC_DEKNDA___	578	131072	1	1	201	1200	300	0
IT_SKC_TALKJA___	599	131072	1	1	180	1200	300	0
IT_SKC_MTARKJ___	596	131072	1	1	185	1200	300	0
IT_SKC_SKUKJA___	597	131072	1	1	182	1200	300	0
IT_SKC_MSKUKJ___	594	131072	1	1	187	1200	300	0
IT_SKC_RAKKJA___	598	131072	1	1	181	1200	300	0
IT_SKC_MRAKKJ___	595	131072	1	1	186	1200	300	0
IT_SKC_ENGRIN___	593	131072	1	1	188	1200	300	0
IT_SKC_RNDMIZ___	583	131072	1	1	198	1200	300	0
IT_SKC_CHARGE___	569	131072	1	1	205	1200	300	0
IT_SKC_CONCEN___	568	131072	1	1	206	1200	300	0
IT_SKC_DEKAJA___	579	131072	1	1	200	1200	300	0
IT_SKC_TETRKN___	549	131072	1	1	215	1200	300	0
IT_SKC_MAKRKN___	548	131072	1	1	216	1200	300	0
IT_SKC_HIRISK___	559	131072	1	1	210	1200	300	0
IT_SKC_RISKHG___	558	131072	1	1	211	1200	300	0
IT_SKC_AGINDA___	539	131072	1	1	220	1200	300	0
IT_SKC_BUFNDA___	538	131072	1	1	221	1200	300	0
IT_SKC_GALNDA___	536	131072	1	1	222	1200	300	0
IT_SKC_JIONDA___	537	131072	1	1	223	1200	300	0
IT_SKC_TRAFUL___	0	0	1	1	0	1200	300	0
IT_SKC_RICDOR___	647	131072	1	1	167	1200	300	0
IT_SKC_CHARDI___	0	0	1	1	0	1200	300	0
IT_SKC_BULTDI___	0	0	1	1	0	1200	300	0
IT_SKC_T_ZAN____	489	131072	1	1	700	1200	300	0
IT_SKC_M_ZAN____	488	131072	1	1	701	1200	300	0
IT_SKC_H_ZAN____	487	131072	1	1	702	1200	300	0
IT_SKC_K_ZAN____	486	131072	1	1	703	1200	300	0
IT_SKC_T_DGEK___	485	131072	1	1	704	1200	300	0
IT_SKC_M_DGEK___	484	131072	1	1	705	1200	300	0
IT_SKC_H_DGEK___	483	131072	1	1	706	1200	300	0
IT_SKC_K_DGEK___	482	131072	1	1	707	1200	300	0
IT_SKC_T_KANT___	481	131072	1	1	708	1200	300	0
IT_SKC_M_KANT___	480	131072	1	1	709	1200	300	0
IT_SKC_H_KANT___	479	131072	1	1	710	1200	300	0
IT_SKC_K_KANT___	478	131072	1	1	711	1200	300	0
IT_SKC_T_KAEN___	477	131072	1	1	712	1200	300	0
IT_SKC_M_KAEN___	476	131072	1	1	713	1200	300	0
IT_SKC_H_KAEN___	475	131072	1	1	714	1200	300	0
IT_SKC_K_KAEN___	474	131072	1	1	715	1200	300	0
IT_SKC_T_HYOK___	473	131072	1	1	716	1200	300	0
IT_SKC_M_HYOK___	472	131072	1	1	717	1200	300	0
IT_SKC_H_HYOK___	471	131072	1	1	718	1200	300	0
IT_SKC_K_HYOK___	470	131072	1	1	719	1200	300	0
IT_SKC_T_DENG___	469	131072	1	1	724	1200	300	0
IT_SKC_M_DENG___	468	131072	1	1	725	1200	300	0
IT_SKC_H_DENG___	467	131072	1	1	726	1200	300	0
IT_SKC_K_DENG___	466	131072	1	1	727	1200	300	0
IT_SKC_T_SIPU___	465	131072	1	1	720	1200	300	0
IT_SKC_M_SIPU___	464	131072	1	1	721	1200	300	0
IT_SKC_H_SIPU___	463	131072	1	1	722	1200	300	0
IT_SKC_K_SIPU___	462	131072	1	1	723	1200	300	0
IT_SKC_T_HOLY___	461	131072	1	1	728	1200	300	0
IT_SKC_M_HOLY___	460	131072	1	1	729	1200	300	0
IT_SKC_H_HOLY___	459	131072	1	1	730	1200	300	0
IT_SKC_T_JYAK___	457	131072	1	1	732	1200	300	0
IT_SKC_M_JYAK___	456	131072	1	1	733	1200	300	0
IT_SKC_H_JYAK___	449	131072	1	1	734	1200	300	0
IT_SKC_T_NSAT___	445	131072	1	1	742	1200	300	0
IT_SKC_D_NSAT___	444	131072	1	1	743	1200	300	0
IT_SKC_T_DOYO___	443	131072	1	1	744	1200	300	0
IT_SKC_D_DOYO___	442	131072	1	1	745	1200	300	0
IT_SKC_T_CONF___	441	131072	1	1	746	1200	300	0
IT_SKC_D_CONF___	440	131072	1	1	747	1200	300	0
IT_SKC_T_KYOF___	439	131072	1	1	748	1200	300	0
IT_SKC_D_KYOF___	438	131072	1	1	749	1200	300	0
IT_SKC_T_YKEK___	437	131072	1	1	750	1200	300	0
IT_SKC_D_YKEK___	436	131072	1	1	751	1200	300	0
IT_SKC_T_TOKT___	435	131072	1	1	752	1200	300	0
IT_SKC_D_TOKT___	434	131072	1	1	753	1200	300	0
IT_SKC_T_KAND___	433	131072	1	1	754	1200	300	0
IT_SKC_D_KAND___	432	131072	1	1	755	1200	300	0
IT_SKC_T_PISN___	447	131072	1	1	740	1200	300	0
IT_SKC_D_PISN___	446	131072	1	1	741	1200	300	0
IT_SKC_FUDOSN___	408	131072	1	1	756	1200	300	0
IT_SKC_ZANMIK___	399	131072	1	1	759	1200	300	0
IT_SKC_S_ZANM___	398	131072	1	1	760	1200	300	0
IT_SKC_DAGMIK___	397	131072	1	1	761	1200	300	0
IT_SKC_S_DAGM___	396	131072	1	1	762	1200	300	0
IT_SKC_KANMIK___	395	131072	1	1	763	1200	300	0
IT_SKC_S_NMIK___	394	131072	1	1	764	1200	300	0
IT_SKC_FIRMIK___	393	131072	1	1	765	1200	300	0
IT_SKC_S_FIRM___	392	131072	1	1	766	1200	300	0
IT_SKC_ICEMIK___	391	131072	1	1	767	1200	300	0
IT_SKC_S_ICEM___	390	131072	1	1	768	1200	300	0
IT_SKC_WINMIK___	387	131072	1	1	769	1200	300	0
IT_SKC_S_WINM___	386	131072	1	1	770	1200	300	0
IT_SKC_DENMIK___	389	131072	1	1	771	1200	300	0
IT_SKC_S_DENM___	388	131072	1	1	772	1200	300	0
IT_SKC_GOBUNO___	0	0	1	1	0	1200	300	0
IT_SKC_DAITEN___	358	131072	1	1	842	1200	300	0
IT_SKC_B_ZAN____	299	131072	1	1	792	1200	300	0
IT_SKC_HBZAN____	298	131072	1	1	793	1200	300	0
IT_SKC_B_DGEK___	297	131072	1	1	794	1200	300	0
IT_SKC_HBDGEK___	296	131072	1	1	795	1200	300	0
IT_SKC_B_KANT___	295	131072	1	1	796	1200	300	0
IT_SKC_HBKANT___	294	131072	1	1	797	1200	300	0
IT_SKC_B_KAEN___	293	131072	1	1	798	1200	300	0
IT_SKC_HBKAEN___	292	131072	1	1	799	1200	300	0
IT_SKC_B_HYOK___	291	131072	1	1	800	1200	300	0
IT_SKC_HBHYOK___	290	131072	1	1	801	1200	300	0
IT_SKC_B_DENG___	289	131072	1	1	804	1200	300	0
IT_SKC_HBDENG___	288	131072	1	1	805	1200	300	0
IT_SKC_B_SIPU___	287	131072	1	1	802	1200	300	0
IT_SKC_HBSIPU___	286	131072	1	1	803	1200	300	0
IT_SKC_B_SYUK___	285	131072	1	1	806	1200	300	0
IT_SKC_SBSYUK___	284	131072	1	1	807	1200	300	0
IT_SKC_B_ZYUO___	283	131072	1	1	808	1200	300	0
IT_SKC_HBZYUO___	282	131072	1	1	809	1200	300	0
IT_SKC_K_HOLY___	458	131072	1	1	731	1200	300	0
IT_SKC_K_JYAK___	448	131072	1	1	735	1200	300	0
IT_SKC_L_UPMP___	0	0	1	1	0	1200	300	0
IT_SKC_TAIKO____	129	0	1	1	0	1200	300	0
IT_SKC_HANGE1___	179	131072	1	1	779	1200	300	0
IT_SKC_HANGE2___	178	131072	1	1	780	1200	300	0
IT_SKC_HANGE3___	177	131072	1	1	781	1200	300	0
IT_SKC_TIYU_1___	169	131072	1	1	784	1200	300	0
IT_SKC_TIYU_2___	168	131072	1	1	785	1200	300	0
IT_SKC_TIYU_3___	167	131072	1	1	786	1200	300	0
IT_SKC_KIKO_1___	159	131072	1	1	788	1200	300	0
IT_SKC_KIKO_2___	158	131072	1	1	789	1200	300	0
IT_SKC_KIKO_3___	157	131072	1	1	790	1200	300	0
IT_SKC_LOWGLW___	99	131072	1	1	845	1200	300	0
IT_SKC_MDLGLW___	98	131072	1	1	846	1200	300	0
IT_SKC_HIGGLW___	97	131072	1	1	847	1200	300	0
IT_SKC_TLKA_A___	199	131072	1	1	825	1200	300	0
IT_SKC_RKKA_A___	198	131072	1	1	826	1200	300	0
IT_SKC_SKKA_A___	197	131072	1	1	827	1200	300	0
IT_SKC_KEIKAI___	0	0	1	1	0	1200	300	0
IT_SKC_COACH____	206	131072	1	1	833	1200	300	0
IT_SKC_ADVISE___	207	131072	1	1	834	1200	300	0
IT_SKC_AL_DNC___	357	131072	1	1	848	1200	300	0
IT_SKC_NIOU_____	356	131072	1	1	849	1200	300	0
IT_SKC_AL_AJF___	138	131072	1	1	857	1200	300	0
IT_SKC_GORIN____	139	131072	1	1	856	1200	300	0
IT_SKC_DOP_HP___	0	0	1	1	0	1200	300	0
IT_SKC_DOP_MP___	0	0	1	1	0	1200	300	0
IT_SKC_MEGAMI___	137	131072	1	1	841	1200	300	0
IT_SKC_KUISIB___	339	131072	1	1	835	1200	300	0
IT_SKC_FUKUTU___	338	131072	1	1	836	1200	300	0
IT_SKC_HAKUI1___	349	131072	1	1	850	1200	300	0
IT_SKC_JAKUI1___	348	131072	1	1	852	1200	300	0
IT_SKC_M_RKKA___	194	131072	1	1	829	1200	300	0
IT_SKC_M_TLKA___	195	131072	1	1	828	1200	300	0
IT_SKC_M_SKKA___	193	131072	1	1	830	1200	300	0
IT_SKC_CHAR_B___	249	0	1	1	0	1200	300	0
IT_SKC_POIS_B___	248	0	1	1	0	1200	300	0
IT_SKC_DOUY_B___	247	0	1	1	0	1200	300	0
IT_SKC_KONR_B___	246	0	1	1	0	1200	300	0
IT_SKC_KYOU_B___	245	0	1	1	0	1200	300	0
IT_SKC_YAKE_B___	244	0	1	1	0	1200	300	0
IT_SKC_BADS_B___	242	131072	1	1	820	1200	300	0
IT_SKC_SINS_B___	241	131072	1	1	821	1200	300	0
IT_SKC_JAAK_B___	240	131072	1	1	822	1200	300	0
IT_SKC_HAKUI2___	347	131072	1	1	851	1200	300	0
IT_SKC_JAKUI2___	346	131072	1	1	853	1200	300	0
IT_SKC_BUTU_B___	0	0	1	1	0	1200	300	0
IT_SKC_SHOUR1___	89	131072	1	1	838	1200	300	0
IT_SKC_SHOUR2___	88	0	1	1	0	1200	300	0
IT_SKC_T_BUTU___	499	131072	1	1	871	1200	300	0
IT_SKC_M_BUTU___	498	0	1	1	0	1200	300	0
IT_SKC_SEISIN___	409	131072	1	1	757	1200	300	0
IT_SKC_0x129_	0	0	1	1	0	1200	300	0
IT_SKC_KYUSOK___	407	131072	1	1	869	1200	300	0
IT_SKC_SYUNKA___	406	131072	1	1	870	1200	300	0
IT_SKC_MEIOU____	359	131072	1	1	844	1200	300	0
IT_SKC_HIRI_A___	196	131072	1	1	831	1200	300	0
IT_SKC_CR_UP1___	209	131072	1	1	884	1200	300	0
IT_SKC_CR_UP2___	208	131072	1	1	885	1200	300	0
IT_SKC_KIZE_B___	243	0	1	1	0	1200	300	0
IT_SKC_KUISI3___	345	131072	1	1	854	1200	300	0
IT_SKC_REDWAL___	189	131072	1	1	886	1200	300	0
IT_SKC_BLUWAL___	188	131072	1	1	887	1200	300	0
IT_SKC_YELWAL___	187	131072	1	1	888	1200	300	0
IT_SKC_GRNWAL___	186	131072	1	1	889	1200	300	0
IT_SKC_SOUL_S___	149	131072	1	1	890	1200	300	0
IT_SKC_SP_SH1___	148	131072	1	1	891	1200	300	0
IT_SKC_SP_SH2___	147	131072	1	1	892	1200	300	0
IT_SKC_B_SHIF___	259	131072	1	1	893	1200	300	0
IT_SKC_HBSHIF___	258	131072	1	1	894	1200	300	0
IT_SKC_KYU2UP___	128	131072	1	1	895	1200	300	0
IT_SKC_B_SNGL___	257	131072	1	1	896	1200	300	0
IT_SKC_B_MULT___	256	131072	1	1	897	1200	300	0
IT_SKC_SHUMIK___	385	131072	1	1	773	1200	300	0
IT_SKC_S_SHUK___	384	131072	1	1	774	1200	300	0
IT_SKC_JUMIKI___	383	131072	1	1	775	1200	300	0
IT_SKC_S_JUMI___	382	131072	1	1	776	1200	300	0
IT_SKC_B_BANNO__	281	131072	1	1	863	1200	300	0
IT_SKC_0x13E_	0	0	1	1	0	1	0	0
IT_SKC_0x13F_	0	0	1	1	0	1	0	0
IT_SKC_0x140_	0	0	1	1	0	1	0	0
IT_SKC_0x141_	0	0	1	1	0	1	0	0
IT_SKC_0x142_	0	0	1	1	0	1	0	0
IT_SKC_0x143_	0	0	1	1	0	1	0	0
IT_SKC_0x144_	0	0	1	1	0	1	0	0
IT_SKC_0x145_	0	0	1	1	0	1	0	0
IT_SKC_0x146_	0	0	1	1	0	1	0	0
IT_SKC_0x147_	0	0	1	1	0	1	0	0
IT_SKC_0x148_	0	0	1	1	0	1	0	0
IT_SKC_0x149_	0	0	1	1	0	1	0	0
IT_SKC_0x14A_	0	0	1	1	0	1	0	0
IT_SKC_0x14B_	0	0	1	1	0	1	0	0
IT_SKC_0x14C_	0	0	1	1	0	1	0	0
IT_SKC_0x14D_	0	0	1	1	0	1	0	0
IT_SKC_0x14E_	0	0	1	1	0	1	0	0
IT_SKC_0x14F_	0	0	1	1	0	1	0	0
IT_SKC_0x150_	0	0	1	1	0	1	0	0
IT_SKC_0x151_	0	0	1	1	0	1	0	0
IT_SKC_0x152_	0	0	1	1	0	1	0	0
IT_SKC_0x153_	0	0	1	1	0	1	0	0
IT_SKC_0x154_	0	0	1	1	0	1	0	0
IT_SKC_0x155_	0	0	1	1	0	1	0	0
IT_SKC_0x156_	0	0	1	1	0	1	0	0
IT_SKC_0x157_	0	0	1	1	0	1	0	0
IT_SKC_0x158_	0	0	1	1	0	1	0	0
IT_SKC_0x159_	0	0	1	1	0	1	0	0
IT_SKC_0x15A_	0	0	1	1	0	1	0	0
IT_SKC_0x15B_	0	0	1	1	0	1	0	0
IT_SKC_0x15C_	0	0	1	1	0	1	0	0
IT_SKC_0x15D_	0	0	1	1	0	1	0	0
IT_SKC_0x15E_	0	0	1	1	0	1	0	0
IT_SKC_0x15F_	0	0	1	1	0	1	0	0
IT_SKC_0x160_	0	0	1	1	0	1	0	0
IT_SKC_0x161_	0	0	1	1	0	1	0	0
IT_SKC_0x162_	0	0	1	1	0	1	0	0
IT_SKC_0x163_	0	0	1	1	0	1	0	0
IT_SKC_0x164_	0	0	1	1	0	1	0	0
IT_SKC_0x165_	0	0	1	1	0	1	0	0
IT_SKC_0x166_	0	0	1	1	0	1	0	0
IT_SKC_0x167_	0	0	1	1	0	1	0	0
IT_SKC_0x168_	0	0	1	1	0	1	0	0
IT_SKC_0x169_	0	0	1	1	0	1	0	0
IT_SKC_0x16A_	0	0	1	1	0	1	0	0
IT_SKC_0x16B_	0	0	1	1	0	1	0	0
IT_SKC_0x16C_	0	0	1	1	0	1	0	0
IT_SKC_0x16D_	0	0	1	1	0	1	0	0
IT_SKC_0x16E_	0	0	1	1	0	1	0	0
IT_SKC_0x16F_	0	0	1	1	0	1	0	0
IT_SKC_0x170_	0	0	1	1	0	1	0	0
IT_SKC_0x171_	0	0	1	1	0	1	0	0
IT_SKC_0x172_	0	0	1	1	0	1	0	0
IT_SKC_0x173_	0	0	1	1	0	1	0	0
IT_SKC_0x174_	0	0	1	1	0	1	0	0
IT_SKC_0x175_	0	0	1	1	0	1	0	0
IT_SKC_0x176_	0	0	1	1	0	1	0	0
IT_SKC_0x177_	0	0	1	1	0	1	0	0
IT_SKC_0x178_	0	0	1	1	0	1	0	0
IT_SKC_0x179_	0	0	1	1	0	1	0	0
IT_SKC_0x17A_	0	0	1	1	0	1	0	0
IT_SKC_0x17B_	0	0	1	1	0	1	0	0
IT_SKC_0x17C_	0	0	1	1	0	1	0	0
IT_SKC_0x17D_	0	0	1	1	0	1	0	0
IT_SKC_0x17E_	0	0	1	1	0	1	0	0
IT_SKC_0x17F_	0	0	1	1	0	1	0	0
IT_SKC_0x180_	0	0	1	1	0	1	0	0
IT_SKC_0x181_	0	0	1	1	0	1	0	0
IT_SKC_0x182_	0	0	1	1	0	1	0	0
IT_SKC_0x183_	0	0	1	1	0	1	0	0
IT_SKC_0x184_	0	0	1	1	0	1	0	0
IT_SKC_0x185_	0	0	1	1	0	1	0	0
IT_SKC_0x186_	0	0	1	1	0	1	0	0
IT_SKC_0x187_	0	0	1	1	0	1	0	0
IT_SKC_0x188_	0	0	1	1	0	1	0	0
IT_SKC_0x189_	0	0	1	1	0	1	0	0
IT_SKC_0x18A_	0	0	1	1	0	1	0	0
IT_SKC_0x18B_	0	0	1	1	0	1	0	0
IT_SKC_0x18C_	0	0	1	1	0	1	0	0
IT_SKC_0x18D_	0	0	1	1	0	1	0	0
IT_SKC_0x18E_	0	0	1	1	0	1	0	0
IT_SKC_0x18F_	0	0	1	1	0	1	0	0
IT_SKC_0x190_	0	0	1	1	0	1	0	0
IT_SKC_0x191_	0	0	1	1	0	1	0	0
IT_SKC_0x192_	0	0	1	1	0	1	0	0
IT_SKC_0x193_	0	0	1	1	0	1	0	0
IT_SKC_0x194_	0	0	1	1	0	1	0	0
IT_SKC_0x195_	0	0	1	1	0	1	0	0
IT_SKC_0x196_	0	0	1	1	0	1	0	0
IT_SKC_0x197_	0	0	1	1	0	1	0	0
IT_SKC_0x198_	0	0	1	1	0	1	0	0
IT_SKC_0x199_	0	0	1	1	0	1	0	0
IT_SKC_0x19A_	0	0	1	1	0	1	0	0
IT_SKC_0x19B_	0	0	1	1	0	1	0	0
IT_SKC_0x19C_	0	0	1	1	0	1	0	0
IT_SKC_0x19D_	0	0	1	1	0	1	0	0
IT_SKC_0x19E_	0	0	1	1	0	1	0	0
IT_SKC_0x19F_	0	0	1	1	0	1	0	0
IT_SKC_0x1A0_	0	0	1	1	0	1	0	0
IT_SKC_0x1A1_	0	0	1	1	0	1	0	0
IT_SKC_0x1A2_	0	0	1	1	0	1	0	0
IT_SKC_0x1A3_	0	0	1	1	0	1	0	0
IT_SKC_0x1A4_	0	0	1	1	0	1	0	0
IT_SKC_0x1A5_	0	0	1	1	0	1	0	0
IT_SKC_0x1A6_	0	0	1	1	0	1	0	0
IT_SKC_0x1A7_	0	0	1	1	0	1	0	0
IT_SKC_0x1A8_	0	0	1	1	0	1	0	0
IT_SKC_0x1A9_	0	0	1	1	0	1	0	0
IT_SKC_0x1AA_	0	0	1	1	0	1	0	0
IT_SKC_0x1AB_	0	0	1	1	0	1	0	0
IT_SKC_0x1AC_	0	0	1	1	0	1	0	0
IT_SKC_0x1AD_	0	0	1	1	0	1	0	0
IT_SKC_0x1AE_	0	0	1	1	0	1	0	0
IT_SKC_0x1AF_	0	0	1	1	0	1	0	0
IT_SKC_0x1B0_	0	0	1	1	0	1	0	0
IT_SKC_0x1B1_	0	0	1	1	0	1	0	0
IT_SKC_0x1B2_	0	0	1	1	0	1	0	0
IT_SKC_0x1B3_	0	0	1	1	0	1	0	0
IT_SKC_0x1B4_	0	0	1	1	0	1	0	0
IT_SKC_0x1B5_	0	0	1	1	0	1	0	0
IT_SKC_0x1B6_	0	0	1	1	0	1	0	0
IT_SKC_0x1B7_	0	0	1	1	0	1	0	0
IT_SKC_0x1B8_	0	0	1	1	0	1	0	0
IT_SKC_0x1B9_	0	0	1	1	0	1	0	0
IT_SKC_0x1BA_	0	0	1	1	0	1	0	0
