Imitation Katana	It looks real, but...
Tonbo-kiri	Famous spear owned by Tadakatsu Honda.
Foundation Spear	A basic fused spear.
Foundation Glaive	A basic fused glaive.
Foundation Pike	A basic fused pike.
Scrub Brush	Brush used for cleaning.
Gungnir	Silver spear engraved with runes.
Pinaka	A spear of tremendous power.
0x098	0x098
0x099	0x099
0x09A	0x09A
0x09B	0x09B
0x09C	0x09C
0x09D	0x09D
0x09E	0x09E
0x09F	0x09F
Short Bow	Light, easy-to-use bow.
Uta	Bow with metal ornaments attached.
Composite Bow	Bow made from wood and leather.
Bow of Affection	Shoots arrows in a beautiful arc.
0x0A4	0x0A4
0x0A5	0x0A5
Siren's Song	The sound of its string bewilders enemies.
Kamatha	Bow designed for long- distance shooting.
Great Bow	A strong, oversized bow.
Pleiades	Magical bow that's light as a feather.
Lightning Bow	Bow that shoots as fast as lightning.
0x0AB	0x0AB
Practice Bow	A beginner's bow used for practice.
Shigetou-yumi	Bow bound tightly with rattan.
Higo-yumi	Bamboo bow that's reinforced with wood.
Hero's Bow	Bow made especially for a hero.
Maki's Resolve	Its arrows pierce the darkest shadows.
Yoichi's Bow	The legendary archer's bow.
Source Bow	A basic fused bow.
Source Longbow	A basic fused bow.
Source Yumi	A basic fused yumi.
Toy Bow	Bow that shoots suction-cup arrows.
Sarnga	Bow crafted from sunbeams.
Quintessence Bow	The Platonic ideal of bows.
0x0B8	0x0B8
0x0B9	0x0B9
0x0BA	0x0BA
0x0BB	0x0BB
0x0BC	0x0BC
0x0BD	0x0BD
0x0BE	0x0BE
0x0BF	0x0BF
0x0C0	0x0C0
0x0C1	0x0C1
Orgone Rifle	Rifle designed to shoot Orgone rounds.
Maxima Sniper	The latest model of anti-Shadow gun.
Kiss of Athena	Gun as potent as a goddess's kiss.
Pandemonium	Gun that harnesses an ancient relic's power.
0x0C6	Hand unit that fires from 2 fingers.
Albireo	Hand unit that fires from 3 fingers.
Medusa	Hand unit that fires from all fingers.
Six-shot	Can transform into 6 different shapes.
Megadeath	Shoots nonstop until it overheats.
Orgilabeus	Based on the principles used in Orgia Mode.
0x0CC	0x0CC
Grenade Launcher	Launcher that fires 80mm grenades.
Railgun	Shoots a metal slug via electromagnetism.
0x0CF	0x0CF
Antimatter Cannon	Annihilation occurs in the target's body.
Brighid's Flame	Mighty flame that purifies all.
Nucleus Rifle	A basic fused rifle.
Nucleus SMG	A basic fused SMG.
Nucleus Cannon	A basic fused cannon.
Rocket Punch	Rocket-propelled knuckle.
Metatronius	Gun named for the mouthpiece of God.
Phalanx B2	Gun loaded with anti- Shadow systems.
Gamma Storm	Rifle with enhanced piercing strength.
Axion IG	Beautifully crafted from dark matter.
Missile Launcher	Cannon with the latest homing systems.
Fermion Cannon	Its firing mechanism uses pions and muons.
Assault Rifle	Light, low-caliber rifle.
0x0D2	0x0D2
0x0D3	0x0D3
0x0D4	0x0D4
0x0E0	0x0E0
Raven Claw	Kunai as black as a moonless night.
Kunai	Concealable weapon used by ninjas.
Blitz Kunai	An ordinary kunai.
Gale Kodachi	Dagger with a wind pattern carved in it.
Kunai of Carnage	A kunai with deadly potential.
0x0E6	0x0E6
Karasu-maru	Very light kunai used for assassination.
Shadowrend	Kunai wielded by a certain ninja.
0x0E9	0x0E9
0x0EA	0x0EA
0x0EB	0x0EB
Sword Breaker	Knife used to break swords.
Silver Moon	Dog mask with a circular blade.
Sylph Blade	Knife as light as the wind.
Pesh Kabz	Knife with a peculiar shape.
Athame	Very thick, heavy knife.
Grand Slasher	Its trail is fast and bright as lightning.
Elementary Kunai	A basic fused kunai.
Elementary Knife	A basic fused knife.
Bone	A bone with lots of calcium.
Vajra	Divine weapon made from a holy bone.
Elementary Mask	A basic fused mask.
0x0F7	0x0F7
0x0F8	0x0F8
0x0F9	0x0F9
0x0FA	0x0FA
0x0FB	0x0FB
0x0FC	0x0FC
0x0FD	0x0FD
Bare Hand	Nothing equipped.
0x0FF	0x0FF
Flamberge	A wavy-bladed rapier.
Malice Marry	A demonic blade made to inflict great pain.
Serpent Sword	A sword curved like a snake's body.
Rose Flamberge	A beautiful rose- decorated sword.
Illuminati	A magic sword with an uncanny glow.
0x105	0x105
0x106	0x106
0x107	0x107
Quarter Pike	A short, simple spear.
Brionac	A divine weapon that emits light.
Ahlspiess	A pyramid-shaped spear used for stabbing.
Israel Spear	An angelic spear that fended off Satan.
Ga Boo	The golden spear of the hero Diarmait.
Longinus	The spear that stabbed Jesus Christ.
0x10E	0x10E
0x10F	0x10F
Origin Sabre	A basic fused rapier.
Origin Spear	A basic fused 1h spear.
Kokuseki Senjin	A weapon made from holy stone.
Billiard Cue	Made to feel nice when striking the ball.
Snow Queen Whip	An iron whip containing Skadi's power.
0x115	0x115
0x116	0x116
0x117	0x117
0x118	0x118
0x119	0x119
0x11A	0x11A
0x11B	0x11B
0x11C	0x11C
0x11D	0x11D
0x11E	0x11E
0x11F	0x11F
Imitation Naginata	A replica not meant for real combat.
Kanemitsu	The greatest naginata made.
Tsukushi Naginata	A sharp-bladed naginata.
Sonobe's Naginata	A blade used by a skilled warrior.
Sukemitsu	The work of Ichimonji Yoshioka.
Iwaotoshi	A naginata used by Benkei.
0x126	0x126
0x127	0x127
Meijian Dao	A simple, long-hilt blade.
Fangtian Huaji	The weapon used by Lu Bu.
Chun Qiu Da Dao	A stylish long-hilt blade.
Quinlong Yanyue	A long-handled sabre with a green dragon etched in.
Ame-no-Nuboko	The halberd used in the creation of the world.
0x12D	0x12D
0x12E	0x12E
0x12F	0x12F
Wood Stick	A wooden hockey stick.
Composite Stick	A stick made of composite material.
Japan Stick	It is filled with burning souls.
Atlus Stick	Custom-made for Atlus.
Victory Stick	It is filled with the resolve to win.
Youth Stick	Soaked in sweat and tears.
0x136	0x136
0x137	0x137
Original Naginata	A basic fused naginata.
Original Yanyue Dao	A basic fused yanyue dao.
Original Staff	A basic fused staff.
Lacross Stick	A sturdy wooden stick.
Khakkhara	A khakkhara representing the Six Perfections.
Beam Naginata	A gift from the future.
Vel Vel Muruga	A spear made from Kartikeya.
0x13F	0x13F
0x140	0x140
0x141	0x141
0x142	0x142
0x143	0x143
0x144	0x144
0x145	0x145
0x146	0x146
0x147	0x147
0x148	0x148
0x149	0x149
0x14A	0x14A
0x14B	0x14B
0x14C	0x14C
0x14D	0x14D
0x14E	0x14E
0x14F	0x14F
0x150	0x150
0x151	0x151
0x152	0x152
0x153	0x153
0x154	0x154
0x155	0x155
0x156	0x156
0x157	0x157
0x158	0x158
0x159	0x159
0x15A	0x15A
0x15B	0x15B
0x15C	0x15C
0x15D	0x15D
0x15E	0x15E
0x15F	0x15F
0x160	0x160
0x161	0x161
0x162	0x162
0x163	0x163
0x164	0x164
0x165	0x165
0x166	0x166
0x167	0x167
0x168	0x168
0x169	0x169
0x16A	0x16A
0x16B	0x16B
0x16C	0x16C
0x16D	0x16D
0x16E	0x16E
0x16F	0x16F
0x170	0x170
0x171	0x171
0x172	0x172
0x173	0x173
0x174	0x174
0x175	0x175
0x176	0x176
0x177	0x177
0x178	0x178
0x179	0x179
0x17A	0x17A
0x17B	0x17B
0x17C	0x17C
0x17D	0x17D
0x17E	0x17E
0x17F	0x17F
0x180	0x180
0x181	0x181
0x182	0x182
0x183	0x183
0x184	0x184
0x185	0x185
0x186	0x186
0x187	0x187
0x188	0x188
0x189	0x189
0x18A	0x18A
0x18B	0x18B
0x18C	0x18C
0x18D	0x18D
0x18E	0x18E
0x18F	0x18F
0x190	0x190
0x191	0x191
0x192	0x192
0x193	0x193
0x194	0x194
0x195	0x195
0x196	0x196
0x197	0x197
0x198	0x198
0x199	0x199
0x19A	0x19A
0x19B	0x19B
0x19C	0x19C
0x19D	0x19D
0x19E	0x19E
0x19F	0x19F
0x1A0	0x1A0
0x1A1	0x1A1
0x1A2	0x1A2
0x1A3	0x1A3
0x1A4	0x1A4
0x1A5	0x1A5
0x1A6	0x1A6
0x1A7	0x1A7
0x1A8	0x1A8
0x1A9	0x1A9
0x1AA	0x1AA
0x1AB	0x1AB
0x1AC	0x1AC
0x1AD	0x1AD
0x1AE	0x1AE
0x1AF	0x1AF
0x1B0	0x1B0
0x1B1	0x1B1
0x1B2	0x1B2
0x1B3	0x1B3
0x1B4	0x1B4
0x1B5	0x1B5
0x1B6	0x1B6
0x1B7	0x1B7
0x1B8	0x1B8
0x1B9	0x1B9
0x1BA	0x1BA
0x1BB	0x1BB
0x1BC	0x1BC
0x1BD	0x1BD
0x1BE	0x1BE
0x1BF	0x1BF
0x1C0	0x1C0
0x1C1	0x1C1
0x1C2	0x1C2
0x1C3	0x1C3
0x1C4	0x1C4
0x1C5	0x1C5
0x1C6	0x1C6
0x1C7	0x1C7
0x1C8	0x1C8
0x1C9	0x1C9
0x1CA	0x1CA
0x1CB	0x1CB
0x1CC	0x1CC
0x1CD	0x1CD
0x1CE	0x1CE
0x1CF	0x1CF
0x1D0	0x1D0
0x1D1	0x1D1
0x1D2	0x1D2
0x1D3	0x1D3
0x1D4	0x1D4
0x1D5	0x1D5
0x1D6	0x1D6
0x1D7	0x1D7
0x1D8	0x1D8
0x1D9	0x1D9
0x1DA	0x1DA
0x1DB	0x1DB
0x1DC	0x1DC
0x1DD	0x1DD
0x1DE	0x1DE
0x1DF	0x1DF
0x1E0	0x1E0
0x1E1	0x1E1
0x1E2	0x1E2
0x1E3	0x1E3
0x1E4	0x1E4
0x1E5	0x1E5
0x1E6	0x1E6
0x1E7	0x1E7
0x1E8	0x1E8
0x1E9	0x1E9
0x1EA	0x1EA
0x1EB	0x1EB
0x1EC	0x1EC
0x1ED	0x1ED
0x1EE	0x1EE
0x1EF	0x1EF
0x1F0	0x1F0
0x1F1	0x1F1
0x1F2	0x1F2
0x1F3	0x1F3
0x1F4	0x1F4
0x1F5	0x1F5
0x1F6	0x1F6
0x1F7	0x1F7
0x1F8	0x1F8
0x1F9	0x1F9
0x1FA	0x1FA
0x1FB	0x1FB
0x1FC	0x1FC
0x1FD	0x1FD
0x1FE	0x1FE
0x1FF	0x1FF 
