Plain Shirt	A simple shirt.
S.Uniform Akihiko	Summer uniform for Akihiko.
S.Uniform Yukari	Summer uniform for Yukari.
S.Uniform Mitsuru	Summer uniform for Mitsuru.
W.Uniform Aigis	Winter uniform for Aigis.
S.Uniform Ken	Summer uniform for Ken.
Maid Outfit (A)	Maid outfit for Aigis.
Rock Dog Suit	Dog suit with a punk rock design.
Santa Suit (Y)	Santa outfit for Yukari.
Santa Suit (A)	Santa outfit for Aigis.
Santa Suit (M)	Santa outfit for Mitsuru.
Junpei Tuxedo	Butler outfit for Junpei.
Akihiko Tuxedo	Butler outfit for Akihiko.
Ken Tuxedo	Butler outfit for Ken.
Shinjiro Tuxedo	Butler outfit for Shinjiro.
Koromaru Tuxedo	Butler outfit for Koromaru...?
Classical Blouse	A simple, yet refined blouse.
Orange Cutsew	Summer clothes for the female main character.
Angora Sweater	Winter clothes for the female main character.
Knee-High Maid	Maid outfit for the female main character.
Ribbon Bikini	Swimsuit for the female main character.
0x28D	0x08D
0x28E	0x08E
0x28F	0x08F
0x290	0x090
0x291	0x091
0x292	0x092
0x293	0x093
0x294	0x094
0x295	0x095
0x296	0x096
0x297	0x097
0x298	0x098
0x299	0x099
0x29A	0x09A
0x29B	0x09B
0x29C	0x09C
0x29D	0x09D
0x29E	0x09E
0x29F	0x09F
0x2A0	0x0A0
0x2A1	0x0A1
0x2A2	0x0A2
0x2A3	0x0A3
0x2A4	0x0A4
0x2A5	0x0A5
0x2A6	0x0A6
0x2A7	0x0A7
0x2A8	0x0A8
0x2A9	0x0A9
0x2AA	0x0AA
0x2AB	0x0AB
0x2AC	0x0AC
0x2AD	0x0AD
0x2AE	0x0AE
0x2AF	0x0AF
0x2B0	0x0B0
0x2B1	0x0B1
0x2B2	0x0B2
0x2B3	0x0B3
0x2B4	0x0B4
0x2B5	0x0B5
0x2B6	0x0B6
0x2B7	0x0B7
0x2B8	0x0B8
0x2B9	0x0B9
0x2BA	0x0BA
0x2BB	0x0BB
0x2BC	0x0BC
0x2BD	0x0BD
0x2BE	0x0BE
0x2BF	0x0BF
0x2C0	0x0C0
0x2C1	0x0C1
0x2C2	0x0C2
0x2C3	0x0C3
0x2C4	0x0C4
0x2C5	0x0C5
0x2C6	0x0C6
0x2C7	0x0C7
0x2C8	0x0C8
0x2C9	0x0C9
0x2CA	0x0CA
0x2CB	0x0CB
0x2CC	0x0CC
0x2CD	0x0CD
0x2CE	0x0CE
0x2CF	0x0CF
0x2D0	0x0D0
0x2D1	0x0D1
0x2D2	0x0D2
0x2D3	0x0D3
0x2D4	0x0D4
0x2D5	0x0D5
0x2D6	0x0D6
0x2D7	0x0D7
0x2D8	0x0D8
0x2D9	0x0D9
0x2DA	0x0DA
0x2DB	0x0DB
0x2DC	0x0DC
0x2DD	0x0DD
0x2DE	0x0DE
0x2DF	0x0DF
0x2E0	0x0E0
0x2E1	0x0E1
0x2E2	0x0E2
0x2E3	0x0E3
0x2E4	0x0E4
0x2E5	0x0E5
0x2E6	0x0E6
0x2E7	0x0E7
0x2E8	0x0E8
0x2E9	0x0E9
0x2EA	0x0EA
0x2EB	0x0EB
0x2EC	0x0EC
0x2ED	0x0ED
0x2EE	0x0EE
0x2EF	0x0EF
0x2F0	0x0F0
0x2F1	0x0F1
0x2F2	0x0F2
0x2F3	0x0F3
0x2F4	0x0F4
0x2F5	0x0F5
0x2F6	0x0F6
0x2F7	0x0F7
0x2F8	0x0F8
0x2F9	0x0F9
0x2FA	0x0FA
0x2FB	0x0FB
0x2FC	0x0FC
0x2FD	0x0FD
0x2FE	0x0FE
0x2FF	0x0FF 
