id	en	ja	zh	ko	de	es	fr	it
SKILL_L0050	Samarecarm	サマリカーム	薩瑪利卡姆	사마리캄	Samarecarm	Samarecarm	Samarecarm	Samarecarm
SKILL_L0051	Recarmdra	リカームドラ	利卡姆多拉	리캄드라	Recarmdra	Recarmdra	Recarmdra	Recarmdra
SKILL_L0052	Tarunda	タルンダ	塔倫達	타룬다	Tarunda	Tarunda	Tarunda	Tarunda
SKILL_L0053	Sukunda	スクンダ	斯坤達	스쿤다	Sukunda	Sukunda	Sukunda	Sukunda
SKILL_L0054	Rakunda	ラクンダ	拉坤達	라쿤다	Rakunda	Rakunda	Rakunda	Rakunda
SKILL_L0055	Makajam	マカジャマ	瑪卡加瑪	마카쟈마	Makajam	Makajam	Makajam	Makajam
SKILL_L0056	Makajamon	マカジャマオン	瑪卡加瑪翁	마카쟈마온	Makajamon	Makajamon	Makajamon	Makajamon
SKILL_L0057	Dekaja	デカジャ	迪卡加	데카쟈	Dekaja	Dekaja	Dekaja	Dekaja
SKILL_L0058	Reserve	リザーブ	ＲＥＳＥＲＶＥ	RESERVE	Reserve	Reserva	Réserve	Riserva
SKILL_L0059	Shibaboo	シバブー	慟哭緊縛	시바브	Shibaboo	Shibaboo	Shibaboo	Shibaboo
SKILL_L0060	Dormina	ドルミナー	永眠	도르미나	Dormina	Dormina	Dormina	Dormina
SKILL_L0061	Pulinpa	プリンパ	普林帕	프린파	Pulinpa	Pulinpa	Pulinpa	Pulinpa
SKILL_L0062	Marin Karin	マリンカリン	馬琳卡琳	마린카린	Marin Karin	Marin Karin	Marin Karin	Marin Karin
SKILL_L0063	Tentarafoo	テンタラフー	顛塔拉弗	텐타라후	Tentarafoo	Tentarafoo	Tentarafoo	Tentarafoo
SKILL_L0064	Tarukaja	タルカジャ	塔爾卡加	타루카쟈	Tarukaja	Tarukaja	Tarukaja	Tarukaja
SKILL_L0065	Sukukaja	スクカジャ	斯庫卡加	스쿠카쟈	Sukukaja	Sukukaja	Sukukaja	Sukukaja
SKILL_L0066	Rakukaja	ラクカジャ	拉庫卡加	라쿠카쟈	Rakukaja	Rakukaja	Rakukaja	Rakukaja
SKILL_L0067	Makakaja	マカカジャ	瑪卡卡加	마카카쟈	Makakaja	Makakaja	Makakaja	Makakaja
SKILL_L0068	Tetraja	テトラジャ	提特拉加	테트라쟈	Tetraja	Tetraja	Tetraja	Tetraja
SKILL_L0069	Makarakarn	マカラカーン	瑪卡拉康	마카라칸	Makarakarn	Makarakarn	Makarakarn	Makarakarn
SKILL_L0070	Tetrakarn	テトラカーン	提特拉康	테트라칸	Tetrakarn	Tetrakarn	Tetrakarn	Tetrakarn
SKILL_L0071	Analyze	アナライズ	分析	애널라이즈	Analyse	Analizar	Analyse	Analizza
SKILL_L0072	Trafuri	トラフーリ	特拉芙里	트라프리	Trafuri	Trafuri	Trafuri	Trafuri
SKILL_L0073	Estoma	エストマ	艾斯托瑪	에스트마	Estoma	Estoma	Estoma	Estoma
SKILL_L0074	Riberama	リベラマ	利悖拉瑪	리베라마	Riberama	Riberama	Riberama	Riberama
SKILL_L0075	Liftoma	リフトマ	利芙托瑪	리프트마	Liftoma	Elevatoma	Liftoma	Levitoma
SKILL_L0076	Lightoma	ライトマ	萊托瑪	라이트마	Lichtoma	Ilumitoma	Lightoma	Lucoma
SKILL_L0077	Dekunda	デクンダ	迪坤達	데쿤다	Dekunda	Dekunda	Dekunda	Dekunda
SKILL_L0079	Pestilence	ペストクロップ	奪命瘟疫	페스트 크롭	Pestilenz	Pestilencia	Pestilence	Pestilenza
SKILL_L0096	Lunge	突撃	突擊	돌격	Ausfall	Acometida	Fente	Affondo
SKILL_L0097	Hell Thrust	地獄突き	地獄衝擊	지옥 찌르기	Höllenstoß	Envite infernal	Fente infernale	Slancio infernale
SKILL_L0098	Berserk	暴れまくり	橫衝直撞	난동 부리기	Berserker	Frenesí	Ravage	Berserk
SKILL_L0099	Tempest	烈風破	烈風破	열풍파	Sturm	Tempestad	Tempête	Tempesta
SKILL_L0100	Hades Blast	冥界破	冥界破	명계파	Hadesstoß	Estallido de Hades	Colère d'Hadès	Urto dell'Ade
SKILL_L0101	Heat Wave	ヒートウェーブ	灼熱波浪	히트 웨이브	Hitzewelle	Ola de calor	Onde brûlante	Ondata di calore
SKILL_L0102	Blight	ベノンザッパー	猛毒之擊	베놈 재퍼	Seuche	Luz penetrante	Fléau	Rovina
SKILL_L0103	Brutal Slash	絶妙剣	絕妙劍	절묘검	Brutaler Schnitt	Tajo brutal	Taillade brutale	Fendente brutale
SKILL_L0104	Hassohappa	八相発破	八相發破	팔상발파	Hassohappa	Hassohappa	Hassohappa	Hassohappa
SKILL_L0105	Dark Sword	暗夜剣	闇夜劍	암야검	Dunkles Schwert	Filo oscuro	Épée sombre	Spada oscura
SKILL_L0106	Stasis Blade	不動剣	不動劍	부동검	Stasis-Klinge	Hoja del éxtasis	Lame paralysante	Lama della stasi
SKILL_L0107	Mighty Gust	ヤマオロシ	山卸風	야마오로시	Mächtige Böe	Ráfaga potente	Coup puissant	Folata possente
SKILL_L0108	Deathbound	デスバウンド	死亡界限	데스바운드	Todeswunsch	Portamuerte	Raid meurtrier	Attacco mortale
SKILL_L0109	Guillotine	ギロチンカット	斷頭斬	기요틴 컷	Guillotine	Guillotina	Guillotine	Ghigliottina
SKILL_L0110	Chaos Blade	乱入剣	亂入劍	난입검	Chaosklinge	Hoja del caos	Lame du chaos	Lama del caos
SKILL_L0111	Needle Rush	九十九針	九十九針	구십구침	Nadelrausch	Acom. de agujas	Volée d'épines	Carica pungente
SKILL_L0112	Stun Needle	マヒ針	麻痺針	마비침	Betäubungsnadel	Aguja aturdidora	Épines étourdiss.	Aculeo stordente
SKILL_L0113	Toxic Sting	毒針	猛毒針	독침	Toxischer Stich	Aguja tóxica	Épines toxiques	Pungolo tossico
SKILL_L0114	Arid Needle	石化針	石化針	석화침	Trockene Nadel	Agu. petrificadora	Épines pétrifiantes	Aculeo arido
SKILL_L0115	Sacrifice	玉砕破	玉碎破	옥쇄파	Opfer	Sacrificar	Sacrifice	Sacrificio
SKILL_L0116	Kamikaze	特攻	特攻	특공	Kamikaze	Kamikaze	Kamikaze	Kamikaze
SKILL_L0117	Feral Bite	かみつき	噬咬	물기	Wilder Biss	Mordisco salvaje	Morsure sauvage	Morso ferino
SKILL_L0118	Venom Bite	毒かみつき	猛毒噬咬	독 물기	Giftbiss	Mor. venenoso	Morsure toxique	Morso venefico
SKILL_L0119	Charm Bite	魅惑かみつき	魅惑噬咬	매혹 물기	Verwirrungsbiss	Mor. encantador	Morsure de charme	Morso ammaliante
SKILL_L0120	Stone Bite	石化かみつき	石化噬咬	석화 물기	Steinbiss	Mor. petrificador	Morsure pétrif.	Morso di pietra
SKILL_L0121	Stun Bite	マヒかみつき	麻痺噬咬	마비 물기	Betäubungsbiss	Mor. aturdidor	Morsure étourdiss.	Morso stordente
SKILL_L0122	Hell Fang	ヘルファング	地獄獵牙	헬 팽	Höllenzahn	Colmillo infernal	Croc de l'enfer	Zanna infernale
SKILL_L0123	Feral Claw	ひっかき	抓擊	할퀴기	Wilde Klaue	Garra salvaje	Griffe sauvage	Artiglio ferino
SKILL_L0124	Venom Claw	毒ひっかき	猛毒抓擊	독 할퀴기	Giftklaue	Garra venenosa	Griffe toxique	Artiglio venefico
SKILL_L0125	Stun Claw	マヒひっかき	麻痺抓擊	마비 할퀴기	Betäubungsklaue	Garra aturdidora	Griffe étourdiss.	Artiglio stordente
SKILL_L0126	Iron Claw	アイアンクロウ	鋼爪	아이언 클로	Eisenklaue	Garra de acero	Griffe de fer	Artiglio di ferro
SKILL_L0127	Godly Light	神光破	神光破	신광파	Göttliches Licht	Luz divina	Lumière divine	Luce divina
SKILL_L0131	Deadly Fury	死亡遊戯	死亡遊戲	사망유희	Tödlicher Zorn	Furia mortal	Rage mortelle	Furia letale
SKILL_L0132	Reserve	リザーブ	ＲＥＳＥＲＶＥ	RESERVE	Reserve	Reserva	Réserve	Riserva
SKILL_L0133	Xeros Beat	ゼロス・ビート	仄洛斯衝擊	제로스 비트	Xeros-Schlag	Golpe de Xeros	Choc Xeros	Colpo Xeros
SKILL_L0136	Divine Shot	破邪の光弾	破邪光彈	파사의 광탄	Göttlicher Schuss	Tiro divino	Rayon divin	Tiro divino
SKILL_L0137	Attack	攻撃する	攻擊	공격한다	Angriff	Atacar	Attaquer	Attacco
SKILL_L0138	Attack	攻撃する	攻擊	공격한다	Angriff	Atacar	Attaquer	Attacco
SKILL_L0139	Attack	攻撃する	攻擊	공격한다	Angriff	Atacar	Attaquer	Attacco
SKILL_L0140	Attack	攻撃する	攻擊	공격한다	Angriff	Atacar	Attaquer	Attacco
SKILL_L0143	Javelin Rain	ジャベリンレイン	槍雨	재블린 레인	Speerregen	Lluvia de jabalinas	Volée perforante	Salva di giavellotti
SKILL_L0144	Oni Kagura	鬼神楽	鬼神樂	귀신락	Oni Kagura	Oni Kagura	Oni Kagura	Oni Kagura
SKILL_L0147	Freikugel	至高の魔弾	至高魔彈	지고의 마탄	Freikugel	Freikugel	Freikugel	Freikugel
SKILL_L0152	Last Resort	自爆	自爆	자폭	Letzter Ausweg	Último recurso	Dernier recours	Ultima risorsa
SKILL_L0153	Foul Havoc	邪霊蜂起	邪靈蜂起	사령봉기	Übles Chaos	Caos fétido	Carnage fétide	Caos immondo
SKILL_L0155	Earthquake	大地震	大地震	대지진	Erdbeben	Terremoto	Séisme	Terremoto
SKILL_L0158	Holy Melody	神恩のラッパ	神恩號角	신은의 나팔	Heilige Melodie	Melodía sagrada	Mélodie sacrée	Melodia sacra
SKILL_L0159	Evil Melody	魔縁のラッパ	魔緣號角	마록의 나팔	Böse Melodie	Melodía malvada	Mélodie maudite	Melodia empia
SKILL_L0160	Spiral Viper	螺旋の蛇	螺旋蛇	나선의 뱀	Spiralviper	Víbora espiral	Vortex ophidien	Spire della vipera
SKILL_L0161	Magma Axis	マグマ・アクシス	熔岩核心	마그마 액시스	Magamaachse	Expl. de magma	Coulée de lave	Asse magmatico
SKILL_L0163	Gaea Rage	地母の晩餐	地母的晚餐	지모의 만찬	Gaea-Wut	Ira de Gea	Rage de Gaïa	Rabbia di Gaia
SKILL_L0164	Counter	反撃	反擊	반격	Konter	Contraataque	Contre-attaque	Risposta
SKILL_L0165	Retaliate	猛反撃	猛反擊	맹반격	Vergeltung	Represalia	Vengeance	Ritorsione
SKILL_L0166	Avenge	デスカウンター	絕命反擊	데스 카운터	Rache	Venganza	Talion	Vendetta
SKILL_L0167	Extra Hit	追い討ち	追擊	추격	Extratreffer	Golpe extra	Coup bonus	Colpo extra
SKILL_L0168	Tentacle	死魔の触手	死魔的觸手	사마의 촉수	Tentakel	Tentáculo	Tentacule	Tentacolo
SKILL_L0169	Attack	攻撃する	攻擊	공격한다	Angriff	Atacar	Attaquer	Attacco
SKILL_L0170	Attack	攻撃する	攻擊	공격한다	Angriff	Atacar	Attaquer	Attacco
SKILL_L0171	Attack	攻撃する	攻擊	공격한다	Angriff	Atacar	Attaquer	Attacco
SKILL_L0172	Attack	攻撃する	攻擊	공격한다	Angriff	Atacar	Attaquer	Attacco
SKILL_L0173	Attack	攻撃する	攻擊	공격한다	Angriff	Atacar	Attaquer	Attacco
SKILL_L0174	Attack	攻撃する	攻擊	공격한다	Angriff	Atacar	Attaquer	Attacco
SKILL_L0175	Attack	攻撃する	攻擊	공격한다	Angriff	Atacar	Attaquer	Attacco
SKILL_L0176	Fire Breath	ファイアブレス	火焰之息	파이어 브레스	Feueratem	Aliento ígneo	Souffle de feu	Soffio ardente
SKILL_L0177	Hellfire	地獄の業火	地獄業火	지옥의 업화	Höllenfeuer	Fuego del averno	Feu de l'enfer	Fuoco infernale
SKILL_L0178	Prominence	プロミネンス	日珥	프로미넌스	Prominenz	Prominencia	Nova	Preminenza
SKILL_L0179	Ragnarok	ラグナロク	諸神黃昏	라그나로크	Ragnarök	Ragnarok	Ragnarök	Ragnarok
SKILL_L0180	Ice Breath	アイスブレス	冰凍之息	아이스 브레스	Eisatem	Aliento helado	Souffle de glace	Soffio glaciale
SKILL_L0181	Glacial Blast	絶対零度	絕對零度	절대 영도	Gletscherstoß	Estallido glacial	Explosion glaciale	Urto glaciale
SKILL_L0182	Shock	放電	放電	방전	Schock	Descarga	Décharge	Scossa
SKILL_L0183	Bolt Storm	ショックウェーブ	脈衝波浪	쇼크 웨이브	Bolzensturm	Tormenta eléctrica	Orage d'éclairs	Tempesta di lampi
SKILL_L0184	Wing Buffet	羽ばたき	展翅	날갯짓	Flügelstoß	Vendaval alado	Souffle ailé	Battito d'ali
SKILL_L0185	Tornado	竜巻	龍捲	회오리	Tornado	Tornado	Tornade	Tornado
SKILL_L0186	Wind Cutter	真空刃	真空刃	진공인	Windschneider	Filo de viento	Bourrasque	Tagliavento
SKILL_L0187	Wet Wind	湿った風	濕風	축축한 바람	Nasser Wind	Viento húmedo	Mousson	Vento umido
SKILL_L0188	Thunderclap	裁きの雷火	制裁雷火	심판의 뇌화	Donnerschlag	Trueno	Fulguration	Schiocco di tuono
SKILL_L0189	Holy Wrath	天罰	天譴	천벌	Heiliger Zorn	Ira divina	Colère divine	Ira sacra
SKILL_L0190	Deathtouch	デスタッチ	死亡之觸	데스 터치	Todesberührung	Toque mortal	Contact mortel	Tocco mortale
SKILL_L0191	Mana Drain	吸魔	吸魔	흡마	Mana-Entzug	Absor. de maná	Siphon de mana	Risucchio di mana
SKILL_L0192	Life Drain	吸血	吸血	흡혈	Lebensentzug	Absorción vital	Siphon vital	Risucchio vitale
SKILL_L0193	Violet Flash	破魔の雷光	破魔雷光	파마의 뇌광	Violetter Blitz	Rayo violeta	Flash violet	Lampo violaceo
SKILL_L0194	Starlight	明星光	明星之光	명성광	Sternenlicht	Luz estelar	Lumière stellaire	Luce stellare
SKILL_L0195	Radiance	汚れ無き威光	純潔威光	티 없는 위광	Strahlen	Fulgor	Radiance	Radiosità
SKILL_L0196	Hell Gaze	ヘルズアイ	地獄之眼	헬즈 아이	Höllenblick	Mirada infernal	Regard de l'enfer	Sguardo infernale
SKILL_L0197	Stone Gaze	ペトラアイ	石化之眼	페트라 아이	Steinblick	Mir. petrificadora	Regard pétrifiant	Sguardo di pietra
SKILL_L0198	Mute Gaze	クロスアイ	封閉之眼	클로스 아이	Verstummungsblick	Mir. enmudece.	Regard mutique	Sguardo silente
SKILL_L0199	Evil Gaze	イービルアイ	惡魔之眼	이블 아이	Böser Blick	Mirada vil	Regard maudit	Sguardo maligno
SKILL_L0200	Reserve	リザーブ	ＲＥＳＥＲＶＥ	RESERVE	Reserve	Reserva	Réserve	Riserva
SKILL_L0201	Bael's Bane	バエルの呪い	巴爾的詛咒	바알의 저주	Baals Geißel	Plaga de Baal	Fléau de Baal	Flagello di Baal
SKILL_L0202	Toxic Cloud	毒ガスブレス	猛毒之息	독가스 브레스	Toxische Wolke	Nube tóxica	Nuage toxique	Nube tossica
SKILL_L0203	War Cry	雄叫び	咆哮	포효	Kriegsschrei	Grito de guerra	Cri de guerre	Grido di guerra
SKILL_L0204	Fog Breath	フォッグブレス	濃霧之息	포그 브레스	Nebelatem	Aliento neblinoso	Souffle brumeux	Soffio brumoso
SKILL_L0205	Taunt	挑発	挑釁	도발	Hohn	Provocar	Provocation	Provocazione
SKILL_L0206	Debilitate	ランダマイザ	女巫詛咒	랜더마이저	Entkräften	Debilitar	Affaiblissement	Debilitazione
SKILL_L0207	Dismal Tune	魔界のしらべ	魔界的探查	마계의 음률	Kakophonie	Música funesta	Musique funeste	Melodia tetra
SKILL_L0208	Sol Niger	ソルニゲル	漆黑之陽	솔니겔	Sol Niger	Sol Niger	Sol Niger	Sol niger
SKILL_L0209	Stun Gaze	パララアイ	麻痺之眼	패럴라 아이	Betäubungsblick	Mirada aturdidora	Regard étourdiss.	Sguardo stordente
SKILL_L0210	Lullaby	子守り歌	搖籃曲	자장가	Schlaflied	Canción de cuna	Berceuse	Ninnananna
SKILL_L0211	Binding Cry	バインドボイス	束縛之聲	바인드 보이스	Bindender Schrei	Llanto atador	Cri paralysant	Grido vincolante
SKILL_L0212	Eternal Rest	永眠の誘い	永眠的誘惑	영면의 유혹	Ewige Ruhe	Descanso eterno	Repos éternel	Eterno riposo
SKILL_L0213	Sonic Wave	怪音波	怪音波	괴음파	Schwallwelle	Onda sónica	Onde sonique	Ondata sonica
SKILL_L0214	Sexy Gaze	セクシーアイ	魅惑之眼	섹시 아이	Lüsterner Blick	Mirada seductora	Regard aguicheur	Sguardo seducente
SKILL_L0215	Allure	肉体の解放	肉體解放	육체의 해방	Verlockung	Seducción	Glamour	Malia
SKILL_L0216	Panic Voice	パニックボイス	慌亂之聲	패닉 보이스	Panische Stimme	Voz aterradora	Cri de panique	Voce del panico
SKILL_L0217	Intoxicate	大いなる酩酊	酩酊大醉	위대한 만취	Berauschen	Intoxicar	Intoxication	Inebriamento
SKILL_L0218	Prayer	常世の祈り	永世的祈禱	영원의 기도	Gebet	Plegaria	Prière	Preghiera
SKILL_L0219	Beast Eye	獣の眼光	野獸的視線	짐승의 안광	Bestienauge	Ojo de la bestia	Œil de la bête	Occhio bestiale
SKILL_L0220	Dragon Eye	龍の眼光	龍的視線	용의 안광	Drachenauge	Ojo del dragón	Œil du dragon	Occhio draconico
SKILL_L0221	Infinite Light	無尽無辺光	無邊無盡光	무진무변광	Unendliches Licht	Luz infinita	Lumière éternelle	Luce infinita
SKILL_L0222	Summon	召喚	召喚	소환	Rufen	Invocar	Invocation	Evoca
SKILL_L0223	Beckon Call	召し寄せ	傳喚	동료 부르기	Herbeirufen	Invitación	Convocation	Richiamo
SKILL_L0224	Focus	気合い	全神貫注	기합	Fokus	Concentración	Concentration	Concentrazione
SKILL_L0225	Retreat	逃亡	逃亡	도망	Flucht	Huir	Fuite	Ritirata
SKILL_L0226	Gathering	群れ集い	聚眾	패거리 소집	Versammlung	Reunión	Rassemblement	Adunata
SKILL_L0227	Dark Howl	闇の遠吠え	黑暗的嚎叫	어둠의 부르짖음	Dunkles Heulen	Aullido oscuro	Hurlement sombre	Ululato oscuro
SKILL_L0229	Laughter	高笑い	大笑	큰 웃음	Lachen	Carcajada	Rire	Risata
SKILL_L0230	Divine Will	魔王の号令	魔王的號令	마왕의 호령	Göttlicher Wille	Voluntad divina	Volonté divine	Volere divino
SKILL_L0232	Foul Union	邪霊烏合	邪靈聚合	사령오합	Schändliche Union	Unión fétida	Union fétide	Unione immonda
SKILL_L0233	Replicate	分身	分身	분신	Vervielfältigung	Réplica	Réplique	Clone
SKILL_L0234	Aurora	夜のオーロラ	闇夜極光	밤의 오로라	Aurora	Aurora	Aurore	Aurora
SKILL_L0235	Fire of Sinai	シナイの神火	西奈神火	시나이의 신화	Feuer von Sinai	Fuego del Sinaí	Feu du Sinaï	Fuoco del Sinai
SKILL_L0236	Conjuration	霊魂流出	靈魂溢流	영혼 유출	Beschwören	Conjuración	Conjuration	Invocazione
SKILL_L0241	Vast Light	無尽光	無盡光	무진광	Riesiges Licht	Luz eterna	Grande lumière	Splendore
SKILL_L0242	God's Curse	神の悪意	神的惡意	신의 악의	Gottes Fluch	Maldición de Dios	Malédiction divine	Maledizione divina
SKILL_L0243	Hell's Call	地獄への導き	通往地獄的指引	지옥으로의 인도	Höllenruf	Llamada infernal	Ralliement infernal	Richiamo infernale
SKILL_L0244	Icy Death	死門の流氷	死門的流冰	사문의 유빙	Eisiger Tod	Muerte helada	Mort glaciale	Morte gelida
SKILL_L0245	Mirage	蜃気楼	海市蜃樓	신기루	Trugbild	Espejismo	Mirage	Miraggio
SKILL_L0246	Reserve	リザーブ	ＲＥＳＥＲＶＥ	RESERVE	Reserve	Reserva	Réserve	Riserva
SKILL_L0247	Lost Macca!	マッカをまいた！	揮灑魔貨！	마카를 뿌렸다!	Macca verloren!	¡Macca perdida!	Perte de Macca !	Macca persi!
SKILL_L0248	Reserve	リザーブ	ＲＥＳＥＲＶＥ	RESERVE	Reserve	Reserva	Réserve	Riserva
SKILL_L0249	Wild Dance	原色の舞踏	本色之舞	원색적인 춤	Wilder Tanz	Danza salvaje	Danse sauvage	Danza selvaggia
SKILL_L0250	Domination	ウソブキ	咆哮	호통	Beherrschung	Dominación	Domination	Egemonia
SKILL_L0251	Samarecarm	サマリカーム	薩瑪利卡姆	사마리캄	Samarecarm	Samarecarm	Samarecarm	Samarecarm
SKILL_L0252	Gathering	群れ集い	聚眾	패거리 소집	Versammlung	Reunión	Rassemblement	Adunata
SKILL_L0253	Apocalypse	末世破	末日波	말세파	Apokalypse	Apocalipsis	Apocalypse	Apocalisse
SKILL_L0254	Phase Shift	天の鼓動	上天的悸動	하늘의 고동	Phasenwandel	Cambio de fase	Nouvelle phase	Cambio fase
SKILL_L0255	(Summon)	（召喚）	（召喚）	(소환)	(Rufen)	(Invocar)	(Invocation)	(Evoca)
SKILL_L0256	Attack	攻撃する	攻擊	공격한다	Angriff	Atacar	Attaquer	Attacco
SKILL_L0257	Fire of Sinai	シナイの神火	西奈神火	시나이의 신화	Feuer von Sinai	Fuego del Sinaí	Feu du Sinaï	Fuoco del Sinai
SKILL_L0258	Attack	攻撃する	攻擊	공격한다	Angriff	Atacar	Attaquer	Attacco
SKILL_L0259	Death Flies	死蝿の葬列	死蠅的送葬	죽은 파리의 장례	Todesfliegen	Mos. de la muerte	Essaim mortel	Mosche mortali
SKILL_L0260	Death Flies	死蝿の葬列	死蠅的送葬	죽은 파리의 장례	Todesfliegen	Mos. de la muerte	Essaim mortel	Mosche mortali
SKILL_L0261	Soul Divide	ソウルバランス	靈魂平衡	소울 밸런스	Seelentrennung	División de alma	Division de l'âme	Frattura dell'anima
SKILL_L0262	E & I	Ｅ＆Ｉ	E&I	E&I	E & I	E & I	E & I	E & I
SKILL_L0263	Rebellion	リベリオン	Rebellion	리벨리온	Rebellion	Rebellion	Rebellion	Ribellione
SKILL_L0264	Twosome Time	トゥーサムタイム	TwoSome Time	투 섬타임	Zweisamkeit	Twosome Time	Gunslinger	Twosome Time
SKILL_L0265	Provoke	挑発	挑釁	도발	Hohn	Provocar	Provocation	Provoca
