attr1	attr2	attr3	attr4	attr5	attr6	attr7	attr8	attr9	attr10	attr11	attr12	attr13	attr14	attr15	attr16	attr17	attr18	attr19
4096	20	4096	20	20	20	2048	20	20	20	20	10	20	40	20	20	40	40	40
4096	256	20	20	20	2048	20	20	20	20	20	10	20	40	20	20	40	40	40
20	20	20	1024	2048	20	20	20	20	20	20	10	20	40	20	20	40	40	40
20	20	20	20	20	20	20	20	256	20	40	20	40	40	40	40	40	40	40
4096	4096	4096	20	20	2048	20	20	20	20	20	10	20	40	20	20	40	40	40
20	2048	20	20	256	2048	20	20	256	20	20	10	20	40	20	20	40	40	40
20	20	20	20	20	2048	256	20	20	20	20	10	20	40	20	20	40	40	40
20	20	20	20	20	20	20	20	20	20	20	10	20	40	20	20	40	40	40
256	20	256	20	20	2048	20	20	20	20	20	10	20	40	20	20	40	40	40
512	256	20	4096	20	2048	20	20	20	20	20	10	20	40	20	20	40	40	40
20	20	512	4096	20	2048	20	20	20	20	20	10	20	40	20	20	40	40	40
20	20	20	20	20	20	20	20	20	20	20	10	20	40	20	20	40	40	40
2048	20	20	2048	20	20	20	20	20	20	40	40	40	40	40	40	40	40	40
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	4096	20	20	20	34816	10	40	10	10	10	10	40	40	40
4096	20	4096	20	20	20	20	20	20	34816	10	40	10	10	10	10	40	40	40
4096	20	20	20	20	1024	20	20	256	2048	10	40	10	10	10	10	40	40	40
4096	4096	20	2048	512	20	20	20	20	2048	10	40	10	10	10	10	40	40	40
20	20	20	4096	4096	2048	2048	20	20	20	40	40	40	40	40	40	40	40	40
20	20	20	2048	2048	512	512	20	20	20	40	40	40	40	40	40	40	40	40
20	20	20	20	20	20	20	20	20	20	40	40	40	40	40	40	40	40	40
20	20	20	2048	4096	4096	2048	20	512	512	40	40	40	40	40	40	40	40	40
4096	4096	4096	20	2048	512	512	20	20	20	10	40	10	10	10	10	40	40	40
4096	4096	20	20	256	256	2048	20	20	20	10	40	10	10	10	10	40	40	40
20	256	512	20	20	512	512	20	20	20	20	40	20	20	20	20	40	40	40
20	20	20	20	20	20	20	20	20	20	10	40	10	10	10	10	40	40	40
20	20	20	20	20	256	20	20	2048	20	40	40	40	40	40	40	40	40	40
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	256	20	20	4096	20	34816	20	40	40	40	40	40	40	40	40	40
20	20	20	1024	2048	20	4096	20	20	20	40	40	40	40	40	40	40	40	40
20	20	20	2048	512	20	4096	20	20	20	40	40	40	40	40	40	40	40	40
20	20	2048	512	20	20	4096	20	20	2048	40	40	40	40	40	40	40	40	40
20	20	20	4096	20	20	20	20	34816	256	20	20	20	20	10	20	40	40	40
20	20	20	20	20	256	20	20	34816	256	20	20	20	20	10	20	40	40	40
20	20	20	2048	20	20	1024	20	34816	512	20	20	20	20	10	20	40	40	40
20	20	20	20	20	20	20	20	20	20	20	20	20	20	10	20	40	40	40
20	20	20	256	20	20	20	20	34816	512	20	20	40	20	20	20	40	40	40
20	20	2048	256	256	256	256	20	2048	512	20	20	40	20	20	20	40	40	40
20	20	20	512	20	20	20	20	2048	512	20	20	40	20	20	20	40	40	40
20	20	20	20	20	20	20	20	20	20	20	20	40	20	20	20	40	40	40
20	20	20	2048	20	20	20	20	20	20	40	40	40	40	40	40	40	40	40
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	256	20	20	20	2048	20	20	20	20	20	20	20	20	20	20	20	20	20
4096	4096	4096	20	20	2048	20	20	20	20	20	20	20	20	20	20	20	20	20
256	256	256	20	20	20	20	20	34816	34816	20	20	20	20	20	20	20	20	20
256	20	20	20	256	2048	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	4096	4096	2048	4096	20	20	20	20	20	20	20	20	20	20	20	20
4096	4096	4096	20	20	2048	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	256	20	2048	512	20	4096	4096	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
2048	2048	2048	512	512	512	512	20	512	512	10	10	10	10	10	10	40	40	40
2048	2048	2048	256	256	256	256	20	256	256	10	10	10	10	10	10	40	40	40
2048	2048	2048	256	256	256	256	20	256	256	10	10	10	10	10	10	40	40	40
20	20	20	20	20	20	20	20	20	20	10	10	10	10	10	10	40	40	40
20	20	2048	20	256	2048	20	20	20	20	40	40	40	40	40	40	40	40	40
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	34816	34816	40	20	20	20	20	40	40	40	40
4096	4096	4096	20	20	20	2048	20	20	20	40	20	20	20	20	40	40	40	40
512	20	20	20	20	20	20	20	2048	256	40	20	20	20	20	40	40	40	40
4096	4096	4096	20	20	4096	1024	20	1024	4096	40	20	20	20	20	40	40	40	40
4096	4096	4096	20	20	20	2048	20	20	20	40	20	20	20	20	40	40	40	40
20	4096	20	20	20	2048	20	20	20	20	40	20	20	20	20	40	40	40	40
20	4096	20	4096	20	4096	20	20	20	34816	40	20	20	20	20	40	40	40	40
20	20	20	20	20	20	20	20	20	20	40	20	20	20	20	40	40	40	40
20	20	4096	20	20	20	20	20	34816	34816	40	40	40	40	40	40	40	40	40
20	20	20	2048	20	20	20	20	20	20	40	40	40	40	40	40	40	40	40
20	20	20	20	20	20	20	20	2048	512	40	40	40	40	40	40	40	40	40
20	20	20	2048	20	20	20	20	20	34816	40	40	40	40	40	40	40	40	40
256	256	256	2048	2048	20	2048	20	20	34816	40	40	40	40	40	40	40	40	40
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	256	2048	20	20	20	20	20	40	20	20	20	20	40	40	40	40
20	256	20	20	20	2048	20	20	512	20	40	20	20	20	20	40	40	40	40
20	256	20	20	2048	20	20	20	1024	20	40	20	20	20	20	40	40	40	40
4096	4096	4096	20	20	20	20	20	512	2048	40	20	20	20	20	40	40	40	40
20	20	2048	4096	4096	4096	4096	20	4096	4096	20	40	20	20	20	20	40	40	40
20	20	20	20	20	20	20	20	20	2048	20	40	20	20	20	20	40	40	40
2048	2048	2048	512	512	512	512	20	512	512	20	40	20	20	20	20	40	40	40
20	20	20	20	20	20	20	20	20	20	20	40	20	20	20	20	40	40	40
20	20	20	20	20	20	20	20	20	20	40	40	40	40	40	40	40	40	40
20	20	20	4096	4096	4096	4096	20	2048	20	20	20	20	20	20	20	40	40	40
2048	20	2048	1024	20	20	1024	20	20	20	20	20	20	20	20	20	40	40	40
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	40	40	40
20	20	20	256	20	20	20	20	20	2048	40	40	40	40	40	40	40	40	40
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	2048	20	20	20	20	20	20	20	20	8192	8192	8192	8192	8192	20	8192	8192	8192
20	20	20	20	20	20	20	20	34816	20	8192	8192	8192	8192	8192	20	8192	8192	8192
20	20	40	256	256	256	256	20	256	256	8192	8192	8192	8192	8192	20	8192	8192	8192
20	2048	20	20	20	20	20	20	20	20	8192	8192	8192	8192	8192	20	8192	8192	8192
4096	4096	4096	256	256	256	256	20	256	256	8192	8192	8192	8192	8192	20	8192	8192	8192
512	512	512	512	512	512	512	20	512	512	8192	8192	8192	8192	8192	20	8192	8192	8192
20	20	20	20	20	20	20	20	20	20	8192	8192	8192	8192	8192	20	8192	8192	8192
20	20	20	20	20	20	20	20	20	34816	8192	8192	8192	8192	8192	20	8192	8192	8192
20	20	20	20	20	20	20	20	20	34816	8192	8192	8192	8192	8192	20	8192	8192	8192
20	20	20	20	20	2048	20	20	20	20	8192	8192	8192	8192	8192	20	8192	8192	8192
1024	1024	1024	1024	1024	1024	1024	20	1024	1024	8192	8192	8192	8192	8192	20	8192	8192	8192
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	8192	8192	20	20	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192
20	2048	20	2048	20	2048	2048	20	8192	8192	40	40	40	40	8192	40	40	40	40
20	20	20	2048	4096	20	4096	20	8192	8192	40	40	40	40	8192	40	8192	8192	8192
20	20	20	4096	20	20	2048	20	8192	8192	20	20	20	40	8192	10	8192	8192	8192
20	20	20	2048	20	4096	20	20	20	20	20	20	20	40	8192	20	8192	8192	8192
4096	4096	20	20	20	2048	4096	20	8192	8192	8192	20	20	8192	8192	8192	8192	8192	8192
20	4096	20	20	20	2048	20	20	8192	8192	40	20	20	40	8192	10	8192	8192	8192
20	20	20	2048	20	20	20	20	8192	8192	20	20	40	40	8192	10	8192	8192	8192
20	20	20	1024	2048	20	4096	20	8192	8192	8192	10	20	8192	8192	8192	8192	8192	8192
20	20	2048	20	4096	20	2048	20	8192	8192	8192	8192	20	20	8192	20	8192	8192	8192
20	20	20	20	20	20	20	20	256	256	8192	10	40	8192	8192	8192	8192	8192	8192
20	20	20	256	4096	512	4096	20	256	2048	10	8192	8192	8192	8192	40	8192	8192	8192
20	20	20	20	20	2048	20	20	8192	8192	8192	20	20	20	8192	20	8192	8192	8192
20	20	20	20	20	20	1024	20	256	256	10	10	20	10	8192	8192	8192	8192	8192
20	20	20	1024	2048	20	20	20	8192	8192	8192	20	40	8192	8192	20	8192	8192	8192
20	4096	4096	20	20	20	2048	20	8192	8192	40	20	20	40	8192	10	8192	8192	8192
20	20	20	20	20	2048	20	20	256	20	40	40	40	8192	8192	40	40	40	40
20	20	20	2048	256	20	20	20	20	20	40	40	40	8192	8192	40	40	40	40
20	20	20	4096	4096	2048	2048	20	20	20	40	40	40	8192	8192	40	40	40	40
20	20	4096	2048	256	20	20	20	20	20	40	40	40	8192	8192	40	40	40	40
2048	20	20	2048	8192	8192	20	20	2048	2048	8192	8192	8192	8192	8192	8192	8192	8192	8192
20	20	20	20	20	20	2048	20	20	20	8192	8192	8192	8192	8192	8192	8192	8192	8192
20	20	20	4096	2048	8192	20	20	20	20	8192	8192	8192	8192	8192	8192	8192	8192	8192
20	20	20	20	20	2048	4096	20	8192	8192	8192	8192	10	8192	8192	20	8192	8192	8192
20	20	20	256	2048	20	20	20	8192	8192	10	8192	8192	8192	8192	10	8192	8192	8192
20	40	20	256	256	256	256	20	256	256	20	10	20	10	8192	8192	8192	8192	8192
20	40	20	20	20	20	2048	20	8192	8192	40	8192	10	10	8192	8192	8192	8192	8192
4096	4096	20	20	256	2048	20	20	8192	8192	10	8192	20	40	8192	8192	8192	8192	8192
20	20	2048	4096	4096	4096	4096	20	8192	8192	20	40	10	10	8192	10	8192	8192	8192
20	20	20	4096	20	40	20	20	8192	8192	8192	20	40	8192	8192	8192	8192	8192	8192
20	20	20	20	20	34816	20	20	2048	12288	10	10	40	10	8192	10	8192	8192	8192
20	20	20	20	20	20	20	20	20	20	8192	8192	8192	8192	8192	8192	8192	8192	8192
20	20	20	20	8192	8192	20	20	8192	8192	8192	40	40	8192	8192	8192	8192	8192	8192
20	20	20	2048	20	256	20	20	8192	8192	8192	8192	10	20	8192	10	8192	8192	8192
20	20	20	20	256	20	256	20	8192	8192	8192	8192	20	8192	8192	40	8192	8192	8192
20	20	20	1024	1024	2048	2048	20	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192
20	20	20	2048	2048	1024	1024	20	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192
20	20	20	512	2048	256	256	20	12288	12288	10	8192	10	8192	8192	8192	8192	8192	8192
256	256	20	20	20	20	20	20	256	256	8192	8192	20	8192	8192	8192	8192	8192	8192
20	20	2048	256	256	256	256	20	256	256	8192	20	8192	8192	8192	8192	8192	8192	8192
20	20	20	256	20	2048	256	20	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192
20	20	20	20	256	20	20	20	8192	2048	10	8192	10	8192	8192	8192	8192	8192	8192
20	20	2048	256	256	256	256	20	256	256	8192	10	20	8192	8192	8192	8192	8192	8192
20	20	20	2048	20	20	1024	20	256	8192	8192	8192	10	8192	8192	8192	8192	8192	8192
20	20	4096	20	20	1024	4096	20	8192	8192	8192	8192	10	8192	8192	8192	8192	8192	8192
4096	4096	4096	20	20	1024	20	20	8192	2048	20	8192	8192	8192	8192	8192	8192	8192	8192
20	20	20	20	4096	2048	256	20	8192	1024	8192	10	10	8192	8192	20	8192	8192	8192
2048	20	20	2048	8192	8192	20	20	2048	2048	8192	8192	8192	8192	8192	8192	8192	8192	8192
20	20	20	20	20	2048	20	20	12288	12288	8192	8192	8192	8192	8192	8192	8192	8192	8192
20	2048	20	4096	4096	4096	4096	20	8192	8192	8192	8192	8192	20	8192	8192	8192	8192	8192
256	20	20	20	8192	8192	2048	20	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192
20	20	20	256	20	2048	256	20	2048	256	8192	8192	8192	8192	8192	8192	8192	8192	8192
20	256	20	20	20	20	20	20	1024	8192	8192	8192	8192	8192	8192	10	8192	8192	8192
1024	20	20	256	2048	20	20	20	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192
20	1024	20	20	20	2048	20	20	8192	512	20	8192	8192	8192	8192	8192	8192	8192	8192
20	20	1024	2048	20	20	20	20	512	8192	8192	8192	8192	20	8192	8192	8192	8192	8192
20	20	20	256	256	256	256	20	256	256	8192	8192	10	8192	8192	8192	8192	8192	8192
20	20	20	20	20	20	20	20	2048	2048	20	8192	8192	8192	8192	8192	8192	8192	8192
4096	4096	4096	20	2048	512	512	20	8192	8192	8192	20	8192	8192	8192	8192	8192	8192	8192
20	2048	20	20	20	1024	1024	20	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192
20	20	20	20	1024	20	20	20	8192	2048	8192	8192	8192	20	8192	20	8192	8192	8192
20	20	20	20	256	20	20	20	12288	8192	8192	8192	20	8192	8192	8192	8192	8192	8192
20	20	256	256	20	20	2048	20	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192
256	20	20	20	20	20	20	20	2048	256	8192	20	8192	8192	8192	8192	8192	8192	8192
20	20	20	1024	2048	20	20	20	8192	8192	8192	8192	20	8192	8192	8192	8192	8192	8192
20	20	20	20	4096	20	20	20	256	256	8192	8192	8192	8192	8192	8192	8192	8192	8192
512	256	20	4096	20	2048	20	20	8192	8192	8192	8192	8192	10	8192	8192	8192	8192	8192
20	20	20	20	20	1024	2048	20	8192	1024	8192	8192	10	8192	8192	8192	8192	8192	8192
20	256	20	4096	20	20	20	20	8192	2048	8192	8192	10	8192	8192	10	8192	8192	8192
256	256	20	20	256	4096	20	20	8192	8192	8192	40	8192	8192	8192	8192	8192	8192	8192
20	20	20	2048	20	1024	20	20	512	8192	8192	20	8192	8192	8192	8192	8192	8192	8192
20	20	20	256	20	20	256	20	512	8192	8192	8192	8192	10	8192	8192	8192	8192	8192
2048	20	20	20	20	4096	20	20	8192	256	20	8192	10	8192	8192	8192	8192	8192	8192
256	20	20	20	20	256	20	20	512	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192
4096	4096	4096	20	20	20	2048	20	8192	256	8192	8192	8192	8192	8192	8192	8192	8192	8192
20	20	20	20	20	20	20	20	8192	2048	10	20	8192	8192	8192	8192	8192	8192	8192
2048	20	20	2048	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	2048	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	2048	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	20	20	20	20	20	20	20	8192	8192	10	10	20	20	8192	8192	8192	8192	8192
4096	4096	4096	2048	20	20	20	20	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192
20	256	256	20	20	2048	20	20	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192
20	20	20	512	20	4096	2048	20	8192	8192	40	8192	20	8192	8192	8192	8192	8192	8192
20	20	20	4101	12293	12293	4101	20	12293	12293	8192	8192	8192	8192	8192	8192	8192	8192	8192
20	2048	20	256	20	12288	20	20	8192	8192	20	8192	20	8192	8192	8192	8192	8192	8192
4101	4101	20	4101	20	20	4101	20	34816	256	10	40	40	10	8192	20	8192	8192	8192
4101	4101	20	20	4101	4101	20	20	256	34816	10	40	40	10	8192	20	8192	8192	8192
4101	4101	4101	20	8192	8192	20	20	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192
256	20	20	20	20	2048	20	20	8192	256	8192	8192	8192	8192	8192	8192	8192	8192	8192
20	20	20	20	20	20	256	20	20	2048	8192	8192	20	8192	8192	8192	8192	8192	8192
20	20	20	20	2048	256	20	20	256	8192	8192	8192	8192	8192	8192	8192	8192	8192	8192
20	20	20	20	256	20	2048	20	20	20	8192	8192	20	8192	8192	8192	8192	8192	8192
256	20	20	20	20	256	20	20	256	256	8192	8192	8192	8192	8192	8192	8192	8192	8192
20	20	20	20	20	20	256	20	20	2048	8192	8192	20	8192	8192	8192	8192	8192	8192
20	20	20	20	256	20	2048	20	20	20	8192	8192	20	8192	8192	8192	8192	8192	8192
20	20	20	1024	2048	20	20	20	20	4096	8192	20	8192	8192	8192	8192	8192	8192	8192
20	20	256	20	20	2048	20	20	256	8192	8192	20	8192	8192	8192	8192	8192	8192	8192
20	20	20	4096	20	4096	256	20	8192	8192	8192	20	20	10	8192	8192	8192	8192	8192
20	20	20	20	4096	20	20	20	8192	256	8192	8192	20	8192	8192	8192	8192	8192	8192
512	512	512	20	20	20	20	20	8192	8192	8192	40	8192	8192	8192	8192	8192	8192	8192
512	512	20	20	20	8192	20	20	256	256	8192	8192	8192	8192	8192	8192	8192	8192	8192
20	256	20	1024	1024	2048	1024	20	1024	8192	20	8192	8192	8192	8192	8192	8192	8192	8192
20	20	20	1024	1024	1024	2048	20	8192	1024	20	8192	8192	8192	8192	8192	8192	8192	8192
