m_SkillEffectID	m_EffectType	m_Number00	m_Number01	m_Number02	m_Number03	m_Number04	m_Number05	m_Number06	m_Number07	m_Filter	m_InfoPlay	m_Text0	m_Text1	m_ConflictEffectType
1041	3	17	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_020	None	0
1042	3	18	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_021	None	0
1043	3	19	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_022	None	0
1050	7	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_010	None	0
1060	3	4	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_023	None	0
1061	3	6	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_024	None	0
1062	3	5	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_025	None	0
1063	3	1	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_026	None	0
1064	3	3	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_027	None	0
1065	3	2	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_028	None	0
1066	10	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_029	None	0
1067	9	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_030	None	0
1068	10	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_029	None	0
1069	9	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_030	None	0
1070	13	0	0	0	0	0	0	0	0	0	None	None	LINEINFO_LIF_040	0
1071	13	100	0	0	0	0	0	0	0	0	None	None	None	0
1072	3	1	0	3	0	0	0	0	0	0	None	LINEINFO_LIF_118	None	0
1073	3	1	0	2	0	0	0	0	0	0	None	LINEINFO_LIF_119	None	0
1074	3	1	0	3	2	0	0	0	0	0	None	LINEINFO_LIF_120	None	0
1075	3	4	0	6	0	0	0	0	0	0	None	LINEINFO_LIF_121	None	0
1076	3	4	0	5	0	0	0	0	0	0	None	LINEINFO_LIF_122	None	0
1077	3	6	0	5	0	0	0	0	0	0	None	LINEINFO_LIF_125	None	0
1078	3	4	0	6	5	0	0	0	0	0	None	LINEINFO_LIF_123	None	0
1079	3	3	0	2	0	0	0	0	0	0	None	LINEINFO_LIF_113	None	0
1080	14	300	90	1	0	0	0	0	0	0	None	LINEINFO_LIF_035	None	0
1081	14	300	90	3	0	0	0	0	0	0	None	LINEINFO_LIF_035	None	0
1082	3	4	3	0	0	0	0	0	0	0	None	LINEINFO_LIF_023	None	0
1083	3	6	3	0	0	0	0	0	0	0	None	LINEINFO_LIF_024	None	0
1084	3	5	3	0	0	0	0	0	0	0	None	LINEINFO_LIF_025	None	0
1085	3	4	3	5	0	0	0	0	0	0	None	LINEINFO_LIF_122	None	0
1086	3	4	3	6	5	0	0	0	0	0	None	LINEINFO_LIF_123	None	0
1090	17	2	4	100	3	2	-1	-1	0	0	None	LINEINFO_LIF_046	None	0
1100	3	22	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_105	None	0
1110	18	0	0	0	0	0	0	0	0	0	None	None	None	0
1120	3	35	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_038	None	0
1121	24	0	1	0	0	0	0	0	0	0	None	None	None	0
1122	24	1	1	0	0	0	0	0	0	0	None	None	None	0
1123	3	36	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_039	None	0
1124	3	37	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_038	None	0
1130	16	1	1	3	0	0	0	0	0	0	None	None	None	0
1131	16	1	1	2	0	0	0	0	0	0	None	None	None	0
1132	16	1	4	1	0	0	0	0	0	0	None	None	None	0
1140	11	300	0	0	0	0	0	0	0	0	None	None	None	0
1150	5	40	0	0	0	0	0	0	0	0	None	None	None	0
1151	5	50	0	0	0	0	0	0	0	0	None	None	None	0
1152	5	70	0	0	0	0	0	0	0	0	None	None	None	0
1160	3	25	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_128	None	0
1170	38	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_075	None	0
1171	8	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_126	None	0
1172	12	140	1	0	0	0	0	0	0	0	None	None	None	0
1173	15	125	100	0	0	0	0	0	0	0	None	None	None	0
1174	19	1	1	5	5	5	0	0	0	0	None	None	None	0
1175	20	1	0	0	0	0	0	0	0	0	None	None	None	0
1176	4	2	99	1	0	0	0	0	0	0	None	LINEINFO_LIF_001	None	0
1177	4	3	99	1	0	0	0	0	0	0	None	LINEINFO_LIF_002	None	0
1178	4	4	99	1	0	0	0	0	0	0	None	LINEINFO_LIF_003	None	0
1179	4	8	99	1	0	0	0	0	0	0	None	LINEINFO_LIF_007	None	0
1180	4	5	99	1	0	0	0	0	0	0	None	LINEINFO_LIF_004	None	0
1181	4	6	99	1	0	0	0	0	0	0	None	LINEINFO_LIF_005	None	0
1182	4	7	99	1	0	0	0	0	0	0	None	LINEINFO_LIF_006	None	0
1183	3	4	1	6	5	0	0	0	0	0	None	LINEINFO_LIF_123	None	0
1184	42	15	0	0	0	0	0	0	0	0	None	None	None	0
1185	42	30	0	0	0	0	0	0	0	0	None	None	None	0
1186	3	23	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_042	None	0
1187	3	24	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_043	None	0
1188	3	20	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_124	None	0
1189	3	21	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_045	None	0
1190	3	27	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_102	None	0
1191	3	26	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_132	None	0
1192	40	250	0	0	0	0	0	0	0	0	None	None	None	0
1193	3	155	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_047	None	0
1194	42	-40	0	0	0	0	0	0	0	0	None	None	None	0
1195	42	-60	0	0	0	0	0	0	0	0	None	None	None	0
1196	42	-65	0	0	0	0	0	0	0	0	None	None	None	0
1197	42	-68	0	0	0	0	0	0	0	0	None	None	None	0
1198	38	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_033	None	0
1199	43	7	8	0	0	0	0	0	0	0	None	LINEINFO_LIF_044	None	0
1201	25	2	150	-45	0	0	0	0	0	0	None	LINEINFO_LIF_067	None	0
1202	3	37	0	0	0	0	0	0	0	0	None	None	None	0
1203	26	1	2	5500	0	0	0	0	0	0	None	LINEINFO_LIF_076	None	0
1204	28	3046	3	1	102	0	0	0	0	0	None	None	None	0
1205	25	1000	100	0	0	0	0	0	0	0	None	None	None	0
1206	26	2	5501	0	0	0	0	0	0	0	None	None	None	0
1207	4	2	25	0	0	0	0	0	0	0	None	LINEINFO_LIF_001	None	0
1208	4	4	99	0	0	0	0	0	0	0	None	LINEINFO_LIF_003	None	0
1209	26	1	1	5502	0	0	0	0	0	0	None	LINEINFO_LIF_076	None	0
1210	3	51	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_077	None	0
1211	3	159	0	160	161	0	0	0	0	0	None	LINEINFO_LIF_111	None	0
1212	3	192	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_146	None	0
1214	30	8	0	0	0	0	0	0	0	0	None	None	None	0
1215	33	2049	5	2048	40	0	0	0	0	0	None	LINEINFO_LIF_062	None	0
1216	33	2049	6	2048	40	0	0	0	0	0	None	LINEINFO_LIF_062	None	0
1217	33	2049	7	2048	40	0	0	0	0	0	None	LINEINFO_LIF_062	None	0
1218	33	2049	13	2048	40	0	0	0	0	0	None	LINEINFO_LIF_062	None	0
1219	33	2049	14	2048	41	0	0	0	0	0	None	LINEINFO_LIF_062	None	0
1220	3	61	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_079	None	0
1221	31	3090	1	0	0	0	0	0	0	0	None	None	None	0
1222	28	3092	4	3	61	0	0	0	0	0	None	None	None	0
1223	3	62	0	0	0	0	0	0	0	0	None	None	None	0
1224	3	63	0	0	0	0	0	0	0	0	None	None	None	0
1225	3	64	0	0	0	0	0	0	0	0	None	None	None	0
1226	3	65	0	0	0	0	0	0	0	0	None	None	None	0
1227	3	66	0	0	0	0	0	0	0	0	None	None	None	0
1228	3	141	0	0	0	0	0	0	0	0	None	None	None	0
1229	33	2158	5	0	0	0	0	0	0	0	None	LINEINFO_LIF_062	None	0
1230	33	2158	7	0	0	0	0	0	0	0	None	LINEINFO_LIF_062	None	0
1231	33	2158	13	0	0	0	0	0	0	0	None	LINEINFO_LIF_062	None	0
1232	33	2158	6	0	0	0	0	0	0	0	None	LINEINFO_LIF_062	None	0
1233	33	2158	14	0	0	0	0	0	0	0	None	LINEINFO_LIF_062	None	0
1234	3	195	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_077	None	0
1235	28	3189	3	1	102	0	0	0	0	0	None	None	None	0
1301	24	0	1	0	0	0	0	0	0	0	None	None	None	0
1302	24	1	1	0	0	0	0	0	0	0	None	None	None	0
1303	24	2	1	0	0	0	0	0	0	0	None	None	None	0
1304	24	3	1	0	0	0	0	0	0	0	None	None	None	0
1305	24	4	1	0	0	0	0	0	0	0	None	None	None	0
1306	24	5	1	0	0	0	0	0	0	0	None	None	None	0
1307	3	177	0	0	0	0	0	0	0	0	None	None	None	0
1308	3	193	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_146	None	0
1309	3	70	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_019	None	0
1310	3	71	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_020	None	0
1311	3	72	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_021	None	0
1312	3	73	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_022	None	0
1317	31	3002	0	0	0	0	0	0	0	0	None	None	None	0
1318	4	7	25	0	0	0	0	0	0	0	None	LINEINFO_LIF_006	None	0
1319	3	69	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_089	None	0
1320	30	29	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_062	None	0
1321	3	70	0	71	72	73	0	0	0	0	None	None	None	0
1322	3	70	0	71	72	73	0	0	0	0	None	LINEINFO_LIF_088	None	0
1323	30	46	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_062	None	0
1324	30	45	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_062	None	0
1325	32	70	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_087	None	0
1326	32	71	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_087	None	0
1327	32	72	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_087	None	0
1328	32	73	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_087	None	0
1329	3	75	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_039	None	0
1330	3	75	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_039	None	0
1331	33	2142	16	2143	18	2144	20	2145	22	0	None	LINEINFO_LIF_062	None	0
1332	35	2	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_063	None	0
1333	34	1	0	0	0	0	0	0	0	0	None	None	None	0
1334	3	78	0	80	0	0	0	0	0	0	None	LINEINFO_LIF_026	None	0
1335	3	79	0	80	0	0	0	0	0	0	None	LINEINFO_LIF_026	None	0
1336	3	57	0	80	0	0	0	0	0	0	None	LINEINFO_LIF_026	None	0
1337	3	58	0	80	0	0	0	0	0	0	None	LINEINFO_LIF_026	None	0
1338	3	59	0	80	0	0	0	0	0	0	None	LINEINFO_LIF_026	None	0
1339	3	60	0	80	0	0	0	0	0	0	None	LINEINFO_LIF_026	None	0
1340	3	84	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_065	None	0
1341	3	85	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_066	None	0
1342	34	1	1	3	0	0	0	0	0	0	None	None	None	0
1343	3	90	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_096	None	0
1344	3	91	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_097	None	0
1345	36	1	2	0	0	0	0	0	0	0	None	LINEINFO_LIF_114	None	0
1346	37	0	0	0	0	0	0	0	0	0	None	None	None	0
1347	3	142	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_095	None	0
1348	3	143	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_094	None	0
1349	3	144	0	1	0	0	0	0	0	0	None	LINEINFO_LIF_056	None	0
1350	3	145	3	0	0	0	0	0	0	0	None	LINEINFO_LIF_057	None	0
1351	4	2	60	0	0	0	0	0	0	0	None	LINEINFO_LIF_001	None	0
1352	4	3	60	0	0	0	0	0	0	0	None	LINEINFO_LIF_002	None	0
1353	4	5	60	0	0	0	0	0	0	0	None	LINEINFO_LIF_004	None	0
1354	4	4	60	0	0	0	0	0	0	0	None	LINEINFO_LIF_003	None	0
1355	4	8	60	0	0	0	0	0	0	0	None	LINEINFO_LIF_007	None	0
1356	4	6	60	0	0	0	0	0	0	0	None	LINEINFO_LIF_005	None	0
1357	30	42	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_062	None	0
1358	30	43	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_062	None	0
1359	38	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_067	None	0
1360	38	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_064	None	0
1361	3	146	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_115	None	0
1362	26	3	5503	0	0	0	0	0	0	0	None	None	None	0
1363	3	147	0	150	0	0	0	0	0	0	None	LINEINFO_LIF_118	None	0
1364	3	153	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_079	None	0
1365	31	3307	0	0	0	0	0	0	0	0	None	None	None	0
1366	28	3318	4	3	153	0	0	0	0	0	None	None	None	0
1367	30	36	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_062	None	0
1368	30	39	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_062	None	0
1369	3	168	0	178	0	0	0	0	0	0	None	LINEINFO_LIF_118	None	0
1370	38	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_098	None	0
1372	38	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_116	None	0
1373	38	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_117	None	0
1374	38	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_053	None	0
1376	38	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_142	None	0
1377	38	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_141	None	0
1378	38	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_078	None	0
1379	38	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_081	None	0
1380	3	35	0	55	0	0	0	0	0	0	None	LINEINFO_LIF_085	None	0
1381	3	57	0	59	0	0	0	0	0	0	None	LINEINFO_LIF_074	None	0
1382	3	37	0	56	0	0	0	0	0	0	None	LINEINFO_LIF_085	None	0
1383	3	58	0	60	0	0	0	0	0	0	None	LINEINFO_LIF_074	None	0
1384	3	1	0	6	2	0	0	0	0	0	None	LINEINFO_LIF_082	None	0
1385	38	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_054	None	0
1386	38	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_145	None	0
1387	38	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_099	None	0
1388	41	57	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_087	None	0
1389	41	58	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_087	None	0
1390	41	59	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_087	None	0
1391	41	60	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_087	None	0
1392	41	57	60	58	59	0	0	0	0	0	None	LINEINFO_LIF_087	None	0
1393	4	9	99	0	0	0	0	0	0	0	None	LINEINFO_LIF_008	None	0
1394	4	9	99	0	0	0	0	0	0	0	None	LINEINFO_LIF_008	None	0
1395	3	70	0	71	59	60	0	0	0	0	None	None	None	0
1396	3	57	0	58	72	73	0	0	0	0	None	None	None	0
1397	30	44	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_062	None	0
1398	3	167	0	189	0	0	0	0	0	0	None	None	None	0
1399	38	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_083	None	0
1400	38	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_103	None	0
1500	46	2	2061	0	0	0	0	0	0	0	None	None	None	0
1501	46	2	2144	0	0	0	0	0	0	0	None	None	None	0
1502	46	1	2144	0	0	0	0	0	0	0	None	None	None	0
1503	46	2	2145	0	0	0	0	0	0	0	None	None	None	0
1504	46	3	2145	0	0	0	0	0	0	0	None	None	None	0
1505	46	2	2142	0	0	0	0	0	0	0	None	None	None	0
1506	46	3	2142	0	0	0	0	0	0	0	None	None	None	0
1507	46	2	2143	0	0	0	0	0	0	0	None	None	None	0
1508	46	1	2143	0	0	0	0	0	0	0	None	None	None	0
1509	38	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_091	None	0
1510	38	0	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_090	None	0
1511	38	0	0	0	0	0	0	0	0	0	None	None	None	0
1512	38	0	0	0	0	0	0	0	0	0	None	None	None	0
1513	3	194	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_077	None	0
1514	25	102	80	0	0	0	0	0	0	0	None	LINEINFO_LIF_067	None	0
1515	25	102	165	0	0	0	0	0	0	0	None	None	None	0
1516	3	188	0	0	0	0	0	0	0	0	None	None	None	0
1520	50	0	0	0	0	0	0	0	0	0	None	None	None	0
2000	100	5	3	0	0	0	0	0	0	0	None	None	None	0
2001	100	5	2	0	0	0	0	0	0	0	None	None	None	0
2002	100	6	3	0	0	0	0	0	0	0	None	None	None	0
2003	100	6	2	0	0	0	0	0	0	0	None	None	None	0
2004	100	1	3	0	0	0	0	0	0	0	None	None	None	0
2005	100	1	2	0	0	0	0	0	0	0	None	None	None	0
2006	100	2	3	0	0	0	0	0	0	0	None	None	None	0
2007	100	2	2	0	0	0	0	0	0	0	None	None	None	0
2008	100	3	3	0	0	0	0	0	0	0	None	None	None	0
2009	100	3	2	0	0	0	0	0	0	0	None	None	None	0
2010	100	4	3	0	0	0	0	0	0	0	None	None	None	0
2011	100	4	2	0	0	0	0	0	0	0	None	None	None	0
2012	100	8	3	0	0	0	0	0	0	0	None	None	None	0
2013	100	8	2	0	0	0	0	0	0	0	None	None	None	0
2020	104	5	-20	0	0	0	0	0	0	0	None	None	None	0
2021	104	5	-40	0	0	0	0	0	0	0	None	None	None	0
2022	104	6	-20	0	0	0	0	0	0	0	None	None	None	0
2023	104	6	-40	0	0	0	0	0	0	0	None	None	None	0
2024	104	1	-20	0	0	0	0	0	0	0	None	None	None	0
2025	104	1	-40	0	0	0	0	0	0	0	None	None	None	0
2026	104	2	-20	0	0	0	0	0	0	0	None	None	None	0
2027	104	2	-40	0	0	0	0	0	0	0	None	None	None	0
2028	104	3	-20	0	0	0	0	0	0	0	None	None	None	0
2029	104	3	-40	0	0	0	0	0	0	0	None	None	None	0
2030	104	4	-20	0	0	0	0	0	0	0	None	None	None	0
2031	104	4	-40	0	0	0	0	0	0	0	None	None	None	0
2032	104	9	-20	0	0	0	0	0	0	0	None	None	None	0
2033	104	9	-100	0	0	0	0	0	0	0	None	None	None	0
2040	105	101	-50	0	0	0	0	0	0	0	None	None	None	0
2041	105	100	-50	0	0	0	0	0	0	0	None	None	None	0
2042	105	101	-500	0	0	0	0	0	0	0	None	None	None	0
2043	105	100	-500	0	0	0	0	0	0	0	None	None	None	0
2044	105	2	-500	0	0	0	0	0	0	0	None	None	None	0
2045	105	3	-500	0	0	0	0	0	0	0	None	None	None	0
2046	105	4	-500	0	0	0	0	0	0	0	None	None	None	0
2047	105	5	-500	0	0	0	0	0	0	0	None	None	None	0
2048	105	6	-500	0	0	0	0	0	0	0	None	None	None	0
2049	105	102	-50	0	0	0	0	0	0	0	None	None	None	0
2050	106	100	0	1	0	0	0	0	0	0	None	None	None	0
2051	106	100	0	3	0	0	0	0	0	0	None	None	None	0
2052	106	100	0	2	0	0	0	0	0	0	None	None	None	0
2053	106	100	1	1	0	0	0	0	0	0	None	None	None	0
2054	106	100	1	3	0	0	0	0	0	0	None	None	None	0
2055	106	100	1	2	0	0	0	0	0	0	None	None	None	0
2060	101	10	0	0	0	0	0	0	0	0	None	None	None	0
2061	101	20	0	0	0	0	0	0	0	0	None	None	None	0
2062	101	30	0	0	0	0	0	0	0	0	None	None	None	0
2063	102	10	0	0	0	0	0	0	0	0	None	None	None	0
2064	102	20	0	0	0	0	0	0	0	0	None	None	None	0
2065	102	30	0	0	0	0	0	0	0	0	None	None	None	0
2070	109	30	100	0	0	1	1	0	0	0	None	None	None	0
2071	109	30	150	0	0	1	1	0	0	0	None	None	None	0
2072	109	30	200	0	0	1	1	0	0	0	None	None	None	0
2073	109	100	100	1093	0	2	7	0	0	0	None	None	None	0
2074	109	70	150	0	0	1	1	0	0	0	None	None	None	0
2080	111	9	15	0	0	0	0	0	0	0	None	None	None	0
2081	112	50	10	25	25	10	50	0	0	0	None	None	None	0
2090	113	50	10	0	0	0	0	0	0	0	None	None	None	0
2091	114	50	10	0	0	0	0	0	0	0	None	None	None	0
2100	116	20	0	0	0	0	0	0	0	0	None	None	None	0
2101	116	100	0	0	0	0	0	0	0	0	None	None	None	0
2102	117	10	0	0	0	0	0	0	0	0	None	None	None	0
2110	120	15	20	30	70	100	0	0	0	0	None	LINEINFO_LIF_036	LINEINFO_LIF_130	0
2111	121	1	5	10	15	30	0	0	0	0	None	None	None	0
2112	3	28	0	0	0	0	0	0	0	0	None	LINEINFO_LIF_106	None	0
2113	122	1	5	10	20	35	0	0	0	0	None	None	None	0
2114	3	29	0	162	0	0	0	0	0	0	None	LINEINFO_LIF_107	None	0
2115	124	33	3	0	0	0	0	0	0	0	None	LINEINFO_LIF_108	None	0
2116	123	102	35	30	30	35	0	0	0	0	None	None	None	0
2117	125	100	0	0	0	0	0	0	0	0	None	None	None	0
2120	127	1	1	0	0	0	0	0	0	0	None	None	None	0
2121	127	2	1	0	0	0	0	0	0	0	None	None	None	0
2122	127	3	1	0	0	0	0	0	0	0	None	None	None	0
2123	127	4	1	0	0	0	0	0	0	0	None	None	None	0
2124	126	100	1	0	0	0	0	0	0	0	None	None	None	0
2125	126	50	1	0	0	0	0	0	0	0	None	None	None	0
2126	127	5	1	1	0	0	0	0	0	0	None	None	None	0
2127	127	6	1	1	0	0	0	0	0	0	None	None	None	0
2128	128	70	1	0	0	0	0	0	0	0	None	None	None	0
2129	129	1	0	0	0	0	0	0	0	0	None	None	None	0
2130	131	1	0	0	0	0	0	0	0	0	None	None	None	0
2131	132	1	0	0	0	0	0	0	0	0	None	None	None	0
2132	133	60	40	0	0	0	0	0	0	0	None	None	None	0
2133	162	80	0	0	0	0	0	0	0	0	None	None	None	0
2134	162	70	0	0	0	0	0	0	0	0	None	None	None	0
2135	162	60	0	0	0	0	0	0	0	0	None	None	None	0
2136	162	50	0	0	0	0	0	0	0	0	None	None	None	0
2137	137	30	0	0	0	0	0	0	0	0	None	None	None	0
2138	138	30	20	0	0	0	0	0	0	0	None	None	None	0
2139	130	1	0	0	0	0	0	0	0	0	None	None	None	0
2140	153	6	10	0	0	0	0	0	0	0	None	None	None	0
2141	153	6	25	0	0	0	0	0	0	0	None	None	None	0
2142	153	6	50	0	0	0	0	0	0	0	None	None	None	0
2143	153	6	50	0	0	0	0	0	0	0	None	None	None	0
2145	155	6	25	10	0	0	0	0	0	0	None	None	None	0
2146	155	6	25	25	0	0	0	0	0	0	None	None	None	0
2147	155	6	25	50	0	0	0	0	0	0	None	None	None	0
2148	155	6	25	50	0	0	0	0	0	0	None	None	None	0
2150	157	-7	0	0	0	0	0	0	0	0	None	None	None	0
2151	157	-13	0	0	0	0	0	0	0	0	None	None	None	0
2152	157	-20	0	0	0	0	0	0	0	0	None	None	None	0
2153	157	-1000	0	0	0	0	0	0	0	0	None	None	None	0
2160	159	10	0	0	0	0	0	0	0	0	None	None	None	0
2161	159	20	0	0	0	0	0	0	0	0	None	None	None	0
2162	159	30	0	0	0	0	0	0	0	0	None	None	None	0
2163	159	1000	0	0	0	0	0	0	0	0	None	None	None	0
2170	168	10	0	0	0	0	0	0	0	0	LINEINFO_LIF_133	None	None	0
2180	169	20	0	0	0	0	0	0	0	0	LINEINFO_LIF_037	None	None	0
2190	172	7	10	0	0	0	0	0	0	0	None	None	None	0
2200	174	1	50	0	0	0	0	0	0	0	None	None	None	0
2210	176	1	2	9	0	0	0	0	0	0	None	None	None	0
2220	177	10	0	0	0	0	0	0	0	0	None	None	None	0
2221	141	1	50	0	0	0	0	0	0	0	None	None	None	0
2230	180	80	20	0	0	0	0	0	0	0	None	None	None	0
2231	180	70	30	0	0	0	0	0	0	0	None	None	None	0
2232	180	60	40	0	0	0	0	0	0	0	None	None	None	0
2233	180	55	30	15	0	0	0	0	0	0	None	None	None	0
2240	183	1	10	2	0	0	0	0	0	0	None	None	None	0
2241	186	3040	1	0	0	0	0	0	0	0	None	None	None	0
2242	187	70	4	1	0	0	0	0	0	0	None	LINEINFO_LIF_019	None	0
2243	187	71	4	2	0	0	0	0	0	0	None	LINEINFO_LIF_020	None	0
2244	187	72	4	3	0	0	0	0	0	0	None	LINEINFO_LIF_021	None	0
2245	187	73	4	4	0	0	0	0	0	0	None	LINEINFO_LIF_022	None	0
2246	185	31	37	0	0	0	0	0	0	0	None	None	None	0
2247	109	100	100	3115	0	0	0	0	0	0	None	None	None	0
2248	185	33	37	0	0	0	0	0	0	0	None	None	None	0
