rankType	itemId1	itemWeight1	itemId2	itemWeight2	itemId3	itemWeight3	itemId4	itemWeight4	itemId5	itemWeight5	itemId6	itemWeight6	itemId7	itemWeight7	itemId8	itemWeight8
110	358	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	358	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	358	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	358	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	358	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	359	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116	359	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	359	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	359	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	359	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	360	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	360	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	360	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	360	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	360	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	361	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	361	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127	361	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128	361	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	361	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
