nkmId	m_CharaID	race	nameLabel	commentaryLabel	dispId	dlcEventFlag	baseLV	baseStr	baseInt	baseVit	baseAgi	baseLuk	growthStr	growthInt	growthVit	growthAgi	growthLuk	EW_Physical_WeakType	EW_Physical_EndureValue	EW_Gun_WeakType	EW_Gun_EndureValue	EW_Fire_WeakType	EW_Fire_EndureValue	EW_Ice_WeakType	EW_Ice_EndureValue	EW_Thunder_WeakType	EW_Thunder_EndureValue	EW_Wind_WeakType	EW_Wind_EndureValue	EW_All_WeakType	EW_All_EndureValue	EW_Bst_WeakType	EW_Bst_EndureValue	LearnLv01	LearnLv02	LearnLv03	LearnLv04	LearnLv05	LearnLv06	Skill1_Id	Skill2_Id	Skill3_Id	Skill4_Id	Skill5_Id	Skill6_Id	m_InheritType	ManaChangeType1	ManaChangeWeight1	ManaChangeType2	ManaChangeWeight2	ManaChangeType3	ManaChangeWeight3	ManaChangeType4	ManaChangeWeight4	UniteOpenFlag	Price	DevilTone	DevilVoice	patchFlag
10	9014	28	NAKAMA_010	NAKAMAINFO_010	0	FLG_SYS_DLC_DEMON_MASAKADO	62	38	14	21	15	20	0.5	0.2	0.3	0.2	0.3	2	0	5	150	3	50	3	50	3	50	3	50	4	100	4	100	0	0	0	63	64	65	1072	1206	1352	1057	1317	1155	30	14	3	0	0	0	0	0	0	FLG_SYS_DLC_DEMON_MASAKADO	1000	4	4	0
11	9023	26	NAKAMA_011	NAKAMAINFO_011	0	None	85	46	48	10	28	10	0.3	0.3	0.3	0.3	0.3	0	100	4	100	0	100	4	100	0	100	4	100	4	100	4	100	0	0	86	88	90	0	1022	1091	1086	1387	1168	0	31	4	3	5	1	0	0	0	0	FLG_SYS_UNLOCK_FUSION_011	1000	3	3	0
12	9027	20	NAKAMA_012	NAKAMAINFO_012	1	None	50	10	28	17	20	14	0.2	0.5	0.25	0.35	0.2	4	100	5	150	3	50	4	100	4	100	2	0	4	100	3	50	0	0	51	52	53	0	1005	1035	1154	1135	1485	0	32	0	2	1	1	20	2	0	0	FLG_SYS_UNLOCK_FUSION_012	1000	4	4	0
13	9031	25	NAKAMA_013	NAKAMAINFO_013	2	None	17	3	14	8	8	7	0.2	0.5	0.25	0.35	0.2	4	100	4	100	5	150	3	50	4	100	3	50	4	100	5	150	0	18	19	21	0	0	1133	1156	1137	1358	0	0	33	12	3	0	0	0	0	0	0	FLG_SYS_UNLOCK_FUSION_013	1000	7	7	0
14	9035	23	NAKAMA_014	NAKAMAINFO_014	0	None	54	14	30	15	21	15	0.2	0.5	0.25	0.35	0.2	4	100	4	100	5	150	3	50	3	50	0	100	4	100	4	100	0	0	0	55	56	0	1012	1109	1032	1015	1186	0	34	2	3	3	1	0	0	0	0	None	1000	2	2	0
15	9036	25	NAKAMA_015	NAKAMAINFO_015	1	None	86	18	49	23	32	22	0.2	0.5	0.25	0.35	0.2	5	150	1	100	4	100	4	100	4	100	1	100	4	100	4	100	0	0	87	89	91	0	1136	1185	1386	1153	1342	0	35	12	3	0	0	0	0	0	0	None	1000	7	7	0
16	9040	22	NAKAMA_016	NAKAMAINFO_016	2	None	70	26	36	20	20	10	0.3	0.3	0.3	0.3	0.3	4	100	4	100	0	100	5	150	5	150	2	0	4	100	4	100	0	0	71	73	75	0	1002	1092	1007	1108	1490	0	36	0	3	1	1	0	0	0	0	None	1000	13	12	0
17	9043	24	NAKAMA_017	NAKAMAINFO_017	2	None	59	13	30	21	19	17	0.2	0.5	0.25	0.35	0.2	5	150	5	150	4	100	4	100	3	50	3	50	4	100	2	0	0	0	60	61	63	0	1043	1022	1143	1360	1044	0	37	10	3	11	1	0	0	0	0	None	1000	3	3	0
18	9045	26	NAKAMA_018	NAKAMAINFO_018	1	FLG_SYS_DLC_DEMON_ZAOGONGEN	46	14	26	12	20	11	0.2	0.5	0.25	0.35	0.2	3	50	3	50	1	100	4	100	5	150	4	100	4	100	3	50	0	0	0	47	48	0	1207	1052	1182	1108	1301	0	38	0	3	1	1	0	0	0	0	FLG_SYS_DLC_DEMON_ZAOGONGEN	1000	4	4	0
19	9049	15	NAKAMA_019	NAKAMAINFO_019	2	None	88	32	35	40	19	24	0.3	0.3	0.3	0.3	0.3	3	50	3	50	3	50	3	50	3	50	3	50	4	100	4	100	0	0	89	91	93	0	1135	1044	1353	1184	1343	0	39	10	3	11	1	0	0	0	0	FLG_SYS_UNLOCK_FUSION_019	1000	15	18	0
20	9052	21	NAKAMA_020	NAKAMAINFO_020	2	None	35	16	15	11	12	12	0.35	0.35	0.25	0.35	0.2	1	100	4	100	5	150	4	100	3	50	3	50	4	100	4	100	0	0	36	37	38	0	1054	1104	1108	1302	1406	0	40	8	3	0	0	0	0	0	0	None	1000	5	5	0
21	9053	21	NAKAMA_021	NAKAMAINFO_021	0	None	64	29	21	26	17	20	0.5	0.2	0.3	0.2	0.3	3	50	4	100	4	100	4	100	0	100	5	150	4	100	4	100	0	0	65	66	67	0	1027	1186	1055	1301	1386	0	41	4	3	5	1	0	0	0	0	None	1000	4	4	0
22	9054	9	NAKAMA_022	NAKAMAINFO_022	1	None	78	43	17	26	18	25	0.5	0.2	0.3	0.2	0.3	1	100	5	150	4	100	4	100	4	100	2	0	4	100	4	100	0	0	79	81	83	0	1072	1162	1364	1065	1398	0	42	14	3	0	0	0	0	0	0	None	1000	9	9	0
23	9057	5	NAKAMA_023	NAKAMAINFO_023	1	None	54	21	30	11	16	15	0.2	0.5	0.25	0.35	0.2	5	150	4	100	1	100	1	100	1	100	1	100	4	100	2	0	0	0	0	55	57	0	1135	1012	1132	1315	1107	0	43	12	3	19	2	0	0	0	0	None	1000	8	8	0
24	9058	5	NAKAMA_024	NAKAMAINFO_024	2	None	74	20	34	20	28	26	0.3	0.3	0.3	0.3	0.3	4	100	3	50	4	100	5	150	2	0	4	100	4	100	5	150	0	0	75	77	79	0	1027	1037	1132	1360	1342	0	44	4	2	5	1	18	2	0	0	None	1000	3	3	0
25	9059	8	NAKAMA_025	NAKAMAINFO_025	0	None	93	22	50	20	39	22	0.2	0.5	0.2	0.4	0.2	4	100	5	150	1	100	1	100	1	100	1	100	4	100	2	0	0	0	94	96	98	0	1107	1017	1382	1044	1490	0	45	2	3	3	1	0	0	0	0	None	1000	8	8	0
26	9060	2	NAKAMA_026	NAKAMAINFO_026	1	None	29	14	7	14	9	11	0.4	0.2	0.4	0.2	0.3	3	50	3	50	5	150	3	50	3	50	5	150	4	100	4	100	0	0	30	31	32	0	1016	1174	1350	1151	1310	0	46	2	3	3	1	0	0	0	0	None	1000	5	18	0
27	9061	8	NAKAMA_027	NAKAMAINFO_027	2	None	59	12	33	16	23	16	0.2	0.5	0.25	0.35	0.2	3	50	4	100	5	150	1	100	4	100	4	100	4	100	5	150	0	0	60	61	62	0	1041	1015	1382	1305	1017	0	47	2	3	3	1	0	0	0	0	None	1000	13	12	0
28	9062	9	NAKAMA_028	NAKAMAINFO_028	0	None	62	15	32	17	24	17	0.2	0.5	0.25	0.35	0.2	1	100	1	100	4	100	5	150	5	150	5	150	4	100	4	100	0	0	63	64	65	0	1092	1162	1486	1085	1325	0	48	14	3	0	0	0	0	0	0	None	1000	9	9	0
29	9066	25	NAKAMA_029	NAKAMAINFO_029	1	None	44	20	24	11	14	10	0.4	0.3	0.25	0.3	0.25	4	100	4	100	5	150	2	0	3	50	4	100	4	100	4	100	0	0	45	46	47	0	1084	1154	1138	1082	1305	0	49	14	3	0	0	0	0	0	0	None	1000	9	9	0
30	9072	15	NAKAMA_030	NAKAMAINFO_030	1	None	14	7	6	9	6	5	0.4	0.2	0.4	0.2	0.3	4	100	3	50	4	100	4	100	1	100	5	150	4	100	5	150	0	0	15	16	0	0	1023	1409	1175	1358	0	0	50	4	3	5	1	0	0	0	0	None	1000	15	18	0
31	9073	10	NAKAMA_031	NAKAMAINFO_031	2	None	60	25	31	23	14	9	0.5	0.4	0.3	0.2	0.1	1	100	1	100	5	150	5	150	5	150	5	150	4	100	4	100	0	0	61	62	64	0	1032	1005	1167	1035	1319	0	51	6	3	7	1	0	0	0	0	None	1000	5	20	0
32	9074	2	NAKAMA_032	NAKAMAINFO_032	0	None	68	23	23	15	31	21	0.3	0.3	0.25	0.4	0.25	3	50	5	150	4	100	4	100	4	100	0	100	4	100	2	0	0	0	69	71	73	0	1035	1154	1143	1071	1352	0	52	6	3	7	1	0	0	0	0	None	1000	15	25	0
33	9076	19	NAKAMA_033	NAKAMAINFO_033	2	None	51	23	19	24	11	10	0.4	0.3	0.3	0.3	0.2	2	0	2	0	4	100	5	150	4	100	5	150	4	100	4	100	0	0	52	53	54	0	1055	1368	1356	1183	1311	0	53	17	3	0	0	0	0	0	0	None	1000	14	18	0
34	9077	1	NAKAMA_034	NAKAMAINFO_034	0	None	38	23	9	14	10	13	0.52	0.18	0.3	0.3	0.2	3	50	4	100	3	50	5	150	4	100	3	50	4	100	4	100	0	0	39	40	41	0	1070	1051	1349	1380	1356	0	54	16	3	0	0	0	0	0	0	None	1000	1	1	0
35	9078	1	NAKAMA_035	NAKAMAINFO_035	1	None	58	33	13	20	14	19	0.5	0.2	0.3	0.2	0.3	4	100	3	50	4	100	4	100	5	150	2	0	4	100	4	100	0	0	59	60	61	0	1005	1052	1072	1357	1168	0	55	0	3	1	1	0	0	0	0	None	1000	14	13	0
36	9079	1	NAKAMA_036	NAKAMAINFO_036	0	None	52	28	18	17	17	10	0.5	0.3	0.3	0.2	0.2	2	0	2	0	4	100	4	100	5	150	1	100	4	100	5	150	0	0	53	54	55	0	1085	1032	1182	1370	1480	0	56	6	3	7	1	0	0	0	0	None	1000	2	2	0
37	9080	1	NAKAMA_037	NAKAMAINFO_037	0	None	82	27	26	18	36	24	0.3	0.3	0.25	0.4	0.25	2	0	4	100	4	100	4	100	2	0	5	150	4	100	4	100	0	0	83	85	87	0	1057	1027	1166	1354	1488	0	57	4	3	5	1	0	0	0	0	None	1000	5	5	0
38	9083	8	NAKAMA_038	NAKAMAINFO_038	1	None	7	7	2	6	5	3	0.5	0.2	0.3	0.2	0.3	4	100	4	100	4	100	4	100	2	0	5	150	4	100	5	150	0	0	8	9	0	0	1157	1100	1000	1316	0	0	58	14	3	0	0	0	0	0	0	None	1000	12	11	0
39	9087	4	NAKAMA_039	NAKAMAINFO_039	0	None	62	21	20	14	34	16	0.3	0.3	0.25	0.4	0.25	3	50	4	100	4	100	2	0	5	150	2	0	4	100	4	100	0	0	63	64	65	0	1037	1154	1035	1323	1184	0	59	6	3	7	1	0	0	0	0	None	1000	2	20	0
40	9089	16	NAKAMA_040	NAKAMAINFO_040	1	None	43	22	20	13	11	10	0.45	0.35	0.3	0.2	0.2	4	100	5	150	3	50	3	50	3	50	3	50	4	100	4	100	0	0	44	45	46	0	1090	1034	1082	1132	1163	0	60	6	3	7	1	0	0	0	0	None	1000	3	3	0
41	9090	3	NAKAMA_041	NAKAMAINFO_041	2	None	50	29	18	16	15	8	0.5	0.2	0.3	0.3	0.2	4	100	4	100	5	150	0	100	4	100	4	100	4	100	3	50	0	0	51	52	53	0	1012	1071	1349	1166	1319	0	61	2	3	3	1	0	0	0	0	None	1000	15	16	0
42	9091	10	NAKAMA_042	NAKAMAINFO_042	1	None	45	27	10	15	12	14	0.5	0.2	0.3	0.2	0.3	3	50	4	100	4	100	4	100	4	100	5	150	4	100	5	150	0	0	46	47	48	0	1052	1160	1301	1060	1482	0	62	16	3	0	0	0	0	0	0	None	1000	13	12	0
43	9099	17	NAKAMA_043	NAKAMAINFO_043	2	None	55	29	12	35	14	5	0.4	0.2	0.4	0.2	0.3	4	100	4	100	2	0	2	0	5	150	4	100	4	100	5	150	0	0	56	57	58	0	1055	1362	1364	1153	1357	0	63	14	3	0	0	0	0	0	0	None	1000	10	18	0
44	9103	12	NAKAMA_044	NAKAMAINFO_044	0	None	33	12	11	9	17	10	0.3	0.3	0.25	0.4	0.25	4	100	5	150	4	100	4	100	3	50	5	150	4	100	4	100	0	0	34	35	36	0	1045	1105	1026	1490	1304	0	64	4	3	5	1	0	0	0	0	None	1000	12	11	0
45	9104	6	NAKAMA_045	NAKAMAINFO_045	1	None	5	4	2	3	6	5	0.3	0.3	0.25	0.4	0.25	4	100	4	100	5	150	3	50	3	50	5	150	4	100	4	100	0	6	7	8	0	0	1020	1130	1178	1314	0	0	65	12	3	0	0	0	0	0	0	None	1000	6	26	0
46	9105	18	NAKAMA_046	NAKAMAINFO_046	0	None	60	20	23	13	29	18	0.3	0.3	0.25	0.4	0.25	3	50	5	150	4	100	4	100	0	100	4	100	4	100	3	50	0	0	62	63	64	0	1022	1161	1187	1025	1317	0	66	4	3	5	1	0	0	0	0	None	1000	2	16	0
47	9107	14	NAKAMA_047	NAKAMAINFO_047	1	None	80	26	25	20	39	23	0.3	0.3	0.25	0.4	0.25	4	100	4	100	1	100	5	150	4	100	0	100	4	100	3	50	0	0	81	83	85	0	1037	1032	1354	1187	1326	0	67	6	3	7	1	0	0	0	0	FLG_SYS_UNLOCK_FUSION_047	1000	14	13	0
48	9108	5	NAKAMA_048	NAKAMAINFO_048	2	None	20	8	12	4	9	6	0.2	0.5	0.25	0.35	0.2	4	100	4	100	0	100	5	150	4	100	4	100	4	100	4	100	0	0	21	22	0	0	1003	1001	1133	1173	0	0	68	0	3	1	1	0	0	0	0	None	1000	11	10	0
49	9112	14	NAKAMA_049	NAKAMAINFO_049	0	None	27	11	14	6	14	7	0.2	0.5	0.25	0.35	0.2	4	100	5	150	0	100	4	100	4	100	5	150	4	100	4	100	0	0	28	29	30	0	1051	1351	1006	1158	1481	0	69	17	3	0	0	0	0	0	0	None	1000	15	17	0
50	9113	23	NAKAMA_050	NAKAMAINFO_050	2	FLG_SYS_DLC_DEMON_TZITZIMITL	24	13	12	10	11	6	0.2	0.5	0.25	0.35	0.2	4	100	4	100	4	100	4	100	4	100	4	100	4	100	2	0	0	0	25	26	0	0	1208	1021	1131	1026	0	0	70	10	3	11	1	0	0	0	0	FLG_SYS_DLC_DEMON_TZITZIMITL	1000	9	9	0
51	9115	14	NAKAMA_051	NAKAMAINFO_051	0	None	44	12	25	9	17	13	0.2	0.5	0.25	0.35	0.2	4	100	5	150	0	100	5	150	4	100	4	100	4	100	2	0	0	0	45	46	47	0	1002	1006	1142	1134	1140	0	71	0	3	1	1	0	0	0	0	None	1000	5	17	0
52	9116	5	NAKAMA_052	NAKAMAINFO_052	1	None	1	2	3	2	3	5	0.2	0.5	0.2	0.4	0.2	4	100	5	150	4	100	4	100	3	50	5	150	4	100	4	100	0	3	4	0	0	0	1020	1130	1316	0	0	0	72	4	3	5	1	0	0	0	0	None	1000	6	6	0
53	9117	18	NAKAMA_053	NAKAMAINFO_053	2	None	28	11	14	7	12	10	0.2	0.5	0.25	0.35	0.2	3	50	5	150	4	100	4	100	0	100	4	100	4	100	4	100	0	0	29	30	31	0	1013	1011	1138	1170	1306	0	73	2	2	3	1	0	0	0	0	None	1000	6	6	0
54	9118	16	NAKAMA_054	NAKAMAINFO_054	0	None	13	7	8	6	7	3	0.2	0.5	0.25	0.35	0.2	4	100	4	100	4	100	4	100	5	150	3	50	4	100	4	100	0	0	14	15	16	0	1130	1137	1133	1033	1316	0	74	12	2	0	0	0	0	0	0	None	1000	8	8	0
55	9119	4	NAKAMA_055	NAKAMAINFO_055	1	None	31	9	13	9	16	11	0.2	0.5	0.25	0.35	0.2	4	100	4	100	5	150	1	100	4	100	4	100	4	100	4	100	0	0	32	33	34	0	1011	1131	1138	1174	1156	0	75	2	3	3	1	0	0	0	0	None	1000	7	7	0
56	9120	6	NAKAMA_056	NAKAMAINFO_056	0	None	36	15	12	9	18	10	0.4	0.3	0.25	0.35	0.2	4	100	4	100	4	100	4	100	5	150	0	100	4	100	4	100	0	0	37	38	39	0	1054	1362	1031	1068	1483	0	76	16	3	0	0	0	0	0	0	None	1000	7	7	0
57	9122	8	NAKAMA_057	NAKAMAINFO_057	1	None	44	10	20	10	12	24	0.2	0.5	0.2	0.4	0.2	4	100	4	100	3	50	0	100	5	150	4	100	4	100	3	50	0	0	45	46	47	0	1014	1108	1406	1041	1104	0	77	8	3	24	2	0	0	0	0	None	1000	7	7	0
58	9129	5	NAKAMA_058	NAKAMAINFO_058	0	None	13	7	9	4	7	4	0.2	0.5	0.25	0.35	0.2	4	100	4	100	5	150	0	100	4	100	4	100	4	100	4	100	0	0	14	16	0	0	1010	1139	1013	1481	0	0	78	2	3	3	1	0	0	0	0	None	1000	11	10	0
59	9131	19	NAKAMA_059	NAKAMAINFO_059	0	None	28	8	11	9	12	14	0.2	0.5	0.2	0.4	0.2	5	150	4	100	4	100	5	150	4	100	4	100	4	100	2	0	0	0	29	30	31	0	1101	1103	1341	1062	1308	0	79	8	3	16	2	0	0	0	0	None	1000	1	17	0
60	9134	23	NAKAMA_060	NAKAMAINFO_060	1	None	60	13	30	20	23	17	0.2	0.5	0.25	0.35	0.2	4	100	4	100	5	150	0	100	4	100	4	100	4	100	2	0	0	0	61	62	63	0	1017	1012	1167	1353	1155	0	80	2	3	3	1	0	0	0	0	None	1000	11	10	0
61	9138	27	NAKAMA_061	NAKAMAINFO_061	0	None	27	10	13	10	10	9	0.2	0.5	0.25	0.35	0.2	4	100	4	100	4	100	4	100	0	100	5	150	4	100	5	150	0	0	28	29	30	0	1107	1131	1081	1142	1151	0	81	12	3	0	0	0	0	0	0	None	1000	8	8	0
62	9140	11	NAKAMA_062	NAKAMAINFO_062	2	None	24	8	6	7	15	11	0.3	0.3	0.25	0.4	0.25	5	150	4	100	3	50	3	50	3	50	3	50	4	100	5	150	0	0	25	26	0	0	1351	1062	1314	1312	0	0	82	16	3	0	0	0	0	0	0	None	1000	13	12	0
63	9145	4	NAKAMA_063	NAKAMAINFO_063	2	None	48	28	11	12	17	16	0.5	0.2	0.3	0.2	0.3	4	100	1	100	5	150	4	100	4	100	4	100	4	100	5	150	0	0	49	50	51	0	1082	1164	1307	1142	1187	0	83	12	3	0	0	0	0	0	0	None	1000	8	8	0
64	9148	5	NAKAMA_064	NAKAMAINFO_064	2	None	40	8	23	10	16	14	0.2	0.5	0.25	0.35	0.2	4	100	4	100	5	150	0	100	4	100	4	100	4	100	4	100	0	0	41	42	43	0	1012	1134	1138	1311	1359	0	84	12	3	0	0	0	0	0	0	None	1000	8	8	0
65	9160	18	NAKAMA_065	NAKAMAINFO_065	0	None	5	4	5	4	5	2	0.3	0.3	0.3	0.3	0.3	4	100	4	100	2	0	5	150	4	100	4	100	4	100	5	150	0	6	8	0	0	0	1000	1150	1324	0	0	0	85	0	3	1	1	0	0	0	0	None	1000	1	17	0
66	9161	7	NAKAMA_066	NAKAMAINFO_066	1	None	10	7	5	5	6	3	0.3	0.3	0.3	0.3	0.3	4	100	4	100	5	150	4	100	3	50	4	100	4	100	5	150	0	0	12	13	0	0	1020	1178	1314	1137	0	0	86	4	3	5	1	22	2	0	0	None	1000	5	5	0
67	9163	8	NAKAMA_067	NAKAMAINFO_067	1	None	16	6	8	7	8	8	0.2	0.5	0.2	0.4	0.2	4	100	4	100	4	100	4	100	5	150	2	0	4	100	4	100	0	0	17	18	19	0	1102	1088	1083	1409	1158	0	87	8	3	0	0	0	0	0	0	None	1000	12	11	0
68	9164	11	NAKAMA_068	NAKAMAINFO_068	1	None	1	2	4	2	3	4	0.2	0.5	0.2	0.4	0.2	4	100	3	50	5	150	4	100	5	150	4	100	4	100	4	100	0	3	4	0	0	0	1010	1080	1159	0	0	0	88	2	3	3	1	0	0	0	0	None	1000	1	1	0
69	9165	11	NAKAMA_069	NAKAMAINFO_069	1	None	12	5	6	6	6	7	0.4	0.2	0.25	0.4	0.25	4	100	3	50	4	100	5	150	4	100	4	100	4	100	4	100	0	0	13	15	16	0	1100	1159	1407	1105	1312	0	89	8	3	0	0	0	0	0	0	None	1000	13	12	0
70	9166	11	NAKAMA_070	NAKAMAINFO_070	1	None	49	22	24	15	14	10	0.3	0.3	0.3	0.3	0.3	1	100	5	150	4	100	4	100	2	0	4	100	4	100	2	0	0	0	50	51	52	0	1024	1043	1165	1167	1490	0	90	10	3	11	1	0	0	0	0	None	1000	16	14	0
71	9167	9	NAKAMA_071	NAKAMAINFO_071	1	None	10	3	6	5	4	8	0.2	0.5	0.25	0.35	0.2	5	150	4	100	4	100	3	50	4	100	3	50	4	100	3	50	0	0	11	13	0	0	1102	1409	1157	1322	0	0	91	12	3	0	0	0	0	0	0	None	1000	7	7	0
72	9168	9	NAKAMA_072	NAKAMAINFO_072	1	None	22	9	13	5	9	9	0.2	0.5	0.25	0.35	0.2	4	100	4	100	5	150	1	100	4	100	4	100	4	100	4	100	0	0	0	23	24	0	1133	1107	1011	1040	1131	0	92	12	3	0	0	0	0	0	0	None	1000	8	8	0
73	9169	9	NAKAMA_073	NAKAMAINFO_073	1	None	30	7	14	7	11	16	0.2	0.5	0.2	0.4	0.2	4	100	4	100	4	100	3	50	2	0	5	150	4	100	4	100	0	0	31	32	33	0	1104	1159	1040	1340	1106	0	93	14	3	0	0	0	0	0	0	None	1000	8	8	0
74	9170	9	NAKAMA_074	NAKAMAINFO_074	1	None	41	17	23	10	11	12	0.5	0.2	0.3	0.2	0.3	4	100	4	100	2	0	5	150	3	50	4	100	4	100	5	150	0	0	42	43	44	0	1002	1108	1182	1406	1385	0	94	0	3	1	1	0	0	0	0	None	1000	9	9	0
75	9171	21	NAKAMA_075	NAKAMAINFO_075	1	None	22	7	11	8	12	10	0.3	0.3	0.25	0.4	0.25	4	100	4	100	4	100	3	50	5	150	4	100	4	100	3	50	0	0	23	25	26	0	1131	1350	1142	1156	1483	0	95	12	3	0	0	0	0	0	0	None	1000	14	13	0
76	9172	21	NAKAMA_076	NAKAMAINFO_076	1	None	14	8	8	10	6	3	0.5	0.2	0.3	0.2	0.3	4	100	4	100	4	100	3	50	1	100	5	150	4	100	5	150	0	0	15	16	17	0	1059	1023	1361	1300	1021	0	96	4	3	5	1	0	0	0	0	FLG_SYS_UNLOCK_FUSION_076	1000	2	2	0
77	9173	21	NAKAMA_077	NAKAMAINFO_077	1	None	48	25	11	29	11	10	0.4	0.2	0.5	0.2	0.2	2	0	4	100	3	50	4	100	4	100	5	150	4	100	4	100	0	0	49	50	51	0	1012	1165	1156	1055	1313	0	97	2	3	3	1	0	0	0	0	None	1000	5	24	0
78	9174	21	NAKAMA_078	NAKAMAINFO_078	1	None	90	38	19	43	22	30	0.4	0.2	0.4	0.2	0.3	4	100	2	0	5	150	2	0	4	100	4	100	4	100	4	100	0	0	91	93	95	0	1183	1132	1052	1489	1481	0	98	2	3	3	1	0	0	0	0	None	1000	14	13	0
79	9175	18	NAKAMA_079	NAKAMAINFO_079	1	None	16	5	8	6	11	7	0.2	0.4	0.25	0.45	0.2	4	100	5	150	4	100	4	100	4	100	4	100	4	100	3	50	0	0	17	19	20	0	1100	1033	1040	1159	1487	0	99	6	3	7	1	0	0	0	0	None	1000	6	17	0
80	9176	18	NAKAMA_080	NAKAMAINFO_080	1	None	47	20	15	11	22	15	0.3	0.3	0.25	0.4	0.25	3	50	4	100	5	150	3	50	3	50	2	0	4	100	5	150	0	0	48	49	50	0	1032	1034	1108	1301	1385	0	100	6	3	7	1	0	0	0	0	FLG_SYS_UNLOCK_FUSION_080	1000	2	16	0
81	9177	1	NAKAMA_081	NAKAMAINFO_081	1	None	21	9	9	9	9	8	0.3	0.3	0.3	0.3	0.3	4	100	3	50	4	100	4	100	5	150	0	100	4	100	5	150	0	0	22	23	24	0	1051	1033	1031	1176	1159	0	101	6	3	7	1	0	0	0	0	None	1000	14	13	0
