m_InheritType	m_IsInheritFix	m_IsInheritPhysics	m_IsInheritGun	m_IsInheritFire	m_IsInheritIce	m_IsInheritThunder	m_IsInheritImpact	m_IsInheritBadstatus	m_IsInheritAll	m_IsInheritHeal	m_IsInheritBuffNerf	m_IsInheritChase
78	0	1	1	0	1	1	1	1	1	1	1	1
79	0	1	1	1	0	1	1	1	1	1	1	0
80	0	1	1	0	1	1	1	1	1	1	1	0
81	0	1	1	1	1	1	0	1	1	1	1	0
82	0	1	1	0	0	0	1	1	1	1	1	0
83	0	1	1	0	1	1	1	0	1	1	1	0
84	0	1	1	0	1	1	1	1	1	1	1	0
85	0	1	1	1	0	1	1	1	1	1	1	0
86	0	1	1	0	1	1	1	0	1	1	1	0
87	0	1	1	1	1	0	1	1	1	1	1	0
88	0	1	1	0	1	0	1	1	1	1	1	0
89	0	1	1	1	0	1	1	1	1	1	1	0
90	0	1	0	1	1	1	1	1	1	1	1	1
91	0	0	1	0	1	1	1	1	1	1	1	0
92	0	1	1	0	1	1	1	1	1	1	1	0
93	0	1	1	1	1	1	0	1	1	1	1	0
94	0	1	0	1	0	1	1	1	1	1	1	0
95	0	1	1	1	1	0	1	1	1	1	1	1
96	0	1	1	1	1	1	0	0	1	1	1	0
97	0	1	1	1	1	1	0	1	0	1	1	0
98	0	1	1	0	1	1	1	1	1	1	1	1
99	0	1	0	1	1	1	1	1	1	1	1	1
100	0	1	1	0	1	1	1	1	1	1	1	0
101	0	1	1	1	1	0	1	1	1	1	1	0
102	0	1	1	1	1	0	1	1	1	0	1	0
103	0	1	1	1	0	1	1	1	1	0	1	0
104	0	1	0	1	1	1	1	1	1	1	1	0
105	0	1	1	1	1	1	0	1	1	1	1	0
106	0	1	0	1	1	0	1	1	1	1	1	0
107	0	1	1	1	1	1	1	1	1	1	1	1
108	0	1	1	1	0	1	1	1	1	1	1	0
109	0	0	0	1	1	1	1	1	1	1	1	0
110	0	1	1	1	0	1	1	1	1	1	1	0
111	0	1	1	1	0	1	1	1	1	0	1	0
112	0	1	1	1	1	1	0	0	1	1	1	0
113	0	1	1	1	0	1	1	1	1	1	1	1
114	0	0	1	1	1	1	0	1	1	1	1	0
115	0	1	1	1	0	1	1	1	1	1	1	0
116	0	1	1	0	0	1	1	1	1	1	1	0
117	0	0	1	1	1	1	1	1	1	1	1	1
118	0	1	1	1	0	1	1	0	1	1	1	0
119	0	1	1	1	0	1	1	1	1	1	1	0
120	0	1	1	0	1	0	1	1	1	1	1	0
121	0	1	1	0	1	1	1	1	1	1	1	1
122	0	1	1	1	0	1	1	1	1	1	1	0
123	0	1	1	0	1	1	1	1	1	1	1	0
124	0	1	0	1	1	1	1	1	1	1	1	0
125	0	1	0	1	1	0	1	1	1	1	1	0
126	0	1	1	1	0	1	1	1	1	1	1	0
127	0	1	1	1	0	1	1	1	1	1	1	1
128	0	1	1	1	1	1	0	1	1	1	1	0
129	0	1	0	1	1	1	1	1	1	1	1	0
130	0	0	0	1	1	1	1	1	1	1	1	0
131	0	1	1	0	1	1	1	1	1	1	1	0
132	0	1	1	1	1	1	0	1	1	1	1	0
133	0	1	0	1	1	1	1	1	1	1	1	1
134	0	1	1	0	1	1	1	1	1	1	1	1
135	0	1	1	1	0	0	1	1	1	1	1	0
136	0	1	1	0	1	1	1	1	1	1	1	0
137	0	0	1	1	1	1	1	1	1	1	1	0
138	0	1	1	1	0	1	0	1	1	1	1	0
139	0	1	1	1	1	0	0	0	1	1	1	0
140	0	0	1	1	1	0	1	1	1	1	1	0
141	0	0	1	1	1	1	1	0	1	1	1	0
142	0	1	1	1	0	1	1	0	1	1	1	0
143	0	1	1	1	0	1	1	1	1	1	1	0
144	0	1	1	1	0	1	1	1	1	1	1	0
145	0	1	1	1	0	1	1	1	1	1	1	0
146	0	1	1	1	0	1	1	1	1	1	1	0
147	0	1	1	1	1	1	0	1	1	1	1	0
148	0	1	1	1	0	1	1	1	1	1	1	1
149	0	1	1	1	0	1	1	1	1	1	1	1
150	0	1	1	1	1	1	0	1	1	1	1	0
151	0	0	0	1	1	1	1	1	1	1	1	0
152	0	0	1	0	1	1	1	1	1	1	1	0
153	0	1	1	1	1	1	1	1	1	0	1	0
154	0	1	1	1	1	1	0	1	1	1	1	1
155	0	1	1	1	1	1	0	1	1	1	1	1
156	0	1	1	1	0	1	1	1	1	1	1	1
157	0	1	1	0	1	1	0	1	1	1	1	0
158	0	1	1	1	0	0	0	1	1	1	1	0
159	0	1	1	0	1	1	1	1	1	1	1	0
160	0	1	1	0	1	1	1	1	1	1	1	0
161	0	1	1	0	0	0	1	1	1	1	1	0
162	0	1	1	1	1	0	1	1	1	1	1	0
163	0	0	1	1	1	1	1	1	1	1	1	0
164	0	1	1	1	0	1	0	1	1	1	1	0
165	0	1	0	1	1	1	1	0	1	1	1	0
166	0	1	0	1	1	1	1	1	1	1	1	0
167	0	1	1	1	1	1	0	1	1	1	1	0
168	0	1	1	1	1	1	0	1	1	1	1	0
169	0	1	1	1	1	0	0	1	1	1	1	0
170	0	1	1	1	1	0	1	1	1	1	1	0
171	0	1	1	1	1	1	0	1	1	1	1	0
172	0	1	1	0	0	0	1	1	1	1	1	0
173	0	1	1	0	1	1	1	1	1	1	1	0
174	0	1	0	1	1	1	1	1	1	1	1	0
175	0	1	1	1	1	1	0	1	1	1	1	0
176	0	1	1	1	0	0	0	1	1	1	1	1
177	0	1	1	0	1	1	1	1	1	1	1	1
178	0	1	1	1	0	1	1	1	1	1	1	1
179	0	0	1	1	1	1	0	1	1	1	1	1
180	0	1	1	1	0	1	1	1	1	1	1	1
181	0	1	0	1	1	1	1	1	1	1	1	0
