m_EnemyID	m_CharaID	m_NkmID	m_NameLabel	m_WeaponRID	m_WeaponLID	m_ModelScale	m_EffectScale	m_AiID	m_Level	m_EnemyBaseHp	m_EnemyBaseMp	m_EnemyBaseStr	m_EnemyBaseInt	m_EnemyBaseVit	m_EnemyBaseAgi	m_EnemyBaseLuk	m_Rune	m_GunAttr	m_GunParam	m_PhysicalAttr	m_PhysicalParam	m_FireAttr	m_FireParam	m_IceAttr	m_IceParam	m_ThunderAttr	m_ThunderParam	m_ZanAttr	m_ZanParam	m_BstAttr	m_BstParam	m_BannouAttr	m_BannouParam	m_NormalAttackID	m_Exp	m_Money	m_BulletExp	m_Drop	m_Sexuality	m_Speciality	m_CmpFlag_RegistLibrary	m_BtlFlag_NoPursuit	m_BtlFlag_NoInterrupt	m_BtlFlag_KneeDead	m_BtlFlag_NoDying	m_BtlFlag_StuckDead	m_BtlFlag_LastStand	m_BtlFlag_HideLevel	m_ActCount	m_DevilTone	m_DevilVoice	m_SaveDataID	m_IsMatEmissionColor	m_MatEmissionColorR	m_MatEmissionColorG	m_MatEmissionColorB	m_MatEmissionColorA
3017	9043	17	NAKAMA_017	0	0	1.2	1	1	59	675	350	1	1	1	1	1	24	5	150	5	150	4	100	4	100	3	50	3	50	2	0	4	100	3000	636	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	0	0	0	0	0	0
3018	9045	18	NAKAMA_018	0	0	1	1	1	46	560	190	1	1	1	1	1	26	3	50	3	50	1	100	4	100	5	150	4	100	3	50	4	100	3000	460	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	0	0	0	0	0	0
3019	9049	19	NAKAMA_019	0	0	0.4	1	1	88	915	490	1	1	1	1	1	15	3	50	3	50	3	50	3	50	3	50	3	50	4	100	4	100	3000	1780	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	18	0	0	0	0	0	0
3020	9052	20	NAKAMA_020	0	0	1	1	1	35	345	132	1	1	1	1	1	21	4	100	1	100	5	150	4	100	3	50	3	50	4	100	4	100	3000	313	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	5	0	0	0	0	0	0
3021	9053	21	NAKAMA_021	0	0	1	1	1	64	800	345	1	1	1	1	1	21	4	100	3	50	4	100	4	100	0	100	5	150	4	100	4	100	3000	954	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	0	0	0	0	0	0
3022	9054	22	NAKAMA_022	0	0	1	1	121	78	2200	335	108	51	97	86	72	9	5	150	1	100	4	100	4	100	4	100	2	0	4	100	4	100	3000	1405	40000	0	808	0	0	1	0	0	0	0	0	0	0	1	9	9	0	0	0	0	0	0
3023	9057	23	NAKAMA_023	0	0	0.6	1	122	54	880	340	59	84	66	55	36	5	4	100	5	150	1	100	1	100	1	100	1	100	2	0	4	100	3001	685	10600	0	712	0	0	1	0	0	0	0	0	0	0	1	8	8	0	0	0	0	0	0
3024	9058	24	NAKAMA_024	0	0	0.6	0.7	123	74	2100	444	74	106	72	74	69	5	3	50	4	100	4	100	5	150	2	0	4	100	5	150	4	100	3000	1267	30000	0	807	0	0	1	0	0	0	0	0	0	0	1	3	3	0	0	0	0	0	0
3025	9059	25	NAKAMA_025	0	0	1	1	124	93	3666	505	62	120	82	110	113	8	5	150	4	100	1	100	1	100	1	100	1	100	2	0	4	100	3001	1985	96000	0	811	0	0	1	0	0	0	0	0	0	0	1	8	8	0	0	0	0	0	0
3026	9060	26	NAKAMA_026	0	0	1	1	125	29	350	115	48	26	50	27	28	2	3	50	3	50	5	150	3	50	3	50	5	150	4	100	4	100	3001	207	2100	0	418	0	0	1	0	0	0	0	0	0	0	1	5	18	0	0	0	0	0	0
3027	9061	27	NAKAMA_027	0	0	1	1	126	59	1220	346	55	79	65	62	63	8	4	100	3	50	5	150	1	100	4	100	4	100	5	150	4	100	3000	814	12400	0	716	0	0	1	0	0	0	0	0	0	0	1	13	12	0	0	0	0	0	0
3028	9062	28	NAKAMA_028	0	0	1	1	127	62	1540	352	82	58	62	65	66	9	1	100	1	100	4	100	5	150	5	150	5	150	4	100	4	100	3000	896	14500	0	720	0	0	1	0	0	0	0	0	0	0	1	9	9	0	0	0	0	0	0
3029	9066	29	NAKAMA_029	0	0	1.1	1	1	44	530	295	1	1	1	1	1	25	4	100	4	100	5	150	2	0	3	50	4	100	4	100	4	100	3000	383	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	9	0	0	0	0	0	0
3030	9072	30	NAKAMA_030	0	0	1.1	1	129	14	340	85	24	20	30	16	18	15	3	50	4	100	4	100	4	100	1	100	5	150	5	150	4	100	3001	54	1300	0	312	0	0	1	0	0	0	0	0	0	0	1	15	18	0	0	0	0	0	0
3031	9073	31	NAKAMA_031	0	0	1	1	130	60	1200	352	88	82	66	53	40	10	1	100	1	100	5	150	5	150	5	150	5	150	4	100	4	100	3000	841	13500	0	718	0	0	1	0	0	0	0	0	0	0	1	5	20	0	0	0	0	0	0
3032	9074	32	NAKAMA_032	0	0	1	1	131	68	1600	432	73	104	62	88	49	2	5	150	3	50	4	100	4	100	4	100	0	100	2	0	4	100	3000	1136	24000	0	806	0	0	1	0	0	0	0	0	0	0	1	15	25	0	0	0	0	0	0
3033	9076	33	NAKAMA_033	0	0	1	1.2	132	51	1180	322	75	59	69	47	35	19	2	0	2	0	4	100	5	150	4	100	5	150	4	100	4	100	3000	613	9800	0	706	0	0	1	0	0	0	0	0	0	0	1	14	18	0	0	0	0	0	0
3034	9077	34	NAKAMA_034	0	0	1	1	133	38	610	169	65	40	55	43	20	1	4	100	3	50	3	50	5	150	4	100	3	50	4	100	4	100	3000	347	3300	0	517	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
3035	9078	35	NAKAMA_035	0	0	1	1	1	58	700	346	1	1	1	1	1	1	3	50	4	100	4	100	4	100	5	150	2	0	4	100	4	100	3000	787	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	13	0	0	0	0	0	0
3036	9079	36	NAKAMA_036	0	0	1	1	135	52	1170	300	85	68	64	54	21	1	2	0	2	0	4	100	4	100	5	150	1	100	5	150	4	100	3000	636	9800	0	708	0	0	1	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0
3037	9080	37	NAKAMA_037	0	0	1.2	1	136	82	2250	368	105	107	72	101	50	1	4	100	2	0	4	100	4	100	2	0	5	150	4	100	4	100	3000	1550	52000	0	809	0	0	1	0	0	0	0	0	0	0	1	5	5	0	0	0	0	0	0
3038	9083	38	NAKAMA_038	0	0	0.7	0.7	137	7	105	65	19	9	18	17	11	8	4	100	4	100	4	100	4	100	2	0	5	150	5	150	4	100	3000	16	1050	0	209	0	0	1	0	0	0	0	0	0	0	1	12	11	0	0	0	0	0	0
3039	9087	39	NAKAMA_039	0	0	1	1.2	138	62	1620	370	80	87	61	63	45	4	4	100	3	50	4	100	2	0	5	150	2	0	4	100	4	100	3000	896	14500	0	719	0	0	1	0	0	0	0	0	0	0	1	2	20	0	0	0	0	0	0
3040	9089	40	NAKAMA_040	0	0	0.9	1	139	43	590	297	63	60	48	46	30	16	5	150	4	100	3	50	3	50	3	50	3	50	4	100	4	100	3000	440	5200	0	610	0	0	1	0	0	0	0	0	0	0	1	3	3	0	0	0	0	0	0
3041	9090	41	NAKAMA_041	0	0	1	1	140	50	780	265	74	64	60	53	32	3	4	100	4	100	5	150	0	100	4	100	4	100	3	50	4	100	3000	590	9000	0	705	0	0	1	0	0	0	0	0	0	0	1	15	16	0	0	0	0	0	0
3042	9091	42	NAKAMA_042	0	0	1	1	141	45	1060	297	71	43	50	48	43	10	4	100	3	50	4	100	4	100	4	100	5	150	5	150	4	100	3000	481	5800	0	611	0	0	1	0	0	0	0	0	0	0	1	13	12	0	0	0	0	0	0
3043	9099	43	NAKAMA_043	0	0	0.5	1.2	142	55	1050	290	78	52	90	45	39	17	4	100	4	100	2	0	2	0	5	150	4	100	5	150	4	100	3001	710	11500	0	713	0	0	1	0	0	0	0	0	0	0	1	10	18	0	0	0	0	0	0
3044	9103	44	NAKAMA_044	0	0	1	1	143	33	420	212	37	52	33	44	33	12	5	150	4	100	4	100	4	100	3	50	5	150	4	100	4	100	3000	265	2900	0	510	0	0	1	0	0	0	0	0	0	0	1	12	11	0	0	0	0	0	0
3045	9104	45	NAKAMA_045	0	0	1	0.7	144	5	95	60	15	14	12	18	6	6	4	100	4	100	5	150	3	50	3	50	5	150	4	100	4	100	3000	10	700	0	206	0	0	1	0	0	0	0	0	0	0	1	6	26	0	0	0	0	0	0
3046	9105	46	NAKAMA_046	0	0	1	1	145	60	1180	346	72	77	58	68	57	18	5	150	3	50	4	100	4	100	0	100	4	100	3	50	4	100	3000	868	14500	0	717	0	0	1	0	0	0	0	0	0	0	1	2	16	0	0	0	0	0	0
3047	9107	47	NAKAMA_047	0	0	0.4	1.3	1	80	820	360	1	1	1	1	1	14	4	100	4	100	1	100	5	150	4	100	0	100	3	50	4	100	3001	1476	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	13	0	0	0	0	0	0
3048	9108	48	NAKAMA_048	0	0	0.8	0.7	147	20	222	120	17	38	30	28	23	5	4	100	4	100	0	100	5	150	4	100	4	100	4	100	4	100	3001	103	1600	0	405	0	0	1	0	0	0	0	0	0	0	1	11	10	0	0	0	0	0	0
3049	9112	49	NAKAMA_049	0	0	0.4	0.9	148	27	450	115	40	40	35	32	23	14	5	150	4	100	0	100	4	100	4	100	5	150	4	100	4	100	3000	181	2000	0	415	0	0	1	0	0	0	0	0	0	0	1	15	17	0	0	0	0	0	0
3050	9113	50	NAKAMA_050	0	0	1	1	1	24	260	138	35	45	24	33	18	23	4	100	4	100	4	100	4	100	4	100	4	100	2	0	4	100	3000	145	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	9	0	0	0	0	0	0
3051	9115	51	NAKAMA_051	0	0	1	1	150	44	565	291	36	71	49	47	44	14	5	150	4	100	0	100	5	150	4	100	4	100	2	0	4	100	3001	460	5200	0	609	0	0	1	0	0	0	0	0	0	0	1	5	17	0	0	0	0	0	0
3052	9116	52	NAKAMA_052	0	0	1	0.7	1	1	80	50	5	12	8	9	11	5	5	150	4	100	4	100	4	100	3	50	5	150	4	100	4	100	3001	2	150	0	101	0	0	0	0	0	0	0	0	0	0	1	6	6	0	0	0	0	0	0
3053	9117	53	NAKAMA_053	0	0	0.9	0.7	152	28	292	135	37	40	30	35	32	18	5	150	3	50	4	100	4	100	0	100	4	100	4	100	4	100	3001	194	2000	0	417	0	0	1	0	0	0	0	0	0	0	1	6	6	0	0	0	0	0	0
3054	9118	54	NAKAMA_054	0	0	1	1	153	13	181	88	16	28	22	21	16	16	4	100	4	100	4	100	4	100	5	150	3	50	4	100	4	100	3001	47	1200	0	310	0	0	1	0	0	0	0	0	0	0	1	8	8	0	0	0	0	0	0
3055	9119	55	NAKAMA_055	0	0	1	1	154	31	345	150	23	51	35	42	38	4	4	100	4	100	5	150	1	100	4	100	4	100	4	100	4	100	3001	235	2700	0	507	0	0	1	0	0	0	0	0	0	0	1	7	7	0	0	0	0	0	0
3056	9120	56	NAKAMA_056	0	0	1	1	155	36	405	158	50	34	39	47	44	6	4	100	4	100	4	100	4	100	5	150	0	100	4	100	4	100	3000	313	3100	0	513	0	0	1	0	0	0	0	0	0	0	1	7	7	0	0	0	0	0	0
3057	9122	57	NAKAMA_057	0	0	1	1	156	44	588	303	34	64	47	46	60	8	4	100	4	100	3	50	0	100	5	150	4	100	3	50	4	100	3000	460	5200	0	612	0	0	1	0	0	0	0	0	0	0	1	7	7	0	0	0	0	0	0
3058	9129	58	NAKAMA_058	0	0	0.8	0.7	157	13	188	90	20	28	23	20	12	5	4	100	4	100	5	150	0	100	4	100	4	100	4	100	4	100	3000	47	1200	0	309	0	0	1	0	0	0	0	0	0	0	1	11	10	0	0	0	0	0	0
3059	9131	59	NAKAMA_059	0	0	0.8	1	158	28	780	175	40	38	28	31	37	19	4	100	5	150	4	100	5	150	4	100	4	100	2	0	4	100	3000	194	2000	0	416	0	0	1	0	0	0	0	0	0	0	1	1	17	0	0	0	0	0	0
3060	9134	60	NAKAMA_060	0	0	0.4	1	1	60	780	360	1	1	1	1	1	23	4	100	4	100	5	150	0	100	4	100	4	100	2	0	4	100	3000	896	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	10	0	0	0	0	0	0
3061	9138	61	NAKAMA_061	0	0	0.6	1	1	27	303	120	30	44	42	25	29	27	4	100	4	100	4	100	4	100	0	100	5	150	5	150	4	100	3000	181	0	0	0	0	0	1	0	0	0	0	0	0	0	1	8	8	0	0	0	0	0	0
3062	9140	62	NAKAMA_062	0	0	1	0.9	161	24	333	105	42	26	22	35	30	11	4	100	5	150	3	50	3	50	3	50	3	50	5	150	4	100	3000	145	1800	0	411	0	0	1	0	0	0	0	0	0	0	1	13	12	0	0	0	0	0	0
3063	9145	63	NAKAMA_063	0	0	1	1	162	48	625	309	75	40	58	51	47	4	1	100	4	100	5	150	4	100	4	100	4	100	5	150	4	100	3000	545	7200	0	615	0	0	1	0	0	0	0	0	0	0	1	8	8	0	0	0	0	0	0
3064	9148	64	NAKAMA_064	0	0	1	1	163	40	400	285	33	65	42	46	46	5	4	100	4	100	5	150	0	100	4	100	4	100	4	100	4	100	3001	383	4300	0	605	0	0	1	0	0	0	0	0	0	0	1	8	8	0	0	0	0	0	0
3065	9160	65	NAKAMA_065	0	0	0.8	0.7	164	5	102	70	15	17	11	13	9	18	4	100	4	100	2	0	5	150	4	100	4	100	5	150	4	100	3000	10	700	0	207	0	0	1	0	0	0	0	0	0	0	1	1	17	0	0	0	0	0	0
3066	9161	66	NAKAMA_066	0	0	1	0.7	165	10	150	75	17	21	19	18	14	7	4	100	4	100	5	150	4	100	3	50	4	100	5	150	4	100	3000	30	1100	0	306	0	0	1	0	0	0	0	0	0	0	1	5	5	0	0	0	0	0	0
3067	9163	67	NAKAMA_067	0	0	1	0.7	166	16	195	95	26	26	20	20	26	8	4	100	4	100	4	100	4	100	5	150	2	0	4	100	4	100	3000	68	1400	0	315	0	0	1	0	0	0	0	0	0	0	1	12	11	0	0	0	0	0	0
3068	9164	68	NAKAMA_068	0	0	0.8	0.7	41	1	85	45	7	10	8	8	12	11	3	50	4	100	5	150	4	100	5	150	4	100	4	100	4	100	3001	2	150	0	101	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
3069	9165	69	NAKAMA_069	0	0	1	1	168	12	170	85	16	21	22	19	20	11	3	50	4	100	4	100	5	150	4	100	4	100	4	100	4	100	3000	41	1200	0	308	0	0	1	0	0	0	0	0	0	0	1	13	12	0	0	0	0	0	0
3070	9166	70	NAKAMA_070	0	0	1	1	169	49	1120	315	63	71	50	52	40	11	5	150	1	100	4	100	4	100	2	0	4	100	2	0	4	100	3000	567	8000	0	617	0	0	1	0	0	0	0	0	0	0	1	16	14	0	0	0	0	0	0
3071	9167	71	NAKAMA_071	0	0	1	1	170	10	144	80	9	24	19	18	18	9	4	100	5	150	4	100	3	50	4	100	3	50	3	50	4	100	3001	30	1100	0	305	0	0	1	0	0	0	0	0	0	0	1	7	7	0	0	0	0	0	0
3072	9168	72	NAKAMA_072	0	0	1.3	1	171	22	226	125	18	41	30	30	27	9	4	100	4	100	5	150	1	100	4	100	4	100	4	100	4	100	3001	123	1700	0	409	0	0	1	0	0	0	0	0	0	0	1	8	8	0	0	0	0	0	0
3073	9169	73	NAKAMA_073	0	0	1.3	1	172	30	375	140	24	42	32	40	46	9	4	100	4	100	4	100	3	50	2	0	5	150	4	100	4	100	3001	220	2500	0	505	0	0	1	0	0	0	0	0	0	0	1	8	8	0	0	0	0	0	0
3074	9170	74	NAKAMA_074	0	0	1	1	173	41	550	220	53	62	44	43	35	9	4	100	4	100	2	0	5	150	3	50	4	100	5	150	4	100	3000	402	4700	0	606	0	0	1	0	0	0	0	0	0	0	1	9	9	0	0	0	0	0	0
3075	9171	75	NAKAMA_075	0	0	1	1	1	22	253	121	19	35	34	33	25	21	4	100	4	100	4	100	3	50	5	150	4	100	3	50	4	100	3000	123	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	13	0	0	0	0	0	0
3076	9172	76	NAKAMA_076	0	0	0.7	1	1	14	180	94	27	24	28	16	13	21	4	100	4	100	4	100	3	50	1	100	5	150	5	150	4	100	3000	54	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0
3077	9173	77	NAKAMA_077	0	0	1	1	1	48	700	250	1	1	1	1	1	21	4	100	2	0	3	50	4	100	4	100	5	150	4	100	4	100	3000	545	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	24	0	0	0	0	0	0
3078	9174	78	NAKAMA_078	0	0	1	1	1	90	920	465	1	1	1	1	1	21	2	0	4	100	5	150	2	0	4	100	4	100	4	100	4	100	3000	1861	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	13	0	0	0	0	0	0
3079	9175	79	NAKAMA_079	0	0	1	0.7	178	16	185	98	15	27	22	28	25	18	5	150	4	100	4	100	4	100	4	100	4	100	3	50	4	100	3000	68	1400	0	314	0	0	1	0	0	0	0	0	0	0	1	6	17	0	0	0	0	0	0
3080	9176	80	NAKAMA_080	0	0	0.8	1	1	47	520	270	1	1	1	1	1	18	4	100	3	50	5	150	3	50	3	50	2	0	5	150	4	100	3000	523	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	16	0	0	0	0	0	0
3081	9177	81	NAKAMA_081	0	0	1	1	180	21	415	115	34	34	30	29	15	1	3	50	4	100	4	100	4	100	5	150	0	100	5	150	4	100	3000	113	1700	0	407	0	0	1	0	0	0	0	0	0	0	1	14	13	0	0	0	0	0	0
3082	9178	82	NAKAMA_082	0	0	1	1	1	44	1420	145	1	1	1	1	1	29	3	50	3	50	4	100	4	100	5	150	4	100	4	100	4	100	3001	440	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	5	0	0	0	0	0	0
3083	9179	83	NAKAMA_083	0	0	1	1	1	76	690	340	1	1	1	1	1	29	4	100	4	100	2	0	4	100	5	150	1	100	2	0	4	100	3000	660	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
3084	9180	84	NAKAMA_084	0	0	0.6	0.7	183	8	110	75	12	18	15	20	13	10	5	150	4	100	4	100	3	50	4	100	3	50	4	100	4	100	3000	20	1100	0	210	0	0	1	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0
3085	9181	85	NAKAMA_085	0	0	1	1	184	18	220	110	20	27	25	25	30	10	4	100	3	50	4	100	4	100	4	100	5	150	3	50	4	100	3000	85	1500	0	318	0	0	1	0	0	0	0	0	0	0	1	4	22	0	0	0	0	0	0
3086	9182	86	NAKAMA_086	0	0	1	1	185	29	560	118	51	27	45	31	26	10	4	100	4	100	2	0	4	100	5	150	4	100	5	150	4	100	3000	207	2100	0	419	0	0	1	0	0	0	0	0	0	0	1	13	12	0	0	0	0	0	0
3087	9183	87	NAKAMA_087	0	0	2	1	1	65	820	390	1	1	1	1	1	10	3	50	3	50	1	100	0	100	4	100	4	100	4	100	4	100	3000	1405	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	10	0	0	0	0	0	0
3088	9184	88	NAKAMA_088	0	0	0.7	1	1	19	199	100	26	38	22	27	20	22	3	50	1	100	4	100	5	150	3	50	4	100	4	100	4	100	3000	94	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	5	0	0	0	0	0	0
3089	9185	89	NAKAMA_089	0	0	1.3	1.4	1	38	2000	250	1	1	1	1	1	22	4	100	4	100	1	100	5	150	4	100	4	100	2	0	4	100	3001	365	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	0	0	0	0	0	0
3090	9186	90	NAKAMA_090	0	0	0.9	1.1	189	53	1500	290	76	79	65	56	22	22	3	50	4	100	3	50	5	150	4	100	0	100	4	100	4	100	3001	660	10600	0	709	0	0	1	0	0	0	0	0	0	0	1	4	4	0	0	0	0	0	0
3091	9252	91	NAKAMA_091	0	0	0.6	1	1	62	780	315	1	1	1	1	1	23	0	100	3	50	4	100	5	150	4	100	3	50	4	100	4	100	3000	896	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	5	0	0	0	0	0	0
3092	9188	92	NAKAMA_092	0	0	0.9	0.7	191	11	165	80	24	14	23	17	15	19	4	100	4	100	4	100	3	50	4	100	5	150	5	150	4	100	3000	35	1200	0	307	0	0	1	0	0	0	0	0	0	0	1	1	26	0	0	0	0	0	0
3093	9189	93	NAKAMA_093	0	0	1.5	1.1	192	95	4000	511	116	90	115	98	75	22	4	100	4	100	4	100	5	150	2	0	2	0	4	100	4	100	3000	2070	112000	0	812	0	0	1	0	0	0	0	0	0	0	1	15	18	0	0	0	0	0	0
3094	9190	94	NAKAMA_094	0	0	1.3	1	193	37	450	185	59	63	40	42	15	19	4	100	4	100	4	100	3	50	4	100	5	150	4	100	4	100	3001	365	3300	0	516	0	0	1	0	0	0	0	0	0	0	1	4	22	0	0	0	0	0	0
3095	9191	95	NAKAMA_095	0	0	1	1	1	34	310	140	1	1	1	1	1	25	4	100	4	100	2	0	5	150	4	100	4	100	3	50	4	100	3001	280	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	27	0	0	0	0	0	0
3096	9192	96	NAKAMA_096	0	0	1.2	1	1	56	685	360	1	1	1	1	1	25	3	50	4	100	3	50	5	150	5	150	3	50	5	150	4	100	3000	735	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	8	0	0	0	0	0	0
3097	9193	97	NAKAMA_097	0	0	1	1	1	74	720	480	1	1	1	1	1	25	4	100	4	100	0	100	5	150	4	100	4	100	2	0	4	100	3001	1267	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	8	0	0	0	0	0	0
3098	9194	98	NAKAMA_098	0	0	1	1	197	15	195	92	30	20	21	24	18	2	4	100	4	100	2	0	5	150	4	100	4	100	5	150	4	100	3000	61	1300	0	313	0	0	1	0	0	0	0	0	0	0	1	2	27	0	0	0	0	0	0
3099	9195	99	NAKAMA_099	0	0	1	1	198	56	1400	334	57	81	76	55	41	2	3	50	3	50	5	150	3	50	3	50	3	50	2	0	4	100	3001	735	11500	0	714	0	0	1	0	0	0	0	0	0	0	1	3	3	0	0	0	0	0	0
