sortId	icon	haveMax	flag	buyMoney	sellMoney	isNotBuy	isNotSell	isLimited	resaleCount	resaleCountMax	lineupFlag1	lineupFlag2	lineupFlag3	skillId	likeAdjust	dislikeAdjust	like1	like2	like3	like4	like5	presentChrId	presentFriendship	needDevelopItemId1	needDevelopItemId2	presentOnFlag	nanaMetFlag
3	26	99	0	550	275	0	1	0	0	0	0	0	0	8114	1.2	1	0	0	1	1	0	0	0	1313	1314	0	0
21	26	99	0	110	55	0	1	0	0	0	0	0	0	8115	1	1	0	0	0	0	0	0	0	1312	1310	0	0
25	26	99	0	1100	550	0	0	0	0	0	0	0	0	8116	1	1	0	0	0	0	0	1001	50	0	0	257	0
24	26	99	0	1100	550	0	0	0	0	0	0	0	0	8117	1	1	0	0	0	0	1	1004	50	0	0	260	0
26	26	99	0	1100	550	0	0	0	0	0	0	0	0	8118	1	1	0	0	0	0	2	1005	50	0	0	263	0
9	26	99	0	660	330	0	0	0	0	0	0	0	0	8119	1	1	0	0	0	0	1	0	0	0	0	0	0
8	26	99	0	480	240	0	0	0	0	0	0	0	0	8120	1	1	0	0	0	0	0	0	0	0	0	0	0
20	26	99	0	1500	750	0	0	0	0	0	0	0	0	8121	1	1	0	0	0	0	2	0	0	0	0	0	0
19	26	99	0	880	440	0	0	0	0	0	0	0	0	8122	1.4	0.6	1	2	1	2	1	0	0	0	0	0	0
16	26	99	0	1100	550	0	0	0	0	0	0	0	0	8123	1.25	0.8	2	1	2	1	0	0	0	0	0	0	0
7	26	99	0	250	125	0	0	1	250	375	0	0	0	8124	1	1	0	0	0	0	0	0	0	0	0	0	0
22	26	99	0	1250	625	0	1	0	0	0	0	0	0	8125	1	1	0	0	0	0	1	0	0	1321	1323	0	0
23	26	99	0	1250	625	0	1	0	0	0	0	0	0	8126	1	1	1	0	0	0	1	0	0	1301	1320	0	0
31	26	99	0	660	330	0	0	1	250	375	0	0	0	8127	1	1	0	0	0	0	0	1001	90	0	0	258	0
32	26	99	0	660	330	0	0	1	250	375	0	0	0	8128	1	1	0	0	0	0	2	1004	90	0	0	261	0
10	26	99	0	880	440	0	0	1	250	375	0	0	0	8129	1	1	0	0	0	0	1	1005	90	0	0	264	0
12	26	99	0	1280	640	0	0	0	0	0	0	0	0	8130	1	1	0	0	0	0	0	0	0	0	0	0	11688
13	26	99	0	1500	750	0	0	0	0	0	0	0	0	8131	1	1	0	0	0	0	0	0	0	0	0	0	11688
11	26	99	0	500	250	0	0	0	0	0	0	0	0	8132	1	1	0	0	0	0	0	0	0	0	0	0	0
33	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
34	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
35	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
36	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
37	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
38	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
39	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
40	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
41	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
42	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
43	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
44	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
45	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
46	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
47	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
48	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
49	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
50	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
51	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
52	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
53	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
54	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
55	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
56	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
57	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
58	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
59	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
60	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
61	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
62	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
63	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
64	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
65	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
66	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
67	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
68	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
69	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
70	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
71	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
72	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
73	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
74	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
75	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
76	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
77	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
78	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
79	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
80	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
81	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
82	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
83	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
84	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
85	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
86	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
87	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
88	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
89	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
90	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
91	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
92	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
93	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
94	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
95	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
96	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
97	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
98	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
99	26	0	0	100	50	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
