sortId	icon	haveMax	flag	buyMoney	sellMoney	isNotBuy	isNotSell	isLimited	resaleCount	resaleCountMax	lineupFlag1	lineupFlag2	lineupFlag3	getFlag
40	22	99	0	0	0	0	0	0	0	0	0	0	0	0
41	22	0	0	0	0	0	0	0	0	0	0	0	0	0
42	22	0	0	0	0	0	0	0	0	0	0	0	0	0
43	22	0	0	0	0	0	0	0	0	0	0	0	0	0
44	22	0	0	0	0	0	0	0	0	0	0	0	0	0
45	22	0	0	0	0	0	0	0	0	0	0	0	0	0
46	22	0	0	0	0	0	0	0	0	0	0	0	0	0
47	22	0	0	0	0	0	0	0	0	0	0	0	0	0
48	22	0	0	0	0	0	0	0	0	0	0	0	0	0
49	22	0	0	0	0	0	0	0	0	0	0	0	0	0
50	22	99	0	0	0	0	0	0	0	0	0	0	0	0
51	22	99	0	0	0	0	0	0	0	0	0	0	0	0
52	22	99	0	0	0	0	0	0	0	0	0	0	0	0
53	22	99	0	0	0	0	0	0	0	0	0	0	0	0
54	22	99	0	0	0	0	0	0	0	0	0	0	0	0
55	22	99	0	0	0	0	0	0	0	0	0	0	0	0
56	22	99	0	0	0	0	0	0	0	0	0	0	0	0
57	22	99	0	0	0	0	0	0	0	0	0	0	0	0
58	22	99	0	0	0	0	0	0	0	0	0	0	0	0
59	22	99	0	0	0	0	0	0	0	0	0	0	0	0
60	22	0	0	0	0	0	0	0	0	0	0	0	0	0
61	22	0	0	0	0	0	0	0	0	0	0	0	0	0
62	22	0	0	0	0	0	0	0	0	0	0	0	0	0
63	22	0	0	0	0	0	0	0	0	0	0	0	0	0
64	22	0	0	0	0	0	0	0	0	0	0	0	0	0
65	22	0	0	0	0	0	0	0	0	0	0	0	0	0
66	22	0	0	0	0	0	0	0	0	0	0	0	0	0
67	22	0	0	0	0	0	0	0	0	0	0	0	0	0
68	22	0	0	0	0	0	0	0	0	0	0	0	0	0
69	22	0	0	0	0	0	0	0	0	0	0	0	0	0
70	22	99	0	0	0	0	0	0	0	0	0	0	0	0
71	22	99	0	0	0	0	0	0	0	0	0	0	0	0
72	22	99	0	0	0	0	0	0	0	0	0	0	0	0
73	22	99	0	0	0	0	0	0	0	0	0	0	0	0
74	22	99	0	0	0	0	0	0	0	0	0	0	0	0
75	22	99	0	0	0	0	0	0	0	0	0	0	0	0
76	22	99	0	0	0	0	0	0	0	0	0	0	0	0
77	22	99	0	0	0	0	0	0	0	0	0	0	0	0
78	22	99	0	0	0	0	0	0	0	0	0	0	0	0
79	22	99	0	0	0	0	0	0	0	0	0	0	0	0
80	22	99	0	0	0	0	0	0	0	0	0	0	0	0
81	22	99	0	0	0	0	0	0	0	0	0	0	0	0
82	22	99	0	0	0	0	0	0	0	0	0	0	0	0
83	22	99	0	0	0	0	0	0	0	0	0	0	0	0
84	22	99	0	0	0	0	0	0	0	0	0	0	0	0
85	22	0	0	0	0	0	0	0	0	0	0	0	0	0
86	22	0	0	0	0	0	0	0	0	0	0	0	0	0
87	22	0	0	0	0	0	0	0	0	0	0	0	0	0
88	22	0	0	0	0	0	0	0	0	0	0	0	0	0
89	22	0	0	0	0	0	0	0	0	0	0	0	0	0
90	22	0	0	0	0	0	0	0	0	0	0	0	0	0
91	22	0	0	0	0	0	0	0	0	0	0	0	0	0
92	22	0	0	0	0	0	0	0	0	0	0	0	0	0
93	22	0	0	0	0	0	0	0	0	0	0	0	0	0
94	22	0	0	0	0	0	0	0	0	0	0	0	0	0
95	22	0	0	0	0	0	0	0	0	0	0	0	0	0
96	22	0	0	0	0	0	0	0	0	0	0	0	0	0
97	22	0	0	0	0	0	0	0	0	0	0	0	0	0
98	22	0	0	0	0	0	0	0	0	0	0	0	0	0
99	22	0	0	0	0	0	0	0	0	0	0	0	0	0
