sortId	icon	haveMax	flag	buyMoney	sellMoney	isNotBuy	isNotSell	isLimited	resaleCount	resaleCountMax	lineupFlag1	lineupFlag2	lineupFlag3	skillId
270	11	99	0	1000	300	0	0	0	0	0	0	0	0	4068
271	11	99	0	1000	300	0	0	0	0	0	0	0	0	4069
272	11	99	0	1000	300	0	0	0	0	0	0	0	0	4070
273	11	99	0	1000	300	0	0	0	0	0	0	0	0	4071
274	11	99	0	1000	300	0	0	0	0	0	0	0	0	4072
275	11	99	0	1000	300	0	0	0	0	0	0	0	0	4073
230	25	99	0	0	3000	0	0	0	0	0	0	0	0	0
231	25	99	0	0	5000	0	0	0	0	0	0	0	0	0
232	25	99	0	0	10000	0	0	0	0	0	0	0	0	0
233	25	99	0	0	25000	0	0	0	0	0	0	0	0	0
234	25	99	0	0	50000	0	0	0	0	0	0	0	0	0
235	25	99	0	0	100000	0	0	0	0	0	0	0	0	0
236	25	99	0	0	250000	0	0	0	0	0	0	0	0	0
237	25	99	0	0	500000	0	0	0	0	0	0	0	0	0
238	25	99	0	0	1000000	0	0	0	0	0	0	0	0	0
239	25	99	0	0	2500000	0	0	0	0	0	0	0	0	0
8	9	5	0	6000	3000	0	0	1	250	375	0	0	0	4084
31	9	5	0	8000	4000	0	0	1	250	375	0	0	0	4085
53	10	2	0	20000	10000	0	0	1	250	375	0	0	0	1154
111	8	5	0	25000	12500	0	0	1	250	375	0	0	0	1041
6	9	2	0	9000	4500	0	0	1	250	375	0	0	0	1132
32	9	2	0	15000	7500	0	0	1	250	375	0	0	0	4089
24	9	2	0	4500	2250	0	0	1	250	375	0	0	0	1141
4	9	20	0	4000	2000	0	0	0	0	0	0	0	0	4091
33	9	20	0	4000	2000	0	0	0	0	0	0	0	0	4092
41	9	5	0	4000	2000	0	0	0	0	0	0	0	0	4093
44	9	5	0	4000	2000	0	0	0	0	0	0	0	0	4094
47	9	5	0	4000	2000	0	0	0	0	0	0	0	0	4095
10	9	5	0	9000	4500	0	0	0	0	0	0	0	0	4096
97	9	0	0	100	50	0	0	0	0	0	0	0	0	0
98	9	0	0	200	100	0	0	0	0	0	0	0	0	0
99	9	0	0	300	150	0	0	0	0	0	0	0	0	0
100	9	0	0	100	50	0	0	0	0	0	0	0	0	0
101	9	0	0	200	100	0	0	0	0	0	0	0	0	0
102	9	0	0	300	150	0	0	0	0	0	0	0	0	0
103	9	0	0	100	50	0	0	0	0	0	0	0	0	0
104	9	0	0	200	100	0	0	0	0	0	0	0	0	0
105	9	0	0	300	150	0	0	0	0	0	0	0	0	0
106	9	0	0	100	50	0	0	0	0	0	0	0	0	0
107	9	0	0	200	100	0	0	0	0	0	0	0	0	0
108	9	0	0	300	150	0	0	0	0	0	0	0	0	0
109	9	0	0	100	50	0	0	0	0	0	0	0	0	0
110	9	0	0	200	100	0	0	0	0	0	0	0	0	0
111	9	0	0	300	150	0	0	0	0	0	0	0	0	0
112	9	0	0	100	50	0	0	0	0	0	0	0	0	0
113	9	0	0	200	100	0	0	0	0	0	0	0	0	0
114	9	0	0	300	150	0	0	0	0	0	0	0	0	0
115	9	0	0	100	50	0	0	0	0	0	0	0	0	0
116	9	0	0	200	100	0	0	0	0	0	0	0	0	0
117	9	0	0	300	150	0	0	0	0	0	0	0	0	0
118	9	0	0	100	50	0	0	0	0	0	0	0	0	0
119	9	0	0	200	100	0	0	0	0	0	0	0	0	0
120	9	0	0	300	150	0	0	0	0	0	0	0	0	0
121	9	0	0	100	50	0	0	0	0	0	0	0	0	0
122	9	0	0	200	100	0	0	0	0	0	0	0	0	0
123	9	0	0	300	150	0	0	0	0	0	0	0	0	0
124	9	0	0	100	50	0	0	0	0	0	0	0	0	0
125	9	0	0	200	100	0	0	0	0	0	0	0	0	0
126	9	0	0	300	150	0	0	0	0	0	0	0	0	0
127	9	0	0	100	50	0	0	0	0	0	0	0	0	0
128	9	0	0	200	100	0	0	0	0	0	0	0	0	0
129	9	0	0	300	150	0	0	0	0	0	0	0	0	0
130	9	0	0	100	50	0	0	0	0	0	0	0	0	0
131	9	0	0	200	100	0	0	0	0	0	0	0	0	0
132	9	0	0	300	150	0	0	0	0	0	0	0	0	0
133	9	0	0	100	50	0	0	0	0	0	0	0	0	0
134	9	0	0	200	100	0	0	0	0	0	0	0	0	0
135	9	0	0	300	150	0	0	0	0	0	0	0	0	0
136	9	0	0	100	50	0	0	0	0	0	0	0	0	0
137	9	0	0	200	100	0	0	0	0	0	0	0	0	0
138	9	0	0	300	150	0	0	0	0	0	0	0	0	0
139	9	0	0	100	50	0	0	0	0	0	0	0	0	0
140	9	0	0	200	100	0	0	0	0	0	0	0	0	0
141	9	0	0	300	150	0	0	0	0	0	0	0	0	0
142	9	0	0	100	50	0	0	0	0	0	0	0	0	0
143	9	0	0	200	100	0	0	0	0	0	0	0	0	0
144	9	0	0	300	150	0	0	0	0	0	0	0	0	0
145	9	0	0	100	50	0	0	0	0	0	0	0	0	0
146	9	0	0	200	100	0	0	0	0	0	0	0	0	0
147	9	0	0	300	150	1	1	0	0	0	0	0	0	0
148	9	0	0	100	50	1	1	0	0	0	0	0	0	0
149	9	0	0	200	100	1	1	0	0	0	0	0	0	0
150	9	0	0	300	150	1	1	0	0	0	0	0	0	0
151	9	0	0	100	50	1	1	0	0	0	0	0	0	0
152	9	0	0	200	100	1	1	0	0	0	0	0	0	0
153	9	0	0	300	150	1	1	0	0	0	0	0	0	0
154	9	0	0	100	50	1	1	0	0	0	0	0	0	0
155	9	0	0	200	100	1	1	0	0	0	0	0	0	0
156	9	0	0	300	150	1	1	0	0	0	0	0	0	0
157	9	0	0	100	50	1	1	0	0	0	0	0	0	0
158	9	0	0	200	100	1	1	0	0	0	0	0	0	0
159	9	0	0	300	150	1	1	0	0	0	0	0	0	0
160	9	0	0	100	50	1	1	0	0	0	0	0	0	0
161	9	0	0	200	100	1	1	0	0	0	0	0	0	0
162	9	0	0	300	150	1	1	0	0	0	0	0	0	0
163	9	0	0	100	50	1	1	0	0	0	0	0	0	0
164	9	0	0	200	100	1	1	0	0	0	0	0	0	0
165	9	0	0	300	150	1	1	0	0	0	0	0	0	0
166	9	0	0	100	50	1	1	0	0	0	0	0	0	0
167	9	0	0	200	100	1	1	0	0	0	0	0	0	0
168	9	0	0	300	150	1	1	0	0	0	0	0	0	0
169	9	0	0	100	50	1	1	0	0	0	0	0	0	0
170	9	0	0	200	100	1	1	0	0	0	0	0	0	0
171	9	0	0	300	150	1	1	0	0	0	0	0	0	0
172	9	0	0	100	50	1	1	0	0	0	0	0	0	0
173	9	0	0	200	100	1	1	0	0	0	0	0	0	0
174	9	0	0	300	150	1	1	0	0	0	0	0	0	0
175	9	0	0	100	50	1	1	0	0	0	0	0	0	0
176	9	0	0	200	100	1	1	0	0	0	0	0	0	0
177	9	0	0	300	150	1	1	0	0	0	0	0	0	0
178	9	0	0	100	50	1	1	0	0	0	0	0	0	0
179	9	0	0	200	100	1	1	0	0	0	0	0	0	0
180	9	0	0	300	150	1	1	0	0	0	0	0	0	0
181	9	0	0	100	50	1	1	0	0	0	0	0	0	0
182	9	0	0	200	100	1	1	0	0	0	0	0	0	0
183	9	0	0	300	150	1	1	0	0	0	0	0	0	0
184	9	0	0	100	50	1	1	0	0	0	0	0	0	0
185	9	0	0	200	100	1	1	0	0	0	0	0	0	0
186	9	0	0	300	150	1	1	0	0	0	0	0	0	0
187	9	0	0	100	50	1	1	0	0	0	0	0	0	0
188	9	0	0	200	100	1	1	0	0	0	0	0	0	0
189	9	0	0	300	150	1	1	0	0	0	0	0	0	0
190	9	0	0	100	50	1	1	0	0	0	0	0	0	0
191	9	0	0	200	100	1	1	0	0	0	0	0	0	0
192	9	0	0	300	150	1	1	0	0	0	0	0	0	0
193	9	0	0	100	50	1	1	0	0	0	0	0	0	0
194	9	0	0	200	100	1	1	0	0	0	0	0	0	0
195	9	0	0	300	150	1	1	0	0	0	0	0	0	0
196	9	0	0	100	50	1	1	0	0	0	0	0	0	0
197	9	0	0	200	100	1	1	0	0	0	0	0	0	0
198	9	0	0	300	150	1	1	0	0	0	0	0	0	0
199	9	0	0	100	50	1	1	0	0	0	0	0	0	0
