sortId	icon	haveMax	flag	buyMoney	sellMoney	isNotBuy	isNotSell	isLimited	resaleCount	resaleCountMax	lineupFlag1	lineupFlag2	lineupFlag3	equipFlag	dressNum	battleBgmId	resultBgmId
21	30	1	0	1000	500	0	0	0	0	0	0	0	0	4	10	None	None
22	30	1	0	1000	500	0	0	0	0	0	0	0	0	4	11	None	None
23	30	1	0	1000	500	0	0	0	0	0	0	0	0	4	12	None	None
24	30	1	0	1000	500	0	0	0	0	0	0	0	0	4	13	None	None
25	30	1	0	1000	500	0	0	0	0	0	0	0	0	4	14	None	None
26	30	1	0	1000	500	0	0	0	0	0	0	0	0	4	15	None	None
27	30	1	0	1000	500	0	0	0	0	0	0	0	0	4	16	None	None
28	30	0	0	1000	500	0	0	0	0	0	0	0	0	4	0	None	None
29	30	0	0	1000	500	0	0	0	0	0	0	0	0	4	0	None	None
30	30	1	0	1000	500	0	0	0	0	0	0	0	0	8	0	None	None
31	30	1	0	1000	500	0	0	0	0	0	0	0	0	8	10	None	None
32	30	1	0	1000	500	0	0	0	0	0	0	0	0	8	11	None	None
33	30	1	0	1000	500	0	0	0	0	0	0	0	0	8	12	None	None
34	30	1	0	1000	500	0	0	0	0	0	0	0	0	8	13	None	None
35	30	1	0	1000	500	0	0	0	0	0	0	0	0	8	14	None	None
36	30	1	0	1000	500	0	0	0	0	0	0	0	0	8	15	None	None
37	30	1	0	1000	500	0	0	0	0	0	0	0	0	8	16	None	None
38	30	0	0	1000	500	0	0	0	0	0	0	0	0	8	0	None	None
39	30	0	0	1000	500	0	0	0	0	0	0	0	0	8	0	None	None
40	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
41	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
42	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
43	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
44	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
45	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
46	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
47	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
48	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
49	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
50	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
51	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
52	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
53	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
54	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
55	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
56	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
57	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
58	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
59	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
60	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
61	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
62	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
63	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
64	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
65	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
66	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
67	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
68	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
69	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
70	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
71	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
72	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
73	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
74	30	0	0	1000	500	0	0	0	0	0	0	0	0	1	0	None	None
75	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
76	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
77	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
78	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
79	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
80	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
81	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
82	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
83	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
84	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
85	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
86	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
87	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
88	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
89	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
90	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
91	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
92	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
93	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
94	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
95	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
96	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
97	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
98	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
99	30	0	0	1000	500	1	1	0	0	0	0	0	0	1	0	None	None
